language_code,term_source,gt_translated_term,language_name,coding_dh_date,wikipedia_translated_term,exclude_google_cloud_translate
ug,Humanities Data Science,ئادىمىيەت پەنلىرى ئىلمى,"Uighur, Uyghur",2025-05-31 21:15:56,,
uk,Humanities Data Science,Гуманітарні науки про дані,Ukrainian,2025-05-31 21:15:56,,
ur,Humanities Data Science,ہیومینٹیز ڈیٹا سائنس,Urdu,2025-05-31 21:15:56,,
uz,Humanities Data Science,Gumanitar fanlar maʼlumotlar fani,Uzbek,2025-05-31 21:15:56,,
ve,Humanities Data Science,Saintsi ya Datha ya Vhuthu,Venda,2025-05-31 21:15:56,,
vi,Humanities Data Science,Khoa học dữ liệu nhân văn,Vietnamese,2025-05-31 21:15:56,,
vo,Humanities Data Science,,Volapük,2025-05-31 21:15:56,,
wa,Humanities Data Science,,Walloon,2025-05-31 21:15:56,,
wo,Humanities Data Science,Siyaas ci done yu nit,Wolof,2025-05-31 21:15:56,,
xh,Humanities Data Science,Humanities Data Science,Xhosa,2025-05-31 21:15:56,,
yi,Humanities Data Science,הומאַניטיעס דאַטאַ וויסנשאַפֿט,Yiddish,2025-05-31 21:15:56,,
yo,Humanities Data Science,Humanities Data Imọ,Yoruba,2025-05-31 21:15:56,,
za,Humanities Data Science,,"Zhuang, Chuang",2025-05-31 21:15:56,,
zh,Humanities Data Science,人文 数据科学,Chinese,2025-05-31 21:15:56,,
to,Humanities Data Science,Saienisi Fakamatala Fakaetangata,Tonga,2025-05-31 21:15:56,,
tl,Humanities Data Science,Humanities Data Science,Tagalog,2025-05-31 21:15:56,,
sg,Humanities Data Science,Science ti asango ti azo,Sango,2025-05-31 21:15:56,,
tk,Humanities Data Science,Ynsanperwerlik maglumatlary,Turkmen,2025-05-31 21:15:56,,
sh,Humanities Data Science,Хуманистичке науке о подацима,Serbo-Crotian,2025-05-31 21:15:56,,
si,Humanities Data Science,මානව ශාස්ත්‍ර දත්ත විද්‍යාව,"Sinhala, Sinhalese",2025-05-31 21:15:56,,
sk,Humanities Data Science,Humanitné vedy o údajoch,Slovak,2025-05-31 21:15:56,,
sl,Humanities Data Science,Humanistične podatkovne znanosti,Slovene,2025-05-31 21:15:56,,
sm,Humanities Data Science,Humanities Data Science,Samoan,2025-05-31 21:15:56,,
sn,Humanities Data Science,Humanities Data Science,Shona,2025-05-31 21:15:56,,
so,Humanities Data Science,Sayniska Xogta Aadanaha,Somali,2025-05-31 21:15:56,,
sq,Humanities Data Science,Shkenca Humane e të Dhënave,Albanian,2025-05-31 21:15:56,,
sr,Humanities Data Science,Хуманистичке науке о подацима,Serbian,2025-05-31 21:15:56,,
ss,Humanities Data Science,Isayensi Yemininingwane Yebantfu,Swati,2025-05-31 21:15:56,,
st,Humanities Data Science,Humanities Data Science,Southern Sotho,2025-05-31 21:15:56,,
su,Humanities Data Science,Élmu Data Kamanusaan,Sundanese,2025-05-31 21:15:56,,
sv,Humanities Data Science,Humanistisk datavetenskap,Swedish,2025-05-31 21:15:56,,
sw,Humanities Data Science,Sayansi ya Data ya Binadamu,Swahili,2025-05-31 21:15:56,,
ta,Humanities Data Science,மனிதநேயம் தரவு அறிவியல்,Tamil,2025-05-31 21:15:56,,
te,Humanities Data Science,హ్యుమానిటీస్ డేటా సైన్స్,Telugu,2025-05-31 21:15:56,,
tg,Humanities Data Science,Илмҳои гуманитарӣ,Tajik,2025-05-31 21:15:56,,
th,Humanities Data Science,มนุษยศาสตร์วิทยาศาสตร์ข้อมูล,Thai,2025-05-31 21:15:56,,
ti,Humanities Data Science,ሰብኣዊ ስነፍልጠት ዳታ ሳይንስ,Tigrinya,2025-05-31 21:15:56,,
mk,Humanities Data Science,Наука за податоци за хуманистичките науки,Macedonian,2025-05-31 21:15:56,,
lb,Humanities Data Science,Humanities Data Science,Luxembourgish,2025-05-31 21:15:56,,
ay,Humanities Data Science,Humanidades Datos Ciencia ukax mä juk’a pachanakanwa,Aymara,2025-05-31 21:15:56,,
dv,Humanities Data Science,ހިއުމަނިޓީސް ޑޭޓާ ސައިންސް,Divehi; Maldivian;,2025-05-31 21:15:56,,
fi,Humanities Data Science,Humanistinen tietotiede,Finnish,2025-05-31 21:15:56,,
co,Humanities Data Science,Scienza di dati umanistiche,Corsican,2025-05-31 21:15:56,,
cr,Humanities Data Science,,Cree,2025-05-31 21:15:56,,
cs,Humanities Data Science,Humanitní věda o datech,Czech,2025-05-31 21:15:56,,
cu,Humanities Data Science,,Old Church Slavonic,2025-05-31 21:15:56,,
cv,Humanities Data Science,Гуманитари даннӑйӗсен науки,Chuvash,2025-05-31 21:15:56,,
cy,Humanities Data Science,Gwyddor Data Dyniaethau,Welsh,2025-05-31 21:15:56,,
da,Humanities Data Science,Humanistisk datavidenskab,Danish,2025-05-31 21:15:56,,
de,Humanities Data Science,Geisteswissenschaften Datenwissenschaft,German,2025-05-31 21:15:56,,
ee,Humanities Data Science,Amegbetɔŋutinunya ƒe Nyatakakaŋutinunya,Ewe,2025-05-31 21:15:56,,
dz,Humanities Data Science,མི་ཆོས་རིག་པའི་གནས་སྡུད་ཚན་རིག།,Dzongkha,2025-05-31 21:15:56,,
la,Humanities Data Science,Humanitatis Data Scientia,Latin,2025-05-31 21:15:56,,
el,Humanities Data Science,Ανθρωπιστικές Επιστήμες Δεδομένων,"Greek, Modern",2025-05-31 21:15:56,,
en,Humanities Data Science,Humanities Data Science,English,2025-05-31 21:15:56,,
eo,Humanities Data Science,Homarscienco-Datenscienco,Esperanto,2025-05-31 21:15:56,,
es,Humanities Data Science,Ciencias de datos de humanidades,Spanish; Castilian,2025-05-31 21:15:56,,
et,Humanities Data Science,Humanitaarteadused,Estonian,2025-05-31 21:15:56,,
eu,Humanities Data Science,Humanitateen Datuen Zientzia,Basque,2025-05-31 21:15:56,,
fa,Humanities Data Science,علوم داده علوم انسانی,Persian,2025-05-31 21:15:56,,
ff,Humanities Data Science,Ganndal Dataaji Neɗɗaŋke,Fula,2025-05-31 21:15:56,,
ch,Humanities Data Science,Siensiå-ña i Datos Humanidåt,Chamorro,2025-05-31 21:15:56,,
ce,Humanities Data Science,Гуманитарни Ӏилманан Ӏилманан Ӏилма,Chechen,2025-05-31 21:15:56,,
ca,Humanities Data Science,Ciència de dades d&#39;Humanitats,Catalan; Valencian,2025-05-31 21:15:56,,
br,Humanities Data Science,Skiantoù roadennoù ar skiantoù mab-den,Breton,2025-05-31 21:15:56,,
bs,Humanities Data Science,Humanističke nauke o podacima,Bosnian,2025-05-31 21:15:56,,
ae,Humanities Data Science,,Avestan,2025-05-31 21:15:56,,
af,Humanities Data Science,Geesteswetenskaplike Datawetenskap,Afrikaans,2025-05-31 21:15:56,,
ak,Humanities Data Science,Nnipa ho nimdeɛ Data Nyansahu,Akan,2025-05-31 21:15:56,,
am,Humanities Data Science,የሰብአዊነት መረጃ ሳይንስ,Amharic,2025-05-31 21:15:56,,
an,Humanities Data Science,,Aragonese,2025-05-31 21:15:56,,
ar,Humanities Data Science,علوم البيانات الإنسانية,Arabic,2025-05-31 21:15:56,,
as,Humanities Data Science,মানৱীয় তথ্য বিজ্ঞান,Assamese,2025-05-31 21:15:56,,
av,Humanities Data Science,Гуманитариялин абулел баяназул гӀелму,Avaric,2025-05-31 21:15:56,,
az,Humanities Data Science,Humanitar Elmlər Məlumat Elmi,Azerbaijani,2025-05-31 21:15:56,,
ab,Humanities Data Science,Агуманитартә дыррақәа рҭҵаарадырра,Abkhaz,2025-05-31 21:15:56,,
ba,Humanities Data Science,Гуманитар фәндәр тураһында фән,Bashkir,2025-05-31 21:15:56,,
be,Humanities Data Science,Гуманітарныя навукі аб дадзеных,Belarusian,2025-05-31 21:15:56,,
bg,Humanities Data Science,Хуманитарни науки за данни,Bulgarian,2025-05-31 21:15:56,,
bh,Humanities Data Science,मानविकी डेटा विज्ञान के ह,Bihari,2025-05-31 21:15:56,,
bi,Humanities Data Science,,Bislama,2025-05-31 21:15:56,,
bm,Humanities Data Science,Hadamadenw ka dɔnniyaw Donanw dɔnniya,Bambara,2025-05-31 21:15:56,,
bn,Humanities Data Science,মানবিক তথ্য বিজ্ঞান,Bengali,2025-05-31 21:15:56,,
bo,Humanities Data Science,མིའི་རིགས་ཀྱི་གཞི་གྲངས་ཚན་རིག,Tibetan,2025-05-31 21:15:56,,
fj,Humanities Data Science,Saenisi ni itukutuku ni tamata,Fijian,2025-05-31 21:15:56,,
fo,Humanities Data Science,Hugvísindi Dátuvísindi,Faroese,2025-05-31 21:15:56,,
fr,Humanities Data Science,Sciences humaines et science des données,French,2025-05-31 21:15:56,,
io,Humanities Data Science,,Ido,2025-05-31 21:15:56,,
it,Humanities Data Science,Scienze Umane Data Science,Italian,2025-05-31 21:15:56,,
iu,Humanities Data Science,ᐃᓄᓕᕆᓂᕐᒧᑦ ᑐᑭᓯᒋᐊᕈᑎᒃᓴᑦ ᑭᓪᓕᓯᓂᐊᕐᓂᕐᒧᑦ,Inuktitut,2025-05-31 21:15:56,,
ja,Humanities Data Science,人文科学 データサイエンス,Japanese,2025-05-31 21:15:56,,
jv,Humanities Data Science,Ilmu Data Humaniora,Javanese,2025-05-31 21:15:56,,
ka,Humanities Data Science,ჰუმანიტარული მეცნიერებათა მონაცემთა მეცნიერება,Georgian,2025-05-31 21:15:56,,
kg,Humanities Data Science,Siansi ya Bansangu ya Bantu,Kongo,2025-05-31 21:15:56,,
ki,Humanities Data Science,,"Kikuyu, Gikuyu",2025-05-31 21:15:56,,
kj,Humanities Data Science,,"Kwanyama, Kuanyama",2025-05-31 21:15:56,,
kk,Humanities Data Science,Гуманитарлық ғылымдар туралы ғылым,Kazakh,2025-05-31 21:15:56,,
kl,Humanities Data Science,Inunnik ilisimatusarneq Data-mik ilisimatusarneq,Kalaallisut,2025-05-31 21:15:56,,
km,Humanities Data Science,វិទ្យាសាស្ត្រទិន្នន័យមនុស្សសាស្ត្រ,Khmer,2025-05-31 21:15:56,,
kn,Humanities Data Science,ಮಾನವಿಕ ದತ್ತಾಂಶ ವಿಜ್ಞಾನ,Kannada,2025-05-31 21:15:56,,
ko,Humanities Data Science,인문학 데이터 과학,Korean,2025-05-31 21:15:56,,
kr,Humanities Data Science,Bayanna Ilmu Adamganabe,Kanuri,2025-05-31 21:15:56,,
ks,Humanities Data Science,,Kashmiri,2025-05-31 21:15:56,,
ku,Humanities Data Science,Zanistiya Daneyên Mirovan,Kurdish,2025-05-31 21:15:56,,
kv,Humanities Data Science,Гуманитарнӧй наукаяс йылысь наука .,Komi,2025-05-31 21:15:56,,
kw,Humanities Data Science,,Cornish,2025-05-31 21:15:56,,
ky,Humanities Data Science,Гуманитардык маалымат илими,"Kirghiz, Kyrgyz",2025-05-31 21:15:56,,
is,Humanities Data Science,Hugvísindi gagnafræði,Icelandic,2025-05-31 21:15:56,,
ik,Humanities Data Science,,Inupiaq,2025-05-31 21:15:56,,
fy,Humanities Data Science,Humanities Data Science,Western Frisian,2025-05-31 21:15:56,,
ii,Humanities Data Science,,Nuosu,2025-05-31 21:15:56,,
ga,Humanities Data Science,Eolaíocht Sonraí na nDaonnachtaí,Irish,2025-05-31 21:15:56,,
gd,Humanities Data Science,Saidheans Dàta Daonnachdan,Scottish Gaelic,2025-05-31 21:15:56,,
gl,Humanities Data Science,Ciencia de datos de Humanidades,Galician,2025-05-31 21:15:56,,
gn,Humanities Data Science,Humanidades Datos Ciencia rehegua,Guaraní,2025-05-31 21:15:56,,
gu,Humanities Data Science,માનવતા ડેટા વિજ્ઞાન,Gujarati,2025-05-31 21:15:56,,
gv,Humanities Data Science,Science Data Dooinney,Manx,2025-05-31 21:15:56,,
ha,Humanities Data Science,Humanities Data Science,Hausa,2025-05-31 21:15:56,,
he,Humanities Data Science,מדעי הנתונים במדעי הרוח,Hebrew (modern),2025-05-31 21:15:56,,
hi,Humanities Data Science,मानविकी डेटा विज्ञान,Hindi,2025-05-31 21:15:56,,
ho,Humanities Data Science,,Hiri Motu,2025-05-31 21:15:56,,
hr,Humanities Data Science,Humanističke znanosti o podacima,Croatian,2025-05-31 21:15:56,,
ht,Humanities Data Science,Syans done Syans imanitè,Haitian,2025-05-31 21:15:56,,
hu,Humanities Data Science,Bölcsészettudományi adattudomány,Hungarian,2025-05-31 21:15:56,,
hy,Humanities Data Science,Հումանիտար տվյալների գիտություն,Armenian,2025-05-31 21:15:56,,
hz,Humanities Data Science,,Herero,2025-05-31 21:15:56,,
ia,Humanities Data Science,,Interlingua,2025-05-31 21:15:56,,
id,Humanities Data Science,Ilmu Data Humaniora,Indonesian,2025-05-31 21:15:56,,
ie,Humanities Data Science,,Interlingue,2025-05-31 21:15:56,,
ig,Humanities Data Science,Humanities Data Science,Igbo,2025-05-31 21:15:56,,
zu,Humanities Data Science,Humanities Data Science,Zulu,2025-05-31 21:15:56,,
