"language_code","language_name","term_source","llama_translated_term","llama_content","llama_created_at","llama_done_reason","llama_eval_count","llama_eval_duration","llama_extracted_dictionaries","llama_load_duration","llama_model","llama_prompt_eval_count","llama_prompt_eval_duration","llama_total_duration","llama_translation","llama_translation_rationale","llama_system_prompt","llama_user_prompt","term","wikipedia_translated_term","coding_dh_date","family_name","gt_translated_term","enmt_translated_term","exclude_google_cloud_translate","lingvanex_translated_term","exclude_easynmt","exclude_llama"
"zza","Zaza","Digital Humanities","საზოგადოებრივი ხელოვნება","{
  ""translated_term"": ""საზოგადოებრივი ხელოვნება"",
  ""translation_rationale"": ""The translation of 'Digital Humanities' into Zaza (also known as Dzalol or Dimili) is based on the language's linguistic structure and vocabulary. In Zaza, the term 'საზოგადოებრივი ხელოვნება' is a direct translation of the English phrase, with 'საზოგადოებრივი' meaning 'digital' or 'computer-related', and 'ხელოვნება' meaning 'humanities'.""
}","2026-05-20T20:38:54.276576Z","stop","228.0","5112456341.0","[]","68508291.0","llama3.1:latest","122.0","133229209.0","5394317916.0","","The translation of 'Digital Humanities' into Zaza (also known as Dzalol or Dimili) is based on the language's linguistic structure and vocabulary. In Zaza, the term 'საზოგადოებრივი ხელოვნება' is a direct translation of the English phrase, with 'საზოგადოებრივი' meaning 'digital' or 'computer-related', and 'ხელოვნება' meaning 'humanities'.","You are a researcher studying Digital Humanities communities on GitHub. Because GitHub spans many language communities, you need to translate Digital Humanities into multiple languages to identify relevant activity on the platform.","Translate 'Digital Humanities' into Zaza (ISO code: zza). This translation will be used as a search query to find 'Digital Humanities' scholarship on GitHub — including repositories, users, issues, and topics.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""..."", ""translation_rationale"": ""...""}","","","2026-05-20 13:38:54","","","","","","","False"
"zun","Zuni","Digital Humanities","","{""translated_term"": """", ""translation_rationale"": ""The Zuni language does not have a direct equivalent for 'Digital Humanities'. However, I can provide a translation that conveys the concept of digital scholarship in humanities. In Zuni, \u00f1\u00ed\u00e9\u00f3\u00f2\u00f4\u00f5\u00f6 (née-ee-oh-oh-oh) means 'new knowledge' or 'digital knowledge'. I will use this term as a translation for Digital Humanities.""}","2026-05-20T20:38:46.85691Z","stop","116.0","2017646990.0","[{'translated_term': '', 'translation_rationale': ""The Zuni language does not have a direct equivalent for 'Digital Humanities'. However, I can provide a translation that conveys the concept of digital scholarship in humanities. In Zuni, ñíéóòôõö (née-ee-oh-oh-oh) means 'new knowledge' or 'digital knowledge'. I will use this term as a translation for Digital Humanities.""}]","69411334.0","llama3.1:latest","122.0","130959333.0","2247136584.0","","","You are a researcher studying Digital Humanities communities on GitHub. Because GitHub spans many language communities, you need to translate Digital Humanities into multiple languages to identify relevant activity on the platform.","Translate 'Digital Humanities' into Zuni (ISO code: zun). This translation will be used as a search query to find 'Digital Humanities' scholarship on GitHub — including repositories, users, issues, and topics.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""..."", ""translation_rationale"": ""...""}","","","2026-05-20 13:38:46","","","","","","","False"
"zu","Zulu","Digital Humanities","iDhokhulu leMfundo","{
  ""translated_term"": ""iDhokhulu leMfundo"",
  ""translation_rationale"": ""Digital Humanities translates to iDhokhulu leMfundo in Zulu, where 'iDhokhulu' means digital and 'leMfundo' means humanities.""
}","2026-05-20T20:38:42.590451Z","stop","66.0","834244123.0","[]","65015958.0","llama3.1:latest","122.0","128560375.0","1044170667.0","","Digital Humanities translates to iDhokhulu leMfundo in Zulu, where 'iDhokhulu' means digital and 'leMfundo' means humanities.","You are a researcher studying Digital Humanities communities on GitHub. Because GitHub spans many language communities, you need to translate Digital Humanities into multiple languages to identify relevant activity on the platform.","Translate 'Digital Humanities' into Zulu (ISO code: zu). This translation will be used as a search query to find 'Digital Humanities' scholarship on GitHub — including repositories, users, issues, and topics.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""..."", ""translation_rationale"": ""...""}","","Ezezibhangqiwe zoLuntu","2026-05-20 13:38:42","Niger-Kordofanian languages","I-Digital Humanities","","False","Digital Humanities","","False"
"zmi","Negeri Sembilan Malay","Digital Humanities","Kemanusiaan Digital","{
  ""translated_term"": ""Kemanusiaan Digital"",
  ""translation_rationale"": ""In Negeri Sembilan Malay, 'Digital Humanities' is translated as 'Kemanusiaan Digital', where 'Kemanusiaan' means 'humanities' or 'arts and humanities', and 'Digital' remains the same.""
}","2026-05-20T20:38:39.523862Z","stop","74.0","945488493.0","[]","64879000.0","llama3.1:latest","128.0","126226791.0","1153883417.0","","In Negeri Sembilan Malay, 'Digital Humanities' is translated as 'Kemanusiaan Digital', where 'Kemanusiaan' means 'humanities' or 'arts and humanities', and 'Digital' remains the same.","You are a researcher studying Digital Humanities communities on GitHub. Because GitHub spans many language communities, you need to translate Digital Humanities into multiple languages to identify relevant activity on the platform.","Translate 'Digital Humanities' into Negeri Sembilan Malay (ISO code: zmi). This translation will be used as a search query to find 'Digital Humanities' scholarship on GitHub — including repositories, users, issues, and topics.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""..."", ""translation_rationale"": ""...""}","","","2026-05-20 13:38:39","","","","","","","False"
"zh-yue","Cantonese","Digital Humanities","數位人文學","{
  ""translated_term"": ""數位人文學"",
  ""translation_rationale"": ""The translation of 'Digital Humanities' into Cantonese (zh-yue) is based on the most common and widely accepted term in the field. The word '數位' (suh6 yi4) means 'digital', and '人文學' (jan4 man4 haan6) means 'humanities'. This translation should accurately reflect the concept of Digital Humanities in Cantonese.""
}","2026-05-20T20:38:36.345612Z","stop","102.0","1252834296.0","[]","77978833.0","llama3.1:latest","124.0","131638709.0","1487227250.0","","The translation of 'Digital Humanities' into Cantonese (zh-yue) is based on the most common and widely accepted term in the field. The word '數位' (suh6 yi4) means 'digital', and '人文學' (jan4 man4 haan6) means 'humanities'. This translation should accurately reflect the concept of Digital Humanities in Cantonese.","You are a researcher studying Digital Humanities communities on GitHub. Because GitHub spans many language communities, you need to translate Digital Humanities into multiple languages to identify relevant activity on the platform.","Translate 'Digital Humanities' into Cantonese (ISO code: zh-yue). This translation will be used as a search query to find 'Digital Humanities' scholarship on GitHub — including repositories, users, issues, and topics.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""..."", ""translation_rationale"": ""...""}","","","2026-05-20 13:38:36","","數碼人文","","False","","True","False"
"zh-tw","Traditional Chinese","Digital Humanities","平代米皬","{
  ""translated_term"": ""\u5e73\u4ee3\u7c73\u76ac"",
  ""translation_rationale"": ""Digital Humanities is translated to \u5e73\u4ee3\u7c73\u76ac, which directly translates the words. This translation should accurately capture relevant activity on GitHub.""
}","2026-05-20T20:38:32.83089Z","stop","70.0","801515041.0","[]","71740125.0","llama3.1:latest","123.0","132303917.0","1022126708.0","","Digital Humanities is translated to 平代米皬, which directly translates the words. This translation should accurately capture relevant activity on GitHub.","You are a researcher studying Digital Humanities communities on GitHub. Because GitHub spans many language communities, you need to translate Digital Humanities into multiple languages to identify relevant activity on the platform.","Translate 'Digital Humanities' into Traditional Chinese (ISO code: zh-tw). This translation will be used as a search query to find 'Digital Humanities' scholarship on GitHub — including repositories, users, issues, and topics.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""..."", ""translation_rationale"": ""...""}","","","2026-05-20 13:38:32","","數位人文","","False","數位人文","","False"
"zh-min-nan","Minnan","Digital Humanities","Chú-gī-kài","{
  ""translated_term"": ""Chú-gī-kài"",
  ""translation_rationale"": ""Digital Humanities is translated to Ch\u00f5-g\u00ed-k\u00e81i in Minnan, which literally means \""digital humanities\"". The term is a direct loanword from English and has been adopted into the Minnan language.""
}","2026-05-20T20:38:29.784015Z","stop","74.0","859372953.0","[]","78267500.0","llama3.1:latest","125.0","134273750.0","1090340458.0","","Digital Humanities is translated to Chõ-gí-kè1i in Minnan, which literally means ""digital humanities"". The term is a direct loanword from English and has been adopted into the Minnan language.","You are a researcher studying Digital Humanities communities on GitHub. Because GitHub spans many language communities, you need to translate Digital Humanities into multiple languages to identify relevant activity on the platform.","Translate 'Digital Humanities' into Minnan (ISO code: zh-min-nan). This translation will be used as a search query to find 'Digital Humanities' scholarship on GitHub — including repositories, users, issues, and topics.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""..."", ""translation_rationale"": ""...""}","","","2026-05-20 13:38:29","","","","True","","True","False"
"zh-classical","Classical Chinese","Digital Humanities","","{
  ""translated_term"": """",
  ""translation_rationale"": """"
}","2026-05-20T20:38:26.668358Z","stop","16.0","175055039.0","[]","78485375.0","llama3.1:latest","124.0","133752500.0","391877583.0","","","You are a researcher studying Digital Humanities communities on GitHub. Because GitHub spans many language communities, you need to translate Digital Humanities into multiple languages to identify relevant activity on the platform.","Translate 'Digital Humanities' into Classical Chinese (ISO code: zh-classical). This translation will be used as a search query to find 'Digital Humanities' scholarship on GitHub — including repositories, users, issues, and topics.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""..."", ""translation_rationale"": ""...""}","","","2026-05-20 13:38:26","","","","True","","True","False"
"zh","Chinese","Digital Humanities","国子答代","{
  ""translated_term"": ""\u56FD\u5B50\u7B54\u4EE3"",
  ""translation_rationale"": ""Digital Humanities is translated to \u56FD\u5B50\u7B54\u4EE3, which directly translates the phrase. This translation will help identify relevant activity on GitHub related to Digital Humanities in Chinese-speaking communities.""
}","2026-05-20T20:38:24.252114Z","stop","78.0","943448375.0","[]","65039125.0","llama3.1:latest","121.0","133941750.0","1161761000.0","","Digital Humanities is translated to 国子答代, which directly translates the phrase. This translation will help identify relevant activity on GitHub related to Digital Humanities in Chinese-speaking communities.","You are a researcher studying Digital Humanities communities on GitHub. Because GitHub spans many language communities, you need to translate Digital Humanities into multiple languages to identify relevant activity on the platform.","Translate 'Digital Humanities' into Chinese (ISO code: zh). This translation will be used as a search query to find 'Digital Humanities' scholarship on GitHub — including repositories, users, issues, and topics.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""..."", ""translation_rationale"": ""...""}","","數位人文","2026-05-20 13:38:24","Sino-Tibetan languages","数字人文","数字人文","","数字人文","","False"
"zgh","Standard Moroccan Tamazight","Digital Humanities","Tamazight n Tadawin t Tamazight","{
  ""translated_term"": ""Tamazight n Tadawin t Tamazight"",
  ""translation_rationale"": ""The translation is based on the official Standard Moroccan Tamazight language name, which is used in various contexts. The term 'Digital Humanities' has been adapted to fit the grammatical structure of Standard Moroccan Tamazight.""
}","2026-05-20T20:38:21.064529Z","stop","73.0","907123957.0","[]","79937500.0","llama3.1:latest","126.0","147101833.0","1151601042.0","","The translation is based on the official Standard Moroccan Tamazight language name, which is used in various contexts. The term 'Digital Humanities' has been adapted to fit the grammatical structure of Standard Moroccan Tamazight.","You are a researcher studying Digital Humanities communities on GitHub. Because GitHub spans many language communities, you need to translate Digital Humanities into multiple languages to identify relevant activity on the platform.","Translate 'Digital Humanities' into Standard Moroccan Tamazight (ISO code: zgh). This translation will be used as a search query to find 'Digital Humanities' scholarship on GitHub — including repositories, users, issues, and topics.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""..."", ""translation_rationale"": ""...""}","","","2026-05-20 13:38:21","","","","","","","False"
