"language_code","language_name","term_source","openai_translated_term","openai_completion_tokens","openai_created","openai_finish_reason","openai_model","openai_prompt_tokens","openai_total_tokens","openai_translation_rationale","openai_translation","term","wikipedia_translated_term","coding_dh_date","exclude_google_cloud_translate","gt_translated_term","exclude_easynmt","enmt_translated_term","exclude_lingvanex","lingvanex_translated_term","exclude_ollama","ollama_system_prompt","ollama_user_prompt","ollama_content","ollama_model","ollama_created_at","ollama_total_duration","ollama_load_duration","ollama_prompt_eval_count","ollama_prompt_eval_duration","ollama_eval_count","ollama_eval_duration","ollama_done_reason","ollama_translated_term","ollama_translation_rationale","ollama_extracted_dictionaries","ollama_translation","exclude_openai","openai_system_prompt","openai_user_prompt","coding_dh_date_x","coding_dh_date_y","family_name"
"den","Slave","Digital Humanities","Dene Įłį Kǫ Dene","75.0","1776634455.0","stop","gpt-4o-2024-08-06","68.0","143.0","The translation uses the concept of 'Humanities' as 'Dene Įłį' which means 'People's Knowledge' and 'Digital' as 'Kǫ Dene', emphasizing modern technological methods used by the people.","","","","2026-04-19 16:34:16","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Slave (ISO code: den). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Agi di Kɔlɛndu"", ""translation_rationale"": ""Digital Humanities translates to 'Agi di Kɔlɛndu' in Slave, combining 'Agi', a prefix meaning 'of the computer' or 'digital', with 'di', a suffix indicating something related to humanities.""}","llama3.1","2026-04-19T21:26:39.357734Z","1239896416.0","78174041.0","72.0","288075167.0","74.0","852902540.0","stop","Agi di Kɔlɛndu","Digital Humanities translates to 'Agi di Kɔlɛndu' in Slave, combining 'Agi', a prefix meaning 'of the computer' or 'digital', with 'di', a suffix indicating something related to humanities.","[{'translated_term': 'Agi di Kɔlɛndu', 'translation_rationale': ""Digital Humanities translates to 'Agi di Kɔlɛndu' in Slave, combining 'Agi', a prefix meaning 'of the computer' or 'digital', with 'di', a suffix indicating something related to humanities.""}]","Agi di Kɔlɛndu","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Slave (ISO code: den). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","","","North American Indian languages"
"cu","Old Church Slavonic","Digital Humanities","Ціфраноѥ Чловѣчьскоѥ Ѥзученіе","131.0","1776634451.0","stop","gpt-4o-2024-08-06","71.0","202.0","The term 'Digital' is adapted as 'Ціфраноѥ', reflecting the numeral aspect (цифра in modern Slavic languages). 'Humanities' is translated as 'Чловѣчьскоѥ Ѥзученіе', combining 'чловѣкъ' (human) with 'Ѥзученіе' (study or knowledge), aligning with the traditional study of human discourse.","","","","2026-04-19 16:34:13","","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Old Church Slavonic (ISO code: cu). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Видочниѩ человодствєнїе"", ""translation_rationale"": ""Derived from Old Church Slavonic terms 'видъ' (vidŭ) meaning 'sight, vision' and 'человодствєнїе' (čelovodstvienĭe) meaning 'humanity, human affairs'""}","llama3.1","2026-04-19T21:26:31.787518Z","1301624667.0","75405500.0","75.0","290380958.0","79.0","913043167.0","stop","Видочниѩ человодствєнїе","Derived from Old Church Slavonic terms 'видъ' (vidŭ) meaning 'sight, vision' and 'человодствєнїе' (čelovodstvienĭe) meaning 'humanity, human affairs'","[{'translated_term': 'Видочниѩ человодствєнїе', 'translation_rationale': ""Derived from Old Church Slavonic terms 'видъ' (vidŭ) meaning 'sight, vision' and 'человодствєнїе' (čelovodstvienĭe) meaning 'humanity, human affairs'""}]","Видочниѩ человодствєнїе","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Old Church Slavonic (ISO code: cu). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","","","Indo-European languages"
"ckb","Kurdish (Sorani)","Digital Humanities","زانستی دیجییتەڵی","83.0","1776634449.0","stop","gpt-4o-2024-08-06","73.0","156.0","The term 'Digital Humanities' refers to the intersection of digital technology and humanities disciplines. In Kurdish Sorani, 'دیجییتەڵی' means 'digital' and 'زانستی' translates to 'humanities'. This combination effectively captures the essence of the term in Sorani.","","","","2026-04-19 16:34:10","","زانستە مرۆییە دیجیتاڵییەکان","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Kurdish (Sorani) (ISO code: ckb). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""\u0628\u064a \u0634\u06cc\u0631\u06af\u064a \u062f\u06cc\u06be\u06c3\u06d5\u06a9\u06c7"",
  ""translation_rationale"": ""Combining the words 'digital' and 'humanities'""
}","llama3.1","2026-04-19T21:26:22.211438Z","1270822458.0","79654833.0","78.0","280730625.0","77.0","889885501.0","stop","بي شیرگي دیھۃەکۇ","Combining the words 'digital' and 'humanities'","[]","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Kurdish (Sorani) (ISO code: ckb). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","","","Indo-European languages"
"cjm","Eastern Cham","Digital Humanities","Chăm Khoa Học Kỹ Thuật Số","81.0","1776634447.0","stop","gpt-4o-2024-08-06","70.0","151.0","Eastern Cham, being a language spoken primarily in Vietnam, often incorporates Vietnamese terms for modern academic fields. 'Khoa Học Kỹ Thuật Số' is a Vietnamese term for 'Digital Humanities', reflecting technology and academic study, adapted for Cham speakers.","","","","2026-04-19 16:34:08","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Eastern Cham (ISO code: cjm). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Pɨk pɪʔ ɯt wɑj."", ""translation_rationale"": ""Combination of Eastern Cham words for 'digital' (pik) and 'humanities' (ut waj), approximating the original concept.""}","llama3.1","2026-04-19T19:10:42.683758Z","1144635041.0","80096250.0","74.0","337411791.0","61.0","709668416.0","stop","Pɨk pɪʔ ɯt wɑj.","Combination of Eastern Cham words for 'digital' (pik) and 'humanities' (ut waj), approximating the original concept.","[{'translated_term': 'Pɨk pɪʔ ɯt wɑj.', 'translation_rationale': ""Combination of Eastern Cham words for 'digital' (pik) and 'humanities' (ut waj), approximating the original concept.""}]","Pɨk pɪʔ ɯt wɑj.","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Eastern Cham (ISO code: cjm). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","","","Austronesian languages"
"ca","Catalan; Valencian","Digital Humanities","Humanitats Digitals","97.0","1776634444.0","stop","gpt-4o-2024-08-06","72.0","169.0","The term 'Humanitats Digitals' is widely accepted in Catalan to denote the interdisciplinary field that combines the use of digital technology with the traditional disciplines of the humanities. It aligns with the standard practice of translating 'Digital Humanities' into Catalan by maintaining the direct translation of both 'Digital' (Digitals) and 'Humanities' (Humanitats).","","","","2026-04-19 16:34:05","","Humanitats Digitals","False","Humanitats digitals","False","Humanitats Digitals","True","","","","","","","","","","","","","","","","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Catalan; Valencian (ISO code: ca). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","","","Indo-European languages"
"bss","Akoose","Digital Humanities","Inik Digital","51.0","1776634442.0","stop","gpt-4o-2024-08-06","70.0","121.0","Inik means 'humanities' in Akoose, and 'Digital' is borrowed from English due to the lack of an equivalent term.","","","","2026-04-19 16:34:03","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Akoose (ISO code: bss). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Tiibaa Dhiigal"", ""translation_rationale"": ""A combination of 'tiibaa' (modern/contemporary) and 'dhiigal' (humanities), following the pattern of compound words in Akoose language.""}","llama3.1","2026-04-19T19:09:16.031115Z","1115782209.0","79867375.0","75.0","345818875.0","58.0","673484168.0","stop","Tiibaa Dhiigal","A combination of 'tiibaa' (modern/contemporary) and 'dhiigal' (humanities), following the pattern of compound words in Akoose language.","[{'translated_term': 'Tiibaa Dhiigal', 'translation_rationale': ""A combination of 'tiibaa' (modern/contemporary) and 'dhiigal' (humanities), following the pattern of compound words in Akoose language.""}]","Tiibaa Dhiigal","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Akoose (ISO code: bss). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","","","Niger-Kordofanian languages"
"brx","Boro","Digital Humanities","डिजिटल मानुसिक सायन्स","58.0","1776634440.0","stop","gpt-4o-2024-08-06","70.0","128.0","Boro has adopted terms from English for technology and academic disciplines, using phonetic transliterations coupled with native terms for 'science' or 'studies'.","","","","2026-04-19 16:34:01","","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Boro (ISO code: brx). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": """", ""translation_rationale"": ""Boro language does not have a direct equivalent for 'Digital Humanities', but it is possible to translate it as ""Khabar Khamer Digma"" meaning \""Information Knowledge Computer\""""}","llama3.1","2026-04-19T21:26:00.268375Z","978364209.0","93395292.0","74.0","276490000.0","51.0","592072167.0","stop","","Boro language does not have a direct equivalent for 'Digital Humanities', but it is possible to translate it as ","[]","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Boro (ISO code: brx). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","","","Indo-European languages"
"bpy","Bishnupriya Manipuri","Digital Humanities","ডিজিটাল মানবিকবিদ্যা","61.0","1776634438.0","stop","gpt-4o-2024-08-06","73.0","134.0","The term 'ডিজিটাল' conveys the concept of 'digital' while 'মানবিকবিদ্যা' translates to 'humanities'. The translation combines both aspects accurately.","","","","2026-04-19 16:33:59","","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Bishnupriya Manipuri (ISO code: bpy). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Manipur Digital Vidyarthi Bhaanijaana"", ""translation_rationale"": ""Combining the word for 'digital' (Manipuri: \u0b97\u0b45\u0b2f\u0b4d\u0b5e) with 'humanities' in Manipuri (\u0b96\u0b44\u0b95\u0b47\u0b4d\u0b43\u0b99\u0b1a\u0b57\u0b45 \u0b97\u0b2f\u0b5e\u0b2e\u0b3e\u0b35\u0b41), and 'vidyarthi' (\u0b96\u0b95\u0b4d\u0b43\u0b99\u0b1a\u0b57) meaning student or scholar, and the Manipuri word for 'science'""}","llama3.1","2026-04-19T21:25:54.429219Z","2764138792.0","79939250.0","79.0","291059250.0","201.0","2341361287.0","stop","Manipur Digital Vidyarthi Bhaanijaana","Combining the word for 'digital' (Manipuri: ஗୅ଯ୍୞) with 'humanities' in Manipuri (஖ୄகେ୍ୃஙଚୗ୅ ஗ଯ୞ମାଵୁ), and 'vidyarthi' (஖க୍ୃஙଚୗ) meaning student or scholar, and the Manipuri word for 'science'","[{'translated_term': 'Manipur Digital Vidyarthi Bhaanijaana', 'translation_rationale': ""Combining the word for 'digital' (Manipuri: \u0b97\u0b45ଯ୍\u0b5e) with 'humanities' in Manipuri (\u0b96ୄகେ୍ୃஙଚୗ\u0b45 \u0b97ଯ\u0b5eମାଵୁ), and 'vidyarthi' (\u0b96க୍ୃஙଚୗ) meaning student or scholar, and the Manipuri word for 'science'""}]","Manipur Digital Vidyarthi Bhaanijaana","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Bishnupriya Manipuri (ISO code: bpy). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","","","Indo-European languages"
"ang","Anglo-Saxon / Old English","Digital Humanities","Dīgas Mannlicnissecræftas","101.0","1776634436.0","stop","gpt-4o-2024-08-06","74.0","175.0","The term 'Digital' can be connected to 'Dīgas' from 'dǣg'/‘digitus’, meaning 'digit' or 'finger', and 'Mannlicnissecræftas' is a constructed phrase combining 'mann' (human) with 'cræftas' (crafts/sciences), to signify the humanistic scholarly field.","","","","2026-04-19 16:33:57","","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Anglo-Saxon / Old English (ISO code: ang). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""Hwæt! Wē Gār-Dena in geārdagum"",
  ""translation_rationale"": ""The phrase is not a direct translation, but rather an Old English poem that captures the essence of the term. 'Hwæt' means 'What', and the rest of the line, 'Wē Gār-Dena in geārdagum', can be translated to 'We have heard of the spear-Danes in days of yore'. This is a nod to Beowulf's opening lines, which are meant to evoke a sense of grandeur and importance. I used this poem as the translation because it attempts to capture the spirit of innovation and exploration that defines Digital Humanities.""
}","llama3.1","2026-04-19T21:25:10.220338Z","2211960333.0","60870042.0","78.0","282711250.0","156.0","1825651702.0","stop","Hwæt! Wē Gār-Dena in geārdagum","The phrase is not a direct translation, but rather an Old English poem that captures the essence of the term. 'Hwæt' means 'What', and the rest of the line, 'Wē Gār-Dena in geārdagum', can be translated to 'We have heard of the spear-Danes in days of yore'. This is a nod to Beowulf's opening lines, which are meant to evoke a sense of grandeur and importance. I used this poem as the translation because it attempts to capture the spirit of innovation and exploration that defines Digital Humanities.","[]","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Anglo-Saxon / Old English (ISO code: ang). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","","","Indo-European languages"
"ain","Ainu","Digital Humanities","デジタル ヒューマニティーズ","76.0","1776634432.0","stop","gpt-4o-2024-08-06","69.0","145.0","Ainu language extensively borrows from Japanese for terms related to modern concepts. The term 'Digital Humanities' is transliterated using katakana, which is commonly used in both Ainu and Japanese for foreign and technical terms.","","","","2026-04-19 16:33:54","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Ainu (ISO code: ain). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": """", ""translation_rationale"": ""The term Digital Humanities does not directly translate in Ainu, as the concept is a product of Western academic tradition. However, I can provide an equivalent phrase using Ainu words for 'digital' and 'humanities': \""Kur-kirikuy"" (kur-kiriku means digital or electronic) and ""Yukar-ayu-pakuy"" (yukar-ayu refers to traditional knowledge or stories, while pakuy is related to learning or education).""}","llama3.1","2026-04-19T21:25:05.980928Z","1684281958.0","85775166.0","73.0","278282167.0","111.0","1289496508.0","stop","","The term Digital Humanities does not directly translate in Ainu, as the concept is a product of Western academic tradition. However, I can provide an equivalent phrase using Ainu words for 'digital' and 'humanities': ""Kur-kirikuy","[]","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Ainu (ISO code: ain). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","","","Language isolate"
"ab","Abkhaz","Digital Humanities","Ацифкрашәа агәыӷраҿы","77.0","1776634429.0","stop","gpt-4o-2024-08-06","70.0","147.0","The translated term captures 'digital' as 'Ацифкрашәа' (digital/computer-related) and 'humanities' as 'агәыӷраҿы' (humanities/arts), reflecting a focus on digital methods in humanities research.","","","","2026-04-19 16:33:50","","Ацифратә гуманитартә ҵарақәа","True","","True","","False","","","","","","","","","","","","","","","","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Abkhaz (ISO code: ab). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","","","Caucasian languages"
"","Min Nan Chinese","Digital Humanities","數位人文","75.0","1776629102.0","stop","gpt-4o-2024-08-06","70.0","145.0","The term '數位人文' is a direct translation of 'Digital Humanities' where '數位' means 'digital' and '人文' means 'humanities'. This is the contemporary way to refer to the digital aspect of humanities in Min Nan Chinese.","","","","2026-04-19 15:05:03","False","","False","","False","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Min Nan Chinese (ISO code: nan). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""\u5e73\u67b6\u8d77\u7ca9"",
  ""translation_rationale"": ""Min Nan Chinese translation of 'Digital Humanities' using the term \u5e73\u67b6, which is commonly used to refer to digital technology and humanities in Taiwanese Hokkien.""
}","llama3.1","2026-04-19T19:40:23.576169Z","1264462542.0","68897958.0","74.0","343346709.0","72.0","831825881.0","stop","平架起粩","Min Nan Chinese translation of 'Digital Humanities' using the term 平架, which is commonly used to refer to digital technology and humanities in Taiwanese Hokkien.","[]","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Min Nan Chinese (ISO code: nan). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","","","Other"
"zza","Zaza","Digital Humanities","Dijîtal Insaniyat","93.0","1776629099.0","stop","gpt-4o-2024-08-06","69.0","162.0","Zaza is an Indo-Iranian language, and may borrow terms from related languages or modern terms might remain the same due to a lack of direct equivalent. 'Dijîtal' relates to the technology aspect, and 'Insaniyat' reflects the study of human cultures, similar to other Indo-Iranian languages.","","","","2026-04-19 15:05:01","False","","False","","False","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Zaza (ISO code: zza). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""\u062f\u06cc\u06af\u06cc\u062a\u0627\u0645\u0628\u0631\u06d5 \u0628\u06c7\u06d4\u06b9\u06c6"", ""translation_rationale"": ""Combination of Zaza words for 'digital' (\u062f\u06cc\u06af\u06cc) and 'humanities' (\u0628\u06c7\u06d4\u06b9\u06c6).""}","llama3.1","2026-04-19T19:40:20.296051Z","1764451583.0","68885166.0","73.0","339200667.0","115.0","1326255212.0","stop","دیگیتامبرە بۇ۔ڹۆ","Combination of Zaza words for 'digital' (دیگی) and 'humanities' (بۇ۔ڹۆ).","[{'translated_term': 'دیگیتامبرە بۇ۔ڹۆ', 'translation_rationale': ""Combination of Zaza words for 'digital' (دیگی) and 'humanities' (بۇ۔ڹۆ).""}]","دیگیتامبرە بۇ۔ڹۆ","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Zaza (ISO code: zza). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","","","Indo-European languages"
"zmi","Negeri Sembilan Malay","Digital Humanities","Kemanusiaan Digital","75.0","1776629095.0","stop","gpt-4o-2024-08-06","73.0","148.0","The term 'Digital Humanities' relates to both digital technology and the study of human culture. In Negeri Sembilan Malay, 'Kemanusiaan' translates to 'Humanities' and 'Digital' remains the same due to lack of a specific local term.","","","","2026-04-19 15:04:56","False","","False","","False","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Negeri Sembilan Malay (ISO code: zmi). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Teknologi Manusia Digital"", ""translation_rationale"": ""Combination of 'digital' and 'humanities' in Negeri Sembilan Malay, emphasizing the intersection of technology and humanities studies""}","llama3.1","2026-04-19T19:40:12.969158Z","955944792.0","57688250.0","79.0","335140375.0","48.0","549334377.0","stop","Teknologi Manusia Digital","Combination of 'digital' and 'humanities' in Negeri Sembilan Malay, emphasizing the intersection of technology and humanities studies","[{'translated_term': 'Teknologi Manusia Digital', 'translation_rationale': ""Combination of 'digital' and 'humanities' in Negeri Sembilan Malay, emphasizing the intersection of technology and humanities studies""}]","Teknologi Manusia Digital","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Negeri Sembilan Malay (ISO code: zmi). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","","","Austronesian languages"
"zgh","Standard Moroccan Tamazight","Digital Humanities","ⴰⵏⵓⵙⴻⵡ ⵏ ⵜⵀⵏⵉ ⵜⵎⵙⵏⴰⵡⵉⵏ","142.0","1776629092.0","stop","gpt-4o-2024-08-06","73.0","215.0","The translation uses Tamazight equivalents for 'digital' (ⵜⵀⵏⵉ) and 'humanities' (ⵜⵎⵙⵏⴰⵡⵉⵏ), creating a term that accurately reflects the concept using standard Moroccan Tamazight terminology.","","","","2026-04-19 15:04:54","False","","False","","False","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Standard Moroccan Tamazight (ISO code: zgh). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""Ṭaglalit Tamazight"",
  ""translation_rationale"": ""In Standard Moroccan Tamazight, \""Digital Humanities\"" is composed of \""Ṭaglalit\"" (digital), derived from Arabic \""ḍaql\"", and \""Tamazight\"", the native language.""
}","llama3.1","2026-04-19T19:40:09.996292Z","1217120875.0","66969083.0","77.0","336058917.0","69.0","794707329.0","stop","Ṭaglalit Tamazight","In Standard Moroccan Tamazight, ""Digital Humanities"" is composed of ""Ṭaglalit"" (digital), derived from Arabic ""ḍaql"", and ""Tamazight"", the native language.","[]","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Standard Moroccan Tamazight (ISO code: zgh). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","","","Afro-Asiatic languages"
"zg","Moroccan Amazigh","Digital Humanities","ⴰⵡⵉⵙⵉⵏ ⵏ ⴰⵎⴰⵣⵉⵖⴻⵏ","124.0","1776629089.0","stop","gpt-4o-2024-08-06","70.0","194.0","The term 'Digital Humanities' combines 'Awisin' meaning 'digital' and 'Tamazight' as 'ⴰⵎⴰⵣⵉⵖⴻⵏ' conveys the sense of 'humanities' in Moroccan Amazigh language.","","","","2026-04-19 15:04:51","False","","False","","False","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Moroccan Amazigh (ISO code: zg). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""Tamassra Tadawin"",
  ""translation_rationale"": ""Tamassra (Digital) + Tadawin (Humanities)""
}","llama3.1","2026-04-19T19:40:06.7599Z","851621458.0","64027583.0","75.0","333631584.0","39.0","442305454.0","stop","Tamassra Tadawin","Tamassra (Digital) + Tadawin (Humanities)","[]","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Moroccan Amazigh (ISO code: zg). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","","","Unclassified"
"zen","Zenaga","Digital Humanities","al-'ulum al-raqamiyyat wa-al-insaniyat","66.0","1776629087.0","stop","gpt-4o-2024-08-06","69.0","135.0","Zenaga is primarily a spoken language with limited written tradition and vocabulary, particularly for modern concepts. Therefore, a transliteration approach using terms from Arabic is provided as the closest representative.","","","","2026-04-19 15:04:48","False","","False","","False","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Zenaga (ISO code: zen). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""Taɣamt n ugar azzag"",
  ""translation_rationale"": ""Using the Zenaga language's loanwords from Arabic and French, I composed this term by combining 'taɣamt' (from Arabic, meaning 'science' or 'knowledge') with 'n ugar azzaɣ' ('digital'), borrowing from French 'numérique'""
}","llama3.1","2026-04-19T19:40:03.887751Z","1396590583.0","65350333.0","73.0","337854792.0","84.0","969796338.0","stop","Taɣamt n ugar azzag","Using the Zenaga language's loanwords from Arabic and French, I composed this term by combining 'taɣamt' (from Arabic, meaning 'science' or 'knowledge') with 'n ugar azzaɣ' ('digital'), borrowing from French 'numérique'","[]","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Zenaga (ISO code: zen). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","","","Afro-Asiatic languages"
"zea","Zeelandic","Digital Humanities","Digitaele Humaniora","67.0","1776629085.0","stop","gpt-4o-2024-08-06","70.0","137.0","The term 'Digital Humanities' in Zeelandic can be translated by combining 'digitaele' (digital) and 'humaniora' (humanities), following the linguistic tendencies in Zeelandic to adapt Dutch and other influences.","","","","2026-04-19 15:04:46","False","","False","","False","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Zeelandic (ISO code: zea). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Digitale Menskunde"", ""translation_rationale"": ""Based on the etymology of 'Humanities' and common usage in related fields, combined with the prefix 'digitale-' which is commonly used to describe digital concepts in Zeelandic.""}","llama3.1","2026-04-19T19:40:00.473822Z","1079457458.0","65038542.0","75.0","343307833.0","57.0","654782209.0","stop","Digitale Menskunde","Based on the etymology of 'Humanities' and common usage in related fields, combined with the prefix 'digitale-' which is commonly used to describe digital concepts in Zeelandic.","[{'translated_term': 'Digitale Menskunde', 'translation_rationale': ""Based on the etymology of 'Humanities' and common usage in related fields, combined with the prefix 'digitale-' which is commonly used to describe digital concepts in Zeelandic.""}]","Digitale Menskunde","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Zeelandic (ISO code: zea). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","","","Indo-European languages"
