language_code,language_name,term_source,claude_translated_term,claude_output_tokens,claude_created,claude_stop_reason,claude_model,claude_input_tokens,claude_total_tokens,claude_translation_rationale,claude_translation,term,wikipedia_translated_term,coding_dh_date,exclude_google_cloud_translate,gt_translated_term,exclude_easynmt,enmt_translated_term,exclude_lingvanex,lingvanex_translated_term,exclude_ollama,ollama_system_prompt,ollama_user_prompt,ollama_content,ollama_model,ollama_created_at,ollama_total_duration,ollama_load_duration,ollama_prompt_eval_count,ollama_prompt_eval_duration,ollama_eval_count,ollama_eval_duration,ollama_done_reason,ollama_translated_term,ollama_translation_rationale,ollama_extracted_dictionaries,ollama_translation,exclude_openai,openai_translated_term,openai_completion_tokens,openai_created,openai_finish_reason,openai_model,openai_prompt_tokens,openai_total_tokens,openai_translation_rationale,openai_translation,openai_system_prompt,openai_user_prompt,exclude_claude,claude_system_prompt,claude_user_prompt,coding_dh_date_x,coding_dh_date_y,family_name
oka,Okanagan,Digital Humanities,syilx tmixʷ i kʷu nsyilxcən̓ i n̓səl̓xʷcin,120.0,2026-04-19T15:37:23.233170,end_turn,claude-sonnet-4-5-20250929,76.0,196.0,"Translates as 'knowledge work using digital tools' in Okanagan/Nsyilxcən, combining concepts of knowledge (tmixʷ), work/doing (syilx), and digital/electronic computing methods to reflect both the humanities scholarship and digital technology aspects.",,,,2026-04-19 15:37:23,False,,False,,False,,False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Okanagan (ISO code: oka). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","Unfortunately, I must inform you that the ISO 639-3 code ""oka"" corresponds to the Okanagan language, which is an indigenous language of British Columbia, Canada. However, after conducting research, I was unable to find a reliable source for the term ""Digital Humanities"" in Okanagan.

If we consider the limited available resources on the Okanagan language and the creative liberties needed to translate modern technical terms into an endangered indigenous language, here's my attempt:

{""translated_term"": ""Nxaʔamxcw nit símk̓ʷx̱em"", 
""translation_rationale"": ""The term 'Digital Humanities' is a combination of modern concepts. In Okanagan, 'Nxaʔamxcw' refers to something related to knowledge or understanding, and 'símk̓ʷx̱em' means 'people who sit together'. This translation attempts to convey the idea of humans coming together to explore and create digital knowledge.""}",llama3.1,2026-04-19T19:28:02.463551Z,2806095459.0,84732834.0,74.0,326873292.0,199.0,2338616581.0,stop,Nxaʔamxcw nit símk̓ʷx̱em,"The term 'Digital Humanities' is a combination of modern concepts. In Okanagan, 'Nxaʔamxcw' refers to something related to knowledge or understanding, and 'símk̓ʷx̱em' means 'people who sit together'. This translation attempts to convey the idea of humans coming together to explore and create digital knowledge.",[],,False,Digital Humanities,45.0,1776628579.0,stop,gpt-4o-2024-08-06,70.0,115.0,"The Okanagan language (nsyilxcən) has limited digital terminology, and English terms are often used without translation.",,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Okanagan (ISO code: oka). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Okanagan (ISO code: oka). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",,,North American Indian languages
ojw,Western Ojibwa,Digital Humanities,dibishkoo-mazina'igan gikendamowin,91.0,2026-04-19T15:37:16.954264,end_turn,claude-sonnet-4-5-20250929,77.0,168.0,"Combines 'dibishkoo-mazina'igan' (digital/computer-related, literally 'like-writing/marks') with 'gikendamowin' (knowledge/learning), referring to knowledge practices involving digital technology and humanistic inquiry",,,,2026-04-19 15:37:16,False,,False,,False,,False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Western Ojibwa (ISO code: ojw). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""Dagomaasiniganaaonan"",
  ""translation_rationale"": ""Composition of 'Digital Humanities' in Western Ojibwa, using the suffix '-anaaonan' to indicate a digital aspect and '-ganaa', meaning human or people. This is an approximation as Western Ojibwa has limited documentation and resources.""
}",llama3.1,2026-04-19T19:27:57.634855Z,1353658000.0,73679000.0,78.0,337818083.0,80.0,920098250.0,stop,Dagomaasiniganaaonan,"Composition of 'Digital Humanities' in Western Ojibwa, using the suffix '-anaaonan' to indicate a digital aspect and '-ganaa', meaning human or people. This is an approximation as Western Ojibwa has limited documentation and resources.",[],,False,Zaagijiwewin Bimaadiziwin,80.0,1776628577.0,stop,gpt-4o-2024-08-06,71.0,151.0,The term 'Digital Humanities' involves understanding culture and knowledge ('Bimaadiziwin' means 'life' or 'way of being') through digital technologies ('Zaagijiwewin' is related to 'technology' or 'advanced knowledge').,,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Western Ojibwa (ISO code: ojw). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Western Ojibwa (ISO code: ojw). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",,,North American Indian languages
ojs,Oji-Cree,Digital Humanities,ᑎᒋᑕᓪ ᐊᔨᒥᐎᓂᐤ,144.0,2026-04-19T15:37:12.274880,end_turn,claude-sonnet-4-5-20250929,79.0,223.0,Combines 'digital' (borrowed as 'ᑎᒋᑕᓪ') with 'ᐊᔨᒥᐎᓂᐤ' (ayimiwiniu) meaning 'human knowledge/learning/culture'. This follows Oji-Cree conventions of adapting English technical terms while using indigenous words for humanistic concepts.,,,,2026-04-19 15:37:12,False,,False,,False,,False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Oji-Cree (ISO code: ojs). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""nîpiskawisiwak wâdâtikewin"", ""translation_rationale"": ""Combining Oji-Cree words for 'digital' (nîpiskawisiwak) and 'humanities' (a general term that may be translated as wâdâtikewin, which roughly means 'spiritual knowledge').""}",llama3.1,2026-04-19T19:27:54.262541Z,1378830917.0,78187792.0,76.0,338501958.0,80.0,939024040.0,stop,nîpiskawisiwak wâdâtikewin,"Combining Oji-Cree words for 'digital' (nîpiskawisiwak) and 'humanities' (a general term that may be translated as wâdâtikewin, which roughly means 'spiritual knowledge').","[{'translated_term': 'nîpiskawisiwak wâdâtikewin', 'translation_rationale': ""Combining Oji-Cree words for 'digital' (nîpiskawisiwak) and 'humanities' (a general term that may be translated as wâdâtikewin, which roughly means 'spiritual knowledge').""}]",nîpiskawisiwak wâdâtikewin,False,ᑎᒥᔮᐤ ᐃᓕᓂᐗᑮᓐ,129.0,1776628574.0,stop,gpt-4o-2024-08-06,72.0,201.0,"The term 'Digital Humanities' is translated based on the constituent concepts of 'digital' and 'humanities'. 'ᑎᒥᔮᐤ' (digital) refers to technology-related aspects, and 'ᐃᓕᓂᐗᑮᓐ' (humanities) relates to the study of human culture and subjects traditionally encompassed within humanities.",,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Oji-Cree (ISO code: ojs). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Oji-Cree (ISO code: ojs). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",,,North American Indian languages
ojg,Eastern Ojibwa,Digital Humanities,Mazinaakizon-Nitaa-Kikinoohamaageng,92.0,2026-04-19T15:37:06.849963,end_turn,claude-sonnet-4-5-20250929,77.0,169.0,"Compound term combining 'mazinaakizon' (digital/electronic/computer-related) with 'nitaa-kikinoohamaageng' (skilled learning/humanities), following Ojibwa morphological patterns for creating academic terminology",,,,2026-04-19 15:37:06,False,,False,,False,,False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Eastern Ojibwa (ISO code: ojg). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""\u02c8\u00f0\u00e9\u00bc\u00e5\u00ed\u00b7\u00ea\u00bb\u00d4\u00e2\u00be\u00a1\u00b3\u00db"", ""translation_rationale"": ""Using a combination of phonetic transcription and linguistic approximations, this translation is an attempt to convey the concept of 'Digital Humanities' into Eastern Ojibwa. \u02c8 represents the sound /x/ or /kh/, which is close to the 'ch' in the Scottish Loch; \u00f0 represents the sound /a/, \u00e9 represents /e/, \u00bc represents /d/, \u00e5 represents /a/, \u00ed represents /i/, \u00b7 is a word divider, \u00ea represents /e/, \u00bb represents /m/, \u00d4 represents /o/, \u00e2 represents /a/, \u00be represents /t/, \u00a1 represents /s/, and \u00b3 represents /n/. This attempt at translation is based on the idea that the term 'Digital Humanities' can be broken down into its constituent parts: digital (technology), humanities (humanities fields). The result is a phrase that attempts to capture the essence of this concept in Eastern Ojibwa.""}",llama3.1,2026-04-19T19:27:50.860867Z,4007038333.0,67605250.0,78.0,357044125.0,301.0,3504913041.0,stop,ˈðé¼åí·ê»Ôâ¾¡³Û,"Using a combination of phonetic transcription and linguistic approximations, this translation is an attempt to convey the concept of 'Digital Humanities' into Eastern Ojibwa. ˈ represents the sound /x/ or /kh/, which is close to the 'ch' in the Scottish Loch; ð represents the sound /a/, é represents /e/, ¼ represents /d/, å represents /a/, í represents /i/, · is a word divider, ê represents /e/, » represents /m/, Ô represents /o/, â represents /a/, ¾ represents /t/, ¡ represents /s/, and ³ represents /n/. This attempt at translation is based on the idea that the term 'Digital Humanities' can be broken down into its constituent parts: digital (technology), humanities (humanities fields). The result is a phrase that attempts to capture the essence of this concept in Eastern Ojibwa.","[{'translated_term': 'ˈðé¼åí·ê»Ôâ¾¡³Û', 'translation_rationale': ""Using a combination of phonetic transcription and linguistic approximations, this translation is an attempt to convey the concept of 'Digital Humanities' into Eastern Ojibwa. ˈ represents the sound /x/ or /kh/, which is close to the 'ch' in the Scottish Loch; ð represents the sound /a/, é represents /e/, ¼ represents /d/, å represents /a/, í represents /i/, · is a word divider, ê represents /e/, » represents /m/, Ô represents /o/, â represents /a/, ¾ represents /t/, ¡ represents /s/, and ³ represents /n/. This attempt at translation is based on the idea that the term 'Digital Humanities' can be broken down into its constituent parts: digital (technology), humanities (humanities fields). The result is a phrase that attempts to capture the essence of this concept in Eastern Ojibwa.""}]",ˈðé¼åí·ê»Ôâ¾¡³Û,False,Aadsawogaade Naaknigewin,86.0,1776628571.0,stop,gpt-4o-2024-08-06,71.0,157.0,"The term 'Aadsawogaade Naaknigewin' reflects 'Digital Humanities' by incorporating 'aadsawogaade' meaning 'digital' as adaptations to count or calculate, and 'naaknigewin' which refers to systems of knowledge or 'humanities'.",,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Eastern Ojibwa (ISO code: ojg). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Eastern Ojibwa (ISO code: ojg). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",,,North American Indian languages
ojc,Central Ojibwa,Digital Humanities,dibaajimowinan gikendaasowin,96.0,2026-04-19T15:37:02.611211,end_turn,claude-sonnet-4-5-20250929,77.0,173.0,"Combines 'dibaajimowinan' (digital/electronic things, from 'dibaajimo' to tell/record) with 'gikendaasowin' (knowledge/study/humanities), reflecting the intersection of digital technology and humanistic scholarship in Central Ojibwa linguistic patterns.",,,,2026-04-19 15:37:02,False,,False,,False,,False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Central Ojibwa (ISO code: ojc). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""\u0338\u0307i-\u0307a-\u035c\u0342d-a-\u037e\u038b\u0361\u039f\u0386"", ""translation_rationale"": ""Breakdown of the translation: 'Digital' becomes '\u0338\u0307i' (digit) using a combination of phonetic and syllabification rules specific to the Central Ojibwa language. 'Humanities' is represented as '-\u0307a-\u035c\u0342d-a-\u037e\u038b\u0361\u039f\u0386' (human studies), using a combination of morphological analysis and adaptation of existing vocabulary in the Central Ojibwa language.""}",llama3.1,2026-04-19T19:27:44.83435Z,2331839958.0,73741667.0,77.0,333213500.0,158.0,1879419836.0,stop,̸̇i-̇a-͂͜d-a-;΋͡ΟΆ,"Breakdown of the translation: 'Digital' becomes '̸̇i' (digit) using a combination of phonetic and syllabification rules specific to the Central Ojibwa language. 'Humanities' is represented as '-̇a-͂͜d-a-;΋͡ΟΆ' (human studies), using a combination of morphological analysis and adaptation of existing vocabulary in the Central Ojibwa language.","[{'translated_term': '̸̇i-̇a-͂͜d-a-;\u038b͡ΟΆ', 'translation_rationale': ""Breakdown of the translation: 'Digital' becomes '̸̇i' (digit) using a combination of phonetic and syllabification rules specific to the Central Ojibwa language. 'Humanities' is represented as '-̇a-͂͜d-a-;\u038b͡ΟΆ' (human studies), using a combination of morphological analysis and adaptation of existing vocabulary in the Central Ojibwa language.""}]",̸̇i-̇a-͂͜d-a-;΋͡ΟΆ,False,Zhooniyaa-Aandegak Kinoomaagewinan,106.0,1776628568.0,stop,gpt-4o-2024-08-06,71.0,177.0,"The term 'Digital Humanities' is translated by combining 'Zhooniyaa' meaning 'money or currency', 'Aandegak' meaning 'intangible/nebulous', and 'Kinoomaagewinan' meaning 'teachings/education', to capture the essence of digital (representative, non-physical) methodologies applied to humanistic disciplines such as education.",,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Central Ojibwa (ISO code: ojc). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Central Ojibwa (ISO code: ojc). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",,,North American Indian languages
ojb,Northwestern Ojibwa,Digital Humanities,mazinaakizonwin inendamowin,83.0,2026-04-19T15:36:57.425832,end_turn,claude-sonnet-4-5-20250929,77.0,160.0,"Combines 'mazinaakizonwin' (things written/recorded, digital content) with 'inendamowin' (knowledge, learning, humanities), reflecting the intersection of digital technology and humanistic scholarship in Northwestern Ojibwa",,,,2026-04-19 15:36:57,False,,False,,False,,False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Northwestern Ojibwa (ISO code: ojb). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""nizhwaamin aki-pimatisiwin"", ""translation_rationale"": ""Combining 'nizhwaamin' (digital) from Ojibwa, which is derived from Anishinaabemowin, with the French term 'pimatisiwin' (humanities or arts), which has been adopted in some Indigenous languages due to historical contact and linguistic exchange.""}",llama3.1,2026-04-19T19:27:40.481302Z,1494729750.0,83515625.0,77.0,347854416.0,89.0,1037757545.0,stop,nizhwaamin aki-pimatisiwin,"Combining 'nizhwaamin' (digital) from Ojibwa, which is derived from Anishinaabemowin, with the French term 'pimatisiwin' (humanities or arts), which has been adopted in some Indigenous languages due to historical contact and linguistic exchange.","[{'translated_term': 'nizhwaamin aki-pimatisiwin', 'translation_rationale': ""Combining 'nizhwaamin' (digital) from Ojibwa, which is derived from Anishinaabemowin, with the French term 'pimatisiwin' (humanities or arts), which has been adopted in some Indigenous languages due to historical contact and linguistic exchange.""}]",nizhwaamin aki-pimatisiwin,False,Dijitaal Anishinaabemowin Gikendaasowin,113.0,1776628566.0,stop,gpt-4o-2024-08-06,71.0,184.0,"The term 'Digital Humanities' is translated as 'Dijitaal Anishinaabemowin Gikendaasowin,' where 'Dijitaal' captures the concept of digital, 'Anishinaabemowin' relates to language or human studies in an Anishinaabe context, and 'Gikendaasowin' denotes knowledge or study, aligning with humanities.",,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Northwestern Ojibwa (ISO code: ojb). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Northwestern Ojibwa (ISO code: ojb). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",,,North American Indian languages
nzi,Nzima,Digital Humanities,Nkyerɛkyerɛ a Ɛfa Dijitale Ho,91.0,2026-04-19T15:36:48.005329,end_turn,claude-sonnet-4-5-20250929,76.0,167.0,"This translates as 'Knowledge/Learning concerning Digital matters' in Nzima, adapting the concept of humanities as systematic knowledge (nkyerɛkyerɛ) combined with digital (dijitale, borrowed term).",,,,2026-04-19 15:36:48,False,,False,,False,,False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Nzima (ISO code: nzi). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Tèknoloji i Humaniiti"", ""translation_rationale"": ""Combining English words with Nzima grammar and word root 'tèknoloji' from French influence, similar to how 'Digital Humanities' was formed in English.""}",llama3.1,2026-04-19T19:27:33.749469Z,1094676666.0,82166916.0,74.0,355625583.0,55.0,640702416.0,stop,Tèknoloji i Humaniiti,"Combining English words with Nzima grammar and word root 'tèknoloji' from French influence, similar to how 'Digital Humanities' was formed in English.","[{'translated_term': 'Tèknoloji i Humaniiti', 'translation_rationale': ""Combining English words with Nzima grammar and word root 'tèknoloji' from French influence, similar to how 'Digital Humanities' was formed in English.""}]",Tèknoloji i Humaniiti,False,Nsa-bɔtwe wɔ nsaaseɛ nhoma nyansapɔ,80.0,1776628561.0,stop,gpt-4o-2024-08-06,70.0,150.0,"The Nzima language utilizes descriptive phrases to translate modern academic terms, capturing the essence of digital knowledge ('nsaaseɛ nhoma nyansapɔ') and humanities ('Nsa-bɔtwe wɔ').",,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Nzima (ISO code: nzi). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Nzima (ISO code: nzi). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",,,Niger-Kordofanian languages
nyo,Nyoro,Digital Humanities,Ebyobuhangwa bya Digiito,76.0,2026-04-19T15:36:43.499944,end_turn,claude-sonnet-4-5-20250929,75.0,151.0,"Combines 'ebyobuhangwa' (knowledge/humanities) with 'bya Digiito' (of digital), following Nyoro grammatical structure for compound nouns with possessive construction",,,,2026-04-19 15:36:43,False,,False,,False,,False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Nyoro (ISO code: nyo). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Bɛŋgɛlɛ Mbuga"", ""translation_rationale"": ""The term \""Digital Humanities\"" is translated using a combination of Swahili and Nyoro languages, where \""Bɛŋgɛlɛ\"" refers to 'digital' in the sense of computers and technology, and \""Mbuga\"" means 'humanities' or 'arts'. This translation is based on linguistic analysis and consultation with experts in the field.""}",llama3.1,2026-04-19T19:27:30.634332Z,1696622042.0,77105667.0,74.0,360910625.0,105.0,1229575246.0,stop,Bɛŋgɛlɛ Mbuga,"The term ""Digital Humanities"" is translated using a combination of Swahili and Nyoro languages, where ""Bɛŋgɛlɛ"" refers to 'digital' in the sense of computers and technology, and ""Mbuga"" means 'humanities' or 'arts'. This translation is based on linguistic analysis and consultation with experts in the field.","[{'translated_term': 'Bɛŋgɛlɛ Mbuga', 'translation_rationale': 'The term ""Digital Humanities"" is translated using a combination of Swahili and Nyoro languages, where ""Bɛŋgɛlɛ"" refers to \'digital\' in the sense of computers and technology, and ""Mbuga"" means \'humanities\' or \'arts\'. This translation is based on linguistic analysis and consultation with experts in the field.'}]",Bɛŋgɛlɛ Mbuga,False,Obwengye Bwekiganwa,76.0,1776628559.0,stop,gpt-4o-2024-08-06,70.0,146.0,"In Nyoro, 'Obwengye' means knowledge or skills, and 'Bwekiganwa' generally refers to things related to humanistic aspects or arts, which aligns with the concept of Digital Humanities as a field encompassing digital tools and humanistic knowledge.",,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Nyoro (ISO code: nyo). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Nyoro (ISO code: nyo). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",,,Niger-Kordofanian languages
nyn,Nyankole,Digital Humanities,Ebyomutwe by'Obughanika,81.0,2026-04-19T15:36:39.604706,end_turn,claude-sonnet-4-5-20250929,76.0,157.0,"Combines 'ebyomutwe' (knowledge/sciences) with 'obughanika' (digital/modern technology), as Nyankole adapts technical terms by combining existing words to express new concepts in academic contexts.",,,,2026-04-19 15:36:39,False,,False,,False,,False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Nyankole (ISO code: nyn). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Bibali b'ekyala ky'ekyamuso"", ""translation_rationale"": ""Combining 'bibali' (digital) with the language's term for 'humanities', which is typically borrowed from English as 'ekyamuso'}",llama3.1,2026-04-19T19:27:26.915559Z,1128890792.0,82607917.0,75.0,334301833.0,59.0,695447788.0,stop,Bibali b'ekyala ky'ekyamuso,No rationale provided,[],,False,Eby'obushabani by'Amachungwa,68.0,1776628556.0,stop,gpt-4o-2024-08-06,70.0,138.0,"The translation reflects a direct adaptation, where 'Eby'obushabani' refers to 'humanities' and 'Amachungwa' relates to digital aspects, emphasizing technology and electronic resources in humanities.",,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Nyankole (ISO code: nyn). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Nyankole (ISO code: nyn). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",,,Niger-Kordofanian languages
nym,Nyamwezi,Digital Humanities,Elimu ya Dijitali,84.0,2026-04-19T15:36:35.667420,end_turn,claude-sonnet-4-5-20250929,77.0,161.0,Nyamwezi uses Swahili loanwords for modern academic concepts. 'Elimu' means knowledge/education and 'Dijitali' is the adapted form of 'digital'. This follows standard Nyamwezi practices for technical terminology.,,,,2026-04-19 15:36:35,False,,False,,False,,False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Nyamwezi (ISO code: nym). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": """", ""translation_rationale"": ""Unfortunately, there is no available dictionary or language resource for Nyamwezi (nym) that includes the term 'Digital Humanities'. However, I can provide a possible translation based on linguistic analysis: """"Kuhifadhi dhahabu za kidijitali"""".""}",llama3.1,2026-04-19T19:27:23.768859Z,1260925000.0,85361166.0,76.0,340913000.0,69.0,814359501.0,stop,,"Unfortunately, there is no available dictionary or language resource for Nyamwezi (nym) that includes the term 'Digital Humanities'. However, I can provide a possible translation based on linguistic analysis: Kuhifadhi dhahabu za kidijitali.","[{'translated_term': '', 'translation_rationale': ""Unfortunately, there is no available dictionary or language resource for Nyamwezi (nym) that includes the term 'Digital Humanities'. However, I can provide a possible translation based on linguistic analysis: Kuhifadhi dhahabu za kidijitali.""}]",,False,Sayansi za Kidigitali na Kibinadamu,77.0,1776628554.0,stop,gpt-4o-2024-08-06,71.0,148.0,"Nyamwezi speakers often integrate Swahili terms for modern concepts, using 'Kidigitali' for 'Digital' and 'Kibinadamu' for 'Humanities'. This reflects the adaptation and borrowing from Swahili for specialized terminology.",,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Nyamwezi (ISO code: nym). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Nyamwezi (ISO code: nym). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",,,Niger-Kordofanian languages
nxq,Naxi,Digital Humanities,數字人文,72.0,2026-04-19T15:36:27.729777,end_turn,claude-sonnet-4-5-20250929,76.0,148.0,Naxi language traditionally uses Dongba pictographic script but also adopts Chinese characters for modern concepts. '數字人文' (digital humanities) is the standard term used in Chinese-influenced academic contexts where Naxi is spoken.,,,,2026-04-19 15:36:27,False,,False,,False,,False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Naxi (ISO code: nxq). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": """", ""translation_rationale"": ""No available resources for Naxi language and Digital Humanities terminology.""}",llama3.1,2026-04-19T19:27:20.491102Z,717669083.0,81490833.0,75.0,337627083.0,26.0,290696207.0,stop,,No available resources for Naxi language and Digital Humanities terminology.,"[{'translated_term': '', 'translation_rationale': 'No available resources for Naxi language and Digital Humanities terminology.'}]",,False,数字人文学,60.0,1776628550.0,stop,gpt-4o-2024-08-06,70.0,130.0,"Naxi (nxq) is primarily a spoken language with limited formal written forms, thus complex modern terms such as 'Digital Humanities' are typically adopted from Chinese, the official language of the region.",,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Naxi (ISO code: nxq). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Naxi (ISO code: nxq). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",,,Sino-Tibetan languages
