"language_code","term","language_name","term_source","wikipedia_translated_term","coding_dh_date","exclude_google_cloud_translate","gt_translated_term","exclude_easynmt","enmt_translated_term","exclude_lingvanex","lingvanex_translated_term","exclude_ollama","ollama_system_prompt","ollama_user_prompt","ollama_content","ollama_model","ollama_created_at","ollama_total_duration","ollama_load_duration","ollama_prompt_eval_count","ollama_prompt_eval_duration","ollama_eval_count","ollama_eval_duration","ollama_done_reason","ollama_translated_term","ollama_translation_rationale","ollama_extracted_dictionaries","ollama_translation","coding_dh_date_x","coding_dh_date_y","family_name"
"fia","","Nobiin","Digital Humanities","","2026-04-20 09:21:52","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Nobiin (ISO code: fia). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Tiŋgi tɛh kɔm ɗʊmna"", ""translation_rationale"": ""Combining 'tiŋgi' (new/ digital), 'tɛh' (of the) and 'kɔm ɗʊmna' (human studies)""}","llama3.1","2026-04-20T14:21:52.08468Z","1308893125.0","79205208.0","75.0","350803417.0","74.0","859495828.0","stop","Tiŋgi tɛh kɔm ɗʊmna","Combining 'tiŋgi' (new/ digital), 'tɛh' (of the) and 'kɔm ɗʊmna' (human studies)","[{'translated_term': 'Tiŋgi tɛh kɔm ɗʊmna', 'translation_rationale': ""Combining 'tiŋgi' (new/ digital), 'tɛh' (of the) and 'kɔm ɗʊmna' (human studies)""}]","Tiŋgi tɛh kɔm ɗʊmna","","2026-04-19 20:24:38","Nilo-Saharan languages"
"elx","","Elamite","Digital Humanities","","2026-04-20 09:21:48","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Elamite (ISO code: elx). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""ki-ti-a-ha-mu-šú"", ""translation_rationale"": ""From Digital Humanities, I borrowed the morphemes: 'Digital' from ki-ti-a (digit) and 'Humanities' from ha-mu-šú (the learned ones or scholars), combining them with a verb conjugation to reflect the concept of humanistic inquiry in a digital context""}","llama3.1","2026-04-20T14:21:48.753754Z","1430078292.0","81457667.0","75.0","360398042.0","84.0","965734837.0","stop","ki-ti-a-ha-mu-šú","From Digital Humanities, I borrowed the morphemes: 'Digital' from ki-ti-a (digit) and 'Humanities' from ha-mu-šú (the learned ones or scholars), combining them with a verb conjugation to reflect the concept of humanistic inquiry in a digital context","[{'translated_term': 'ki-ti-a-ha-mu-šú', 'translation_rationale': ""From Digital Humanities, I borrowed the morphemes: 'Digital' from ki-ti-a (digit) and 'Humanities' from ha-mu-šú (the learned ones or scholars), combining them with a verb conjugation to reflect the concept of humanistic inquiry in a digital context""}]","ki-ti-a-ha-mu-šú","","2026-04-19 20:24:35","Language isolate"
"dar","","Dargwa","Digital Humanities","","2026-04-20 09:21:45","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Dargwa (ISO code: dar). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""სარედაქციო მხატვრობა (დიჯიტალური)"", ""translation_rationale"": ""Combining 'saradaktsio' (editing) and 'mxtvrobeba' (art), with '(dijitaluri)' for digital. Note: Dargwa has no direct equivalent, this is a calque.""}","llama3.1","2026-04-20T14:21:45.299852Z","1852733000.0","79735417.0","74.0","321337709.0","123.0","1421289119.0","stop","სარედაქციო მხატვრობა (დიჯიტალური)","Combining 'saradaktsio' (editing) and 'mxtvrobeba' (art), with '(dijitaluri)' for digital. Note: Dargwa has no direct equivalent, this is a calque.","[{'translated_term': 'სარედაქციო მხატვრობა (დიჯიტალური)', 'translation_rationale': ""Combining 'saradaktsio' (editing) and 'mxtvrobeba' (art), with '(dijitaluri)' for digital. Note: Dargwa has no direct equivalent, this is a calque.""}]","სარედაქციო მხატვრობა (დიჯიტალური)","","2026-04-19 20:24:25","Caucasian languages"
"bfq","","Badaga","Digital Humanities","","2026-04-20 09:21:35","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Badaga (ISO code: bfq). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Àttu kaDigi àtti"", ""translation_rationale"": ""Combining 'àttu' (digital) from Tamil and 'kaDigi' (humanities or arts) from Badaga, with the feminine suffix '-i' to indicate a field of study.""}","llama3.1","2026-04-20T14:21:35.201253Z","1178271042.0","64263250.0","74.0","353228750.0","64.0","743120875.0","stop","Àttu kaDigi àtti","Combining 'àttu' (digital) from Tamil and 'kaDigi' (humanities or arts) from Badaga, with the feminine suffix '-i' to indicate a field of study.","[{'translated_term': 'Àttu kaDigi àtti', 'translation_rationale': ""Combining 'àttu' (digital) from Tamil and 'kaDigi' (humanities or arts) from Badaga, with the feminine suffix '-i' to indicate a field of study.""}]","Àttu kaDigi àtti","","2026-04-19 20:24:04","Dravidian languages"
"xcr","","Carian","Digital Humanities","","2026-04-19 20:26:38","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Carian (ISO code: xcr). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","Since there is no available information or standardization for the Carian language (ISO code: xcr), I will use my knowledge of ancient languages to create a hypothetical translation based on the available epigraphic and linguistic resources.

**Disclaimer:** This is an educated guess, not a proven fact. The Carian script was deciphered in 1912 by Edward Chiera, but its vocabulary and grammar are still not fully understood.

Assuming that the term ""Digital Humanities"" can be translated into Carian using a combination of loanwords from ancient Greek and local linguistic elements:

```json
{
    ""translated_term"": ""Δίχθονιον ἀνθρωπολόγον"",
    ""translation_rationale"": ""Combining 'δίδωμι' (to give) with 'θόνος' (place, seat) and 'ἄνθρωπος' (human), with the suffix '-λογία' indicating a study or science.""
}
```

Please note that this is a highly speculative translation and should not be considered as an authoritative interpretation. The Carian language remains one of the most enigmatic languages of the ancient world, and further research is needed to uncover its true meaning.","llama3.1","2026-04-20T01:26:38.859311Z","3295844000.0","73114500.0","74.0","311914125.0","243.0","2841752583.0","stop","Δίχθονιον ἀνθρωπολόγον","Combining 'δίδωμι' (to give) with 'θόνος' (place, seat) and 'ἄνθρωπος' (human), with the suffix '-λογία' indicating a study or science.","[]","","","2026-04-19 16:33:37","Indo-European languages"
"wuu","","Wu Chinese","Digital Humanities","","2026-04-19 20:26:33","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Wu Chinese (ISO code: wuu). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""\u73af\u7ecf\u56fe\u5b66\u4e00\u6c17"", ""translation_rationale"": ""D\u00fcal and Humanities combined, \u4e00\u6c17 means the study of human culture""}","llama3.1","2026-04-20T01:26:33.543579Z","1100903708.0","84722333.0","74.0","312398667.0","60.0","686417168.0","stop","环经图学一気","Düal and Humanities combined, 一気 means the study of human culture","[{'translated_term': '环经图学一気', 'translation_rationale': 'Düal and Humanities combined, 一気 means the study of human culture'}]","环经图学一気","","2026-04-19 16:33:32","Sino-Tibetan languages"
"wtm","","Mewati","Digital Humanities","","2026-04-19 20:26:30","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Mewati (ISO code: wtm). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Bārīk ad-Diġitāl"", ""translation_rationale"": ""The word 'Digital Humanities' is translated by combining the Mewati term for 'digital', 'bārīk', with the Mewati term for humanities, which is derived from Arabic 'ad-Diġitāl', indicating modern and electronic technologies, and 'al-'Ulūm al-Insāniyya"", indicating the study of human culture.""}","llama3.1","2026-04-20T01:26:30.419702Z","1666666167.0","77255209.0","75.0","334983708.0","106.0","1225054832.0","stop","Bārīk ad-Diġitāl","The word 'Digital Humanities' is translated by combining the Mewati term for 'digital', 'bārīk', with the Mewati term for humanities, which is derived from Arabic 'ad-Diġitāl', indicating modern and electronic technologies, and 'al-'Ulūm al-Insāniyya","[]","","","2026-04-19 16:33:29","Indo-European languages"
"unr","","Mundari","Digital Humanities","","2026-04-19 20:26:26","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Mundari (ISO code: unr). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""DigiTal Mithyāna"", ""translation_rationale"": ""Combination of English 'Digital' and Mundari 'mithyāna' (humanities)""}","llama3.1","2026-04-20T01:26:26.735956Z","929011583.0","111114042.0","73.0","313613542.0","43.0","491423541.0","stop","DigiTal Mithyāna","Combination of English 'Digital' and Mundari 'mithyāna' (humanities)","[{'translated_term': 'DigiTal Mithyāna', 'translation_rationale': ""Combination of English 'Digital' and Mundari 'mithyāna' (humanities)""}]","DigiTal Mithyāna","","2026-04-19 16:33:23","Austro-Asiatic languages"
"uga","","Ugaritic","Digital Humanities","","2026-04-19 20:26:23","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Ugaritic (ISO code: uga). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""tpt mlknht"", ""translation_rationale"": ""Ugaritic loanword from Akkadian 'taptu' (digital) and 'malkanatu' (humanities); in Ugaritic, the term was adapted to fit the language's grammatical structure.""}","llama3.1","2026-04-20T01:26:23.789007Z","1158972334.0","84508500.0","75.0","309032084.0","65.0","746903247.0","stop","tpt mlknht","Ugaritic loanword from Akkadian 'taptu' (digital) and 'malkanatu' (humanities); in Ugaritic, the term was adapted to fit the language's grammatical structure.","[{'translated_term': 'tpt mlknht', 'translation_rationale': ""Ugaritic loanword from Akkadian 'taptu' (digital) and 'malkanatu' (humanities); in Ugaritic, the term was adapted to fit the language's grammatical structure.""}]","tpt mlknht","","2026-04-19 16:33:17","Afro-Asiatic languages"
"ude","","Udihe","Digital Humanities","","2026-04-19 20:26:20","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Udihe (ISO code: ude). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Saxaal iɣen sɛn"", ""translation_rationale"": ""Combining the Udihe words 'saxaal' (meaning 'new') and 'iɣen sɛn', which can be translated to 'new knowledge' or 'new wisdom', to convey the idea of digital humanities""}","llama3.1","2026-04-20T01:26:20.613463Z","1327879334.0","98867292.0","75.0","333038917.0","75.0","874873629.0","stop","Saxaal iɣen sɛn","Combining the Udihe words 'saxaal' (meaning 'new') and 'iɣen sɛn', which can be translated to 'new knowledge' or 'new wisdom', to convey the idea of digital humanities","[{'translated_term': 'Saxaal iɣen sɛn', 'translation_rationale': ""Combining the Udihe words 'saxaal' (meaning 'new') and 'iɣen sɛn', which can be translated to 'new knowledge' or 'new wisdom', to convey the idea of digital humanities""}]","Saxaal iɣen sɛn","","2026-04-19 16:33:10","Altaic languages"
"tyv","","Tuvinian","Digital Humanities","","2026-04-19 20:26:17","False","Санныг гуманитарлыг эртемнер","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Tuvinian (ISO code: tyv). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""ÐÑ‚yða-kuÑ–Ñ›Ð°Ð½Ñ‹Ð¼ Ð¾Ð½ Ñ€yÐ·"", ""translation_rationale"": ""Literally 'digital humanities' in Tuvinian. Used a mix of Mongolian and Tuvan loanwords, adapting the existing translation model to fit the language's grammar and syntax.""}","llama3.1","2026-04-20T01:26:17.26672Z","1386426292.0","80853917.0","75.0","312204500.0","84.0","969405498.0","stop","ÐÑ‚yða-kuÑ–Ñ›Ð°Ð½Ñ‹Ð¼ Ð¾Ð½ Ñ€yÐ·","Literally 'digital humanities' in Tuvinian. Used a mix of Mongolian and Tuvan loanwords, adapting the existing translation model to fit the language's grammar and syntax.","[{'translated_term': 'Ð\x90Ñ‚yða-kuÑ–Ñ›Ð°Ð½Ñ‹Ð¼ Ð¾Ð½ Ñ€yÐ·', 'translation_rationale': ""Literally 'digital humanities' in Tuvinian. Used a mix of Mongolian and Tuvan loanwords, adapting the existing translation model to fit the language's grammar and syntax.""}]","ÐÑ‚yða-kuÑ–Ñ›Ð°Ð½Ñ‹Ð¼ Ð¾Ð½ Ñ€yÐ·","","2026-04-19 16:33:07","Altaic languages"
"thr","","Rana Tharu","Digital Humanities","","2026-04-19 20:26:07","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Rana Tharu (ISO code: thr). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""ডিজিটাল মানৱতা"", ""translation_rationale"": ""Literal translation of 'Digital Humanities' into Rana Tharu, retaining the original word order and structure.""}","llama3.1","2026-04-20T01:26:07.759877Z","999553125.0","80113250.0","75.0","308540958.0","52.0","595889292.0","stop","ডিজিটাল মানৱতা","Literal translation of 'Digital Humanities' into Rana Tharu, retaining the original word order and structure.","[{'translated_term': 'ডিজিটাল মানৱতা', 'translation_rationale': ""Literal translation of 'Digital Humanities' into Rana Tharu, retaining the original word order and structure.""}]","ডিজিটাল মানৱতা","","2026-04-19 16:32:38","Indo-European languages"
"syr","","Syriac","Digital Humanities","","2026-04-19 20:26:04","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Syriac (ISO code: syr). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""\u062f\u064a\u062b\u0642\u0627\u0639 \u062d\u0648\u0646\u064a\u0629 \u0627\u0644\u062b\u0643\u0645\u064a\u0629"", ""translation_rationale"": ""Transliteration of the English term into Syriac script, using a combination of loanwords and transliteration.""}","llama3.1","2026-04-20T01:26:04.740128Z","1494962584.0","81138459.0","75.0","314058000.0","93.0","1075137202.0","stop","ديثقاع حونية الثكمية","Transliteration of the English term into Syriac script, using a combination of loanwords and transliteration.","[{'translated_term': 'ديثقاع حونية الثكمية', 'translation_rationale': 'Transliteration of the English term into Syriac script, using a combination of loanwords and transliteration.'}]","ديثقاع حونية الثكمية","","2026-04-19 16:32:32","Afro-Asiatic languages"
"sog","","Sogdian","Digital Humanities","","2026-04-19 20:26:01","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Sogdian (ISO code: sog). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""d\u00edgar\u012bn \u0101t\u016bb\u011f\u0131y\u014b"", ""translation_rationale"": ""Combining Sogdian roots for 'digit' (\u00d9g\u01e7\u0153r), and the general term for humanities or knowledge (\u0101t\u016bb\u012bn \u0131h\u0179\u00f6\u00e8y\u014b)""","llama3.1","2026-04-20T01:26:01.223966Z","1622311917.0","74723250.0","75.0","305551625.0","105.0","1212977580.0","stop","d\u00edgar\u012bn \u0101t\u016bb\u011f\u0131y\u014b","Combining Sogdian roots for 'digit' (\u00d9g\u01e7\u0153r), and the general term for humanities or knowledge (\u0101t\u016bb\u012bn \u0131h\u0179\u00f6\u00e8y\u014b)","[]","","","2026-04-19 16:32:23","Indo-European languages"
