language_code,language_name,language_family,has_missing_rationale,missing_rationale_services,has_mixed_script,mixed_script_services,has_romanization,romanization_services,has_script_disagreement,script_disagr_services,has_source_term,source_term_services,has_placeholder_term,placeholder_term_services,has_repetition_loop,repetition_loop_services,has_extreme_term_length,extreme_term_length_services,has_unicode_escape,unicode_escape_services,has_short_translation,short_translation_services,has_any_mixing,any_mixing_services,has_refusal_rationale,refusal_rationale_services,has_transliteration_rationale,transliteration_rationale_services,has_placeholder_rationale,placeholder_rationale_services,has_language_name_term,language_name_term_services,has_unexpected_rationale_language,unexpected_rationale_language_services,quality_flags,flag_count
ks,Kashmiri,Indo-European languages,False,,True,Llama;Qwen,True,Gemma;Llama,True,Gemma;Llama;Mistral;OpenAI;Qwen,True,Llama,False,,False,,False,,False,,False,,True,Gemma;Llama;Qwen,True,Gemma;Mistral;Qwen,True,Claude;DeepSeek;Gemini;Gemma;OpenAI;Qwen,False,,False,,True,Qwen,mixed_script;romanization;script_disagreement;source_term;any_mixing;refusal_rationale;transliteration_rationale;unexpected_rationale_language,8
kht,Khamti,Sino-Tibetan languages,True,Gemma;Mistral,False,,True,Mistral;Qwen,True,Gemini;Llama;Qwen,True,Qwen,False,,False,,False,,False,,False,,True,Mistral,True,Claude;DeepSeek;Gemma;Qwen,True,Claude;DeepSeek;Gemini;Gemma;Qwen,False,,False,,True,Qwen,missing_rationale;romanization;script_disagreement;source_term;any_mixing;refusal_rationale;transliteration_rationale;unexpected_rationale_language,8
kfy,Kumaoni,Indo-European languages,False,,True,Gemma,True,Gemma;Llama,True,Gemma;Llama;Qwen,True,Llama,False,,False,,False,,False,,False,,True,Gemma;Llama,True,DeepSeek;Gemma;Mistral;Qwen,True,Claude;Gemini;Gemma;OpenAI;Qwen,False,,False,,True,Qwen,mixed_script;romanization;script_disagreement;source_term;any_mixing;refusal_rationale;transliteration_rationale;unexpected_rationale_language,8
mai,Maithili,Indo-European languages,False,,True,Llama,True,Gemma;Llama,True,Gemma;Llama;Qwen,True,Llama,False,,False,,False,,False,,False,,True,Gemma;Llama,False,,True,Claude;DeepSeek;Gemini;Gemma;Llama;OpenAI,False,,True,Llama,True,Llama;Mistral;Qwen,mixed_script;romanization;script_disagreement;source_term;any_mixing;transliteration_rationale;language_name_term;unexpected_rationale_language,8
mdr,Mandar,Austronesian languages,False,,True,Gemma,True,Gemma;Mistral,True,DeepSeek;Gemini;Mistral;Qwen,True,DeepSeek;OpenAI,False,,False,,False,,False,,False,,True,Gemma;Mistral,True,DeepSeek;Gemini,True,Gemma,False,,False,,True,Qwen,mixed_script;romanization;script_disagreement;source_term;any_mixing;refusal_rationale;transliteration_rationale;unexpected_rationale_language,8
xmn,Manichaean Middle Persian,Indo-European languages,True,Qwen,False,,False,,True,Claude;Gemini;Gemma;Llama;OpenAI;Qwen,True,DeepSeek,False,,False,,False,,False,,False,,True,Gemma,True,DeepSeek;Gemini;Mistral,True,Claude;Gemini;Gemma;Mistral;OpenAI;Qwen,True,Gemini;OpenAI,False,,True,Qwen,missing_rationale;script_disagreement;source_term;any_mixing;refusal_rationale;transliteration_rationale;placeholder_rationale;unexpected_rationale_language,8
lus,Mizo,Sino-Tibetan languages,True,Mistral,False,,True,Mistral,True,Mistral,True,Claude;DeepSeek;Gemini;Gemma;Google Translate;Llama;Mistral;OpenAI,False,,False,,False,,False,,False,,True,Mistral,True,Claude;OpenAI,True,Gemini;Gemma;Mistral;Qwen,False,,True,DeepSeek;Llama;Mistral,False,,missing_rationale;romanization;script_disagreement;source_term;any_mixing;refusal_rationale;transliteration_rationale;language_name_term,8
nxq,Naxi,Sino-Tibetan languages,True,Gemma;Qwen,False,,True,Gemini;Gemma,True,Gemini;Gemma;Llama;OpenAI;Qwen,True,OpenAI,False,,False,,False,,False,,False,,True,Gemini;Gemma,True,Gemini;Gemma;OpenAI,True,Gemini;Gemma,False,,False,,True,Qwen,missing_rationale;romanization;script_disagreement;source_term;any_mixing;refusal_rationale;transliteration_rationale;unexpected_rationale_language,8
ii,Nuosu,Sino-Tibetan languages,True,DeepSeek;Gemma;Llama;OpenAI,False,,True,Gemma;Mistral,True,Gemma;Llama;Mistral;Qwen,True,Qwen,False,,False,,False,,False,,False,,True,Gemma;Mistral,True,Gemini;OpenAI,True,Gemini;Gemma;OpenAI,False,,False,,True,Qwen,missing_rationale;romanization;script_disagreement;source_term;any_mixing;refusal_rationale;transliteration_rationale;unexpected_rationale_language,8
xpr,Parthian,Indo-European languages,True,DeepSeek;Gemma,True,Qwen,False,,True,Claude;DeepSeek;Gemini;Gemma;Llama;Mistral;OpenAI;Qwen,True,Claude;Mistral,False,,False,,False,,False,,False,,True,Qwen,True,Claude;Gemma;Mistral;OpenAI;Qwen,True,Claude;DeepSeek;Gemini;Gemma;OpenAI;Qwen,False,,False,,True,Qwen,missing_rationale;mixed_script;script_disagreement;source_term;any_mixing;refusal_rationale;transliteration_rationale;unexpected_rationale_language,8
xsa,Sabaean,Afro-Asiatic languages,True,DeepSeek;Gemma;OpenAI,True,Qwen,False,,True,Gemini;Llama;Mistral;Qwen,True,Claude;DeepSeek,False,,True,Gemma,False,,False,,False,,True,Qwen,True,DeepSeek;OpenAI,True,Gemma;OpenAI;Qwen,False,,False,,False,,missing_rationale;mixed_script;script_disagreement;source_term;repetition_loop;any_mixing;refusal_rationale;transliteration_rationale,8
sat,Santali,Austro-Asiatic languages,True,OpenAI,True,Qwen,True,Gemma,True,Gemini;Gemma;Llama;Mistral;Qwen,False,,False,,False,,False,,False,,False,,True,Gemma;Mistral;Qwen,True,DeepSeek;Gemma,True,Claude;DeepSeek;Gemini;Gemma;OpenAI,False,,False,,True,Qwen,missing_rationale;mixed_script;romanization;script_disagreement;any_mixing;refusal_rationale;transliteration_rationale;unexpected_rationale_language,8
shn,Shan,Tai-Kadai languages,True,Gemma;Mistral,False,,True,Mistral,True,Gemma;Mistral,True,Mistral,False,,False,,False,,False,,False,,True,Mistral,True,Gemma;Mistral;OpenAI,True,Claude;DeepSeek;Gemini;Gemma,False,,False,,True,Qwen,missing_rationale;romanization;script_disagreement;source_term;any_mixing;refusal_rationale;transliteration_rationale;unexpected_rationale_language,8
si,"Sinhala, Sinhalese",Indo-European languages,True,Llama;Mistral,True,Gemma;Qwen,True,Llama,True,Gemma;Llama;Qwen,True,Llama,False,,False,,False,,False,,False,,True,Gemma;Llama;Qwen,True,Qwen,True,Claude;DeepSeek;Gemini;Gemma;OpenAI,False,,False,,False,,missing_rationale;mixed_script;romanization;script_disagreement;source_term;any_mixing;refusal_rationale;transliteration_rationale,8
den,Slave,North American Indian languages,True,DeepSeek;Llama;OpenAI,True,Qwen,False,,True,Qwen,True,Claude;DeepSeek;Gemini;Mistral;OpenAI,False,,False,,False,,False,,False,,True,Qwen,True,Claude;DeepSeek;OpenAI,True,Gemini,False,,False,,True,Qwen,missing_rationale;mixed_script;script_disagreement;source_term;any_mixing;refusal_rationale;transliteration_rationale;unexpected_rationale_language,8
syr,Syriac,Afro-Asiatic languages,True,Gemma;Mistral;OpenAI,True,Qwen,False,,True,Llama;Qwen,False,,False,,False,,False,,False,,False,,True,Qwen,True,OpenAI;Qwen,True,OpenAI,True,Qwen,False,,True,Qwen,missing_rationale;mixed_script;script_disagreement;any_mixing;refusal_rationale;transliteration_rationale;placeholder_rationale;unexpected_rationale_language,8
kyu,Western Kayah,Sino-Tibetan languages,True,Gemma,False,,True,Gemma;Mistral;Qwen,True,Claude;Gemma,True,Claude;Mistral,False,,False,,False,,False,,False,,True,Gemma;Mistral;Qwen,True,Gemma;Mistral,True,Claude;DeepSeek;Gemini;Gemma;Mistral,False,,False,,True,Qwen,missing_rationale;romanization;script_disagreement;source_term;any_mixing;refusal_rationale;transliteration_rationale;unexpected_rationale_language,8
abr,Abron,Niger-Kordofanian languages,True,Gemma,False,,False,,True,Qwen,True,Claude;DeepSeek;Gemini;OpenAI,False,,False,,False,,False,,False,,False,,True,DeepSeek;Gemini,True,Gemini;Gemma;Llama,True,Gemini,False,,True,Qwen,missing_rationale;script_disagreement;source_term;refusal_rationale;transliteration_rationale;placeholder_rationale;unexpected_rationale_language,7
ain,Ainu,Language isolate,True,DeepSeek,False,,True,Gemma,True,Gemma;Llama;Qwen,False,,False,,False,,False,,False,,False,,True,Gemma,True,DeepSeek;Gemini;Mistral,True,Gemini;Gemma;OpenAI;Qwen,False,,False,,True,Qwen,missing_rationale;romanization;script_disagreement;any_mixing;refusal_rationale;transliteration_rationale;unexpected_rationale_language,7
am,Amharic,Afro-Asiatic languages,True,Llama;Mistral,False,,True,Qwen,True,Qwen,False,,False,,False,,False,,False,,False,,True,Llama;Qwen,True,DeepSeek;Mistral;OpenAI,True,Claude;DeepSeek;Gemini;Gemma;Llama;OpenAI;Qwen,False,,False,,True,Llama,missing_rationale;romanization;script_disagreement;any_mixing;refusal_rationale;transliteration_rationale;unexpected_rationale_language,7
amo,Amo,Niger-Kordofanian languages,True,DeepSeek;Gemma;OpenAI,False,,False,,True,Qwen,True,Claude;DeepSeek;Gemini;Gemma;OpenAI,False,,False,,False,,False,,True,DeepSeek,False,,True,DeepSeek;Gemma;Mistral;OpenAI,True,Gemini;Gemma;Qwen,False,,True,DeepSeek,False,,missing_rationale;script_disagreement;source_term;short_translation;refusal_rationale;transliteration_rationale;language_name_term,7
egy,Ancient Egyptian,Afro-Asiatic languages,True,Gemma;OpenAI,False,,False,,True,DeepSeek;Gemini;Gemma;Llama;OpenAI,False,,True,Gemini,True,Mistral,True,Gemini;Gemma;Mistral,False,,False,,False,,True,Claude;Gemini;OpenAI;Qwen,True,Claude;DeepSeek,False,,False,,False,,missing_rationale;script_disagreement;placeholder_term;repetition_loop;extreme_term_length;refusal_rationale;transliteration_rationale,7
xna,Ancient North Arabian,Afro-Asiatic languages,True,Gemma;OpenAI,False,,False,,True,Claude;Gemini;Gemma;Llama;Mistral;OpenAI;Qwen,True,Claude;DeepSeek,False,,False,,False,,False,,False,,True,Claude,False,,True,Claude;DeepSeek;Gemini;Gemma;Llama;OpenAI;Qwen,True,Gemini,False,,True,Gemini;Qwen,missing_rationale;script_disagreement;source_term;any_mixing;transliteration_rationale;placeholder_rationale;unexpected_rationale_language,7
bsq,Bassa,Niger-Kordofanian languages,True,DeepSeek;Gemma;OpenAI,False,,False,,True,Qwen,True,Claude;Gemini;OpenAI,False,,False,,False,,False,,False,,True,Qwen,True,Claude;DeepSeek,True,Gemma;OpenAI,True,Claude,False,,False,,missing_rationale;script_disagreement;source_term;any_mixing;refusal_rationale;transliteration_rationale;placeholder_rationale,7
bho,Bhojpuri,Indo-European languages,False,,False,,True,Gemma;Llama,True,Gemma;Llama,True,Llama,False,,False,,False,,False,,False,,True,Gemma;Llama;Qwen,False,,True,Claude;Gemini;Gemma;OpenAI;Qwen,False,,True,Llama,True,Llama;Qwen,romanization;script_disagreement;source_term;any_mixing;transliteration_rationale;language_name_term;unexpected_rationale_language,7
bum,Bulu,Niger-Kordofanian languages,True,DeepSeek;Llama;OpenAI,False,,False,,True,Qwen,True,OpenAI,False,,False,,False,,False,,False,,False,,True,DeepSeek;Gemini,True,Gemma;Qwen,False,,True,DeepSeek;Gemma;Llama;Qwen,True,Qwen,missing_rationale;script_disagreement;source_term;refusal_rationale;transliteration_rationale;language_name_term;unexpected_rationale_language,7
cad,Caddo,North American Indian languages,True,DeepSeek,False,,False,,True,Gemma;Llama,True,Claude;DeepSeek;OpenAI,True,OpenAI,False,,False,,False,,True,Mistral,False,,True,Claude;DeepSeek;Gemma,True,Gemini,False,,False,,False,,missing_rationale;script_disagreement;source_term;placeholder_term;short_translation;refusal_rationale;transliteration_rationale,7
yue,Cantonese,Sino-Tibetan languages,True,Llama,True,Gemma,False,,True,Gemma;Llama,False,,False,,False,,False,,True,Llama,False,,True,Gemma,False,,True,Gemma,False,,False,,True,Qwen,missing_rationale;mixed_script;script_disagreement;unicode_escape;any_mixing;transliteration_rationale;unexpected_rationale_language,7
xcr,Carian,Indo-European languages,True,Gemma,False,,False,,True,DeepSeek;Gemma;Llama;Qwen,True,Claude;DeepSeek;OpenAI,False,,False,,False,,False,,False,,False,,True,Claude;Mistral;Qwen,True,Claude;Gemini;Gemma,True,Qwen,False,,True,Qwen,missing_rationale;script_disagreement;source_term;refusal_rationale;transliteration_rationale;placeholder_rationale;unexpected_rationale_language,7
chg,Chagatai,Altaic languages,False,,True,Gemma,True,Gemma,True,Gemma;Llama;Mistral;Qwen,False,,False,,False,,False,,False,,False,,True,Gemma;Qwen,True,OpenAI,True,Gemini;Gemma;OpenAI,False,,False,,True,Qwen,mixed_script;romanization;script_disagreement;any_mixing;refusal_rationale;transliteration_rationale;unexpected_rationale_language,7
myz,Classical Mandaic,Afro-Asiatic languages,True,DeepSeek;Mistral,True,Qwen,False,,True,Claude;DeepSeek;Llama;Qwen,False,,False,,False,,False,,False,,False,,True,Gemini;Qwen,True,Claude;Gemini;Gemma;Mistral;OpenAI,True,DeepSeek;Gemini;Gemma;OpenAI,False,,False,,True,Qwen,missing_rationale;mixed_script;script_disagreement;any_mixing;refusal_rationale;transliteration_rationale;unexpected_rationale_language,7
doi,Dogri,Indo-European languages,False,,False,,True,Llama,True,Llama;Mistral,True,Llama,False,,False,,False,,False,,False,,True,Llama,True,Mistral,True,Claude;DeepSeek;Gemini;Gemma;OpenAI;Qwen,False,,False,,True,Llama;Qwen,romanization;script_disagreement;source_term;any_mixing;refusal_rationale;transliteration_rationale;unexpected_rationale_language,7
dz,Dzongkha,Sino-Tibetan languages,True,Mistral;Qwen,False,,False,,True,Llama;Mistral;Qwen,True,Mistral,False,,False,,False,,False,,False,,False,,True,Mistral;Qwen,True,Claude;DeepSeek;Gemini;Gemma;OpenAI;Qwen,False,,True,Mistral,True,Qwen,missing_rationale;script_disagreement;source_term;refusal_rationale;transliteration_rationale;language_name_term;unexpected_rationale_language,7
eky,Eastern Kayah,Sino-Tibetan languages,False,,False,,True,Gemma;Mistral;Qwen,True,Claude;Gemma;Mistral;Qwen,True,Claude;Mistral,False,,False,,False,,False,,False,,True,Gemma;Llama;Mistral;Qwen,True,Claude;Gemini;Gemma,True,Claude;DeepSeek;Gemini;Gemma;OpenAI;Qwen,False,,False,,True,Qwen,romanization;script_disagreement;source_term;any_mixing;refusal_rationale;transliteration_rationale;unexpected_rationale_language,7
mgp,Eastern Magar,Sino-Tibetan languages,False,,True,Qwen,True,Mistral,True,Gemma;Llama,False,,False,,False,,False,,False,,False,,True,Mistral;Qwen,True,DeepSeek;Gemini,True,Claude;DeepSeek;Gemini;Gemma;OpenAI,False,,False,,True,Qwen,mixed_script;romanization;script_disagreement;any_mixing;refusal_rationale;transliteration_rationale;unexpected_rationale_language,7
elx,Elamite,Language isolate,True,DeepSeek;Qwen,False,,False,,True,DeepSeek;Mistral;Qwen,True,Claude;OpenAI,True,Gemini,False,,False,,False,,True,Gemini;Qwen,False,,True,Claude;DeepSeek;Qwen,True,Claude;Mistral;Qwen,False,,False,,False,,missing_rationale;script_disagreement;source_term;placeholder_term;short_translation;refusal_rationale;transliteration_rationale,7
ecy,Eteocypriot,Indo-European languages,True,Claude,False,,False,,True,Claude;DeepSeek;Gemini;Gemma;Llama;Mistral;OpenAI;Qwen,True,Claude;DeepSeek;OpenAI,True,Claude;Gemini,False,,False,,False,,False,,True,Mistral,True,Qwen,True,DeepSeek;Gemini;Gemma;Mistral;Qwen,False,,False,,False,,missing_rationale;script_disagreement;source_term;placeholder_term;any_mixing;refusal_rationale;transliteration_rationale,7
hif,Fiji Hindi,Indo-European languages,False,,False,,True,Gemma,True,Gemini;Gemma;Llama;Mistral;OpenAI;Qwen,True,Claude;DeepSeek;Llama;Qwen,False,,False,,False,,False,,False,,True,Gemma,True,DeepSeek;Qwen,True,Claude;Gemini;Gemma;OpenAI;Qwen,False,,False,,True,Qwen,romanization;script_disagreement;source_term;any_mixing;refusal_rationale;transliteration_rationale;unexpected_rationale_language,7
grt,Garo,Sino-Tibetan languages,False,,True,Llama,True,Mistral,True,DeepSeek;Gemma;Llama;Mistral;OpenAI;Qwen,True,Claude;DeepSeek;Gemini;Mistral;OpenAI,False,,False,,False,,False,,False,,True,Llama;Mistral;Qwen,True,DeepSeek;Gemma;Mistral;Qwen,True,Gemini;Gemma;OpenAI;Qwen,False,,False,,False,,mixed_script;romanization;script_disagreement;source_term;any_mixing;refusal_rationale;transliteration_rationale,7
bbj,Ghomala,Niger-Kordofanian languages,True,DeepSeek;OpenAI,False,,False,,True,Gemma;Mistral;Qwen,True,OpenAI,False,,False,,False,,False,,True,Mistral,False,,True,Gemini,True,Claude;Gemini;Gemma;OpenAI,False,,False,,True,Qwen,missing_rationale;script_disagreement;source_term;short_translation;refusal_rationale;transliteration_rationale;unexpected_rationale_language,7
gom,Goan Konkani,Indo-European languages,True,Gemma,False,,True,Mistral,True,Gemma;Llama;Mistral;Qwen,True,Mistral,False,,False,,False,,False,,False,,True,Mistral,True,Gemini,True,Claude;Gemini;Gemma;OpenAI;Qwen,False,,False,,False,,missing_rationale;romanization;script_disagreement;source_term;any_mixing;refusal_rationale;transliteration_rationale,7
gon,Gondi,Dravidian languages,True,Gemma;Llama;OpenAI,False,,True,Llama,True,DeepSeek;Gemini;Gemma;Llama;Mistral;Qwen,False,,False,,False,,False,,False,,False,,True,Llama,True,DeepSeek,True,Claude;DeepSeek;Gemini;Gemma,False,,True,Llama,False,,missing_rationale;romanization;script_disagreement;any_mixing;refusal_rationale;transliteration_rationale;language_name_term,7
gvr,Gurung,Sino-Tibetan languages,False,,True,Gemma,True,Gemma,True,Gemma;Llama;OpenAI,True,OpenAI,False,,False,,False,,False,,False,,True,Gemma,True,Claude;DeepSeek;Gemma,True,Claude;Gemini;Gemma;OpenAI;Qwen,False,,False,,False,,mixed_script;romanization;script_disagreement;source_term;any_mixing;refusal_rationale;transliteration_rationale,7
mey,Hassaniyya,Afro-Asiatic languages,True,Gemma,False,,True,Claude,True,Claude;Gemma;Llama,False,,False,,False,,False,,False,,False,,True,Claude,True,Gemma,True,Gemini;Gemma,False,,False,,True,Qwen,missing_rationale;romanization;script_disagreement;any_mixing;refusal_rationale;transliteration_rationale;unexpected_rationale_language,7
ja,Japanese,Japonic languages,True,Llama,False,,True,Gemma,True,Gemma;Llama,False,,False,,False,,False,,True,Llama,False,,True,Gemma,False,,True,Claude;DeepSeek;Gemini;Gemma;OpenAI,False,,False,,True,Llama;Qwen,missing_rationale;romanization;script_disagreement;unicode_escape;any_mixing;transliteration_rationale;unexpected_rationale_language,7
kbd,Kabardian,Caucasian languages,True,Gemma,True,Qwen,False,,True,Qwen,False,,False,,False,,False,,False,,False,,True,Claude;Gemini;Gemma;Llama;OpenAI;Qwen,True,Gemini;OpenAI;Qwen,True,Gemini;Gemma;OpenAI;Qwen,False,,False,,True,Qwen,missing_rationale;mixed_script;script_disagreement;any_mixing;refusal_rationale;transliteration_rationale;unexpected_rationale_language,7
kkj,Kako,Niger-Kordofanian languages,True,DeepSeek;Gemma,False,,False,,True,Gemma;Mistral;Qwen,True,Claude;DeepSeek;Gemini;OpenAI,False,,False,,False,,False,,False,,True,Mistral,True,DeepSeek;Gemini,True,Gemini;Gemma,True,Gemma,False,,False,,missing_rationale;script_disagreement;source_term;any_mixing;refusal_rationale;transliteration_rationale;placeholder_rationale,7
kha,Khasi,Austro-Asiatic languages,True,Mistral,False,,False,,True,Mistral,True,Claude;Gemini;Mistral;OpenAI,False,,False,,True,Mistral,False,,False,,False,,True,DeepSeek;Gemini;Gemma,True,Gemini;Gemma,False,,True,Mistral,False,,missing_rationale;script_disagreement;source_term;extreme_term_length;refusal_rationale;transliteration_rationale;language_name_term,7
bqv,Koro Wachi,Niger-Kordofanian languages,True,DeepSeek;Gemma,False,,False,,True,Qwen,True,Claude;DeepSeek;Gemini;OpenAI,False,,False,,False,,False,,False,,True,Qwen,True,Claude;DeepSeek;Gemini;OpenAI,True,Gemini;Gemma;Qwen,False,,True,Llama,False,,missing_rationale;script_disagreement;source_term;any_mixing;refusal_rationale;transliteration_rationale;language_name_term,7
lo,Lao,Tai-Kadai languages,True,Mistral,False,,True,Gemma,True,Gemma;Llama,True,Lingvanex,False,,False,,False,,False,,False,,True,Gemma,False,,True,Claude;DeepSeek;Gemini;Gemma,False,,False,,True,Llama;Qwen,missing_rationale;romanization;script_disagreement;source_term;any_mixing;transliteration_rationale;unexpected_rationale_language,7
lab,Linear A,Undeciphered script,True,Gemma;OpenAI,False,,False,,True,Claude;DeepSeek;Gemini;Gemma;Llama;Mistral;Qwen,True,Claude;Mistral;OpenAI,False,,False,,False,,False,,False,,False,,True,Mistral;OpenAI,True,Gemini;Gemma,True,DeepSeek,False,,True,Qwen,missing_rationale;script_disagreement;source_term;refusal_rationale;transliteration_rationale;placeholder_rationale;unexpected_rationale_language,7
