language_code,language_name,language_family,term_source,category,rule_fired,evidence,has_wikipedia,rationales_are_english,n_services_with_translation,n_services_with_rationale,n_unique_raw,n_unique_normalized,max_edit_distance,loan_words_found,has_script_disagreement,scripts_found,absence_signals,construction_signals,debate_signals,mean_rationale_similarity,claude_rationale_snippet,openai_rationale_snippet,gemini_rationale_snippet,ollama_rationale_snippet,service_translations
fy,Western Frisian,Indo-European languages,Digital Humanities,STRUCTURAL_ABSENCE,rule_loanword_absence,"Loan words present: ['digital', 'humanities']",False,True,10,8,8,8,18,digital; humanities,False,Latin,Gemini:\bborrowed\b; Gemma:\bloanword\b,Gemini:combining; Mistral:compound,,0.2736,"In Western Frisian, 'Digital' translates to 'Digitale' (similar to Dutch and English), and 'Humanities' translates to 'Geasteswitenskippen' (from 'geast' meaning spirit/mind and 'witenskippen' meaning sciences). This follows the standard Frisian academic terminology pattern for referring to the huma","The term 'Digital Humanities' is translated into Western Frisian as 'Digitale Geasteswittenskippen'. 'Digitale' is the Frisian equivalent of 'Digital', and 'Geasteswittenskippen' translates to 'Humanities'. This translation maintains the meaning of the original term, referring to the interdisciplina","Western Frisian, like many Germanic languages, often adopts or calques specialized academic terms. 'Digitaal' is the direct equivalent of 'digital' and is commonly used. 'Humaniora' is the direct equivalent of 'humanities' and is also a recognized term in Frisian, often borrowed directly from Latin ",,"{'Google Translate': 'Digitale Humaniora', 'Lingvanex': 'Digital Humanities', 'OpenAI': 'Digitale Geasteswittenskippen', 'Claude': 'Digitale Geasteswitenskippen', 'Gemini': 'Digitale Humaniora', 'DeepSeek': 'Digitale Humaniora', 'Llama': 'Digitale Minnichteiten', 'Gemma': 'Digitaal Minskwittenskip', 'Qwen': 'Digitale Huileskunde', 'Mistral': 'Digitale Menskje-Kunste'}"
ga,Irish,Indo-European languages,Digital Humanities,TRANSMOGRIFICATION,rule_default_transmogrification,No Wikipedia; 6 distinct outputs; construction signals: 5,False,True,11,8,6,6,29,,False,Latin,,OpenAI:combining; Gemini:compound; Gemini:combining; Llama:combining; Gemma:compound,,0.3413,This is the standard Irish translation where 'Daonnachtaí' means 'Humanities' (plural of 'Daonnacht') and 'Digiteacha' means 'Digital' (plural adjective form agreeing with the plural noun). This term is used in Irish academic contexts and follows standard Irish grammatical structure with the adjecti,"The term 'Digital Humanities' is translated into Irish as 'Daonnachtaí Digiteacha'. 'Daonnachtaí' is the Irish word for 'Humanities', and 'Digiteacha' is the Irish adjective for 'Digital'. This translation maintains the meaning of the original term by combining the Irish words for both 'humanities' ","The term 'Digital Humanities' is a compound of 'Digital' and 'Humanities'. In Irish, 'Digital' translates to 'Digiteach' (adjective) or 'Digiteacha' (plural adjective). 'Humanities' translates to 'Na Daonnachtaí' (the humanities). When combining them, the adjective typically follows the noun in Iris",,"{'Google Translate': 'Daonnachtaí Digiteacha', 'EasyNMT': 'Daonnachtaí Digiteacha', 'Lingvanex': 'Daonnachtaí Digiteacha', 'OpenAI': 'Daonnachtaí Digiteacha', 'Claude': 'Daonnachtaí Digiteacha', 'Gemini': 'Na Daonnachtaí Digiteacha', 'DeepSeek': 'Daonnachtaí Digiteacha', 'Llama': 'Dhigiteachtaí na Daonnachta', 'Gemma': 'Reil na Fíor-eolaíochta Digiteach', 'Qwen': 'Saothar Digitíleachas na nAistriúcháin', 'Mistral': 'Fhiosrúchán Díteacha'}"
gaa,Ga,Niger-Kordofanian languages,Digital Humanities,STRUCTURAL_ABSENCE,rule_loanword_absence,Loan words present: ['digital'],False,True,10,8,10,10,51,digital,False,Latin,Claude:\bborrowed\b; Claude:\bloanword\b; OpenAI:\bborrowed\b; Gemini:\btransliterat,Gemma:combining,,0.18,"In Ga, 'Digital' is borrowed as 'Didjital' (following Ga phonological patterns), and 'Humanities' translates to 'Nitsɔɔ' which refers to human knowledge, learning, and cultural studies. This combines the loanword for the technological concept with the indigenous term for humanistic knowledge and sch","The term 'Digital Humanities' does not have a direct equivalent in Ga, as it is a specialized academic field that combines digital technology with the humanities. In many cases, such terms are borrowed directly from English, especially in academic and technical contexts where the local language may ","Ga, like many African languages, often adopts or transliterates technical and academic terms directly from English when a precise indigenous equivalent doesn't exist or would be overly verbose. 'Digital' and 'Humanities' are both concepts that are relatively new in their current academic framing wit",,"{'Google Translate': 'Dijital Adesai Ahe Nilee', 'EasyNMT': 'Nibii ni Haa Mɔ Tsui Nyɔɔ Emli ni Haa Mɔ Tsui Nyɔɔ Emli', 'OpenAI': 'Dijita Nɔnyɔmɔ', 'Claude': 'Didjital Nitsɔɔ', 'Gemini': 'Digital Humanitie', 'DeepSeek': 'Adesai Lɛ Nii Aahu', 'Llama': 'Amanɣaŋa Digital', 'Gemma': 'Ɛɛbɛɛ Ŋmɛbɛn', 'Qwen': 'Dzidaakun Kusuo', 'Mistral': 'Dījitāl Hju-mənizmi'}"
gag,Gagauz,Altaic languages,Digital Humanities,TRANSMOGRIFICATION,rule_default_transmogrification,No Wikipedia; 6 distinct outputs; construction signals: 5,False,True,7,8,6,6,19,,False,Latin,OpenAI:\bborrowing\b; Gemini:\bborrowed\b; Gemma:\btransliterat,Claude:compound; Gemini:combining; Gemini:construct; Gemini:suffix; Qwen:combining,,0.2468,"Gagauz is a Turkic language spoken primarily in Moldova. The translation breaks down as: 'Sayısal' (digital/numerical, from Turkish 'sayısal'), 'İnsannik' (human/humanistic, derived from 'insan' meaning human), and 'Bilimleri' (sciences, plural of 'bilim'). This follows the typical Turkic compound n","The term 'Digital Humanities' is translated into Gagauz as 'Dijital İnsaniyat'. 'Dijital' is a direct borrowing from the English 'Digital', reflecting the widespread use of the term in technology contexts. 'İnsaniyat' is derived from the Turkish word for 'humanities', which is 'insaniyat', and is us","The translation 'Цифралы Гуманитарлык' is constructed by combining:
- 'Цифралы' (Tsifraly): This is the most direct and common way to say 'digital' or 'numeric' in Gagauz, derived from Russian 'цифровой'.
- 'Гуманитарлык' (Gumanitarlyk): This is the standard Gagauz term for 'humanities', also borrow",,"{'OpenAI': 'Dijital İnsaniyat', 'Claude': 'Sayısal İnsannik Bilimleri', 'Gemini': 'Sayısal Humanitar Bilimner', 'DeepSeek': 'Dijital İnsan Bilimleri', 'Llama': 'Dijital İnsan Bilimleri', 'Qwen': 'Dijital Dilbilimler', 'Mistral': 'Dijital İnsanlar Bilimleri'}"
gan,Gan Chinese,Sino-Tibetan languages,Digital Humanities,TRANSMOGRIFICATION,rule_default_transmogrification,No Wikipedia; 6 distinct outputs; construction signals: 4,False,True,8,8,6,6,6,,False,CJK,,OpenAI:combining; Gemini:compound; DeepSeek:suffix; Gemma:combining,,0.2828,Gan Chinese uses traditional Chinese characters similar to other Chinese varieties. '數字人文' (sù-zì rén-wén) is the standard translation used across Chinese dialects including Gan. '數字' means 'digital' and '人文' means 'humanities'. This term is widely adopted in academic contexts throughout Chinese-spe,"The term 'Digital Humanities' is translated into Gan Chinese as '数字人文学'. '数字' means 'digital', and '人文学' refers to 'humanities'. This translation maintains the meaning of the original English term by combining the concepts of digital technology and humanities studies.","The translation '数字人文学' (shùzì rénwénxué) is a direct and accurate rendering of 'Digital Humanities' into Gan Chinese, following standard academic and technical translation practices. 

*   **数字 (shùzì)**: Means 'digital' or 'numeric'. This is the standard term used across Chinese dialects for 'digi",,"{'OpenAI': '数字人文学', 'Claude': '數字人文', 'Gemini': '数字人文学', 'DeepSeek': '数字人文', 'Llama': '平组標辞公图', 'Gemma': '數碼人文', 'Qwen': '數字人文學', 'Mistral': '数字人文学'}"
gay,Gayo,Austronesian languages,Digital Humanities,STRUCTURAL_ABSENCE,rule_loanword_absence,Loan words present: ['digital'],False,True,8,8,6,6,22,digital,False,Latin,Claude:\bborrowed\b; OpenAI:\bborrowed\b; Gemini:\bborrowed\b; Gemini:\bloanword\b; DeepSeek:\bloanword\b,Llama:combining,,0.2977,"In Gayo language, 'Kemanusiaan' represents 'Humanities' (referring to human studies, culture, and society), and 'Digital' is borrowed directly as it is a modern technological term commonly adopted in many Indonesian regional languages including Gayo. The word order follows Gayo grammatical structure","The Gayo language, primarily spoken in the central highlands of Aceh, Indonesia, may not have a direct translation for specialized academic terms like 'Digital Humanities.' In many cases, such terms are borrowed directly from English or adapted phonetically, especially in contexts where the concept ","Gayo, like many other regional languages, does not have a direct, established term for 'Digital Humanities'. The most common and effective approach for translating such modern, academic concepts is to use a loanword or a calque from Indonesian, which serves as the national language and a source for ",,"{'OpenAI': 'Humaniora Digital', 'Claude': 'Ilmu Kemanusiaan Digital', 'Gemini': 'Humaniora Digital', 'DeepSeek': 'Humaniora Digital', 'Llama': 'Humanitas Digital', 'Gemma': 'Tèknologi Ulang-Ulang Basa', 'Qwen': 'Digiital Fann', 'Mistral': 'Komputer Budaya Digital'}"
gba,Gbaya,Niger-Kordofanian languages,Digital Humanities,STRUCTURAL_ABSENCE,rule_loanword_absence,"Loan words present: ['digital', 'humanities']",False,True,8,8,8,8,27,digital; humanities,False,Latin,OpenAI:\bborrowed\b,Claude:combining; Gemini:construct; Llama:compound; Llama:prefix; Gemma:combining; Gemma:formation,,0.2738,"This translation attempts to convey 'Digital Humanities' in Gbaya by combining concepts: 'kɔ̀ɔ̀' (work/study), 'sɛ̀sɛ̀' (new/modern, suggesting digital technology), 'ɓòkò' (book/knowledge), and 'tɛ̀ɛ̀' (people/human). However, I must note that this is a tentative translation with low confidence, as ","The Gbaya language may not have a direct equivalent for the term 'Digital Humanities' due to its specific and modern academic context. In many cases, such terms are borrowed directly from English or other languages, especially in academic and technical fields. Therefore, the term is often used as is","There isn't a direct equivalent for 'Digital Humanities' in Gbaya. The translation 'Gbaya ti Digital' is a descriptive phrase that literally means 'Digital Gbaya' or 'Gbaya of Digital'. 'Gbaya' refers to the people and their culture, and 'ti Digital' indicates the digital aspect. This construction i",,"{'OpenAI': 'Digital Humanities', 'Claude': 'Kɔ̀ɔ̀ sɛ̀sɛ̀ ɓòkò tɛ̀ɛ̀', 'Gemini': 'Gbaya ti Digital', 'DeepSeek': 'Gbáá tí kpáá nzɛ̰ɛ̰', 'Llama': 'Bɔ́nɔ̀ tɛ̂ kpaɣá', 'Gemma': 'Gbaŋŋwɛɛŋ ŋgɔɔŋɔɔ', 'Qwen': 'Mwacu Mubangali Miendé Digitale', 'Mistral': 'Séminaire numérique'}"
gbm,Garhwali,Indo-European languages,Digital Humanities,TRANSMOGRIFICATION,rule_default_transmogrification,No Wikipedia; 4 distinct outputs; construction signals: 5,False,True,7,8,4,4,7,,False,Devanagari,Claude:\bborrowed\b; Claude:\btransliterat; OpenAI:\btransliterat; DeepSeek:\bborrowing\b; Gemma:\bborrowing\b; Gemma:\btransliterat,Claude:suffix; OpenAI:combining; Gemini:combining; Gemini:create.*term; DeepSeek:suffix,,0.2579,"In Garhwali (gbm), which uses Devanagari script like Hindi, 'Digital Humanities' is translated as 'डिजिटल मानविकी'. The term 'Digital' (डिजिटल) is borrowed directly as a transliteration since it's a modern technical term. 'Humanities' is translated as 'मानविकी' (mānvikī), derived from 'मानव' (mānav,","The term 'Digital Humanities' is a relatively modern concept and may not have a direct equivalent in Garhwali, a language primarily spoken in the Garhwal region of India. Therefore, the translation uses a transliteration approach, combining 'डिजिटल' (Digital) and 'मानविकी' (Humanities), which are de","Garhwali, like many Indian languages, often adopts English terms directly or creates calques for new concepts. 'Digital' is a widely understood term, and 'मानवी' (maanvi) is the Garhwali word for 'humanities' or 'human'. Combining them directly creates a clear and understandable term. While a more e",,"{'OpenAI': 'डिजिटल मानविकी', 'Claude': 'डिजिटल मानविकी', 'Gemini': 'डिजिटल मानविकी', 'DeepSeek': 'डिजिटल मानविकी', 'Llama': 'डिजिटल मानव विज्ञान', 'Qwen': 'डिजिटल ह्यूमनाइटीज़', 'Mistral': 'डिजिटल मानवीयता'}"
gbz,Zoroastrian Dari,Indo-European languages,Digital Humanities,TRANSMOGRIFICATION,rule_default_transmogrification,No Wikipedia; 8 distinct outputs; construction signals: 5,False,True,8,8,8,8,30,,True,Arabic; Cyrillic,Claude:\bborrowed\b; OpenAI:\bborrowing\b; Gemini:\bloanword\b; Gemini:\btransliterat; DeepSeek:\bloanword\b; Gemma:no direct,Claude:compound; Llama:combining; Gemma:combining; Gemma:construct; Gemma:suffix,,0.2624,Zoroastrian Dari (Dari-e Zartoshtian/Behdināni) uses Persian script and vocabulary. The translation follows standard Persian/Dari conventions: 'علوم انسانی' (olum-e ensāni) means 'humanities/human sciences' and 'دیجیتالی' (dijitāli) is the borrowed term for 'digital'. This compound structure is cons,"The term 'Digital Humanities' is translated into Zoroastrian Dari by directly translating each component of the term. 'Digital' is translated as 'دیجیتال', which is a direct borrowing from English, as is common with modern technological terms. 'Humanities' is translated as 'انسانی', which relates to","Zoroastrian Dari (gbz) is a modern language spoken by a small community, and it does not have a historical or specific vocabulary for modern academic terms like 'Digital Humanities'. Therefore, the most appropriate translation is a direct transliteration and conceptual translation using standard Dar",,"{'OpenAI': 'دیجیتال انسانیاتی', 'Claude': 'علوم انسانی دیجیتالی', 'Gemini': 'علوم انسانی دیجیتال', 'DeepSeek': 'دیجیتال انسانیات', 'Llama': 'دایجیتال مانیریت', 'Gemma': 'Ахсидиди Ҷаҳонӣ (Axsididi Jahonī)', 'Qwen': 'د دیجیټل هنرمندانه', 'Mistral': 'دیجیتال علوم بشر'}"
gcr,Guianese Creole French,Creoles and pidgins,Digital Humanities,TRANSMOGRIFICATION,rule_default_transmogrification,No Wikipedia; 8 distinct outputs; construction signals: 2,False,True,8,8,8,8,18,,False,Latin,OpenAI:\bborrowed\b; DeepSeek:\bborrowed\b; Gemma:\bborrowing\b,Gemini:compound; Llama:suffix,,0.3289,"In Guianese Creole French (Kriyòl Gwiyanè), 'Digital' is translated as 'Nimérik' (from French 'numérique'), and 'Humanities' as 'Limanité' (from French 'humanités'). The word order follows Creole patterns where the noun typically comes before the adjective modifier. This translation reflects the com","Guianese Creole French (ISO gcr) is heavily influenced by French, and many technical or academic terms are borrowed directly from French. 'Digital Humanities' translates to 'Humanités Numériques' in French, which would be understood in Guianese Creole French as well. The term 'numériques' is used to","Guianese Creole French (gcr) is a French-based creole. The most direct and common way to translate compound nouns like 'Digital Humanities' is to translate each component word. 'Digital' translates to 'dijital' (or 'digital' with a slightly different pronunciation, but 'dijital' reflects the typical",,"{'OpenAI': 'Humanités Numériques', 'Claude': 'Limanité Nimérik', 'Gemini': 'Imanité dijital', 'DeepSeek': 'Létidijité Nimerik', 'Llama': 'Lètèrès Digitel', 'Gemma': 'Lés Òm nan dijital', 'Qwen': 'Dilitè Humin', 'Mistral': 'Humanitè Digitale'}"
gd,Scottish Gaelic,Indo-European languages,Digital Humanities,STRUCTURAL_ABSENCE,rule_loanword_absence,Loan words present: ['digital'],False,True,10,8,7,7,22,digital,False,Latin,Claude:\bloanword\b; Llama:\bloanword\b; Gemma:\bborrowing\b,OpenAI:combining; Llama:combining; Gemma:combining; Gemma:create.*term; Mistral:compound,,0.2947,"This translation uses 'Daonnachdan' (Humanities, from 'daonna' meaning human/humane) and 'Digiteach' (Digital, a standard loanword in Scottish Gaelic). This follows the typical pattern in Scottish Gaelic where the adjective follows the noun, and represents the established terminology used in Scottis","The term 'Digital Humanities' is translated into Scottish Gaelic as 'Daonnachdan Didseatach'. 'Daonnachdan' is the Gaelic word for 'Humanities', and 'Didseatach' translates to 'Digital'. This translation maintains the meaning of the original term by combining the Gaelic words for 'humanities' and 'd","This translation breaks down as follows:
*   **Na**: The definite article 'the' in its plural form, agreeing with 'Daonnachdan'.
*   **Daonnachdan**: The plural form of 'daonnachd', which means 'humanity' or 'humanities'. This is the standard term for 'humanities' in Scottish Gaelic academic context",,"{'Google Translate': 'Daonnachdan Didseatach', 'Lingvanex': 'Daonnachdan Didseatach', 'OpenAI': 'Daonnachdan Didseatach', 'Claude': 'Daonnachdan Digiteach', 'Gemini': 'Na Daonnachdan Didseatach', 'DeepSeek': 'Daonnachdan Didseatach', 'Llama': 'Dùbhlanachd Dhiotail', 'Gemma': 'Daoineachd Digital', 'Qwen': 'Dùthchas Fhigiúil', 'Mistral': 'Dhà-mhìneachais Eadar-shasannach'}"
gez,Geez,Afro-Asiatic languages,Digital Humanities,STRUCTURAL_ABSENCE,rule_loanword_absence,Loan words present: ['digital'],False,True,8,7,8,8,35,digital,True,Ethiopic; Latin,Claude:\bloanword\b; Gemini:\bborrowed\b; Gemini:\btransliterat; DeepSeek:\bloanword\b; Gemma:\btransliterat; Qwen:\btransliterat,OpenAI:combining; Gemini:suffix,,0.2937,"This translation uses 'ዲጂታል' (dijital) as a loanword for 'Digital' which is common in modern Geez/Ethiopic usage, and 'ሰብአዊ ጥበባት' (sab'awi ṭabäbat) meaning 'human arts/sciences' or 'humanities' - where 'ሰብአዊ' (sab'awi) means 'human/humanistic' and 'ጥበባት' (ṭabäbat) is the plural of 'ጥበብ' meaning 'art","The term 'Digital Humanities' refers to the interdisciplinary field that combines the use of digital technology with the study of humanities. In Ge'ez, 'ትንታኔ' (tintane) can be used to denote 'digital' or 'technology-related', and 'ሰብእ' (sebe) refers to 'humanities' or 'human-related studies'. This t","The translation 'ዲጂታል ሰብአዊነት' (Dijital Seb'awinet) is a direct transliteration and semantic translation of 'Digital Humanities' into Geez. 

*   **ዲጂታል (Dijital):** This is a direct transliteration of 'Digital' into Geez. While Geez has its own rich vocabulary, modern technical terms are often borro",,"{'OpenAI': 'ትንታኔ ሰብእ', 'Claude': 'ዲጂታል፡ሰብአዊ፡ትምህርት', 'Gemini': 'ዲጂታል ሰብአዊነት', 'DeepSeek': 'ዲጂታል ሰብአዊ ትምህርት', 'Llama': 'አስተያየጁ ምጣፍ', 'Gemma': ""ዲጅታል ባህላዊ ጥናት (Dijital Bahilawi T'inat)"", 'Qwen': 'DIGITAL MINIGNAW', 'Mistral': 'መዝግ ባህል'}"
gil,Gilbertese,Austronesian languages,Digital Humanities,STRUCTURAL_ABSENCE,rule_loanword_absence,Loan words present: ['humanities'],False,True,9,8,9,9,39,humanities,False,Latin,OpenAI:\bborrowed\b; Gemini:\bborrowed\b; Gemini:\bborrowing\b; Gemma:\bborrowing\b,Gemini:compound; DeepSeek:combining; Llama:combining; Gemma:suffix; Qwen:construct,Gemini:either,0.2746,"This translation breaks down as: 'Te Katei' (the knowledge/studies), 'ni Mwaane' (of humans/humanity), 'aika Tituaraoi' (that are digital/electronic). Gilbertese typically uses descriptive phrases for modern technical terms. 'Tituaraoi' relates to electronic/digital technology, while 'Katei ni Mwaan","The term 'Digital Humanities' does not have a direct equivalent in Gilbertese, as it is a relatively modern and specialized field. Therefore, the translation involves using the word 'Humanities' in the context of Kiribati culture and language, which is 'Humanities ni Kiribati'. The word 'Digital' is","Gilbertese does not have a direct equivalent for 'Digital Humanities' as a single compound term. The translation aims to convey the meaning by breaking it down:

*   **Humanities:** 'Humanities' is a broad academic field. 'Koro' in Gilbertese refers to 'knowledge,' 'learning,' or 'wisdom,' often in ",,"{'EasyNMT': 'Aroia Aomata n Tokanikai i Aoni Bwaai ni Kabane', 'OpenAI': 'Humanities ni Kiribati', 'Claude': 'Te Katei ni Mwaane aika Tituaraoi', 'Gemini': 'Humanities ni Koro', 'DeepSeek': 'Te Rongorongo Aonano', 'Llama': 'Nan te Mwanea Kainanga', 'Gemma': 'Tearuan Digitali', 'Qwen': 'Taaiki Digitaki', 'Mistral': 'Humanitāni Digitale'}"
gjk,Kachi Koli,Indo-European languages,Digital Humanities,TRANSMOGRIFICATION,rule_default_transmogrification,No Wikipedia; 7 distinct outputs; construction signals: 5,False,True,7,5,7,7,22,,True,Arabic; Devanagari; Gujarati; Latin,Claude:no established; Claude:\btransliterat; Gemini:\btransliterat; DeepSeek:no direct; DeepSeek:\bborrowed\b; Gemma:\bborrowing\b,Claude:neologism; Claude:create.*term; Gemma:compound; Gemma:construct; Gemma:prefix,,0.2944,"Kachi Koli (ISO 639-3: gjk) is an Indo-Aryan language spoken primarily in Gujarat and Sindh with limited written documentation and no established standardized terminology for modern academic concepts. Without access to native speakers, established Kachi Koli dictionaries, or documented translations ",,"Kachi Koli, like many other Indian languages, often adopts English technical and academic terms directly, especially when a precise indigenous equivalent doesn't exist or isn't widely understood. 'Digital Humanities' is a relatively new and specialized field. Therefore, a direct transliteration of t",,"{'Claude': 'ڊجيٽل انسانيات', 'Gemini': 'ડિજિટલ માનવતા', 'DeepSeek': 'ڈیجیٹل ہیومینٹیز', 'Llama': 'Koʔaɣa khaɾi ɗaɣa', 'Gemma': 'Kōlī-dijitāl-mānava-vidyā', 'Qwen': 'Digiitali Huumaniiti', 'Mistral': 'घरेलू मानवीयता'}"
gju,Gujari,Indo-European languages,Digital Humanities,TRANSMOGRIFICATION,rule_default_transmogrification,No Wikipedia; 6 distinct outputs; construction signals: 0,False,True,7,8,6,6,15,,True,Arabic; Devanagari; Gujarati,Claude:\bloanword\b; Claude:\btransliterat; OpenAI:\btransliterat; Gemini:\btransliterat; DeepSeek:\bloanword\b; Gemma:\btransliterat,,,0.2041,"Gujari (gju) uses Devanagari script and is closely related to Rajasthani and Hindi. 'Digital' is transliterated as 'डिजिटल' (a common loanword in South Asian languages), and 'Humanities' is translated as 'मानविकी' (mānavikī), which is the standard term for humanities/human sciences in Hindi and rela","The term 'Digital Humanities' is translated into Gujari by using the transliteration of the English words 'Digital' and 'Humanities'. This approach is often used for technical or modern terms that may not have a direct equivalent in the target language. 'डिजिटल' represents 'Digital', and 'मानविकी' r","Gujari, like many other languages in the region, often adopts English terms directly or with slight phonetic adjustments when a precise indigenous equivalent doesn't exist or isn't widely recognized, especially for modern academic or technical concepts. 'Digital Humanities' is a relatively new and s",,"{'OpenAI': 'डिजिटल मानविकी', 'Claude': 'ڈیجیٹل انسانیات', 'Gemini': 'ڈیجیٹل ہیومینٹیز', 'DeepSeek': 'ڈیجیٹل ہیومینٹیز', 'Llama': 'ડિજીટલ માનવતા', 'Gemma': 'ડિજિટલ માનવિકા', 'Qwen': 'દીજિટાલ મનવિકલ્પો'}"
gl,Galician,Indo-European languages,Digital Humanities,TRANSMOGRIFICATION,rule_default_transmogrification,No Wikipedia; 3 distinct outputs; construction signals: 4,False,True,11,8,3,3,6,,False,Latin,,Gemma:combining; Gemma:create.*term; Qwen:combining; Mistral:compound,,0.3708,This is the standard translation used in Galician academic contexts. 'Humanidades' is the direct translation of 'Humanities' and 'Dixitais' is the Galician form of 'Digital' (note the characteristic Galician spelling with 'x' instead of 'g'). This term is widely used in Galician universities and res,"The term 'Digital Humanities' is translated into Galician as 'Humanidades Dixitais'. 'Humanidades' is the Galician word for 'Humanities', and 'Dixitais' is the Galician equivalent of 'Digital'. This translation maintains the meaning of the original term, which refers to the interdisciplinary field t","The translation 'Humanidades Dixitais' is a direct and accurate rendering of 'Digital Humanities' into Galician. 'Humanidades' is the standard translation for 'Humanities', and 'Dixitais' is the standard translation for 'Digital'. This term is widely understood and used in academic and technological",,"{'Google Translate': 'Humanidades Dixitais', 'EasyNMT': 'Humanos dixitais', 'Lingvanex': 'Humanidades Dixitais', 'OpenAI': 'Humanidades Dixitais', 'Claude': 'Humanidades Dixitais', 'Gemini': 'Humanidades Dixitais', 'DeepSeek': 'Humanidades Dixitais', 'Llama': 'Humanidades Digitais', 'Gemma': 'Humanidades Dixitais', 'Qwen': 'Humanidades digitais', 'Mistral': 'Humanidades Digitais'}"
gld,Nanai,Altaic languages,Digital Humanities,TRANSMOGRIFICATION,rule_default_transmogrification,No Wikipedia; 7 distinct outputs; construction signals: 0,False,True,7,5,7,7,28,,True,Cyrillic; Latin,Claude:\bloanword\b; Gemini:\btransliterat; DeepSeek:\bborrowed\b,,,0.212,Nanai is a Tungusic language spoken in the Russian Far East with significant Russian influence in modern terminology. 'Электронный' (electronic/digital) is a Russian loanword commonly used in Nanai for modern technology concepts. 'Гэрбуни' is a Nanai word meaning 'knowledge' or 'learning' that can e,,"Nanai, like many indigenous languages, does not have a direct, established term for 'Digital Humanities' as it is a modern, specialized academic field. Therefore, a transliteration of the Russian term 'Цифровой гуманитарные науки' (Tsifrovoy gumanitarnye nauki) is the most practical and understandab",,"{'Claude': 'Электронный гэрбуни', 'Gemini': 'Цифровой гуманитарнай наука', 'DeepSeek': 'Цифровой гуманитарный наукани', 'Llama': 'Kʌɣaŋi kʌɣaŋi', 'Gemma': 'Дыгитэл нэньэнгэ нэньэнгэнгэ', 'Qwen': 'Диджиталь чанууаттары', 'Mistral': 'ԓаһир-тэн ӈулхэ-тэн Үнэгэ-тэн'}"
glk,Gilaki,Indo-European languages,Digital Humanities,TRANSMOGRIFICATION,rule_default_transmogrification,No Wikipedia; 8 distinct outputs; construction signals: 6,False,True,8,8,8,8,18,,False,Arabic,OpenAI:no native; OpenAI:\btransliterat; Gemini:\btransliterat; DeepSeek:\bborrowed\b; Llama:\bloanword\b; Gemma:\btransliterat,Claude:construct; Gemini:combining; Gemini:suffix; DeepSeek:combining; Llama:combining; Gemma:suffix,,0.3003,"Gilaki uses Persian script and borrows heavily from Persian for modern technical terms. 'Digital Humanities' translates as 'دیجیتالی انسانی علوم' (dijitali ensani olum), where 'دیجیتالی' (dijitali) means 'digital', 'انسانی' (ensani) means 'human/humanities', and 'علوم' (olum) means 'sciences/studies","The term 'Digital Humanities' is translated into Gilaki by directly translating each component of the term. 'دیجیتال' is a direct transliteration of 'Digital,' as there is no native equivalent in Gilaki for this modern concept. 'انسانیّات' is used for 'Humanities,' which is derived from the Persian ","The term 'Digital Humanities' is a modern academic field. Gilaki, like many languages, often adopts specialized or technical terms from English, sometimes with minor phonetic adjustments or direct transliteration. 

*   'Digital' is directly transliterated as 'دیجیتال' (dijitāl). This is a common pr",,"{'OpenAI': 'دیجیتال انسانیّات', 'Claude': 'دیجیتالی انسانی علوم', 'Gemini': 'دیجیتال ٮینسانیت', 'DeepSeek': 'دیجیتال انسانی علوم', 'Llama': 'بومنشیگی دیجیتالی', 'Gemma': 'رۊدی ۊمۊنيتۊني', 'Qwen': 'دیجیتال هنرهای انسانی', 'Mistral': 'دیجیتال شماستان'}"
gmh,Middle High German,Indo-European languages,Digital Humanities,TRANSMOGRIFICATION,rule_default_transmogrification,No Wikipedia; 7 distinct outputs; construction signals: 7,False,True,7,8,7,7,23,,False,Latin,OpenAI:\bloanword\b; Gemini:\bborrowing\b; Llama:\bloanword\b,Claude:construct; Gemini:compound; Gemini:construct; DeepSeek:compound; DeepSeek:suffix; Llama:classical; Gemma:combining,,0.2885,"Middle High German (c. 1050-1350) predates the concept of 'Digital Humanities' by centuries, requiring a constructed translation. 'Geschriben' (written/inscribed) approximates 'digital' in the sense of recorded/textual knowledge. 'Menschlîchiu' (human, relating to humanity) translates 'Humanities.' ","Middle High German (MHG) was spoken approximately between 1050 and 1350. The term 'Digital Humanities' is a modern concept and does not have a direct equivalent in MHG. However, we can attempt a translation by breaking down the components: 'digital' and 'humanities'. The word 'digital' does not have","My translation of ""Digital Humanities"" into Middle High German as ""Digitale Geisteswissenschafte"" stems from a direct lexical mapping while acknowledging the anachronism. ""Digitale"" is a straightforward borrowing of the Latinate root, as such terms were already entering the German lexicon in various",,"{'OpenAI': 'Digitale Geisteswissenschaften', 'Claude': 'getæliu menschlîchiu kunst', 'Gemini': 'Digitale Geisteswissenschafte', 'DeepSeek': 'diu ziferlîche menscheit', 'Llama': 'digitale kunst', 'Gemma': 'digitale Humanität', 'Qwen': 'Digitale Huomantia'}"
