language_code,language_name,service,exclude_translation,exclude_term_minimal,exclude_term_fluent_speaker,exclude_term_github_searcher,exclude_term_judge,original_term,corrected_term,notes
"buc","Bushi","term_correction",false,false,false,false,false,"Bushi: Kambinga bilengi","Kambinga bilengi",""
"ewo","Ewondo","term_correction",false,false,false,false,false,"Ewondo: Nsɛm-ɛwɛndɛ","Nsɛm-ɛwɛndɛ",""
"kfo","Koro","term_correction",false,false,false,false,false,"Koro: Ŋwéŋwé Ŋgáŋ","Ŋwéŋwé Ŋgáŋ",""
"crk","Plains Cree","term_correction",false,false,false,false,false,"ᓇᐃᔭᐃᐗᐦᐃᑲᒧᐏᓇ (Naijaihihikamowin)","ᓇᐃᔭᐃᐗᐦᐃᑲᒧᐏᓇ",""
"crj","Southern East Cree","term_correction",false,false,false,false,false,"ᑎᒋᑕᓪ ᐃᔨᔨᐤ ᐊᔨᒧᐎᓐ (Tichital Iyiyiu Ayimowin)","ᑎᒋᑕᓪ ᐃᔨᔨᐤ ᐊᔨᒧᐎᓐ",""
"seh","Sena","term_correction",false,false,false,false,false,"Sena: Khaṭṭi Ṣaḥafiyya","Khaṭṭi Ṣaḥafiyya",""
"vmw","Makhuwa","term_correction",false,false,false,false,false,"Makhuwa: Mabuku ya Digitale","Mabuku ya Digitale",""
"vmw","Makhuwa","term_correction",false,false,false,false,false,"Makhuwa: Vutivi vya Kitaalamu cha Digital","Vutivi vya Kitaalamu cha Digital",""
"lag","Langi","term_correction",false,false,false,false,false,"Langi: Ŋuun-dii-ŋa-ŋa","Ŋuun-dii-ŋa-ŋa",""
"zbl","Blissymbols","search_exclusion",false,false,false,false,false,"⠠⠙⠊⠛⠊⠞⠁⠇ ⠠⠓⠥⠍⠁⠝⠊⠞⠊⠑⠎","",""
"zbl","Blissymbols","search_exclusion",false,false,false,false,false,"[MAN-MADE OBJECT] [BOOK] [COMPUTER] [HUMAN] [KNOWLEDGE]","",""
"zbl","Blissymbols","analysis_exclusion",true,false,false,false,false,"['computer', 'study']","",""
"zbl","Blissymbols","search_exclusion",false,false,false,false,false,"[computer symbol][information symbol][human symbol]","",""
"zbl","Blissymbols","search_exclusion",false,false,false,false,false,"[Computer symbol] [Information symbol] [Human symbol] [Studies symbol]","",""
"zbl","Blissymbols","search_exclusion",false,false,false,false,false,"DigiTekS","",""
"zbl","Blissymbols","search_exclusion",false,false,false,false,false,"digital_(class) + knowledge_(class)","",""
"zbl","Blissymbols","search_exclusion",false,false,false,false,false,"number_knowledge human_knowledge","",""
"zbl","Blissymbols","search_exclusion",false,false,false,false,false,"computer_(thing).knowledge_(class)","",""
"zbl","Blissymbols","search_exclusion",false,false,false,false,false,"Digitale\Humanities","",""
"zbl","Blissymbols","search_exclusion",false,false,false,false,false,"digital_(class)+knowledge_(class)","",""
"zbl","Blissymbols","search_exclusion",false,false,false,false,false,"(minimal — OpenAI (GPT-4o), github_searcher — OpenAI (GPT-4o)): ""⠠⠙⠊⠛⠊⠞⠁⠇ ⠠⠓⠥⠍⠁⠝⠊⠞⠊⠑⠎""","",""
"zbl","Blissymbols","search_exclusion",false,false,false,false,false,"[ZBL: 301-200-100]","",""
"cad","Caddo","analysis_exclusion",true,false,false,false,false,"Translation not available","",""
"cad","Caddo","analysis_exclusion",true,false,false,false,false,"...","",""
"kho","Khotanese","analysis_exclusion",true,false,false,false,false,"Translation not available","",""
"kho","Khotanese","search_exclusion",false,false,false,false,false,"디지탈 라gnore","",""
"kho","Khotanese","search_exclusion",false,false,false,false,false,"디지ټال हUMANITIEZ","",""
"xmr","Meroitic","analysis_exclusion",true,false,false,false,false,"Translation not possible","",""
"xmr","Meroitic","analysis_exclusion",true,false,false,false,false,"]='","",""
"xmr","Meroitic","analysis_exclusion",true,false,false,false,false,"Not applicable","",""
"xmr","Meroitic","search_exclusion",false,false,false,false,false,"Nile 30 59 41","",""
"rob","Tae'","analysis_exclusion",true,false,false,false,false,"Unable to translate","",""
"rob","Tae'","search_exclusion",false,false,false,false,false,"디지털 umanis","",""
"rob","Tae'","search_exclusion",false,false,false,false,false,"Tae' Digital Humanities","",""
"rob","Tae'","search_exclusion",false,false,false,false,false,"Tae' ŋa'a ŋa'a","",""
"zag","Zaghawa","analysis_exclusion",true,false,false,false,false,":","",""
"zag","Zaghawa","analysis_exclusion",true,false,false,false,false,"Not available at this time","",""
"zag","Zaghawa","search_exclusion",false,false,false,false,false,"Téknolojí Ìn-Ìn-Ìn Ìn-Ìn-Ìn Ìn-Ìn-Ìn","",""
"egy","Ancient Egyptian","analysis_exclusion",true,false,false,false,false,"No direct equivalent. A conceptual translation could be: 'The study of human culture and knowledge through divine words/writing and sacred tools.'","",""
"egy","Ancient Egyptian","search_exclusion",false,false,false,false,false,"[Book of Writing] [Year of Day of Reign of Time] [Heart of Thought of Speech] [Speech of Year of Day of Reign of Time]","",""
"egy","Ancient Egyptian","search_exclusion",false,false,false,false,false,"_DDj-ntr-wsyt_","",""
"yue","Cantonese","analysis_exclusion",true,false,false,false,false,"\u5e73\u7a97\u4f1a\u6c17\u516b\u5b66","",""
"yue","Cantonese","search_exclusion",false,false,false,false,false,"數碼人 humanities / 數字人文","",""
"yue","Cantonese","search_exclusion",false,false,false,false,false,"數碼人 humanities / 數碼人文","",""
"zh-classical","Classical Chinese","analysis_exclusion",true,false,false,false,false,"\u5e73\u7a97\u4f1a\u6d77\u516c\u53f8","",""
"zh-classical","Classical Chinese","search_exclusion",false,false,false,false,false,"數人文","",""
"ja","Japanese","analysis_exclusion",true,false,false,false,false,"\u30d7\u30ed\u30b9\u30e1\u30a4\u30f3\u30c8\u30fc\u30b0\u30eb\u30a2\u30ab","",""
"th","Thai","analysis_exclusion",true,false,false,false,false,"\u0e1b\u0e48\u0e2a\u0e27\u0e31\u0e19\u0e40\u0e14\u0e35\u0e22\u0e49\u0e37\u0e48\u0e17","",""
"th","Thai","analysis_exclusion",true,false,false,false,false,"\u0e1a\u0e49\u0e32\u0e19\u0e14\u0e37\u0e48\u0e23\u0e2d\u0e01\u0e40\u0e04\u0e25\u0e31\u0e07","",""
"amo","Amo","search_exclusion",false,false,false,false,false,"Amo","",""
"amo","Amo","search_exclusion",false,false,false,false,false,"Amo Digital Humanities","",""
"zh","Chinese","analysis_exclusion",true,false,false,false,false,"\u5e73\u7ec4\u5176\u4ed6\u6770","",""
"syc","Classical Syriac","search_exclusion",false,false,false,false,false,"[Digitāl] [Bnāyānā]","",""
"syc","Classical Syriac","search_exclusion",false,false,false,false,false,"ܕܝagrid ܥ)))),ܘܬܐ","",""
"syc","Classical Syriac","search_exclusion",false,false,false,false,false,"ܕܝagridܐ ܕܚܝܘܢܝܬܐ","",""
"syc","Classical Syriac","search_exclusion",false,false,false,false,false,"ܕܝagridܐ ܚ人脉交流与数字人文的翻译","",""
"elx","Elamite","analysis_exclusion",true,false,false,false,false,"Translation not possible","",""
"elx","Elamite","analysis_exclusion",true,false,false,false,false,"...","",""
"elx","Elamite","analysis_exclusion",true,false,false,false,false,"No direct translation possible","",""
"ecy","Eteocypriot","analysis_exclusion",true,false,false,false,false,"UNTRANSLATABLE","",""
"ecy","Eteocypriot","search_exclusion",false,false,false,false,false,"[Translation not possible]","",""
"ett","Etruscan","analysis_exclusion",true,false,false,false,false,"Cannot be accurately translated","",""
"ett","Etruscan","analysis_exclusion",true,false,false,false,false,"No direct translation possible.","",""
"ett","Etruscan","search_exclusion",false,false,false,false,false,"...velathu θuwalθaθi","",""
"bbj","Ghomala","analysis_exclusion",true,false,false,false,false,"...","",""
"kro","Kru languages","analysis_exclusion",true,false,false,false,false,"Digital Humanities cannot be directly translated into Kru languages","",""
"kro","Kru languages","search_exclusion",false,false,false,false,false,"Kpɔkpɛ kpɛkpɛ kpɛkpɛ kpɛkpɛ kpɛkpɛ kpɛkpɛ kpɛkpɛ","",""
"kut","Kutenai","analysis_exclusion",true,false,false,false,false,"Digital Humanities translation not available","",""
"kut","Kutenai","analysis_exclusion",true,false,false,false,false,"...","",""
"kxv","Kuvi","analysis_exclusion",true,false,false,false,false,"TBD","",""
"lab","Linear A","analysis_exclusion",true,false,false,false,false,"Unable to translate","",""
"lab","Linear A","search_exclusion",false,false,false,false,false,"[Sign for 'writing' or 'inscription'] [Sign for 'modern'] [Sign for 'knowledge']","",""
"lab","Linear A","search_exclusion",false,false,false,false,false,"Laboratoire de Sciences Numériques","",""
"lab","Linear A","analysis_exclusion",true,false,false,false,false,"No satisfactory translation possible","",""
"lab","Linear A","search_exclusion",false,false,false,false,false,"Laboratory of Digital Humanities","",""
"ml","Malayalam","analysis_exclusion",true,false,false,false,false,"ഡിജിറ്റൽ മനോവിദ്യ\u0dbeയ","",""
"ml","Malayalam","search_exclusion",false,false,false,false,false,"デジタル മനോശാജ്ഞയം","",""
"nan","Min Nan Chinese","analysis_exclusion",true,false,false,false,false,"\u5e73\u516c\u4f1a\u6d77\u7ea8","",""
"nsk","Naskapi","analysis_exclusion",true,false,false,false,false,"...","",""
"nsk","Naskapi","search_exclusion",false,false,false,false,false,"Tšakapeshkâtikwâw","",""
"nsk","Naskapi","search_exclusion",false,false,false,false,false,"Tšuàkhtikùtshinâw","",""
"cjs","Shor","analysis_exclusion",true,false,false,false,false,",{","",""
"sog","Sogdian","analysis_exclusion",true,false,false,false,false,"...","",""
"sog","Sogdian","search_exclusion",false,false,false,false,false,"𐼷𐼰𐼴𐼷𐼰𐼴𐼹𐼷𐼰𐼴𐼹𐼷𐼰𐼴𐼹","",""
"sog","Sogdian","search_exclusion",false,false,false,false,false,"𐼰𐼴𐼸𐼰𐼳𐼰𐼴𐼸𐼰𐼳𐼰𐼴𐼸𐼰𐼳𐼰𐼴𐼸𐼰𐼳","",""
"sog","Sogdian","search_exclusion",false,false,false,false,false,"-scalable ewire-knowledge","",""
"sog","Sogdian","search_exclusion",false,false,false,false,false,"-scalabley wīzārtyw","",""
"sog","Sogdian","search_exclusion",false,false,false,false,false,"𐼷𐼰𐼴𐼷𐼰𐼴 𐼷𐼰𐼴𐼷𐼰𐼴","",""
"sog","Sogdian","search_exclusion",false,false,false,false,false,"𐼷𐼰𐼴𐼷𐼰𐼴 𐼹𐼷𐼰𐼴𐼹","",""
"was","Washo","analysis_exclusion",true,false,false,false,false,"Translation not available","",""
"was","Washo","analysis_exclusion",true,false,false,false,false,"Digital Humanities: 'digital' means using computers and technology; 'humanities' refers to studying people, culture, and history","",""
"was","Washo","search_exclusion",false,false,false,false,false,"Dajʔúʔú ʔúʔúʔú ʔúʔúʔú ʔúʔúʔú","",""
"was","Washo","search_exclusion",false,false,false,false,false,"Hú'ú 'ú'ú gáa'a","",""
"was","Washo","search_exclusion",false,false,false,false,false,"Nuwu-Washo Digitálu","",""
"ase","American Sign Language","search_exclusion",false,false,false,false,false,"[Computer or keyboard handshape] [Book or open-book handshape]","",""
"ase","American Sign Language","search_exclusion",false,false,false,false,false,"[Left hand open, palm facing down, moving fingers up and down rapidly] [Right hand open, palm facing down, moving fingers up and down rapidly] [Bring left and right hands together, palms facing each other, fingers interlaced, and move them apart and together to represent 'digital'] [Hold both hands open, palms facing forward, and make a sweeping motion from left to right to represent 'humanities']","",""
"ase","American Sign Language","search_exclusion",false,false,false,false,false,"-Compatible-Technology-Research","",""
"ase","American Sign Language","search_exclusion",false,false,false,false,false,"DIGITAL-STUDY HUMANITIES-FIELD","",""
"ase","American Sign Language","search_exclusion",false,false,false,false,false,"DIGITAL-TECH-STUDY-CULTURE","",""
"ase","American Sign Language","search_exclusion",false,false,false,false,false,"DIGITAL + HUMANITIES (using the sign for 'human' or 'people' and then 'study' or 'field')","",""
"ase","American Sign Language","search_exclusion",false,false,false,false,false,"Фастемоги \u041dауки","",""
"ase","American Sign Language","search_exclusion",false,false,false,false,false,",{","",""
"ase","American Sign Language","search_exclusion",false,false,false,false,false,"DIGITAL HUMANITIES (signed with fingerspelled 'DIGITAL' then 'HUMANITIES')","",""
"ase","American Sign Language","search_exclusion",false,false,false,false,false,"DIGITAL HUMANITIES (American Sign Language translation not directly applicable)","",""
"aro","Araona","analysis_exclusion",true,false,false,false,false,"No direct translation possible. A descriptive phrase would be needed, developed in consultation with Araona speakers.","",""
"aro","Araona","search_exclusion",false,false,false,false,false,"Araona jʉ̃ʉ̃ dya ejepa jʉ̃ʉ̃ dya","",""
"ae","Avestan","analysis_exclusion",true,false,false,false,false,"Translation not available","",""
"ae","Avestan","analysis_exclusion",true,false,false,false,false,"Not directly translatable","",""
"ae","Avestan","search_exclusion",false,false,false,false,false,"𐬚𐬀𐬭𐬕𐬀𐬨𐬀𐬭𐬀𐬀𐬀𐬀𐬀𐬀𐬀 𐬮𐬀𐬭𐬀𐬀𐬀𐬀𐬀𐬀𐬀𐬀𐬀𐬀𐬀𐬀 𐬵𐬀𐬭𐬀𐬀𐬀𐬀𐬀𐬀𐬀𐬀𐬀𐬀𐬀𐬀","",""
"bfd","Bafut","analysis_exclusion",true,false,false,false,false,"No translation available","",""
"clc","Chilcotin","analysis_exclusion",true,false,false,false,false,"Translation not available","",""
"ewo","Ewondo","analysis_exclusion",true,false,false,false,false,"...","",""
"mvy","Indus Kohistani","analysis_exclusion",true,false,false,false,false,"Not Applicable","",""
"dyo","Jola-Fonyi","analysis_exclusion",true,false,false,false,false,"No direct translation available","",""
"khn","Khandesi","analysis_exclusion",true,false,false,false,false,"...","",""
"khn","Khandesi","search_exclusion",false,false,false,false,false,"/Dkthlwns/","",""
"bzx","Kɛlɛngaxo Bozo","analysis_exclusion",true,false,false,false,false,"...","",""
"bzx","Kɛlɛngaxo Bozo","search_exclusion",false,false,false,false,false,"Kɛlɛngaxo Bozo Dijitali","",""
"luy","Luyia","analysis_exclusion",true,false,false,false,false,"...","",""
"tce","Southern Tutchone","analysis_exclusion",true,false,false,false,false,"Translation not available","",""
"tce","Southern Tutchone","analysis_exclusion",true,false,false,false,false,"Unable to provide translation","",""
"ude","Udihe","analysis_exclusion",true,false,false,false,false,"No direct translation available","",""
"uga","Ugaritic","analysis_exclusion",true,false,false,false,false,"Translation not possible","",""
"uga","Ugaritic","analysis_exclusion",true,false,false,false,false,"No direct equivalent","",""
"ybb","Yemba","analysis_exclusion",true,false,false,false,false,"...","",""
"chy","Cheyenne","analysis_exclusion",true,false,false,false,false,"Translation not available","",""
