language_code,language_name,language_family,term_source,has_wikipedia,n_services_with_data,mean_rationale_similarity,category,evidence,loan_words_found,absence_signals,construction_signals,debate_signals,n_unique_raw,n_unique_normalized,max_edit_distance,has_script_disagreement,scripts_found,script_per_service,script_signals,claude_rationale_snippet,openai_rationale_snippet,gemini_rationale_snippet,ollama_rationale_snippet,service_translations
eu,Basque,Basque (family),Digital Humanities,True,7,0.379,PRODUCTIVE_DISAGREEMENT,Wikipedia translation present; 4 distinct outputs; debate signals: 0,False,,,,4,4,19,False,['Latin'],"[('Wikipedia', 'Latin'), ('Google Translate', 'Latin'), ('EasyNMT', 'Latin'), ('Lingvanex', 'Latin'), ('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin')]",Wikipedia:Latin; Google Translate:Latin; EasyNMT:Latin; Lingvanex:Latin; OpenAI:Latin; Claude:Latin; Gemini:Latin,"Direct translation where 'Giza Ikasketa' means Humanities (literally 'Human Studies') and 'Digitalak' is the plural form of digital, following Basque grammatical structure with the adjective after the noun.","The term 'Digital Humanities' translates to 'Humanitate Digitalak' in Basque, where 'Humanitate' means 'Humanities' and 'Digital' remains the same as in English due to its universal technological context.","Basque does not have a direct single-word equivalent for 'Humanities'. 'Giza Zientziak' translates to 'Human Sciences' or 'Humanities'. 'Digitalak' is the plural form of 'digital', making 'Giza Zientzia Digitalak' a direct and accurate translation for 'Digital Humanities'.",,"{'Wikipedia': 'Humanitate digitalak', 'Google Translate': 'Humanitate Digitalak', 'EasyNMT': 'Gizatasun digitalak', 'Lingvanex': 'Humanitate Digitalak', 'OpenAI': 'Humanitate Digitalak', 'Claude': 'Giza Zientzien Informatika', 'Gemini': 'Giza Zientzia Digitalak'}"
evn,Evenki,Altaic languages,Digital Humanities,False,4,0.2974,TRANSMOGRIFICATION,No Wikipedia; 4 distinct outputs; absence signals: 4; construction signals: 0; script disagreement: Cyrillic+Latin,False,Claude:loanword; OpenAI:borrowed; Gemini:loanword; Ollama:borrowed,,,4,4,25,True,"['Cyrillic', 'Latin']","[('OpenAI', 'Cyrillic'), ('Claude', 'Cyrillic'), ('Gemini', 'Cyrillic'), ('Ollama', 'Latin')]",OpenAI:Cyrillic; Claude:Cyrillic; Gemini:Cyrillic; Ollama:Latin,"Combines Russian loanword 'цифровой' (digital) commonly used in Evenki for modern technology terms, with 'билини' (knowledge/learning/humanities). Evenki typically borrows Russian terms for contemporary academic and technological concepts while maintaining native words for core semantic domains.",Evenki is a Tungusic language that has borrowed terms from Russian for modern concepts. 'Цифровые Гуманитарные Науки' is a direct Russian translation commonly understood by Evenki speakers for the concept of Digital Humanities due to linguistic and cultural influences.,"Evenki is a language with a strong oral tradition and less established vocabulary for modern technical terms. 'Цифровой' (tsifrovoy) is a loanword from Russian for 'digital', which is widely understood in Evenki-speaking communities due to Russian influence. 'Гуманитарнай наука' (gumanitarnay nauka)","Due to the limited availability of language resources, I'm unable to provide a direct translation for 'Digital Humanities' into Evenki (ISO code: evn). However, I can suggest a possible approach: break down the term into its constituent parts ('digital' and 'humanities') and translate each part sepa","{'OpenAI': 'Цифровые Гуманитарные Науки', 'Claude': 'Цифровой билини', 'Gemini': 'Цифровой гуманитарнай наука', 'Ollama': 'SÃ¼Ä\x85Å\x83Æ\xadÊÄ\x85ÈÇÉËÊ'}"
ewo,Ewondo,Niger-Kordofanian languages,Digital Humanities,False,4,0.1761,STRUCTURAL_ABSENCE,Loan word detected: True; absence signals: 1; services with data: 4,True,Gemini:borrowed,Claude:compound; Ollama:combining,,4,4,24,False,['Latin'],"[('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('Ollama', 'Latin')]",OpenAI:Latin; Claude:Latin; Gemini:Latin; Ollama:Latin,"Combines 'nkà' (knowledge/science), 'ebàlé' (humanities/human affairs), and 'nkukuma' (digital/electronic), following Ewondo compound noun patterns for academic terminology","The Ewondo language, being a minority language in Cameroon, often borrows terms from French for modern concepts like 'Digital Humanities'. The term 'Humanités Numériques' is used because it is a direct loan from French, which is commonly understood in light of its colonial history and the current ed","This translates literally to 'Gathering/Meeting of Digital Knowledge/Wisdom'. 'Akumane' signifies a collection or gathering, often of people or ideas. 'Nka'ane' refers to knowledge, wisdom, or understanding. 'Digital' is borrowed directly as there isn't a native Ewondo equivalent that captures the f","Bafwé (Digital) + Bibiti (Humanités), combining the Ewondo term for 'people of knowledge' with the concept of digital humanities.","{'OpenAI': 'Humanités Numériques', 'Claude': 'Minsisim Mi Nnomo Ye Bensisim', 'Gemini': ""Akumane ya Nka'ane ya Digital"", 'Ollama': 'Bafwé Bibiti'}"
ext,Extremaduran,Indo-European languages,Digital Humanities,False,4,0.2919,TRANSMOGRIFICATION,No Wikipedia; 4 distinct outputs; absence signals: 0; construction signals: 1,False,,Gemini:morpholog,,4,4,5,False,['Latin'],"[('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('Ollama', 'Latin')]",OpenAI:Latin; Claude:Latin; Gemini:Latin; Ollama:Latin,"Extremaduran follows Romance language patterns similar to Spanish/Portuguese. 'Humanidais' is the Extremaduran plural form of 'humanidad' (humanities), and 'Digitalis' adapts the Latin-derived 'digital' following Extremaduran phonetic patterns.","The term 'Digital Humanities' is translated into Extremaduran by using 'Humanidaes' for 'Humanities' and 'Dixitalis' for 'Digital', keeping close to the original meaning while respecting the linguistic properties of Extremaduran.","This translation combines 'Humaniais' (Humanities) and 'Degitalis' (Digital), adapting the latter to Extremaduran phonology and morphology. 'Humaniais' is a plural form fitting the academic field, and 'Degitalis' is an adjectival form derived from 'degital' (digital) to modify it.","Term translated following the linguistic guidelines for Extremaduran, a Romance language spoken in Spain","{'OpenAI': 'Humanidaes Dixitalis', 'Claude': 'Humanidais Digitalis', 'Gemini': 'Humaniais Degitalis', 'Ollama': 'Humanidades Digitales'}"
fa,Persian,Indo-European languages,Digital Humanities,True,6,0.355,NOT_APPLICABLE,All services produced the same translation,False,,,,1,1,0,False,['Arabic'],"[('Wikipedia', 'Arabic'), ('Google Translate', 'Arabic'), ('Lingvanex', 'Arabic'), ('OpenAI', 'Arabic'), ('Claude', 'Arabic'), ('Gemini', 'Arabic')]",Wikipedia:Arabic; Google Translate:Arabic; Lingvanex:Arabic; OpenAI:Arabic; Claude:Arabic; Gemini:Arabic,Direct translation where 'علوم انسانی' means 'humanities' and 'دیجیتال' is the Persian rendering of 'digital'. This is the standard term used in Persian academic discourse.,"The term 'علوم انسانی' translates to 'Humanities' and 'دیجیتال' translates to 'Digital' in Persian, reflecting the interdisciplinary field that integrates digital methods with humanities research.",This is a direct and accurate translation. 'علوم انسانی' means 'humanities' and 'دیجیتال' means 'digital'. This term is widely accepted and used in academic and professional contexts in Persian-speaking countries.,,"{'Wikipedia': 'علوم انسانی دیجیتال', 'Google Translate': 'علوم انسانی دیجیتال', 'Lingvanex': 'علوم انسانی دیجیتال', 'OpenAI': 'علوم انسانی دیجیتال', 'Claude': 'علوم انسانی دیجیتال', 'Gemini': 'علوم انسانی دیجیتال'}"
fan,Fang,Niger-Kordofanian languages,Digital Humanities,False,4,0.1781,STRUCTURAL_ABSENCE,Loan word detected: True; absence signals: 1; services with data: 4,True,Ollama:loanword,Claude:compound,,4,4,26,False,['Latin'],"[('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('Ollama', 'Latin')]",OpenAI:Latin; Claude:Latin; Gemini:Latin; Ollama:Latin,"In Fang, 'minlàn' refers to knowledge/sciences and 'ndɔm' refers to digital/electronic technology. This compound term captures both the humanities (knowledge/learning) and digital aspects.","In Fang, 'Ékùmbà' can be used to denote 'digital', linked to the context of modern or technological advancements, while 'Ñgòñlò' refers to 'humanities', encompassing culture, human society, and its development. This translation captures the intersection of technology and humanistic study.","Fang lacks a direct equivalent. 'Akaman' means 'knowledge' or 'science,' and 'Mbemba' refers to 'digital' or 'computer.' This combines to mean 'digital knowledge' or 'digital science,' which best approximates 'Digital Humanities' in a concise manner.","Fang does not have a direct equivalent for the term Digital Humanities, as it is a language isolate and its vocabulary is not extensively documented. However, I can attempt to translate it using loanwords or by providing a gloss.","{'OpenAI': 'Ekïkóló mbvuli tá medzang eyo', 'Claude': 'Minsango mi Nkukuma yi Nzame', 'Gemini': ""Bia'a-ntu ye Nkañ-ntu ya Digital"", 'Ollama': 'Hmongov Thaj Tsaug'}"
fat,Fanti,Niger-Kordofanian languages,Digital Humanities,False,5,0.1671,STRUCTURAL_ABSENCE,Loan word detected: True; absence signals: 3; services with data: 5,True,Claude:borrowed; OpenAI:loanword; Gemini:loanword,Claude:compound,,5,5,22,False,['Latin'],"[('Google Translate', 'Latin'), ('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('Ollama', 'Latin')]",Google Translate:Latin; OpenAI:Latin; Claude:Latin; Gemini:Latin; Ollama:Latin,"Combines 'Dijital' (digital, borrowed term commonly used in Fanti), 'Amanneɛ' (humanities/human affairs), and 'Nimdeɛ' (knowledge/studies), creating a compound term that captures the intersection of digital technology and humanistic scholarship.","Fanti, like many African languages, often incorporates loanwords for contemporary concepts like 'digital' and 'humanities' due to the absence of pre-existing terms. Therefore, the English term is used directly.","Fanti, like many Akan languages, often uses descriptive phrases for new concepts. 'Digital' is rendered as 'Digital' (a common loanword or direct adoption in many Ghanaian languages) or sometimes 'kɔmputa so' (on computer). 'Humanities' is translated as 'Nsɛm Pɛɛ Ho Adesua,' where 'Nsɛm' means 'matt","Combination of Fanti words for 'digital' (mmara) and 'humanities' (dziviesi), using local linguistic conventions.","{'Google Translate': 'Digitals Nnipa Ho Adesua', 'OpenAI': 'Digital Humanities', 'Claude': 'Dijital Amanneɛ ho Nimdeɛ', 'Gemini': 'Digital Nsɛm Pɛɛ Ho Adesua', 'Ollama': 'Mmara Dziviesi'}"
ff,Fula,Niger-Kordofanian languages,Digital Humanities,False,5,0.1761,TRANSMOGRIFICATION,No Wikipedia; 5 distinct outputs; absence signals: 1; construction signals: 2,False,Ollama:loanword,Claude:compound; Gemini:combining,,5,5,24,False,['Latin'],"[('Google Translate', 'Latin'), ('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('Ollama', 'Latin')]",Google Translate:Latin; OpenAI:Latin; Claude:Latin; Gemini:Latin; Ollama:Latin,"Combines 'winndannde' (digital/electronic/computational) and 'noddinnde' (humanities/human knowledge/sciences), following Fula's noun compounding patterns for academic terminology.","The term 'Binteeri' refers to 'digital' while 'Goroordi' can mean 'humanities' or 'human studies' in Fula, reflecting the interdisciplinary nature of the field.","Fula doesn't have a direct equivalent for 'Digital Humanities'. 'Ganndal Dijital' translates to 'Digital Knowledge/Science' and 'Neɗɗaagu' means 'Humanity' or 'Human Sciences'. Combining them conveys the interdisciplinary nature of the field, emphasizing the application of digital methods to humanis","Literally 'Digital Humanities' in Fula, using a combination of French and English loanwords common in West African languages","{'Google Translate': 'Neɗɗaŋke Dijital', 'OpenAI': 'Binteeri Goroordi', 'Claude': 'Winndannde Noddinnde', 'Gemini': 'Ganndal Neɗɗankaagal Dijital', 'Ollama': 'Tegemoli Digitool'}"
ffm,Maasina Fulfulde,Niger-Kordofanian languages,Digital Humanities,False,4,0.3075,TRANSMOGRIFICATION,No Wikipedia; 4 distinct outputs; absence signals: 0; construction signals: 3,False,,Claude:compound; Claude:construct; Ollama:combining,,4,4,19,False,['Latin'],"[('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('Ollama', 'Latin')]",OpenAI:Latin; Claude:Latin; Gemini:Latin; Ollama:Latin,"In Maasina Fulfulde, 'Hiisnaa' refers to digital/electronic technology (from modern usage) and 'Noddiiɗaa' refers to knowledge/humanities (from 'noodiingo' meaning knowledge/wisdom). This compound follows Fulfulde noun construction patterns.","The term 'Digital Humanities' combines 'digital' and 'humanities'. In Maasina Fulfulde, 'boowal' refers to 'humanities' and 'digitaal' is adopted to refer to digital technologies due to the lack of a native term.","Maasina Fulfulde doesn't have a direct equivalent for 'digital' in the abstract sense. 'Ganndal Hakkilantaagal' translates to 'intellectual knowledge' or 'humanities' in a broad sense, emphasizing the humanistic aspect. 'e Faggudu' means 'and technology/economy', which captures the 'digital' aspect ","Digital Humanities is translated to the Maasina Fulfulde term for 'digital humanities' or 'digital studies', combining the concept of digital with a general term for humanities","{'OpenAI': 'Boowal Digitaal', 'Claude': 'Hiisnaa Noddiiɗaa', 'Gemini': 'Ganndal Neɗɗaagu Dijital', 'Ollama': 'Tubaa fiɗɓɓugol'}"
fi,Finnish,Uralic languages,Digital Humanities,True,8,0.48,PRODUCTIVE_DISAGREEMENT,Wikipedia translation present; 3 distinct outputs; debate signals: 0,False,,Ollama:combining,,3,3,10,False,['Latin'],"[('Wikipedia', 'Latin'), ('Google Translate', 'Latin'), ('EasyNMT', 'Latin'), ('Lingvanex', 'Latin'), ('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('Ollama', 'Latin')]",Wikipedia:Latin; Google Translate:Latin; EasyNMT:Latin; Lingvanex:Latin; OpenAI:Latin; Claude:Latin; Gemini:Latin; Ollama:Latin,"Direct translation of 'Digital Humanities' following Finnish academic terminology, where 'digitaaliset' means digital and 'humanistiset tieteet' means humanities/humanistic sciences. This is the standard term used in Finnish universities and academic contexts.","The term 'digitaaliset humanistiset tieteet' literally translates to 'digital humanities' in Finnish, where 'digitaaliset' means 'digital' and 'humanistiset tieteet' means 'humanities'.",This is the standard and widely accepted translation in Finnish academic and professional contexts. 'Digitaaliset' means 'digital' (plural) and 'humanistiset tieteet' means 'humanities' (plural).,"Translation of 'Digital Humanities' into Finnish, combining 'digitaalinen' (digital) and 'humanisti' (humanist)","{'Wikipedia': 'Digitaaliset ihmistieteet', 'Google Translate': 'Digitaaliset humanistiset tieteet', 'EasyNMT': 'Digitaaliset humanistiset tieteet', 'Lingvanex': 'Digitaaliset humanistiset tieteet', 'OpenAI': 'digitaaliset humanistiset tieteet', 'Claude': 'digitaaliset humanistiset tieteet', 'Gemini': 'Digitaaliset humanistiset tieteet', 'Ollama': 'Digitaaliset humanistit'}"
fia,Nobiin,Nilo-Saharan languages,Digital Humanities,False,4,0.1919,TRANSMOGRIFICATION,No Wikipedia; 4 distinct outputs; absence signals: 1; construction signals: 3; script disagreement: Arabic+Latin,False,Claude:borrowed,Claude:combining; Gemini:compound; Gemini:construct,,4,4,24,True,"['Arabic', 'Latin']","[('OpenAI', 'Arabic'), ('Claude', 'Latin'), ('Gemini', 'Arabic'), ('Ollama', 'Latin')]",OpenAI:Arabic; Claude:Latin; Gemini:Arabic; Ollama:Latin,"Combining 'Dijitaal' (digital, borrowed from Arabic/international usage), 'Insaanin' (of humans/humanity), and 'Ilmii' (knowledge/sciences). Nobiin often borrows terms for modern concepts while using native grammatical structures.",Nobiin uses the Arabic script for writing. The translation maintains the concept of 'Digital' (رقمية) and 'Humanities' (حضارة) in a way that aligns with the cultural and technical aspects of the language.,"Nobiin, like many languages, often borrows or calques technical terms. 'العلوم' (al-ʿulūm) means 'sciences' or 'knowledge,' and 'الإنسانية' (al-insāniyya) means 'humanities' or 'humanity.' 'الرقمية' (al-raqamiyya) means 'digital.' The structure 'العلوم الرقمية الإنسانية' directly translates to 'The ","Nobiin does not have a direct equivalent for 'Digital Humanities'. However, the concept can be translated as ","{'OpenAI': 'الحضارة الرقمية', 'Claude': 'Dijitaal Insaanin Ilmii', 'Gemini': 'العلوم الرقمية الإنسانية', 'Ollama': 'Tiŋgi tɛh kɔm ɗʊmna'}"
fil,Filipino,Austronesian languages,Digital Humanities,False,5,0.2942,STRUCTURAL_ABSENCE,Loan word detected: True; absence signals: 2; services with data: 5,True,Gemini:loanword; Gemini:retain.*english,Ollama:prefix,,5,5,9,False,['Latin'],"[('Google Translate', 'Latin'), ('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('Ollama', 'Latin')]",Google Translate:Latin; OpenAI:Latin; Claude:Latin; Gemini:Latin; Ollama:Latin,"Direct translation preserving 'Humanidades' as the established academic term for humanities disciplines in Filipino, while 'Dihital' is the Filipino adaptation of 'digital' commonly used in academic contexts.",The term 'Digital Humanities' is translated to 'Diyital na Humanidades' to maintain the concept of technology ('Diyital') applied to the study of human culture ('Humanidades').,"The term 'Digital Humanities' is often adopted directly into Filipino academic discourse due to its specialized nature and the lack of a single, universally accepted direct translation that fully captures its interdisciplinary scope. While 'Humanidades Digital' could be a literal translation, 'Digit","I translated 'Humanities' to 'Panitikan', which is the Tagalog word for humanities, and added 'Digital' as a prefix to indicate its digital aspect.","{'Google Translate': 'Digital Humanities', 'OpenAI': 'Diyital na Humanidades', 'Claude': 'Dihital na Humanidades', 'Gemini': 'Digital na Humanidades', 'Ollama': 'Digital na Panitikan'}"
fit,Tornedalen Finnish,Uralic languages,Digital Humanities,False,4,0.2717,TRANSMOGRIFICATION,No Wikipedia; 4 distinct outputs; absence signals: 1; construction signals: 5,False,OpenAI:borrowing,Claude:compound; Claude:combining; OpenAI:combining; Ollama:combining; Ollama:suffix,,4,4,24,False,['Latin'],"[('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('Ollama', 'Latin')]",OpenAI:Latin; Claude:Latin; Gemini:Latin; Ollama:Latin,"Tornedalen Finnish (Meänkieli) uses compound words combining 'digitaaliset' (digital) with 'humanistiset tietheet' (humanities/human sciences), following the language's pattern of adapting Finnish terminology with local dialectal features.","The term 'Digitaalihumaanit' is derived by combining 'digitaali', meaning 'digital', and 'humaanit', a form adapted for 'humanities' in the context of Tornedalen Finnish, following patterns of lexical borrowing and adaptation from Standard Finnish.","Tornedalen Finnish (Meänkieli) is closely related to standard Finnish. 'Digitaalinen' is the direct equivalent for 'digital'. For 'humanities', 'humanistii' is a common and understandable adaptation, reflecting the plural nature and academic context, similar to how it might be rendered in colloquial","Combining 'digit' from digital and 'tooli' (a common suffix in Finnish to indicate something that facilitates or enables, e.g. kulkutooli = walking stick) with 'kulttuuri', the Finnish word for culture.","{'OpenAI': 'Digitaalihumaanit', 'Claude': 'Digitaaliset humanistiset tietheetä', 'Gemini': 'Digitaalinen Humanistii', 'Ollama': 'Digitooli kulttuuri'}"
fiu-vro,Võro,Uralic languages,Digital Humanities,False,4,0.2472,TRANSMOGRIFICATION,No Wikipedia; 4 distinct outputs; absence signals: 0; construction signals: 3,False,,Claude:compound; Claude:combining; Ollama:combining,,4,4,13,False,['Latin'],"[('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('Ollama', 'Latin')]",OpenAI:Latin; Claude:Latin; Gemini:Latin; Ollama:Latin,"Võro translation combining 'digitaal' (digital) with 'humanitaarteadusõq' (humanities/humanistic sciences), following Võro grammatical patterns for compound academic terms","The term 'digital' is translated to 'digitaale' and 'humanities' to 'umõndaus', which reflects the cultural and academic fields of study in the Võro language.","This translation combines 'digitaalnõ' (digital) and 'humanitaartiidüs' (humanities). 'Humanitaartiidüs' is a standard term for humanities in Võro, and 'digitaalnõ' is a direct and understandable adjective.",Combining digital and humanities to convey the concept,"{'OpenAI': 'digitaale umõndaus', 'Claude': 'Digitaal humanitaarteadusõq', 'Gemini': 'Digitaalnõ Humanitaartiidüs', 'Ollama': 'Digitaalne inimese teadus'}"
fj,Fijian,Austronesian languages,Digital Humanities,False,5,0.2333,TRANSMOGRIFICATION,No Wikipedia; 5 distinct outputs; absence signals: 1; construction signals: 1,False,Claude:borrowed,OpenAI:formation,,5,5,35,False,['Latin'],"[('Google Translate', 'Latin'), ('EasyNMT', 'Latin'), ('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin')]",Google Translate:Latin; EasyNMT:Latin; OpenAI:Latin; Claude:Latin; Gemini:Latin,"Combines 'Dijitale' (digital, borrowed term commonly used in Fijian) with 'iVola-Volai kei na iYau Vakaitaukei' (humanities/traditional knowledge and culture). This reflects the intersection of digital technology with humanistic scholarship in Fijian context.",The term 'Digital Humanities' can be translated by breaking it down to 'Digital' which can be conveyed as 'iTukutuku' (referring to data/information) and 'Humanities' which can conceptually be translated as 'Yavutu' (referring to foundational studies or humanities).,"This translation combines 'Vuli' (study/humanities/learning) with 'Veidigitali' (digital/of the digital realm) and 'ni Tamata' (of people/human). 'Vuli' alone can encompass 'humanities' in a broader sense, but adding 'ni Tamata' clarifies the humanistic aspect. 'Veidigitali' directly translates 'dig",,"{'Google Translate': 'Digitaki ni tamata', 'EasyNMT': 'Cata na iTovo ni Tamata', 'OpenAI': 'Yavutu ni iTukutuku', 'Claude': 'Dijitale na iVola-Volai kei na iYau Vakaitaukei', 'Gemini': 'Vuli Veidigitali ni Tamata'}"
fo,Faroese,Indo-European languages,Digital Humanities,False,5,0.2069,TRANSMOGRIFICATION,No Wikipedia; 5 distinct outputs; absence signals: 0; construction signals: 2,False,,Claude:compound; Claude:formation,,5,5,17,False,['Latin'],"[('Google Translate', 'Latin'), ('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('Ollama', 'Latin')]",Google Translate:Latin; OpenAI:Latin; Claude:Latin; Gemini:Latin; Ollama:Latin,"Direct translation where 'Stafræn' means 'Digital' (from 'stafrænn') and 'Mannvísindi' means 'Humanities' (literally 'human sciences'), following standard Faroese compound word formation and academic terminology conventions.",The term 'Digital Humanities' can be translated into Faroese as 'Talvøktarmentan' where 'talvøktar' signifies 'digital' and 'mentan' is an equivalent for 'humanities' or 'culture' in a broader sense. This reflects technological aspects combined with cultural/humanistic studies.,"This translation combines 'talfrøðilig' (digital/numeric) and 'humaniora' (humanities). 'Talfrøðilig' is a common and accurate way to express 'digital' in Faroese, often used in contexts like 'talfrøðilig tøkni' (digital technology). 'Humaniora' is the direct and widely understood term for 'humaniti","Literally 'digital humanities', following the same pattern as in English, with 'digital' (døga-) and 'humanities' (-málfraði)","{'Google Translate': 'Talgild hugvísindi', 'OpenAI': 'Talvøktarmentan', 'Claude': 'Stafræn Mannvísindi', 'Gemini': 'Talfrøðilig Humaniora', 'Ollama': 'Døgumálfræði'}"
fon,Fon,Niger-Kordofanian languages,Digital Humanities,False,5,0.0904,TRANSMOGRIFICATION,No Wikipedia; 5 distinct outputs; absence signals: 1; construction signals: 1,False,Claude:borrowed,Ollama:formation,,5,5,36,False,['Latin'],"[('Google Translate', 'Latin'), ('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('Ollama', 'Latin')]",Google Translate:Latin; OpenAI:Latin; Claude:Latin; Gemini:Latin; Ollama:Latin,"Combines 'nùkplɔnkplɔn' (knowledge/learning/humanities) with 'dijital' (digital, borrowed term) and the possessive marker 'tɔn' to express 'Digital Humanities' in Fon","The translation uses 'Ɛsìzɛnkpɔnyì' for 'Digital', which relates to technology and electronic systems, while 'ɔtɔ́ntímí' stands for 'Humanities', encompassing the study of human society and culture in Fon.",No rationale provided,"Unfortunately, I couldn't find any information on a language called Fon with the ISO code fon, which is actually assigned to the Fon language of Togo. However, I found that Fon (also known as Fon of Benin or Fon of Dahomey) has an ISO 639-3 code of fon. Given the limited availability of resources fo","{'Google Translate': 'Gbɛtɔ́ Dijitalu', 'OpenAI': 'Ɛsìzɛnkpɔnyì ɔtɔ́ntímí', 'Claude': 'Nùkplɔnkplɔn Dijital tɔn', 'Gemini': 'Numɛ́nu Tɛ́knolójì kpó Gbɛtɔ́ Gbɛzán kpó Sísí', 'Ollama': 'Wɔmɛna Wɛtɛn'}"
fr,French,Indo-European languages,Digital Humanities,True,8,0.273,NOT_APPLICABLE,All services produced the same translation,False,,Ollama:combining,,1,1,0,False,['Latin'],"[('Wikipedia', 'Latin'), ('Google Translate', 'Latin'), ('EasyNMT', 'Latin'), ('Lingvanex', 'Latin'), ('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('Ollama', 'Latin')]",Wikipedia:Latin; Google Translate:Latin; EasyNMT:Latin; Lingvanex:Latin; OpenAI:Latin; Claude:Latin; Gemini:Latin; Ollama:Latin,"This is the standard and widely accepted French translation for Digital Humanities, commonly used in French academic institutions and scholarly discourse.","The term 'Humanités numériques' is the standard translation in French, capturing the integration of digital technology with the study of humanities.","This is the widely accepted and official translation in French-speaking academic contexts. 'Humanités' refers to the humanities disciplines, and 'Numériques' means digital.",Combining French words for 'digital' (numérique) and 'humanities',"{'Wikipedia': 'Humanités numériques', 'Google Translate': 'Humanités numériques', 'EasyNMT': 'Humanités numériques', 'Lingvanex': 'Humanités numériques', 'OpenAI': 'Humanités numériques', 'Claude': 'Humanités numériques', 'Gemini': 'Humanités numériques', 'Ollama': 'Humanités numériques'}"
frc,Cajun French,Indo-European languages,Digital Humanities,False,4,0.2873,TRANSMOGRIFICATION,No Wikipedia; 2 distinct outputs; absence signals: 1; construction signals: 0,False,Claude:borrowing,,,2,2,4,False,['Latin'],"[('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('Ollama', 'Latin')]",OpenAI:Latin; Claude:Latin; Gemini:Latin; Ollama:Latin,"Cajun French closely follows Louisiana French lexicon and grammar patterns, borrowing from standard French for technical academic terms. 'Humanités' is used for humanities disciplines and 'Numériques' for digital/numerical concepts, matching both standard French academic vocabulary and Cajun French ","Cajun French often borrows from standard French for technical or modern terms, as it may not have established equivalents for every phrase.","Cajun French, while distinct, often borrows from standard French for academic or technical terms. 'Humanités' is the direct translation for 'Humanities' and 'Numériques' for 'Digital'. This phrasing is readily understood and consistent with how such concepts would be expressed in a formal Cajun cont","Literal translation of 'Digital Humanities' into Cajun French, following the pattern used for many technical terms in the language.","{'OpenAI': 'Humanités numériques', 'Claude': 'Humanités Numériques', 'Gemini': 'Les Humanités Numériques', 'Ollama': 'Humanités Numériques'}"
frm,Middle French,Indo-European languages,Digital Humanities,False,4,0.2714,TRANSMOGRIFICATION,No Wikipedia; 3 distinct outputs; absence signals: 0; construction signals: 1,False,,Gemini:combining,,3,2,11,False,['Latin'],"[('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('Ollama', 'Latin')]",OpenAI:Latin; Claude:Latin; Gemini:Latin; Ollama:Latin,"Middle French adaptation using 'Humanités' (humanities) and 'Numeriques' (from Latin numericus, meaning relating to numbers/calculation), reflecting the computational aspect of Digital Humanities in a period-appropriate form","The term 'humanities' is translated to 'humanités' in Middle French, and 'digital' is translated to its equivalent 'numériques' to reflect the modern concept within a historical language context.","Middle French, while predating the digital age, would likely form new terms by combining existing ones. 'Humanités' (humanities) was in use, and 'Numériques' (digital) would be a modern adaptation, similar to how new concepts were named by combining Latin or Greek roots. A direct, single-word equiva","Middle French uses the term 'numériques' which is derived from Latin 'numericalis', and 'humaines' to reflect the humanistic focus of Digital Humanities, similar to Modern French.","{'OpenAI': 'Humanités numériques', 'Claude': 'Humanités Numeriques', 'Gemini': 'Humanités Numériques', 'Ollama': 'Sciences humaines numériques'}"
