n_variants_present,n_agree,agreement_rate,best_candidate,variant_translations,term_source,language_code,language_name,language_family,service,is_baseline,difference_types
4,1,0.25,𐀇𐀐𐀵𐀪𐀊𐀐𐀨𐀠𐀳𐀊,"{'minimal': '𐀇𐀐𐀵𐀪𐀊𐀐𐀨𐀠𐀳𐀊', 'fluent_speaker': '𐀀𐀳𐀕𐀡𐀆𐀐𐀕𐀙𐀂𐀍𐀐𐀕𐀙𐀂𐀍', 'github_searcher': '𐀇𐀓𐀵𐀪𐀊𐀂𐀐𐀁𐀨𐀊', 'judge': '𐀇𐀒𐀜𐀰𐀊𐀍𐀙𐀂𐀊𐀍'}",Digital Humanities,gmy,Mycenaean Greek,Indo-European languages,DeepSeek,False,content
3,1,0.3333,Δίγματα Ἀνθρωπολόγου,"{'minimal': 'Δίγματα Ἀνθρωπολόγου', 'fluent_speaker': 'e-keimelía paideía', 'judge': '𐀇𐀒𐀜𐀰𐀊𐀍𐀙𐀂𐀊'}",Digital Humanities,gmy,Mycenaean Greek,Indo-European languages,Llama,False,content
4,1,0.25,𐀝𐀳𐀴 𐀵𐀳𐀴𐀻𐀳𐀴 𐀝𐀳𐀴𐀻𐀳𐀴,"{'minimal': '𐀝𐀳𐀴 𐀵𐀳𐀴\U0001003b𐀳𐀴 𐀝𐀳𐀴\U0001003b𐀳𐀴', 'fluent_speaker': 'di-pi-ko-wo-no-i-a', 'github_searcher': '𐀝𐀳𐀴 𐀵𐀳𐀴\U0001003b𐀸𐀳𐀴𐀯𐀳𐀴', 'judge': '𐀇𐀒𐀜𐀰𐀊𐀗𐀍𐀙'}",Digital Humanities,gmy,Mycenaean Greek,Indo-European languages,Gemma,False,content
4,1,0.25,Διαδραστικὴ Χρηματολογία,"{'minimal': 'Διαδραστικὴ Χρηματολογία', 'fluent_speaker': 'διαδικτυακών ἀνθρωπολογία', 'github_searcher': 'Διαδικτυακὴ Χρηματολογία', 'judge': '𐀇𐀒𐀜𐀰𐀊𐀗𐀍𐀙'}",Digital Humanities,gmy,Mycenaean Greek,Indo-European languages,Qwen,False,content
4,1,0.25,di-ge-ta-lo-jo-ka a-na-thro-po-ja,"{'minimal': 'di-ge-ta-lo-jo-ka a-na-thro-po-ja', 'fluent_speaker': 'di-ge-ta-lo-si-ka-i-no-s', 'github_searcher': 'διγιταλή-ἀνθρωπίνη', 'judge': 'te-ke-na a-pi-qo-ro'}",Digital Humanities,gmy,Mycenaean Greek,Indo-European languages,Mistral,False,content
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,ecy,Eteocypriot,Indo-European languages,Wikipedia,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,ecy,Eteocypriot,Indo-European languages,Google Translate,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,ecy,Eteocypriot,Indo-European languages,EasyNMT,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,ecy,Eteocypriot,Indo-European languages,Lingvanex,True,
2,1,0.5,Digital Humanities,"{'github_searcher': 'Digital Humanities', 'judge': '𐠀𐠜𐠂𐠙𐠍𐠃𐠂𐠙𐠍𐠃𐠂𐠙𐠍𐠃'}",Digital Humanities,ecy,Eteocypriot,Indo-European languages,OpenAI,False,content
3,2,0.6667,Digital Humanities,"{'minimal': '[Translation not possible]', 'fluent_speaker': 'Digital Humanities', 'judge': 'Digital Humanities'}",Digital Humanities,ecy,Eteocypriot,Indo-European languages,Claude,False,content
2,1,0.5,Διγιταλές Ουμανιτάτες,"{'minimal': 'Διγιταλές Ουμανιτάτες', 'judge': 'Translation not possible'}",Digital Humanities,ecy,Eteocypriot,Indo-European languages,Gemini,False,content
4,1,0.25,Unavailable,"{'minimal': 'Unavailable', 'fluent_speaker': '𐠀𐠜𐠂𐠙𐠍𐠃𐠂𐠙𐠍𐠃𐠂𐠙𐠍𐠃', 'github_searcher': 'Digital Humanities', 'judge': '𐠃𐠵𐠫\U0001083e𐠵𐠫\U0001083b𐠵𐠫 𐠀𐠳𐠵𐠫\U0001083b𐠵𐠫'}",Digital Humanities,ecy,Eteocypriot,Indo-European languages,DeepSeek,False,content
3,2,0.6667,Διγίταλλοι Ἀνθρωπολόγοι,"{'minimal': 'Διγίταλλοι Ἀνθρωπολόγοι', 'fluent_speaker': 'Διγίταλες Ανθρωπολογίας', 'judge': 'Διγίταλλοι Ἀνθρωπολόγοι'}",Digital Humanities,ecy,Eteocypriot,Indo-European languages,Llama,False,content
4,2,0.5,𐠃𐠵𐠫𐠾𐠵𐠫𐠻𐠵𐠫 𐠀𐠳𐠵𐠫𐠻𐠵𐠫,"{'minimal': '𐠃𐠵𐠫\U0001083e𐠵𐠫\U0001083b𐠵𐠫 𐠀𐠳𐠵𐠫\U0001083b𐠵𐠫', 'fluent_speaker': 'Ψηφιακά Ανθρωπολογία', 'github_searcher': 'Ψηφιακάς Ανθρωπιολογίας', 'judge': '𐠃𐠵𐠫\U0001083e𐠵𐠫\U0001083b𐠵𐠫 𐠀𐠳𐠵𐠫\U0001083b𐠵𐠫'}",Digital Humanities,ecy,Eteocypriot,Indo-European languages,Gemma,False,content
4,1,0.25,Διαδυτική Χρηματολογία,"{'minimal': 'Διαδυτική Χρηματολογία', 'fluent_speaker': 'Ḏlwtr ḱnyw', 'github_searcher': 'Διαλεκτική Χρνολογικότητα', 'judge': 'Ψηφιακά Ανθρωπολογίας'}",Digital Humanities,ecy,Eteocypriot,Indo-European languages,Qwen,False,content
4,2,0.5,Διγιταλ Ανθρωπολογία,"{'minimal': '[D]ιγιταλ [I]υμανισμος Ανθρωπινών Ερευνών', 'fluent_speaker': 'Διγιταλ Ανθρωπολογία', 'github_searcher': 'Διγιταλ-Ανθρωπολογία', 'judge': 'Διγιταλ Ανθρωπολογία'}",Digital Humanities,ecy,Eteocypriot,Indo-European languages,Mistral,False,content
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,knn,knn,Indo-European languages,Wikipedia,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,knn,knn,Indo-European languages,Google Translate,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,knn,knn,Indo-European languages,EasyNMT,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,knn,knn,Indo-European languages,Lingvanex,True,
4,4,1.0,डिजिटल मानविकी,"{'minimal': 'डिजिटल मानविकी', 'fluent_speaker': 'डिजिटल मानविकी', 'github_searcher': 'डिजिटल मानविकी', 'judge': 'डिजिटल मानविकी'}",Digital Humanities,knn,knn,Indo-European languages,OpenAI,False,all_identical
4,3,0.75,डिजिटल मानविकी,"{'minimal': 'डिजिटल मानवशास्त्र', 'fluent_speaker': 'डिजिटल मानविकी', 'github_searcher': 'डिजिटल मानविकी', 'judge': 'डिजिटल मानविकी'}",Digital Humanities,knn,knn,Indo-European languages,Claude,False,content
4,3,0.75,डिजिटल मानविकी,"{'minimal': 'डिजिटल ह्युमॅनिटीस', 'fluent_speaker': 'डिजिटल मानविकी', 'github_searcher': 'डिजिटल मानविकी', 'judge': 'डिजिटल मानविकी'}",Digital Humanities,knn,knn,Indo-European languages,Gemini,False,content
4,2,0.5,डिजिटल मानविकी,"{'minimal': 'डिजिटल मानवी शास्त्र', 'fluent_speaker': 'डिजिटल मानवशास्त्र', 'github_searcher': 'डिजिटल मानविकी', 'judge': 'डिजिटल मानविकी'}",Digital Humanities,knn,knn,Indo-European languages,DeepSeek,False,content
4,1,0.25,Digtal Bhumika,"{'minimal': 'Digtal Bhumika', 'fluent_speaker': 'Digital Vangmayik Shastreeya', 'github_searcher': 'Digtal Vaidhik', 'judge': 'ಡಿಜಿಟಲ್ ಮಾನವಿಕ'}",Digital Humanities,knn,knn,Indo-European languages,Llama,False,content
4,2,0.5,ḍijiṭal manovshastra,"{'minimal': 'ḍijiṭal manovshastra', 'fluent_speaker': 'ḍijiṭal manavśāshtra', 'github_searcher': 'ḍijiṭal manovshastra', 'judge': 'डिजिटल मानविकी'}",Digital Humanities,knn,knn,Indo-European languages,Gemma,False,content
4,1,0.25,デジ탈 हUMANITIES,"{'minimal': 'デジ탈 हUMANITIES', 'fluent_speaker': 'デジटल हUMANITIES', 'github_searcher': 'DIGITAL VITWALAGARI', 'judge': 'डिजिटल मानवशास्त्र'}",Digital Humanities,knn,knn,Indo-European languages,Qwen,False,content
4,2,0.5,डिजिटल मानवीयता,"{'minimal': 'ಡಿಜಿಟಲ್ ಮನಸ್ಕರ್ಷಿಕ', 'fluent_speaker': 'डिजिटल मानवीयता', 'github_searcher': 'ಡಿಜಿಟಲ್ ಮನವಾಳಿಕ', 'judge': 'डिजिटल मानवीयता'}",Digital Humanities,knn,knn,Indo-European languages,Mistral,False,content
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,mey,mey,Afro-Asiatic languages,Wikipedia,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,mey,mey,Afro-Asiatic languages,Google Translate,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,mey,mey,Afro-Asiatic languages,EasyNMT,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,mey,mey,Afro-Asiatic languages,Lingvanex,True,
4,4,1.0,العلوم الإنسانية الرقمية,"{'minimal': 'العلوم الإنسانية الرقمية', 'fluent_speaker': 'العلوم الإنسانية الرقمية', 'github_searcher': 'العلوم الإنسانية الرقمية', 'judge': 'العلوم الإنسانية الرقمية'}",Digital Humanities,mey,mey,Afro-Asiatic languages,OpenAI,False,all_identical
4,2,0.5,العلوم الإنسانية الرقمية,"{'minimal': 'al-ʿulūm al-insāniyya ar-raqmiyya / العلوم الإنسانية الرقمية', 'fluent_speaker': 'العلوم الرقمية الإنسانية', 'github_searcher': 'العلوم الإنسانية الرقمية', 'judge': 'العلوم الإنسانية الرقمية'}",Digital Humanities,mey,mey,Afro-Asiatic languages,Claude,False,content
4,3,0.75,العلوم الإنسانية الرقمية,"{'minimal': 'العلوم الإنسانية الرقمية', 'fluent_speaker': 'الإنسانيات الرقمية', 'github_searcher': 'العلوم الإنسانية الرقمية', 'judge': 'العلوم الإنسانية الرقمية'}",Digital Humanities,mey,mey,Afro-Asiatic languages,Gemini,False,content
4,4,1.0,العلوم الإنسانية الرقمية,"{'minimal': 'العلوم الإنسانية الرقمية', 'fluent_speaker': 'العلوم الإنسانية الرقمية', 'github_searcher': 'العلوم الإنسانية الرقمية', 'judge': 'العلوم الإنسانية الرقمية'}",Digital Humanities,mey,mey,Afro-Asiatic languages,DeepSeek,False,all_identical
4,1,0.25,Tafakkur n i-Tiknoloji,"{'minimal': 'Tafakkur n i-Tiknoloji', 'fluent_speaker': 'al-Adab al-Digitāl', 'github_searcher': 'الادب الديجيتالي', 'judge': 'العلوم الإنسانية الرقمية'}",Digital Humanities,mey,mey,Afro-Asiatic languages,Llama,False,content
4,1,0.25,Tamaslit Ṭṭerṭiġ,"{'minimal': 'Tamaslit Ṭṭerṭiġ', 'fluent_speaker': 'Ṭṭabaʿāt Numariyyat al-Insān', 'github_searcher': 'ألمَزَامِكْ دَجِيتَالِيَّتْ', 'judge': 'العلوم الإنسانية الرقمية'}",Digital Humanities,mey,mey,Afro-Asiatic languages,Gemma,False,content
4,1,0.25,الانسانیات الرقمیة,"{'minimal': 'الانسانیات الرقمیة', 'fluent_speaker': 'تىدالى هاونميشنس', 'github_searcher': 'الهنسوماتيكي', 'judge': 'العلوم الإنسانية الرقمية'}",Digital Humanities,mey,mey,Afro-Asiatic languages,Qwen,False,content
4,1,0.25,الإنسانية الدقيقة,"{'minimal': 'الإنسانية الدقيقة', 'fluent_speaker': 'الإنسانيات المجتمعية الدقيقة', 'github_searcher': 'الإنسانيات الدقيقة', 'judge': 'العلوم الإنسانية الرقمية'}",Digital Humanities,mey,mey,Afro-Asiatic languages,Mistral,False,content
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,mfv,mfv,Atlantic-Congo,Wikipedia,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,mfv,mfv,Atlantic-Congo,Google Translate,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,mfv,mfv,Atlantic-Congo,EasyNMT,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,mfv,mfv,Atlantic-Congo,Lingvanex,True,
4,2,0.5,Digital Humanities,"{'minimal': 'Digital Humanities', 'fluent_speaker': 'Humanidades Digitales', 'github_searcher': 'Digital Humanities', 'judge': 'Dijitalu Humanyu'}",Digital Humanities,mfv,mfv,Atlantic-Congo,OpenAI,False,content
4,2,0.5,Digital Humanities,"{'minimal': 'Digital Humanities', 'fluent_speaker': 'Siensias di Omi bu Dijital', 'github_searcher': 'Digital Humanities', 'judge': 'Humanidadis Dijital'}",Digital Humanities,mfv,mfv,Atlantic-Congo,Claude,False,content
4,1,0.25,Digital Humanities,"{'minimal': 'Digital Humanities', 'fluent_speaker': 'Xam-xam diisi ni Xam-xam buur', 'github_searcher': 'Diwu Humaŋ', 'judge': 'Xam-xam buur bu dijital'}",Digital Humanities,mfv,mfv,Atlantic-Congo,Gemini,False,content
4,3,0.75,Dijitalu Humanyu,"{'minimal': 'Dijitalu Humanyu', 'fluent_speaker': 'Dijitalu Humanyu', 'github_searcher': 'Digital Humanities', 'judge': 'Dijitalu Humanyu'}",Digital Humanities,mfv,mfv,Atlantic-Congo,DeepSeek,False,content
2,1,0.5,Kɔmputa Kɛlɛmbɛtɛ,"{'fluent_speaker': 'Kɔmputa Kɛlɛmbɛtɛ', 'judge': 'Ŋaŋgɛɛlɛɛ dɛɛlɛɛ'}",Digital Humanities,mfv,mfv,Atlantic-Congo,Llama,False,content
4,1,0.25,Ŋaŋgɛɛlɛɛ dɛɛlɛɛ,"{'minimal': 'Ŋaŋgɛɛlɛɛ dɛɛlɛɛ', 'fluent_speaker': 'Digitaal Mànnɛŋ', 'github_searcher': 'Digitaal Ìwà', 'judge': 'Dijitalu Humanyu'}",Digital Humanities,mfv,mfv,Atlantic-Congo,Gemma,False,content
4,1,0.25,数位人文,"{'minimal': '数位人文', 'fluent_speaker': 'Djirritjaritji Nyapuyikurrityiri', 'github_searcher': 'Dijital Jumhuriyat', 'judge': 'Dijitalu Humanyu'}",Digital Humanities,mfv,mfv,Atlantic-Congo,Qwen,False,content
4,1,0.25,Informatique des sciences humaines,"{'minimal': 'Informatique des sciences humaines', 'fluent_speaker': 'Teknoloji Digitale Nanuman', 'github_searcher': 'Humanitiz digital', 'judge': 'Dijitalu Humanyu'}",Digital Humanities,mfv,mfv,Atlantic-Congo,Mistral,False,content
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,ppl,ppl,Uto-Aztecan,Wikipedia,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,ppl,ppl,Uto-Aztecan,Google Translate,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,ppl,ppl,Uto-Aztecan,EasyNMT,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,ppl,ppl,Uto-Aztecan,Lingvanex,True,
4,2,0.5,Digital Humanities,"{'minimal': 'Digital Humanities', 'fluent_speaker': 'Taltikpak Tlamachtilistli', 'github_searcher': 'Digital Humanities', 'judge': 'Tajtakilistli Tepalewilistli'}",Digital Humanities,ppl,ppl,Uto-Aztecan,OpenAI,False,content
4,2,0.5,Talamatiliztli ika Tik-chiwalistli,"{'minimal': 'Talajtulkayut ne Tik Machtia', 'fluent_speaker': 'Talamatiliztli ika Tik-chiwalistli', 'github_searcher': 'Tik ne machtiyut pal ne kualnemilis', 'judge': 'Talamatiliztli ika Tik-chiwalistli'}",Digital Humanities,ppl,ppl,Uto-Aztecan,Claude,False,content
4,2,0.5,Tanamat Palawit,"{'minimal': 'Tanamat Palawit', 'fluent_speaker': 'Tepustawilwan Yulishmatil', 'github_searcher': 'Tequiti Ipal Nemilis wan Teknilujia', 'judge': 'Tanamat Palawit'}",Digital Humanities,ppl,ppl,Uto-Aztecan,Gemini,False,content
4,2,0.5,Tajtaketzalis Tepalewilis,"{'minimal': 'Tajtaketzalis Tepalewilis', 'fluent_speaker': 'Tajtakilistli Tepalewilistli', 'github_searcher': 'Tajtakilistli Tepalewilistli', 'judge': 'Tajtaketzalis Tepalewilis'}",Digital Humanities,ppl,ppl,Uto-Aztecan,DeepSeek,False,content
4,2,0.5,Tlajkahuajilli digital,"{'minimal': 'Tlajkahuajilli digital', 'fluent_speaker': ""Kamaya'atik Tiknal"", 'github_searcher': 'Humanidades Digitales', 'judge': 'Tlajkahuajilli digital'}",Digital Humanities,ppl,ppl,Uto-Aztecan,Llama,False,content
4,1,0.25,K'uhun Tlātlāyōtl Digital,"{'minimal': ""K'uhun Tlātlāyōtl Digital"", 'fluent_speaker': 'Tlapohualticitl Quipiyahtlani', 'github_searcher': ""Tikin K'uhun Digital"", 'judge': 'Tajtakilistli Tepalewilistli'}",Digital Humanities,ppl,ppl,Uto-Aztecan,Gemma,False,content
4,1,0.25,Dzidigas Kalendorių Mokslo,"{'minimal': 'Dzidigas Kalendorių Mokslo', 'fluent_speaker': ""Xipit'latik Ahualkilatik"", 'github_searcher': 'Díligental Húmanitil', 'judge': 'Tepustawilwan Yulishmatil'}",Digital Humanities,ppl,ppl,Uto-Aztecan,Qwen,False,content
4,1,0.25,Tlahtoqueh tlacuilolli hua-mānapōchtli,"{'minimal': 'Tlahtoqueh tlacuilolli hua-mānapōchtli', 'fluent_speaker': ""Teknoloxi ix K'ajq'ijab'aj"", 'github_searcher': 'Teknolojia de Popol Vuh', 'judge': 'Tajtaketzalis Tepalewilis'}",Digital Humanities,ppl,ppl,Uto-Aztecan,Mistral,False,content
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,kro,kro,Niger-Kordofanian languages,Wikipedia,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,kro,kro,Niger-Kordofanian languages,Google Translate,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,kro,kro,Niger-Kordofanian languages,EasyNMT,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,kro,kro,Niger-Kordofanian languages,Lingvanex,True,
3,2,0.6667,Digital Humanities,"{'minimal': 'Digital Humanities', 'github_searcher': 'Digital Humanities', 'judge': 'Kpɔn mɛn yɔ yɔ kɛɛ ɓlɛɛ'}",Digital Humanities,kro,kro,Niger-Kordofanian languages,OpenAI,False,content
4,3,0.75,Digital Humanities,"{'minimal': 'Digital Humanities cannot be directly translated into Kru languages', 'fluent_speaker': 'Digital Humanities', 'github_searcher': 'Digital Humanities', 'judge': 'Digital Humanities'}",Digital Humanities,kro,kro,Niger-Kordofanian languages,Claude,False,content
2,1,0.5,Kɔɔlɔŋ Nyaŋ-nyɛɛ Kpɛɛ,"{'fluent_speaker': 'Kɔɔlɔŋ Nyaŋ-nyɛɛ Kpɛɛ', 'judge': 'Kpɔn mɛn yɔ yɔ kɛɛ ɓlɛɛ'}",Digital Humanities,kro,kro,Niger-Kordofanian languages,Gemini,False,content
3,1,0.3333,Kpɔn mɛn yɔ yɔ kɛɛ ɓlɛɛ,"{'minimal': 'Kpɔn mɛn yɔ yɔ kɛɛ ɓlɛɛ', 'github_searcher': 'Humanities Digital', 'judge': 'Digital Humanities'}",Digital Humanities,kro,kro,Niger-Kordofanian languages,DeepSeek,False,content
4,1,0.25,Mɛnɔ̀ kpaɣa,"{'minimal': 'Mɛnɔ̀ kpaɣa', 'fluent_speaker': 'Kpɔkpɛ kpɛkpɛ kpɛkpɛ kpɛkpɛ kpɛkpɛ kpɛkpɛ kpɛkpɛ', 'github_searcher': 'Kɔmputa Sɛsɛtɛ', 'judge': 'Kɔlɔŋ Nyaŋ-nyɛɛ Kpɛɛ'}",Digital Humanities,kro,kro,Niger-Kordofanian languages,Llama,False,content
4,1,0.25,Kru-dɔɔgɔɔ lɛɛŋ lɛŋ,"{'minimal': 'Kru-dɔɔgɔɔ lɛɛŋ lɛŋ', 'fluent_speaker': 'Ɔkɔɔ Ŋbɛŋ Ŋbɛŋ', 'github_searcher': 'dijital manabiti', 'judge': 'Kpɔn mɛn yɔ yɔ kɛɛ ɓlɛɛ'}",Digital Humanities,kro,kro,Niger-Kordofanian languages,Gemma,False,content
4,2,0.5,Djirigi Jiimnayisiyis,"{'minimal': 'Dziligi Dumi Ntsho', 'fluent_speaker': 'Djirigi Jiimnayisiyis', 'github_searcher': 'Digiitali Dimuonimi', 'judge': 'Djirigi Jiimnayisiyis'}",Digital Humanities,kro,kro,Niger-Kordofanian languages,Qwen,False,content
3,1,0.3333,Teknoloji ya Dini na Insaniya digitale,"{'fluent_speaker': 'Teknoloji ya Dini na Insaniya digitale', 'github_searcher': 'Teknoloji ya Mwananchi', 'judge': 'Kpɔn mɛn yɔ yɔ kɛɛ ɓlɛɛ'}",Digital Humanities,kro,kro,Niger-Kordofanian languages,Mistral,False,content
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,grr,grr,Afro-Asiatic languages,Wikipedia,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,grr,grr,Afro-Asiatic languages,Google Translate,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,grr,grr,Afro-Asiatic languages,EasyNMT,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,grr,grr,Afro-Asiatic languages,Lingvanex,True,
4,2,0.5,Digital Humanities,"{'minimal': 'Digital Humanities', 'fluent_speaker': 'Tazwara n Tmura n Tura', 'github_searcher': 'Digital Humanities', 'judge': 'ⵜⴰⵎⴰⵣⵉⵖⵜ ⵜⴰⴷⵉⵊⵉⵜⴰⵍⵜ'}",Digital Humanities,grr,grr,Afro-Asiatic languages,OpenAI,False,content
