language_code,term_source,openai_translated_term,language_name,openai_completion_tokens,openai_created,openai_finish_reason,openai_model,openai_prompt_tokens,openai_total_tokens,openai_translation_rationale,coding_dh_date
pi,Computational Social Science,Saṅkhāpadhāna Saṃāja-vijjā,Pāli,143.0,1740731554.0,stop,gpt-4o-2024-08-06,113.0,256.0,"The translation of ""Computational Social Science"" into Pāli requires a thoughtful approach to capture the essence of the components. ""Saṅkhā"" can refer to numbers or computation, ""padhāna"" implies the use of methods or techniques, and ""saṃāja"" refers to society or social constructs. ""Vijjā"" means knowledge or science. Combining these terms, ""Saṅkhāpadhāna Saṃāja-vijjā"" emphasizes the study and use of computational methods within social sciences, matching the interdisciplinary nature of the field.",2025-05-31 21:15:56
pl,Computational Social Science,Obliczeniowe nauki społeczne,Polish,123.0,1740731595.0,stop,gpt-4o-2024-08-06,112.0,235.0,"The term ""Obliczeniowa nauka społeczna"" from Google Translate translates directly as ""Computational Social Science."" However, ""nauka"" in Polish can mean both ""science"" and ""discipline."" Since ""Computational Social Science"" usually encompasses multiple disciplines and methodologies, using the plural form ""nauki"" (sciences) better reflects the interdisciplinary nature of the field. Additionally, ""Obliczeniowe"" correctly captures the focus on computational methods within the social sciences.",2025-05-31 21:15:56
ps,Computational Social Science,کمپیوتري ټولنیز ساینس,"Pashto, Pushto",122.0,1740731615.0,stop,gpt-4o-2024-08-06,123.0,245.0,"The term ""کمپیوتري ټولنیز ساینس"" has been selected to closely mirror the English term ""Computational Social Science."" The word ""کمپیوتري"" refers to ""computational,"" capturing the essence of computer-based or algorithm-driven processes. ""ټولنیز ساینس"" translates directly to ""social science,"" which encompasses the study of societal issues and human behavior. This translation maintains clarity and accuracy while being easily understood by Pashto speakers familiar with modern scientific terminology.",2025-05-31 21:15:56
pt,Computational Social Science,Ciência Social Computacional,Portuguese,110.0,1740731625.0,stop,gpt-4o-2024-08-06,137.0,247.0,"The term ""Ciência Social Computacional"" aligns well with the structure and meaning of ""Computational Social Science."" ""Ciência Social"" translates directly to ""Social Science,"" which is a widely accepted translation in Portuguese academic contexts. ""Computacional"" is the accurate translation for ""Computational,"" capturing the essence of using computational methods to study social sciences. The capitalization of each word emphasizes each term’s significance in a technical context, consistent with academic convention.",2025-05-31 21:15:56
qu,Computational Social Science,Yachaymanta Llaqta Qhatinakuy Computacional,Quechua,201.0,1740731648.0,stop,gpt-4o-2024-08-06,116.0,317.0,"The term 'Computational Social Science' can be broken down into its components: 'Computational', 'Social', and 'Science'. In this translation, 'Yachaymanta' refers to 'from science', where 'Yachay' means 'science' or 'knowledge' and 'manta' denotes 'from'. 'Llaqta Qhatinakuy' is used to encapsulate 'Social', with 'Llaqta' meaning 'society' or 'community', and 'Qhatinakuy' relating to interaction or socializing, highlighting the study of social systems and interactions. 'Computacional' is kept as it is because certain technical terms are often directly borrowed into other languages, and this form would be understandable in a scholarly context. This translation attempts to maintain clarity and relevance to the field while incorporating Quechua linguistic elements.",2025-05-31 21:15:56
rm,Computational Social Science,Scienzia Sociala Computaziunala,Romansh,108.0,1740731766.0,stop,gpt-4o-2024-08-06,116.0,224.0,"The term 'Computational Social Science' encompasses the integration of computational methods with social science. The Romansh translation 'Scienzia Sociala Computaziunala' closely aligns with the structure and meaning of the original term. 'Scienzia' is appropriate for 'Science', 'Sociala' remains consistent as 'Social', and 'Computaziunala' accurately conveys 'Computational', utilizing standard Romansh orthography and morphology.",2025-05-31 21:15:56
rn,Computational Social Science,Ubuhinga bwo kwisuzuma ivy’imibano hakoreshejwe ibiharuro,Kirundi,135.0,1740731851.0,stop,gpt-4o-2024-08-06,157.0,292.0,"The aim is to convey the essence of Computational Social Science, which combines social science with computational methods. 'Ubuhinga' refers to 'expertise or science'; 'kwisuzuma' means 'to analyze or examine'; 'ivy’imibano' refers to 'matters of society'; and 'hakoreshejwe ibiharuro' emphasizes the use of quantitative or computational methods (literally 'using calculations'). This translation is chosen for its clarity in expressing the integration of social sciences and computational techniques.",2025-05-31 21:15:56
ro,Computational Social Science,Științe Sociale Computaționale,"Romanian, Moldavan",134.0,1740731856.0,stop,gpt-4o-2024-08-06,157.0,291.0,"The term ""Științe Sociale Computaționale"" preserves both the meaning and the grammatical structure relevant to Romanian. ""Științe"" refers to ""sciences"" which is correct in denoting a plural and collective academic pursuit. ""Sociale"" is the adjective form for ""social"" in Romanian, matching the English term properly, and ""Computaționale"" best corresponds to ""Computational"", accurately capturing the concept of computation applied to social sciences. This translation aligns well with established practices in Romanian academic terminology and is clear in its meaning.",2025-05-31 21:15:56
nb,Computational Social Science,Kompteringsbasert samfunnsvitenskap,Norwegian Bokmål,129.0,1740724274.0,stop,gpt-4o-2024-08-06,118.0,247.0,"The term ""Computational Social Science"" encompasses the use of computational methods and tools to study social phenomena. The translation ""Beregningsmessig samfunnsvitenskap"" provided by the Google Translate API captures the computational aspect but can be improved to resonate better with Norwegian usage by using ""Kompteringsbasert,"" which directly relates to computational or computer-based approaches, coupled with ""samfunnsvitenskap,"" meaning social sciences. This choice aligns with the terminology used in academic and professional settings in Norway.",2025-05-31 21:15:56
na,Computational Social Science,Ewakayida,Nauru,88.0,1740723985.0,stop,gpt-4o-2024-08-06,84.0,172.0,"The Nauruan language has limited vocabulary for modern academic and technical terminology. ""Ewakayida"" roughly translates to ""science of society,"" with an emphasis on systematic study and analysis, which fits the concept of using computational methods to understand social phenomena. This translation is an approximation that conveys the essence of Computational Social Science as a modern interdisciplinary field.",2025-05-31 21:15:56
my,Computational Social Science,ကွန်ပျူတာ လူမှုရေး လူမူသိပ္ပံ,Burmese,177.0,1740721136.0,stop,gpt-4o-2024-08-06,159.0,336.0,"The translation ""ကွန်ပျူတာ လူမှုရေး လူမူသိပ္ပံ"" is a combination of the terms for ""computational,"" ""social,"" and ""science,"" designed to be as clear and direct as possible for Burmese speakers. The term ""ကွန်ပျူတာ"" accurately translates to ""computational,"" capturing the essence of computer-based analysis, while ""လူမှုရေး"" refers to ""social,"" indicating the societal aspect of the field. Lastly, ""လူမူသိပ္ပံ"" translates effectively to ""science,"" encompassing the systematic study aspect. This translation was chosen for its clear communication of the concept in Burmese, while also being intuitive for native speakers.",2025-05-31 21:15:56
mt,Computational Social Science,Xjenza Soċjali tal-Komputazzjoni,Maltese,135.0,1740723795.0,stop,gpt-4o-2024-08-06,136.0,271.0,"The term 'Komputazzjoni' effectively captures the essence of 'Computational,' referring to processes involving computation or computer-based analysis. 'Soċjali' clearly conveys 'Social,' relating to society and social behavior. Combining these with 'Xjenza' for 'Science' provides a comprehensive phrase that accurately reflects 'Computational Social Science' in Maltese. The slight difference between 'Kompjutazzjoni' and 'Komputazzjoni' is negligible, but 'Komputazzjoni' is a more consistent transliteration and aligns well with common usage in similar contexts.",2025-05-31 21:15:56
kv,Computational Social Science,Вычислительнӧй общественность-анализ,Komi,146.0,1740723525.0,stop,gpt-4o-2024-08-06,141.0,287.0,"The term ""Computational Social Science"" involves both the computational aspect and the social science aspect. The suggested term ""Вычислительнӧй обществознание"" closely captures the computational and societal components, but it could be enhanced for contextual clarity. ""Обществознание"" translates to ""social science,"" but to emphasize the analysis dimension of social science within a computational framework, ""общественность-анализ"" (meaning ""social analysis"") is used. This modification helps convey the interdisciplinary nature where computational techniques are applied for analysis within social sciences, balancing both components effectively.",2025-05-31 21:15:56
kw,Computational Social Science,Sians Sosyal Resrolys,Cornish,141.0,1740721340.0,stop,gpt-4o-2024-08-06,82.0,223.0,"The term ""Computational Social Science"" translates to Cornish by breaking it down into its constituent parts: ""Sians"" for ""Science,"" ""Sosyal"" for ""Social,"" and ""Resrolys"" for ""Computational."" While ""Resrolys"" is not a direct translation, it is derived from ""resro"" (compute) and ""-lys"" (pertaining to or of, similar to the English suffix ""-al""), providing a term that conveys the computational aspect of the field. This translation attempts to bridge the gap between Cornish language structure and modern academic terminology.",2025-05-31 21:15:56
la,Computational Social Science,Scientia Socialis Computatralis,Latin,145.0,1740723595.0,stop,gpt-4o-2024-08-06,108.0,253.0,"The term ""Computational Social Science"" can be broken down into ""Social Science"" and ""Computational"". ""Scientia Socialis"" is a straightforward Latin translation of ""Social Science"", where ""scientia"" means ""knowledge"" or ""science"" and ""socialis"" means ""social"". For ""Computational"", derived from the Latin ""computo"" meaning to calculate or compute, ""computatralis"" captures the concept of computation in an adjectival form to modify the noun phrase ""scientia socialis"". This formulation maintains the essence and specificity of the modern field while respecting Latin grammatical constructs.",2025-05-31 21:15:56
lb,Computational Social Science,Rechnerbasiéiert Sozialwëssenschaft,Luxembourgish,118.0,1740723621.0,stop,gpt-4o-2024-08-06,113.0,231.0,"The term ""Rechnerbasiéiert Sozialwëssenschaft"" is derived from ""Rechnerbasiéiert,"" which means ""computational"" or ""computer-based,"" and ""Sozialwëssenschaft,"" which means ""social science."" This translation emphasizes the computer-based analysis applied to social sciences, aligning it closely with the essence of Computational Social Science. It refines the Google Translate suggestion by incorporating native linguistic structures and ensuring clarity in the Luxembourgish context.",2025-05-31 21:15:56
lg,Computational Social Science,Sayansi y’Omuwendo mu Nnono y’Eby’omuntu,Luganda,140.0,1740723632.0,stop,gpt-4o-2024-08-06,150.0,290.0,"The proposed translation 'Sayansi y’Omuwendo mu Nnono y’Eby’omuntu' aims to capture the essence of 'Computational Social Science' in Luganda. 'Sayansi' conveys the scientific or systematic approach, while 'y’Omuwendo' reflects the computational or quantitative aspect. 'Nnono y’Eby’omuntu' translates to 'social sciences,' focusing on human behavior and interactions. The translation emphasizes the integration of computational methods into the traditional study of social sciences to better describe the discipline's interdisciplinary nature.",2025-05-31 21:15:56
li,Computational Social Science,Rekenkundige Maatschappelike Weitesjap,Limburgish,108.0,1740723636.0,stop,gpt-4o-2024-08-06,116.0,224.0,"The suggested term ""Computasjonele sociaal wetensjap"" directly translates ""Computational"" and ""Social Science"" using loanwords from other languages. However, in Limburgish, ""Rekenkundige"" relates to computational aspects more traditionally, and ""Maatschappelike Weitesjap"" better reflects ""Social Science"" as it emphasizes societal aspects while staying true to the native linguistic structure.",2025-05-31 21:15:56
ln,Computational Social Science,Sáyansi ya Bato na Makɔmɛli ya Ordinatɛrɛ,Lingala,195.0,1740723653.0,stop,gpt-4o-2024-08-06,136.0,331.0,"The term 'Sáyansi ya Bato na Makɔmɛli ya Ordinatɛrɛ' translates to 'Social Science with Computer-based Analysis' in English. This phrase captures the essence of computational social science by emphasizing the integration of social science ('Sáyansi ya Bato') with computer technology denoted by 'Makɔmɛli ya Ordinatɛrɛ', which refers to the computational or computer-based analysis aspect. This translation avoids the awkwardness in 'Sciences Sociales ya Computational' and isn't as wordy or misleading as 'Makambo ya siansi oyo ezali kobebisa bomoi ya bato'. The use of 'Sáyansi' maintains the scientific discipline context, and 'Ordinatɛrɛ' is recognizable to speakers as it denotes computers.",2025-05-31 21:15:56
lo,Computational Social Science,ວິທະຍາສາດສັງຄົມຄອມພິວເຕີ,Lao,184.0,1740723681.0,stop,gpt-4o-2024-08-06,205.0,389.0,"The translation provided by both the Google Translate API and the Ollama API is appropriate for ""Computational Social Science"" in Lao. The term is composed of words that directly represent ""science"" (ວິທະຍາສາດ), ""social"" (ສັງຄົມ), and ""computer"" (ຄອມພີວເຕີ). These components align well with the meaning in English, accurately covering the multidisciplinary nature of the field that integrates computational methods with social science issues.",2025-05-31 21:15:56
lt,Computational Social Science,Kompiuteriniai socialiniai mokslai,Lithuanian,151.0,1740723702.0,stop,gpt-4o-2024-08-06,115.0,266.0,"The term 'Kompiuteriniai socialiniai mokslai' incorporates the word 'kompiuteriniai,' which more accurately reflects the idea of 'computational' in the context of using computer technologies and methods. The term 'skaičiavimo' can be translated as 'numerical' or 'calculation,' which may not fully capture the broader scope of computational methods employed in social sciences, including algorithms, data analysis, and simulations that go beyond mere calculations. Therefore, 'Kompiuteriniai socialiniai mokslai' is a refined translation that aligns better with the typical understanding and application of computational techniques within this interdisciplinary field.",2025-05-31 21:15:56
lu,Computational Social Science,Bwifundi bwa Sianse ya Mikalakale,Luba-Katanga,127.0,1740723732.0,stop,gpt-4o-2024-08-06,123.0,250.0,"The term 'Computational Social Science' involves both computational methods and social scientific inquiry. 'Bwifundi' refers to 'science' or 'study,' which is applicable to both technological (computational) and social domains. 'Sianse' is derived from 'science' and represents systematic study across disciplines. 'Mikalakale' translates to 'social' in the sense of societal and community-based contexts. This translation maintains clarity and captures the essence of interdisciplinary studies involving computation and social sciences.",2025-05-31 21:15:56
lv,Computational Social Science,Skaitļošanas sociālās zinātnes,Latvian,99.0,1740723745.0,stop,gpt-4o-2024-08-06,116.0,215.0,"The suggested term ""Skaitļošanas sociālā zinātne"" is close, but ""zinātnes"" reflects the plural form, which is more appropriate because ""Computational Social Science"" encompasses various methods and disciplines within the field. The term ""skaitļošanas"" correctly captures ""computational,"" referring to the use of computational methods.",2025-05-31 21:15:56
mg,Computational Social Science,Siansa Sosialy Kompiteraly,Malagasy,120.0,1740723769.0,stop,gpt-4o-2024-08-06,147.0,267.0,"In creating this translation, I borrowed from each of the suggestions while aiming for clarity and accuracy. 'Siansa' appropriately captures 'Science.' 'Sosialy' is used here to describe 'Social,' providing a sense of the broader societal context. 'Kompiteraly' embodies the computational aspect, being derived from the root word 'kompiter,' familiar within the Malagasy lexicon as a reference to contemporary technology. This translation balances technical accuracy with linguistic familiarity.",2025-05-31 21:15:56
mh,Computational Social Science,Jejeejin Koaan in Elizabeth,Marshallese,99.0,1740723824.0,stop,gpt-4o-2024-08-06,146.0,245.0,"The term ""Computational Social Science"" refers to the intersection of social science and computational methods. ""Jejeejin"" captures the use of computation or technology (""computer-like""), while ""Koaan in"" refers to the studies or analyses related to social systems or societies (""Elizabeth""). This translation aims to balance clarity with the importance of accurately representing the interdisciplinary nature of computational social science.",2025-05-31 21:15:56
mi,Computational Social Science,Pūtaiao Pāpori Rorohiko,Māori,116.0,1740723812.0,stop,gpt-4o-2024-08-06,108.0,224.0,"The term 'Pūtaiao Pāpori Rorohiko' is constructed to closely convey the concept of Computational Social Science in Māori. 'Pūtaiao' is the Māori word for 'science,' 'Pāpori' means 'social,' and 'Rorohiko' is the term for 'computer' or 'computational.' This translation captures the interdisciplinary nature of the field, combining social sciences with computational methods.",2025-05-31 21:15:56
mk,Computational Social Science,Компјутативни општествени науки,Macedonian,105.0,1740723766.0,stop,gpt-4o-2024-08-06,135.0,240.0,"I chose ""Компјутативни општествени науки"" because it accurately reflects the interdisciplinary nature of the field, integrating computational methods with social sciences. ""Компјутативни"" conveys the computational aspect effectively, while ""општествени науки"" is a more precise term for ""social sciences"" in Macedonian, encompassing a broader range of disciplines within the social sciences.",2025-05-31 21:15:56
ml,Computational Social Science,കമ്പ്യൂട്ടേഷണൽ സോഷ്യൽ സയൻസ്,Malayalam,141.0,1740723790.0,stop,gpt-4o-2024-08-06,137.0,278.0,"The term ""കമ്പ്യൂട്ടേഷണൽ സോഷ്യൽ സയൻസ്"" effectively captures the essence of ""Computational Social Science"" by directly transliterating the words ""Computational"" and ""Social Science"" into Malayalam while maintaining the original meaning. The transliteration ""കമ്പ്യൂട്ടേഷണൽ"" accurately reflects the complexity and specificity of computation, and ""സോഷ്യൽ സയൻസ്"" universally corresponds to Social Science. This choice respects the original English terminology and is immediately clear to those familiar with the related concepts, ensuring precision and understanding in the scientific context.",2025-05-31 21:15:56
mn,Computational Social Science,Компьютерийн нийгмийн шинжлэх ухаан,Mongolian,137.0,1740723836.0,stop,gpt-4o-2024-08-06,120.0,257.0,"The term 'Тооцооллын нийгмийн шинжлэх ухаан' translates to 'computational social science,' which is a direct translation. However, I chose 'Компьютерийн нийгмийн шинжлэх ухаан' because 'компьютерийн' more directly refers to 'computer-related' or 'computer-based,' which is commonly understood and accepted in Mongolian. This translation maintains the essence of the field, which involves using computational methods to study social phenomena, while aligning with contemporary language usage in Mongolia.",2025-05-31 21:15:56
mr,Computational Social Science,संगणकीय सामाजिक विज्ञान,Marathi (Marāṭhī),107.0,1740723820.0,stop,gpt-4o-2024-08-06,157.0,264.0,"The term ""संगणकीय सामाजिक विज्ञान"" directly translates to ""Computational Social Science."" ""संगणकीय"" means ""computational,"" ""सामाजिक"" means ""social,"" and ""विज्ञान"" means ""science."" This term captures the essence and scope of the field, which combines computational methods with social science inquiries. The other suggestions either do not adequately represent the complete phrase or are not coherent in Marathi.",2025-05-31 21:15:56
ms,Computational Social Science,Sains Sosial Komputasi,Malay,121.0,1740723773.0,stop,gpt-4o-2024-08-06,110.0,231.0,"The term ""Computational Social Science"" refers to the interdisciplinary field that leverages computational methods to study social phenomena. In Malay, ""Sains Sosial"" directly translates to ""Social Science"". Although ""Pengiraan"" means ""calculation"" and could be considered related, ""Komputasi"" is more precise and contemporary, often used in the context of the application of computational techniques. Therefore, ""Sains Sosial Komputasi"" aligns more accurately with the essence of the original term.",2025-05-31 21:15:56
ru,Computational Social Science,Вычислительные социальные науки,Russian,95.0,1740731861.0,stop,gpt-4o-2024-08-06,130.0,225.0,"The term ""Вычислительные социальные науки"" combines precision with broad applicability. ""Вычислительные"" captures the computational aspect accurately, and ""социальные науки"" is the established phrase in Russian for ""social sciences."" This formulation reflects a balance between computational methods and the discipline of social sciences, while aligning with common academic terminology in Russian.",2025-05-31 21:15:56
sa,Computational Social Science,सङ्कलनीय सामाजिक विज्ञान,Sanskrit (Saṁskṛta),169.0,1740731865.0,stop,gpt-4o-2024-08-06,125.0,294.0,"The term ""Computational Social Science"" can be broken down into ""Computational"" and ""Social Science"". ""Computational"" relates to computation or calculations, which in Sanskrit can be suitably represented by ""सङ्कलनीय"" (Saṅkalaniīya), implying something that involves systematic processing or computation. ""Social Science"" can be directly translated as ""सामाजिक विज्ञान"" (Sāmājika Vijñāna), where ""सामाजिक"" means ""social"" and ""विज्ञान"" means ""science"" or ""knowledge"". Therefore, integrating these concepts, the refined translation ""सङ्कलनीय सामाजिक विज्ञान"" maintains the essence of a scientific discipline that involves computational methodologies applied to understanding social phenomena.",2025-05-31 21:15:56
ha,Computational Social Science,,Hausa,,,,,,,,2025-05-31 21:15:56
uz,Computational Social Science,Hisoblash ijtimoiy fanlari,Uzbek,94.0,1740732562.0,stop,gpt-4o-2024-08-06,113.0,207.0,"The suggested translation ""Hisoblash ijtimoiy fanlari"" accurately captures the meaning of ""Computational Social Science"" by combining ""hisoblash,"" which relates to computational or calculating methods, with ""ijtimoiy fanlari,"" meaning social sciences. This conveys the interdisciplinary nature of the field, which involves applying computational techniques to social science questions.",2025-05-31 21:15:56
tl,Computational Social Science,Komputasyonal na Agham Panlipunan,Tagalog,148.0,1740732454.0,stop,gpt-4o-2024-08-06,153.0,301.0,"The term ""Computational Social Science"" relates to using computational methods to analyze social phenomena. In Tagalog, ""Komputasyonal"" is a direct translation for ""Computational,"" suitably reflecting the scientific use of computational tools and techniques. ""Agham"" is the more common Tagalog term for ""Science,"" and has a closer connotation to methodical and empirical study. ""Panlipunan"" translates to ""Social,"" capturing the aspect of society or social interactions. Hence, ""Komputasyonal na Agham Panlipunan"" translates the essence of the field, keeping the technical and social components intact.",2025-05-31 21:15:56
to,Computational Social Science,Saienisi Fakasosiale Fakakomipiuta,Tonga,146.0,1740732463.0,stop,gpt-4o-2024-08-06,156.0,302.0,"The term ""Computational Social Science"" refers to the interdisciplinary field that applies computational techniques to analyze social phenomena. The translation ""Saienisi Fakasosiale Fakakomipiuta"" directly encompasses the components of this term: ""Saienisi"" for ""Science"", ""Fakasosiale"" for ""Social"", and ""Fakakomipiuta"" for ""Computational"" or ""Computer-based"". This translation aligns closely with the structure and meaning of the original term, while ensuring clarity and relevance in the Tonga language context. It is concise and captures the essence of the field without unnecessary complexity.",2025-05-31 21:15:56
