language_code,term_source,ollama_translated_term,language_name,ollama_content,ollama_model,ollama_created_at,ollama_total_duration,ollama_load_duration,ollama_prompt_eval_count,ollama_prompt_eval_duration,ollama_eval_count,ollama_eval_duration,ollama_done_reason,ollama_extracted_dictionaries,ollama_translation,coding_dh_date
mt,Public History,Istoriża Publiku,Maltese,"{'translated_term': 'Istoriża Publiku', 'translation_rationale': 'The term ""Public History"" is derived from the words ""public"" and ""history"". In Maltese, we use the word ""pubbliċi"" to indicate something that is public or shared with the general public. The suffix ""-ku"" in Maltese indicates a feminine noun, but it can also be used as an indefinite article or a possessive pronoun, making it suitable for this translation.', 'alternative_translation_options': ['Istoriża Popolari', 'Storija Pubblika']}

Note: The two alternative translations are ""Istoriża Popolari"" and ""Storija Pubblika"". While both convey the idea of history related to the public, they use different words for ""public"" and ""history"".",llama3.2,2025-05-15T20:12:30.237821Z,1942292417.0,29227417.0,120.0,87970500.0,183.0,1824029208.0,stop,"[{'translated_term': 'Istoriża Publiku', 'translation_rationale': 'The term ""Public History"" is derived from the words ""public"" and ""history"". In Maltese, we use the word ""pubbliċi"" to indicate something that is public or shared with the general public. The suffix ""-ku"" in Maltese indicates a feminine noun, but it can also be used as an indefinite article or a possessive pronoun, making it suitable for this translation.', 'alternative_translation_options': ['Istoriża Popolari', 'Storija Pubblika']}]",Istoriża Publiku,2025-05-31 21:15:56
na,Public History,Bitapōpō Ŋein Naoera,Nauru,"{'translated_term': 'Bitapōpō Ŋein Naoera', 'translation_rationale': 'I used the Nauruan terms ""bitapōpō"" (meaning ""history"") and ""Ŋein Naoera"" (meaning ""public"" or ""community""), to convey the concept of public history. The term is a combination of these two words, indicating that it relates to the community and is about the shared experiences and narratives.', 'alternative_terms': ['Bitapōpō Aio', 'Aio Ŋein Naoera']}",llama3.2,2025-02-27T22:46:19.63574Z,1110671084.0,34810750.0,120.0,91000000.0,118.0,982000000.0,stop,"[{'translated_term': 'Bitapōpō Ŋein Naoera', 'translation_rationale': 'I used the Nauruan terms ""bitapōpō"" (meaning ""history"") and ""Ŋein Naoera"" (meaning ""public"" or ""community""), to convey the concept of public history. The term is a combination of these two words, indicating that it relates to the community and is about the shared experiences and narratives.', 'alternative_terms': ['Bitapōpō Aio', 'Aio Ŋein Naoera']}]",Bitapōpō Ŋein Naoera,2025-05-31 21:15:56
is,Public History,ðpinber sagaüûāó,Icelandic,"{'translated_term': '\u00f0pinber saga\u00fc\u00fb\u0101\u00f3', 
'translation_rationale': 'I used a combination of Icelandic vocabulary and grammatical structures inspired by the Google Translate API suggestion ""Opinber saga"". The prefix ""\u00f0pinber"" combines the root words for ""public"" (\u00f0pin) and ""history"" (bergir), which is a common way to form nouns in Icelandic. The suffix ""-saga\u00fc"" indicates that it refers to a historical narrative or story, as is typical in Old Norse sagas but also used in modern Icelandic for terms like ""saga"" meaning ""story"", ""narrative"", or ""history"".', 
'alternatives': ['\u00f0pinber sagnam\u00e1l', '\u00f0pinbergar saga', '\u00f0pinber saga\u00fa']}",llama3.2,2025-02-27T22:42:24.208439Z,2084008916.0,28686833.0,144.0,197000000.0,201.0,1856000000.0,stop,[],,2025-05-31 21:15:56
nb,Public History,Samfunnets historie,Norwegian Bokmål,"{'translated_term': 'Samfunnets historie', 'translation_rationale': 'Jeg har valgt ""Samfunnets historie"" fordi det lyder mer naturlig og samlet, og inkluderer alle aspekter av historien som har en relevans for det offentlige. Dette er et mer tilnærmet engelsk begrep, men med en mer norsk tone. Alternativer kunne være ""samfunnet og historien"" eller ""historien i samfunnet"", men disse åpner opp for mer specifikke tolkninger av hvilke aspekter som er inkludert.'}",llama3.2,2025-02-27T22:46:44.742522Z,1361363417.0,26981084.0,153.0,91000000.0,137.0,1241000000.0,stop,"[{'translated_term': 'Samfunnets historie', 'translation_rationale': 'Jeg har valgt ""Samfunnets historie"" fordi det lyder mer naturlig og samlet, og inkluderer alle aspekter av historien som har en relevans for det offentlige. Dette er et mer tilnærmet engelsk begrep, men med en mer norsk tone. Alternativer kunne være ""samfunnet og historien"" eller ""historien i samfunnet"", men disse åpner opp for mer specifikke tolkninger av hvilke aspekter som er inkludert.'}]",Samfunnets historie,2025-05-31 21:15:56
nd,Public History,Lozwe lo Mthembu,North Ndebele,"{'translated_term': 'Lozwe lo Mthembu', 
 'translation_rationale': 'Public History can be roughly translated to Lozwe lo Mthembu, which combines ""lozwe"" meaning public or open, and ""mthembu"" meaning history. This term is inspired by the concept of the Royal Museum in Bulawayo, Zimbabwe, which houses many of the country''s historical artifacts and is a great example of public history in action.', 
 'alternative_translations': ['Lozwe lo Mithandazo', 'Umthethweni wo Lozwe']}",llama3.2,2025-05-15T20:12:58.518004Z,1244028458.0,31933042.0,124.0,154152500.0,126.0,1057187125.0,stop,[],,2025-05-31 21:15:56
ne,Public History,,Nepali,"{'translated_term': 'सामाजिक इतिहास' (Sāmājik Itihās) or 'सार्वजनिक इतिहास' (Sārvajanik Itihās), 'translation_rationale': 'While ""सार्वजनिक इतिहास"" (Sārvajanik Itihās) is the most literal translation, I have opted for ""सामाजिक इतिहास"" (Sāmājik Itihās) as it better conveys the concept of public history in Nepal, which often deals with social and cultural contexts. '}",llama3.2,2025-02-27T22:47:02.936692Z,1185357166.0,20816708.0,150.0,83000000.0,131.0,1079000000.0,stop,[],,2025-05-31 21:15:56
ng,Public History,Ŋongi Ŋonga,Ndonga,"{'translated_term': 'Ŋongi Ŋonga', 'translation_rationale': 'Public History is a field that deals with the presentation and interpretation of historical events and objects to the public. In Ndonga, ""ngongi"" means ""storytelling"" or ""narration"", and ""nga"" is an honorific suffix used to show respect for knowledge or expertise. Combining these elements, Ŋongi Ŋonga roughly translates to ""the art of presenting historical stories to the people"". Alternatives could be Ŋonga Ŋona (history for the community) or Ŋanga Ŋonga (historical knowledge), but Ŋongi Ŋonga is the most fitting given the nuances of Ndonga linguistics.'}",llama3.2,2025-02-27T22:47:13.119216Z,1428516292.0,28689792.0,120.0,21000000.0,158.0,1377000000.0,stop,"[{'translated_term': 'Ŋongi Ŋonga', 'translation_rationale': 'Public History is a field that deals with the presentation and interpretation of historical events and objects to the public. In Ndonga, ""ngongi"" means ""storytelling"" or ""narration"", and ""nga"" is an honorific suffix used to show respect for knowledge or expertise. Combining these elements, Ŋongi Ŋonga roughly translates to ""the art of presenting historical stories to the people"". Alternatives could be Ŋonga Ŋona (history for the community) or Ŋanga Ŋonga (historical knowledge), but Ŋongi Ŋonga is the most fitting given the nuances of Ndonga linguistics.'}]",Ŋongi Ŋonga,2025-05-31 21:15:56
nl,Public History,openbare geschiedenis,Dutch,"{'translated_term': 'publieke geschiedenis', 'translation_rationale': 'The translation ""publieke geschiedenis"" follows the standard Dutch naming convention, where ""-ie"" is added to nouns ending in ""-es"". However, a more idiomatic translation could be ""'\u00e9nige' geschiedenis"" which means ""history of everyone"" or ""public history"" in English. This choice emphasizes that public history encompasses the experiences and perspectives of all people, not just elite or dominant groups.'}

Alternatively, you could also use 'openbare geschiedenis' as a translation, but this phrase has a slightly different connotation, implying more emphasis on accessibility and openness rather than inclusivity.

{'translated_term': 'openbare geschiedenis', 'translation_rationale': 'This alternative translation uses the Dutch prefix ""open"" which emphasizes public or open access. However, it may not fully convey the sense of inclusivity and diversity that the term ""public history"" implies.'}

In both cases, it is worth noting that Dutch has a rich tradition of using ""geschiedenis"" to translate the concept of history, which can sometimes lead to nuances in translation that are lost in English.",llama3.2,2025-02-27T22:38:44.94075Z,2457539125.0,26343500.0,146.0,91000000.0,248.0,2338000000.0,stop,"[{'translated_term': 'openbare geschiedenis', 'translation_rationale': 'This alternative translation uses the Dutch prefix ""open"" which emphasizes public or open access. However, it may not fully convey the sense of inclusivity and diversity that the term ""public history"" implies.'}]",openbare geschiedenis,2025-05-31 21:15:56
nn,Public History,Folkhistorie,Norwegian Nynorsk,"{'translated_term': 'Folkhistorie', 'translation_rationale': 'I have chosen ""Folkhistorie"" as it is a commonly used Norwegian Nynorsk term that refers to public or applied history, which encompasses the use of historical knowledge in various fields and contexts. The term implies a focus on making history accessible and relevant to broader audiences.'}

Alternative translations could be:

- 'Den offentlige historien' (this translation is more literal and conveys the idea of ""public"" history as a separate field)
- 'Historie som samfunnet kan bruke' (this translation emphasizes the practical applications of history in public life)

However, 'Folkhistorie' is generally considered the most idiomatic and widely accepted term in Norwegian Nynorsk.",llama3.2,2025-02-27T22:47:24.678089Z,1382218083.0,27849250.0,122.0,21000000.0,159.0,1332000000.0,stop,"[{'translated_term': 'Folkhistorie', 'translation_rationale': 'I have chosen ""Folkhistorie"" as it is a commonly used Norwegian Nynorsk term that refers to public or applied history, which encompasses the use of historical knowledge in various fields and contexts. The term implies a focus on making history accessible and relevant to broader audiences.'}]",Folkhistorie,2025-05-31 21:15:56
no,Public History,Folkehistorie,Norwegian,"{'translated_term': 'Folkehistorie', 'translation_rationale': 'The Norwegian word ""folkehistorie"" is a direct borrowing from English, with the prefix ""folk-"" meaning people or common folk, and ""-historie"" meaning history. This translation conveys the idea of history that is accessible to and relevant for the general public.'}
{'alternative_translation_term': 'Samfunns historie', 'translation_rationale': 'This alternative translation emphasizes the social aspect of history, suggesting a focus on how historical events impact society as a whole, rather than individual people. However, it may be less commonly used in academic or professional contexts to refer to public history.'}",llama3.2,2025-05-15T20:13:15.121924Z,1193586416.0,37022583.0,116.0,21346625.0,140.0,1133951333.0,stop,"[{'translated_term': 'Folkehistorie', 'translation_rationale': 'The Norwegian word ""folkehistorie"" is a direct borrowing from English, with the prefix ""folk-"" meaning people or common folk, and ""-historie"" meaning history. This translation conveys the idea of history that is accessible to and relevant for the general public.'}, {'alternative_translation_term': 'Samfunns historie', 'translation_rationale': 'This alternative translation emphasizes the social aspect of history, suggesting a focus on how historical events impact society as a whole, rather than individual people. However, it may be less commonly used in academic or professional contexts to refer to public history.'}]",Folkehistorie,2025-05-31 21:15:56
nr,Public History,,South Ndebele,"{'translated_term': 'Umlando womphakathi wokuhumana', 
'translation_rationale': 'I took inspiration from the Google Translate API's suggestion ""Umlando womphakathi"" and modified it to better fit the South Ndebele language. I added ""wokuhumana"" which means ""to share or discuss"" in South Ndebele, to convey the idea of public sharing and discussion that comes with the concept of Public History. This term roughly translates to ""The Discussion of Shared History"". An alternative could be ""Umlando womphakathi"", using it as is, but this doesn't fully capture the nuance of Public History in South Ndebele culture.', 
'alternatives': ['Umlando womphakathi', 'Ndiwe yena wokuhumana', 'Wokuhumana ukuthetha']}",llama3.2,2025-02-27T22:47:52.13655Z,1700133208.0,18367833.0,155.0,19000000.0,189.0,1661000000.0,stop,[],,2025-05-31 21:15:56
nv,Public History,Díínó Ahéheé Dinétsoh́,"Navajo, Navaho","{'translated_term': 'Díínó Ahéhee\u0301 Dine\u0301tsoh\u0301', 'translation_rationale': 'The term &quot;Public History&quot; is translated to Navajo as &quot;Díínó Ahéhee\u0301 Dine\u0301tsoh\u0301&quot;, which roughly means &quot;History that is shared among the people&quot;. The word &quot;Díínó&quot; refers to history, and the suffix &quot;-Ahéhee\u0301&quot; indicates something that is public or widely known. The prefix &quot;Dine\u0301tsoh\u0301&quot; means &quot;of the people&quot; or &quot;by the people&quot;, conveying a sense of shared knowledge and community involvement.'}

Note: In Navajo, the language uses the macron (u, ̄) to indicate long vowels.",llama3.2,2025-05-15T20:12:47.069397Z,1966925084.0,30943625.0,124.0,81143083.0,199.0,1854013250.0,stop,"[{'translated_term': 'Díínó Ahéheé Dinétsoh́', 'translation_rationale': 'The term &quot;Public History&quot; is translated to Navajo as &quot;Díínó Ahéheé Dinétsoh́&quot;, which roughly means &quot;History that is shared among the people&quot;. The word &quot;Díínó&quot; refers to history, and the suffix &quot;-Ahéheé&quot; indicates something that is public or widely known. The prefix &quot;Dinétsoh́&quot; means &quot;of the people&quot; or &quot;by the people&quot;, conveying a sense of shared knowledge and community involvement.'}]",Díínó Ahéheé Dinétsoh́,2025-05-31 21:15:56
lt,Public History,Sakraujimo istorija,Lithuanian,"{'translated_term': 'Sakraujimo istorija', 
 'translation_rationale': 'I used the word ""sakraujimo"" which is derived from the Lithuanian verb ""skraipti"", meaning ""to seek"" or ""to find"", and the adjective ""akraujantis"", meaning ""public"". This combination suggests a search or exploration of public history. Alternatively, one could use ""socialinė istorija"" (social history) to convey a broader sense of social context, but ""Sakraujimo istorija"" seems more direct and concise.', 
 'alternative_terms': ['Socialinė istorija', 'Laisvės ir pilietinis istorijos'] }",llama3.2,2025-05-15T20:12:14.396218Z,1431495875.0,36482291.0,120.0,74591000.0,156.0,1319365708.0,stop,[],,2025-05-31 21:15:56
lo,Public History,,Lao,"{'translated_term': 'ປະຫວັດສາທາລະນະຕໍອງ', 
'translation_rationale': 'The term ""Public History"" refers to the study and interpretation of the past in a way that is accessible and engaging for the general public. In Lao, I have used ''ປະຫວັດສາທາລະນະ'' which literally means ""the history of the people"" or ""popular history"". However, this term may not fully capture the nuance and scope of ""Public History"" as it is understood in academic circles. A more refined translation could be ''ປະຫວັດສາທາລະນະຕໍອງ'', which adds the prefix ''ຊເ'' meaning ""academic"" or ""scholarly"", to convey a sense of specialized study and expertise. Alternatively, ''ປະຫວັດສາທາລະນະ'' could be used in certain contexts where the term is more colloquial or informal.'}

Note: The prefix ''ຊເ'' (khū) means ""academic"" or ""scholarly"", and is often used to indicate a high level of expertise or formality. Using this prefix can help convey the nuance and scope of ""Public History"" in Lao, while also avoiding direct translation of the term ""Public"".",llama3.2,2025-02-27T22:45:04.110929Z,3821624084.0,26797959.0,176.0,21000000.0,351.0,3772000000.0,stop,[],,2025-05-31 21:15:56
