language_code,term_source,openai_translated_term,language_name,openai_completion_tokens,openai_created,openai_finish_reason,openai_model,openai_prompt_tokens,openai_total_tokens,openai_translation_rationale,coding_dh_date
oj,Public History,Gakina Gego Ezhichigewaad Asema Nibwaakawin,"Ojibwe, Ojibwa",195.0,1740718052.0,stop,gpt-4o-2024-08-06,87.0,282.0,"Translating ""Public History"" into Ojibwe requires an understanding of both the words individually and their broader implications. ""Public"" can relate to ""everyone"" or ""community,"" which in Ojibwe could be translated to ""Gakina gego,"" meaning ""everything/everyone."" ""History"" can be interpreted as ""stories of the past"" or ""knowledge from long ago,"" which in Ojibwe could be expressed as ""Asema nibwaakawin,"" meaning ""old wisdom/knowledge."" Together, ""Gakina Gego Ezhichigewaad Asema Nibwaakawin"" captures the essence of history as a collective, public property or shared experience. The phrase attempts to reflect the communal and shared nature of history in public narratives, considering the cultural context.",2025-05-31 21:15:56
om,Public History,Seenaa Hawaasummaa,Oromo,159.0,1740718368.0,stop,gpt-4o-2024-08-06,131.0,290.0,"The Google Translate API's suggestion 'Seenaa Ummataa' translates to 'History of the People,' which is a close but more general interpretation. The suggestion from the Easy Neural Machine Translation library, 'DEEBII GAAFFII KITAABA QULQULLUU,' seems unrelated to the context of history or public as it translates to 'Answer to the Question of the Holy Book.' The term 'Seenaa Hawaasummaa' directly translates to 'Public History' by using 'Seenaa' for 'History' and 'Hawaasummaa' to encapsulate the idea of society or community, aligning more closely with the concept of history done in and for the public interest.",2025-05-31 21:15:56
os,Public History,Æхсæнадон истори,"Ossetian, Ossetic",125.0,1740718408.0,stop,gpt-4o-2024-08-06,121.0,246.0,"The suggested translation 'Æхсæнадон истори' effectively communicates the concept of 'Public History' in the context of Ossetian language. 'Æхсæнадон' refers to something that is public or open to the people, and 'истори' is a transliteration of 'history.' It encompasses the essence of making historical research and discussions accessible and relevant to a broad audience, which is the core of public history. Therefore, the existing translation is both culturally and semantically appropriate.",2025-05-31 21:15:56
pi,Public History,Sāmuddhika Itihāsa,Pāli,135.0,1740718531.0,stop,gpt-4o-2024-08-06,79.0,214.0,"The term ""Public History"" in English refers to the practice of history aimed at engaging with the public, often through venues outside of traditional academic settings. In Pāli, ""sāmuddhika"" is a term that implies ""related to the public"" or ""pertaining to people in general,"" and ""itihāsa"" is a term explicitly used in ancient texts to mean ""history."" Thus, ""Sāmuddhika Itihāsa"" effectively conveys the concept of ""Public History,"" emphasizing its public-oriented nature and historical context.",2025-05-31 21:15:56
pl,Public History,Historia publiczna,Polish,134.0,1740718636.0,stop,gpt-4o-2024-08-06,104.0,238.0,"The term ""Public History"" is commonly translated into Polish as ""Historia publiczna"". This translation is widely accepted in academic and professional circles dealing with history and cultural studies in Poland. The word ""publiczna"" translates to ""public"" in English, which captures the essence of ""Public History"" as it relates to engaging the general public with historical knowledge and practice. Although ""publiczna"" directly follows the noun ""historia,"" maintaining the same order and meaning as the original English term, this phrasing effectively communicates the role and function of this field within Polish academic and public discourse.",2025-05-31 21:15:56
ps,Public History,عامه تاریخ,"Pashto, Pushto",106.0,1740718661.0,stop,gpt-4o-2024-08-06,114.0,220.0,"The term ""عامه تاریخ"" is a direct translation of ""Public History"" into Pashto, where ""عامه"" means ""public"" and ""تاریخ"" means ""history."" This translation effectively conveys the concept of history as it pertains to public engagement, interpretation, and relevance. Since the term aligns well with the intended meaning and is understandable in the context of Pashto language usage, it requires no modification for clarity or accuracy.",2025-05-31 21:15:56
pt,Public History,História Pública,Portuguese,152.0,1740718673.0,stop,gpt-4o-2024-08-06,128.0,280.0,"The term ""Public History"" refers to the practice of history by and for the public, which encompasses activities like exhibitions, digital history projects, and collaborative research outside of traditional academic settings. In Portuguese, ""História Pública"" accurately captures this concept, as ""História"" means ""history"" and ""Pública"" denotes something intended for the public, accessible, and inclusive. Both the Google Translate API and the Ollama API suggest the same term, and this convergence supports the translation's reliability and appropriateness. Additionally, the term ""História Pública"" is widely accepted in academic and professional circles in Brazil and Portugal, ensuring that it resonates well within the field.",2025-05-31 21:15:56
qu,Public History,Rimay Historia,Quechua,124.0,1740718701.0,stop,gpt-4o-2024-08-06,110.0,234.0,"The term 'Public History' in English refers to the practice of history beyond traditional academic settings, engaging with the public in various ways. 'Rimay' means 'to speak,' suggesting engagement and communication, which is central to public history's audience-focused nature. 'Historia' is borrowed from Spanish due to its widespread recognition and use in Quechua-speaking regions, thus effectively conveying the concept of history. By combining these two, 'Rimay Historia' captures the essence of engaging and communicating historical narratives with the public.",2025-05-31 21:15:56
mr,Public History,सार्वजनिक इतिहास,Marathi (Marāṭhī),133.0,1740716876.0,stop,gpt-4o-2024-08-06,132.0,265.0,"The term ""सार्वजनिक इतिहास"" effectively conveys the idea of ""Public History"" by using ""सार्वजनिक,"" which translates to ""public"" and denotes things related to the general populace or community. ""इतिहास"" accurately means ""history."" Together, they accurately translate the concept of ""Public History,"" which refers to history intended for or involving the public, outside of strictly academic or professional settings. The alternative suggestion ""इतिहास"" alone would not capture the full scope of the term ""Public History,"" as it lacks the public context or application component.",2025-05-31 21:15:56
ml,Public History,പൊതു ചരിത്രം,Malayalam,118.0,1740716847.0,stop,gpt-4o-2024-08-06,125.0,243.0,"The term ""Public History"" refers to history that is engaged with or presented to the general public, often outside of traditional academic settings. In Malayalam, ""പൊതു"" means ""public"" or ""common,"" and ""ചരിത്രം"" means ""history."" The translation ""പൊതു ചരിത്രം"" effectively conveys this concept in a straightforward manner while being intelligible to Malayalam speakers. The choice captures the essence of public accessibility and engagement, which are central to the field of Public History.",2025-05-31 21:15:56
mk,Public History,Јавна историја,Macedonian,135.0,1740716819.0,stop,gpt-4o-2024-08-06,141.0,276.0,"The term ""Јавна историја"" is a direct translation of ""Public History"" into Macedonian, where ""Јавна"" means ""Public"" and ""историја"" means ""History."" This translation has been consistently suggested by multiple language translation resources, indicating its appropriateness and acceptance. ""Јавна историја"" effectively conveys the concept of history that is accessible and relevant to the public, aligning with the principles of public history that focus on engaging with wider audiences beyond academia. Therefore, this translation accurately reflects the intended meaning without further modification.",2025-05-31 21:15:56
mi,Public History,Hītori Tūmatanui,Māori,103.0,1740716871.0,stop,gpt-4o-2024-08-06,109.0,212.0,"The term ""Public History"" refers to the practice of history by and for the public. ""Hītori"" is the word for ""history"" in Māori, and ""Tūmatanui"" is commonly used to describe something that is public or pertaining to the community. The combination captures the essence of history that is accessible and relevant to the wider community, making it an appropriate and meaningful translation.",2025-05-31 21:15:56
kl,Public History,Namminersorlutik oqaluttuarisaaneq,Kalaallisut,118.0,1740716155.0,stop,gpt-4o-2024-08-06,117.0,235.0,"The term ""Public History"" refers to the practice of history by and for the public, which implies accessibility and public engagement. In Kalaallisut, ""namminersorlutik"" can convey the sense of something being for or by the public, suggesting a community-focused approach. ""Oqaluttuarisaaneq"" refers to the study of history or historical narrative. Combining these elements gives a term that conveys the idea of history that is created, shared, and engaged with by the public.",2025-05-31 21:15:56
km,Public History,ប្រវត្តិសាស្រ្តសាធារណៈ,Khmer,137.0,1740716366.0,stop,gpt-4o-2024-08-06,114.0,251.0,"The term ""Public History"" is effectively translated into Khmer as ""ប្រវត្តិសាស្រ្តសាធារណៈ."" This translation captures the essence of making historical knowledge accessible and engaging to the public. ""ប្រវត្តិ"" means ""history,"" and ""សាស្រ្តសាធារណៈ"" refers to ""public use or affairs,"" which fits well in expressing the concept of history practiced in public contexts, such as museums, heritage sites, or community projects, ensuring it is informative and relatable for a broad audience.",2025-05-31 21:15:56
kn,Public History,ಸಾರ್ವಜನಿಕ ಇತಿಹಾಸ,Kannada,119.0,1740716164.0,stop,gpt-4o-2024-08-06,109.0,228.0,"The term ""ಸಾರ್ವಜನಿಕ ಇತಿಹಾಸ"" accurately captures the essence of ""Public History."" ""ಸಾರ್ವಜನಿಕ"" means ""public,"" referring to the community-oriented aspect, and ""ಇತಿಹಾಸ"" means ""history,"" denoting the study or record of past events. The combination effectively conveys the idea of making history accessible and engaging to the general populace, which aligns with the purpose of public history to involve the community in the understanding and interpretation of historical narratives.",2025-05-31 21:15:56
ko,Public History,공공역사,Korean,172.0,1740716606.0,stop,gpt-4o-2024-08-06,141.0,313.0,"The term 'Public History' generally refers to the practice of history by and for the public, as opposed to academic or purely scholarly history. In Korean, '공공' means 'public' and '역사' means 'history'. Thus, '공공역사' is a straightforward and widely accepted translation that accurately reflects the concept of history that is intended to be accessible and applicable to the general public. The alternative translation '공공 역사' with a space might be less common in usage but has the same meaning. The suggestions involving non-alphabetic characters (e.g., 'ㅁㅒㅈ公 ㅋㅤㄱ公合') appear to be transliterations or errors and do not meaningfully convey the intended concept in Korean.",2025-05-31 21:15:56
ks,Public History,عوامک تاریخ,Kashmiri,105.0,1740716274.0,stop,gpt-4o-2024-08-06,81.0,186.0,"The term ""Public History"" refers to history practiced or presented outside of traditional academic contexts, often aimed at a broad audience. In Kashmiri, ""عوامک"" translates to ""public,"" relating to the general population. ""تاریخ"" means ""history,"" signifying the study or recounting of past events. Thus, ""عوامک تاریخ"" effectively conveys the concept of history intended for public engagement and understanding.",2025-05-31 21:15:56
ku,Public History,Dîroka Giştî,Kurdish,140.0,1740716635.0,stop,gpt-4o-2024-08-06,108.0,248.0,"The term ""Dîroka Giştî"" is a direct translation of ""Public History"" and is generally understood in Kurdish to mean history that is accessible and relevant to the public at large. In Kurdish, ""Dîrok"" means ""history"" and ""Giştî"" means ""public"" or ""general,"" effectively capturing the essence of historical practice and understanding aimed at engaging broader audiences outside of academia. This translation maintains the intended meaning and context of Public History, which involves presenting history through various mediums such as museums, exhibitions, and digital platforms to reach non-specialist audiences.",2025-05-31 21:15:56
kv,Public History,Ӧнерысь история,Komi,142.0,1740716588.0,stop,gpt-4o-2024-08-06,124.0,266.0,"The term ""Ӧнерысь"" refers to ""public"" or ""common"" in Komi, which is more accurate in the cultural context than ""Общественнӧй"" or ""иваянской"". ""Ӧнерысь"" closely aligns with the communal and collective aspect inherent in the concept of Public History. ""История"" is directly adopted for ""history,"" as it is a widely recognized term in Komi. This translation respects the nuances of the concept by considering the communal engagement aspects of public history while ensuring the term is both understandable and culturally relevant in Komi.",2025-05-31 21:15:56
kw,Public History,Historieth Werin,Cornish,96.0,1740714453.0,stop,gpt-4o-2024-08-06,79.0,175.0,"The term ""Public History"" refers to the practice of history by and for the public. In Cornish, ""Historieth"" means ""history"" and ""Werin"" translates to ""public"" or ""people"". Therefore, combining these two words gives ""Historieth Werin"", which conveys the notion of history accessible to and created with the involvement of the general populace.",2025-05-31 21:15:56
ky,Public History,Коомдук тарых,"Kirghiz, Kyrgyz",144.0,1740716579.0,stop,gpt-4o-2024-08-06,133.0,277.0,"The term ""Коомдук тарых"" accurately captures the essence of ""Public History"" as it combines ""коомдук,"" meaning ""public"" or ""communal,"" with ""тарых,"" meaning ""history."" This reflects the collaborative and community-oriented nature of Public History, which involves making historical knowledge accessible and engaging for the general public. The alternative suggestion ""Коомдук тарыхы"" includes a possessive form, which could imply ""History of the Public"" rather than a participatory or shared historical experience, so ""Коомдук тарых"" is more appropriate for conveying the concept.",2025-05-31 21:15:56
la,Public History,Historia Publica,Latin,113.0,1740716677.0,stop,gpt-4o-2024-08-06,104.0,217.0,"The term ""Public History"" generally refers to the practice of history by and for the public, often outside of traditional academic settings, such as museums, archives, and community-based projects. The Latin translation ""Historia Publica"" maintains this concept by using ""Historia"" for ""History"" and ""Publica"" for ""Public."" In Latin, adjectives usually follow the nouns they modify, which supports the word order ""Historia Publica"" to reflect the common structure of Latin phrases.",2025-05-31 21:15:56
lb,Public History,Ëffentlech Geschicht,Luxembourgish,156.0,1740716696.0,stop,gpt-4o-2024-08-06,134.0,290.0,"The term 'Ëffentlech Geschicht' accurately conveys the concept of 'Public History' by combining the words 'Ëffentlech' (meaning 'public') and 'Geschicht' (meaning 'history'). This straightforward translation captures the essence of making historical knowledge accessible and engaging to the public, which is the core idea of Public History. The suggestion 'Ëffentleche Geschichtsfilologie' introduces the concept of 'filology' (Philology), which is not necessary as it complicates the term by adding an academic discipline that Public History does not specifically focus on. Thus, 'Ëffentlech Geschicht' is a clear and concise translation.",2025-05-31 21:15:56
lg,Public History,Ebyafaayo eby’omuntu ku ludda lw’abantu,Luganda,169.0,1740716712.0,stop,gpt-4o-2024-08-06,123.0,292.0,"The term ""Public History"" refers to the practice of history by and for the public. The translation ""Ebyafaayo by’olukale"" suggests history of some time or age, which might not fully capture the aspect of engaging with or being relevant to the general public. ""Ebyafaayo"" means ""history,"" and ""omuntu ku ludda lw’abantu"" translates to ""the individual on the public side"" or ""by the person for the people,"" which helps emphasize the aspect of history that is researched, practiced, and disseminated with a direct focus on public engagement and accessibility. This translation tries to maintain the aspect of public involvement and accessibility that is central to the concept of Public History.",2025-05-31 21:15:56
li,Public History,Publieke Gesjiedenis,Limburgish,130.0,1740716725.0,stop,gpt-4o-2024-08-06,122.0,252.0,"'Publieke Gesjiedenis' reflects a more direct translation of 'Public History' into Limburgish, where 'publieke' denotes something that is accessible to the public or related to the general population, and 'gesjiedenis' means history. While 'openbare' also means public, 'publieke' is a commonly used term that may better capture the nuance of public engagement and accessibility, which are central to the concept of Public History. Therefore, 'Publieke Gesjiedenis' aligns closely with the public-facing and collaborative nature of the field.",2025-05-31 21:15:56
ln,Public History,Lisapo ya bato nyonso,Lingala,132.0,1740716732.0,stop,gpt-4o-2024-08-06,124.0,256.0,"The term ""Public History"" refers to history that is accessible, engaging, and pertinent to the general public. The word ""Lisapo"" in Lingala means ""story"" or ""history,"" which aligns well with the concept of history. ""Bato nyonso"" means ""all people"" or ""everyone,"" conveying inclusivity. While ""Lisolo"" also means ""story,"" ""Lisapo"" is more directly associated with historical narratives, making ""Lisapo ya bato nyonso"" a fitting translation for ""Public History"" as it emphasizes history shared among all people.",2025-05-31 21:15:56
lo,Public History,ປະຫວັດສາດສາທາລະນະ,Lao,198.0,1740716750.0,stop,gpt-4o-2024-08-06,170.0,368.0,"The term ""Public History"" translates to ""ປະຫວັດສາດສາທາລະນະ"" in Lao. This translation closely aligns with the components of the original English term: ""ປະຫວັດສາດ"" means ""history,"" and ""ສາທາລະນະ"" translates to ""public"" or ""communal."" The combination precisely captures the essence of public history, which is the practice of making historical scholarship and inquiry accessible and relevant to a broad audience beyond the academic sphere. As the suggested term is consistent and accurately conveys the concept, no modifications were necessary.",2025-05-31 21:15:56
lt,Public History,,Lithuanian,,,,,,,,2025-05-31 21:15:56
lu,Public History,Histware ya Bantu,Luba-Katanga,139.0,1740716777.0,stop,gpt-4o-2024-08-06,115.0,254.0,"The term ""Histware ya Bantu"" translates to ""The History of the People"" or ""People’s History,"" with ""Histware"" being a commonly understood word for history, and ""ya Bantu"" directly meaning ""of the People"" in Luba-Katanga. While ""Mānga"" can allude to a story or tales, ""Histware"" provides a clearer context for formal or academic history and is more aligned with scholarly discussions. Thus, ""Histware ya Bantu"" better captures the essence of Public History being the history that belongs to and is about the public.",2025-05-31 21:15:56
mg,Public History,Tantaram-bahoaka,Malagasy,178.0,1740716824.0,stop,gpt-4o-2024-08-06,140.0,318.0,"The term 'Tantaram-bahoaka' translates directly to 'history of the public' or 'public history' in English. It effectively captures the essence of Public History, which involves presenting and engaging with history in a way that is accessible and relevant to the general public. This version emphasizes the public's involvement and is more closely aligned with the idea of history that is intended for broad public consumption and participation. The suggestion 'Famana ny Vidy' does not relate well as it translates to 'valuation of prices', which is unrelated to the concept of Public History. While 'Tantara ho an'ny daholobe' also reflects history for the public, 'Tantaram-bahoaka' is more concise and widely understandable in the context of historical narratives presented to the public.",2025-05-31 21:15:56
mh,Public History,Bwebwenato ko an Armij,Marshallese,173.0,1740716881.0,stop,gpt-4o-2024-08-06,132.0,305.0,"The term 'Public History' refers to the practice of history that is engaged with the public or community, often involving collaboration with non-specialists. The Marshallese word 'Bwebwenato' means 'stories' or 'narratives,' and 'ko an Armij' translates to 'of the people.' Thus, 'Bwebwenato ko an Armij' effectively conveys the concept of histories or stories that belong to or serve the community. This term respects the cultural emphasis on shared narratives and the oral tradition inherent in Marshallese culture. The suggestion of 'Bwebwenato ko an Bwebwenato' appears redundant and does not add to or clarify the meaning, while the Google Translate API's suggestion aligns well with the intended concept.",2025-05-31 21:15:56
rm,Public History,Istorgia Pubblica,Romansh,116.0,1740718870.0,stop,gpt-4o-2024-08-06,79.0,195.0,"The term ""Public History"" refers to the practice of history by and for the public, often outside traditional academic settings. In translating this into Romansh, we use ""Istorgia"" for ""History"" and ""Pubblica"" for ""Public"" since these terms closely correspond to the concepts conveyed in the English term. The direct translation of the concept maintains the meaning and purpose of making history accessible and engaging to the public, hence ""Istorgia Pubblica"" accurately reflects the original term.",2025-05-31 21:15:56
rn,Public History,Amateka ya Bose,Kirundi,161.0,1740718886.0,stop,gpt-4o-2024-08-06,145.0,306.0,"The term ""Public History"" refers to history that engages the general public and is accessible to everyone, not just academic historians. The translation ""Amateka ya Bose"" captures this meaning effectively, as ""Amateka"" means ""history"" and ""ya Bose"" means ""of everyone,"" which conveys the idea of history for all. This aligns with the core objective of Public History to make historical narratives and research available and relevant to a broad audience. Other suggestions had more nuanced implications, such as ""Inkuru y’ivyabaye y’icese"" emphasizing storytelling or ""Amateka ya umoja"" suggesting unity, which may not fully encapsulate the primary focus on public accessibility and engagement.",2025-05-31 21:15:56
ro,Public History,Istorie Publică,"Romanian, Moldavan",131.0,1740718895.0,stop,gpt-4o-2024-08-06,126.0,257.0,"The term ""Public History"" is commonly translated into Romanian as ""Istorie Publică"". This translation is straightforward and accurately captures the essence of the field, which is focused on making historical research and knowledge accessible to the general public. The adjective ""publică"" aligns well with the way similar terms are structured in Romanian, and it conveys the idea of history that engages with a wider audience beyond academic circles. Additionally, this translation is supported by both the Google Translate API and the Easy Neural Machine Translation library, indicating its appropriateness and recognition in the respective linguistic context.",2025-05-31 21:15:56
tk,Public History,Jemgyýetçilik taryhy,Turkmen,116.0,1740719466.0,stop,gpt-4o-2024-08-06,110.0,226.0,"The term ""Public History"" refers to the practice of history by and for the public, often involving collaborations between historians and the general community to make historical knowledge accessible and engaging. The translation ""Jemgyýetçilik taryhy"" effectively conveys this concept, as ""Jemgyýetçilik"" means ""public"" and ""taryhy"" means ""history"" in Turkmen. This translation is direct and captures the essence of making history available and relevant to the community.",2025-05-31 21:15:56
tn,Public History,Hisitori ya Phatlalatsa,Tswana,142.0,1740719477.0,stop,gpt-4o-2024-08-06,127.0,269.0,"The concept of ""Public History"" can be translated into Tswana by focusing on the aspect of history meant for the public or community. ""Hisitori"" is a direct translation of ""History,"" which is consistent with what has been suggested. ""Phatlalatsa"" means ""to broadcast"" or ""make known to the public,"" emphasizing the dissemination aspect inherent in Public History as a field that seeks to engage and involve the public with historical narratives. Therefore, ""Hisitori ya Phatlalatsa"" effectively captures the intention and scope of Public History as a practice oriented towards the community or general public.",2025-05-31 21:15:56
to,Public History,Hisitōlia ʻo e Kāinga,Tonga,129.0,1740719482.0,stop,gpt-4o-2024-08-06,131.0,260.0,"The term ""Hisitōlia ʻo e Kāinga"" translates to ""History of the Community"" or ""History of the People,"" capturing the essence of what Public History aims to achieve. It reflects the engagement of history with the broader public or community, emphasizing collective memory and shared historical narratives. ""Kāinga"" encompasses the notion of community and people, aligning well with the democratic and inclusive aims of Public History. This translation moves slightly away from strictly institutional or governmental connotations proposed by alternatives, offering a more community-focused interpretation.",2025-05-31 21:15:56
ts,Public History,Matimu ya Mani na Mani,Tsonga,104.0,1740719509.0,stop,gpt-4o-2024-08-06,125.0,229.0,"Both ""Matimu ya Mani na Mani"" and ""Matimu Ya Vanhu"" offer sensible translations. However, 'Matimu ya Mani na Mani' is closer to the concept of 'Public History' as it emphasizes the idea of history that belongs to everyone, reflecting a more inclusive approach characteristic of Public History. It also suggests a sense of direct engagement and interaction with history, which is central to public historiography.",2025-05-31 21:15:56
tt,Public History,Җәмәгать тарихы,Tatar,140.0,1740719529.0,stop,gpt-4o-2024-08-06,107.0,247.0,"While ""Халык тарихы"" (Halyk tarykhy) directly translates to ""People's History,"" which could imply a broader focus on the history of the people, ""Җәмәгать тарихы"" (Cemagät tarykhy) is more aligned with the concept of ""Public History"" as it emphasizes engagement and interaction with the community or the public. ""Җәмәгать"" refers to ""community"" or ""public,"" thus reflecting the essence of Public History as a field that involves presenting and interpreting history to the general public, often involving collaboration and public participation.",2025-05-31 21:15:56
tw,Public History,Ɔmanfo Abakɔsɛm,Twi,145.0,1740719538.0,stop,gpt-4o-2024-08-06,132.0,277.0,"The term 'Public History' refers to the practice of history by and for the public, often outside traditional academic settings. The term 'Ɔmanfo Abakɔsɛm' is a combination of 'Ɔmanfo', meaning 'the people' or 'public', and 'Abakɔsɛm', meaning 'history'. This translation accurately reflects the community-centered approach of public history, highlighting the involvement and benefit of the broader public. Since both the Google Translate API and the Easy Neural Machine Translation library suggest this translation, and it appropriately conveys the intended meaning, it does not require further modification.",2025-05-31 21:15:56
