coding_dh_date,language_code,language_name,term_source,ollama_translated_term,ollama_content,ollama_created_at,ollama_done_reason,ollama_eval_count,ollama_eval_duration,ollama_extracted_dictionaries,ollama_load_duration,ollama_model,ollama_prompt_eval_count,ollama_prompt_eval_duration,ollama_total_duration,ollama_translation,exclude_google_cloud_translate_x,gt_translated_term_x,exclude_easynmt,enmt_translated_term,exclude_google_cloud_translate_y,gt_translated_term_y,exclude_ollama,ollama_translation_rationale
2026-03-15 18:50:53,cy,Welsh,Computational Humanities,,,,,,,,,,,,,,False,Dyniaethau Cyfrifiadurol,False,ational weekday 1 - LongDayName,,,True,
2026-03-15 18:50:53,da,Danish,Computational Humanities,,,,,,,,,,,,,,False,Beregningsmæssige humaniora,False,Computational Humanities,,,True,
2026-03-15 18:50:53,de,German,Computational Humanities,,,,,,,,,,,,,,False,Computational Humanities,False,Computational Humanities,,,True,
2026-03-15 18:50:53,dv,Divehi; Maldivian;,Computational Humanities,,,,,,,,,,,,,,False,ކޮމްޕިއުޓޭޝަނަލް ހިއުމަނިޓީސް އެވެ,True,,False,ކޮމްޕިއުޓޭޝަނަލް ހިއުމަނިޓީސް އެވެ,True,
2026-03-15 18:50:53,dz,Dzongkha,Computational Humanities,,,,,,,,,,,,,,False,རྩིས་འཁོར་མི་ཆོས་རིག་པ།,True,,False,རྩིས་འཁོར་མི་ཆོས་རིག་པ།,True,
2026-03-15 18:50:53,ee,Ewe,Computational Humanities,,,,,,,,,,,,,,False,Akɔntabubu Ŋuti Amegbetɔŋutinunya,False,Nu Siwo Amegbetɔwo Wɔ Le Aɖaŋu Me,,,True,
2026-03-15 18:50:53,el,"Greek, Modern",Computational Humanities,,,,,,,,,,,,,,False,Υπολογιστικές Ανθρωπιστικές Επιστήμες,False,Υπολογιστικές Ανθρωπιστικές Επιστήμες,,,True,
2026-03-15 18:50:53,en,English,Computational Humanities,,,,,,,,,,,,,,False,Computational Humanities,True,,False,Computational Humanities,True,
2026-03-15 18:50:53,eo,Esperanto,Computational Humanities,,,,,,,,,,,,,,False,Komputilaj Homstudoj,False,Compunitaj homecoj,,,True,
2026-03-15 18:50:53,es,Spanish; Castilian,Computational Humanities,,,,,,,,,,,,,,False,Humanidades Computacionales,False,Humanidades computacionales,,,True,
2026-03-15 18:50:53,et,Estonian,Computational Humanities,,,,,,,,,,,,,,False,Arvutuslikud humanitaarteadused,False,Arvutatud humanitaarteadused,,,True,
2026-03-15 18:50:53,eu,Basque,Computational Humanities,,,,,,,,,,,,,,False,Giza Zientzia Konputazionalak,False,Gizatasun Konprometituak,,,True,
2026-03-15 18:50:53,fa,Persian,Computational Humanities,,,,,,,,,,,,,,False,علوم انسانی محاسباتی,True,,False,علوم انسانی محاسباتی,True,
2026-03-15 18:50:53,ff,Fula,Computational Humanities,,,,,,,,,,,,,,False,Neɗɗankaagal hiisawal,True,,False,Neɗɗankaagal hiisawal,True,
2026-03-15 18:50:53,fi,Finnish,Computational Humanities,,,,,,,,,,,,,,False,Laskennalliset humanistiset tieteet,False,Laskennalliset humanistiset tieteet,,,True,
2026-03-15 18:50:53,fj,Fijian,Computational Humanities,,,,,,,,,,,,,,False,Na veika vakatamata ni kompiuta,False,Duidui na iValavala ni Tamata,,,True,
2026-03-15 18:50:53,fo,Faroese,Computational Humanities,,,,,,,,,,,,,,False,Telduhugvísindi,True,,False,Telduhugvísindi,True,
2026-03-15 18:50:53,fr,French,Computational Humanities,,,,,,,,,,,,,,False,Humanités computationnelles,False,Les humanités computationnelles,,,True,
2026-03-15 18:50:53,fy,Western Frisian,Computational Humanities,,,,,,,,,,,,,,False,Kompjûtasjonele Humaniora,True,,False,Kompjûtasjonele Humaniora,True,
2026-03-15 18:50:53,ga,Irish,Computational Humanities,,,,,,,,,,,,,,False,Daonnachtaí Ríomhaireachtúla,False,Daonnachtaí Ríomhacha,,,True,
2026-03-15 18:50:53,gd,Scottish Gaelic,Computational Humanities,,,,,,,,,,,,,,False,Daonnachdan Àireamhachaidh,True,,False,Daonnachdan Àireamhachaidh,True,
2026-03-15 18:50:53,gl,Galician,Computational Humanities,,,,,,,,,,,,,,False,Humanidades Computacionais,False,Humanos humanos,,,True,
2026-03-15 18:50:53,gn,Guaraní,Computational Humanities,,,,,,,,,,,,,,False,Humanidades Computacionales rehegua,True,,False,Humanidades Computacionales rehegua,True,
2026-03-15 18:50:53,gu,Gujarati,Computational Humanities,,,,,,,,,,,,,,False,ગણતરીત્મક માનવતા,True,,False,ગણતરીત્મક માનવતા,True,
2026-03-15 18:50:53,gv,Manx,Computational Humanities,,,,,,,,,,,,,,False,Cooishyn Dooiney,False,query-sort,,,True,
2026-03-15 18:50:53,ha,Hausa,Computational Humanities,,,,,,,,,,,,,,False,Ilimin Halayyar Dan Adam na Kwamfuta,False,KCharselect unicode block name,,,True,
2026-03-15 18:50:53,he,Hebrew (modern),Computational Humanities,,,,,,,,,,,,,,False,מדעי הרוח החישוביים,False,מדעי הרוח המשכילים,,,True,
2026-03-15 18:50:53,hi,Hindi,Computational Humanities,,,,,,,,,,,,,,False,कम्प्यूटेशनल मानविकी,False,गणना की जा रही मानवीय सीमाएँ,,,True,
2026-03-15 18:50:53,ho,Hiri Motu,Computational Humanities,,,,,,,,,,,,,,True,,False,Taunimanima Edia Lalohadai Idia Haidaua Gaudia,,,True,
2026-03-15 18:50:53,hr,Croatian,Computational Humanities,,,,,,,,,,,,,,False,Računalne humanističke znanosti,True,,False,Računalne humanističke znanosti,True,
2026-03-15 18:50:53,ht,Haitian,Computational Humanities,,,,,,,,,,,,,,False,Syans Imanitè Enfòmatik,False,Reflechi sou fason lèzòm pral viv,,,True,
2026-03-15 18:50:53,hu,Hungarian,Computational Humanities,,,,,,,,,,,,,,False,Számítógépes humán tudományok,False,Számítástechnikai bölcsészettudományok,,,True,
2026-03-15 18:50:53,hy,Armenian,Computational Humanities,,,,,,,,,,,,,,False,Հաշվողական հումանիտար գիտություններ,False,Համագործակցեք մարդկանց հետ,,,True,
2026-03-15 18:50:53,hz,Herero,Computational Humanities,,,,,,,,,,,,,,True,,True,,True,,True,
2026-03-15 18:50:53,ia,Interlingua,Computational Humanities,,,,,,,,,,,,,,True,,True,,True,,True,
2026-03-15 18:50:53,id,Indonesian,Computational Humanities,,,,,,,,,,,,,,False,Humaniora Komputasional,False,Humanities Computational,,,True,
2026-03-15 18:50:53,ie,Interlingue,Computational Humanities,,,,,,,,,,,,,,True,,True,,True,,True,
2026-03-15 18:50:53,ig,Igbo,Computational Humanities,,,,,,,,,,,,,,False,Mmekọrịta Mmadụ na Kọmputa,False,Ọnọdụ Ụmụ Mmadụ Ndị Na - agbanwe Agbanwe,,,True,
2026-03-15 18:50:53,ii,Nuosu,Computational Humanities,,,,,,,,,,,,,,True,,True,,True,,True,
2026-03-15 18:50:53,ik,Inupiaq,Computational Humanities,,,,,,,,,,,,,,True,,True,,True,,True,
2026-03-15 18:50:53,io,Ido,Computational Humanities,,,,,,,,,,,,,,True,,True,,True,,True,
2026-03-15 18:50:53,is,Icelandic,Computational Humanities,,,,,,,,,,,,,,False,Tölvufræðileg hugvísindi,False,Gildi,,,True,
2026-03-15 18:50:53,it,Italian,Computational Humanities,,,,,,,,,,,,,,False,Discipline umanistiche computazionali,False,Umanità computazionali,,,True,
2026-03-15 18:50:53,iu,Inuktitut,Computational Humanities,,,,,,,,,,,,,,False,ᖃᕆᑕᐅᔭᓕᕆᓂᕐᒧᑦ ᐃᓄᓕᕆᓂᕐᒧᑦ,True,,False,ᖃᕆᑕᐅᔭᓕᕆᓂᕐᒧᑦ ᐃᓄᓕᕆᓂᕐᒧᑦ,True,
2026-03-15 18:50:53,ja,Japanese,Computational Humanities,,,,,,,,,,,,,,False,計算人文学,True,,False,計算人文学,True,
2026-03-15 18:50:53,jv,Javanese,Computational Humanities,,,,,,,,,,,,,,False,Humaniora Komputasi,True,,False,Humaniora Komputasi,True,
2026-03-15 18:50:53,ka,Georgian,Computational Humanities,,,,,,,,,,,,,,False,გამოთვლითი ჰუმანიტარული მეცნიერებები,True,,False,გამოთვლითი ჰუმანიტარული მეცნიერებები,True,
2026-03-15 18:50:53,kg,Kongo,Computational Humanities,,,,,,,,,,,,,,False,Mambu ya kimuntu ya ordinatere,False,Dibanza ya Bantu,,,True,
2026-03-15 18:50:53,ki,"Kikuyu, Gikuyu",Computational Humanities,,,,,,,,,,,,,,True,,True,,True,,True,
2026-03-15 18:50:53,kj,"Kwanyama, Kuanyama",Computational Humanities,,,,,,,,,,,,,,True,,False,Kombada yedu okwa li haku ningifa ovanhu va kale ve na ekwatafano liwa navamwe,,,True,
2026-03-15 18:50:53,kk,Kazakh,Computational Humanities,,,,,,,,,,,,,,False,Есептеу гуманитарлық ғылымдары,True,,False,Есептеу гуманитарлық ғылымдары,True,
2026-03-15 18:50:53,kl,Kalaallisut,Computational Humanities,,,,,,,,,,,,,,False,Komputatorimi Humaniora,True,,False,Komputatorimi Humaniora,True,
2026-03-15 18:50:53,km,Khmer,Computational Humanities,,,,,,,,,,,,,,False,មនុស្សសាស្ត្រ​គណនា,True,,False,មនុស្សសាស្ត្រ​គណនា,True,
2026-03-15 18:50:53,kn,Kannada,Computational Humanities,,,,,,,,,,,,,,False,ಕಂಪ್ಯೂಟೇಶನಲ್ ಹ್ಯುಮಾನಿಟೀಸ್,True,,False,ಕಂಪ್ಯೂಟೇಶನಲ್ ಹ್ಯುಮಾನಿಟೀಸ್,True,
2026-03-15 18:50:53,ko,Korean,Computational Humanities,,,,,,,,,,,,,,False,계산 인문학,True,,False,계산 인문학,True,
2026-03-15 18:50:53,kr,Kanuri,Computational Humanities,,,,,,,,,,,,,,False,Ilmu adamganabe komfutabe,True,,False,Ilmu adamganabe komfutabe,True,
2026-03-15 18:50:53,ks,Kashmiri,Computational Humanities,,,,,,,,,,,,,,True,,True,,True,,True,
2026-03-15 18:50:53,ku,Kurdish,Computational Humanities,,,,,,,,,,,,,,False,Mirovahiyên Hesabkerî,True,,False,Mirovahiyên Hesabkerî,True,
2026-03-15 18:50:53,kv,Komi,Computational Humanities,,,,,,,,,,,,,,False,Вычислительнӧй гуманитарнӧй наукаяс .,True,,False,Вычислительнӧй гуманитарнӧй наукаяс .,True,
2026-03-15 18:50:53,kw,Cornish,Computational Humanities,,,,,,,,,,,,,,True,,True,,True,,True,
2026-03-15 18:50:53,ky,"Kirghiz, Kyrgyz",Computational Humanities,,,,,,,,,,,,,,False,Эсептөөчү гуманитардык илимдер,True,,False,Эсептөөчү гуманитардык илимдер,True,
2026-03-15 18:50:53,la,Latin,Computational Humanities,,,,,,,,,,,,,,False,Humanitates Computationales,True,,False,Humanitates Computationales,True,
2026-03-15 18:50:53,lb,Luxembourgish,Computational Humanities,,,,,,,,,,,,,,False,Berechnungsgeisteswëssenschaften,True,,False,Berechnungsgeisteswëssenschaften,True,
2026-03-15 18:50:53,lg,Luganda,Computational Humanities,,,,,,,,,,,,,,False,Eby’obuntubulamu eby’okubalirira,False,Engeri y'Okukozesaamu Amaanyi g'Abantu,,,True,
2026-03-15 18:50:53,li,Limburgish,Computational Humanities,,,,,,,,,,,,,,False,Rekenkundige geisteswetensjappe,True,,False,Rekenkundige geisteswetensjappe,True,
2026-03-15 18:50:53,ln,Lingala,Computational Humanities,,,,,,,,,,,,,,False,Humanités ya ba calculs,False,Makambo matali bomoi ya bato,,,True,
2026-03-15 18:50:53,lo,Lao,Computational Humanities,,,,,,,,,,,,,,False,ມະນຸດສາດຄອມພິວເຕີ,True,,False,ມະນຸດສາດຄອມພິວເຕີ,True,
2026-03-15 18:50:53,lt,Lithuanian,Computational Humanities,,,,,,,,,,,,,,False,Skaičiavimo humanitariniai mokslai,True,,False,Skaičiavimo humanitariniai mokslai,True,
2026-03-15 18:50:53,lu,Luba-Katanga,Computational Humanities,,,,,,,,,,,,,,True,,False,MADINGI a Bantu,,,True,
2026-03-15 18:50:53,lv,Latvian,Computational Humanities,,,,,,,,,,,,,,False,Skaitļošanas humanitārās zinātnes,True,,False,Skaitļošanas humanitārās zinātnes,True,
2026-03-15 18:50:53,mg,Malagasy,Computational Humanities,,,,,,,,,,,,,,False,Siansa momba ny kajy,False,Zon'olombelona tsy ara-dalàna,,,True,
2026-03-15 18:50:53,mh,Marshallese,Computational Humanities,,,,,,,,,,,,,,False,Computational Humanities,False,Men ko Armej Rej Kõm̦m̦ani Rem̦m̦an,,,True,
2026-03-15 18:50:53,mi,Māori,Computational Humanities,,,,,,,,,,,,,,False,Ngā Tikanga Tātaitanga Tangata,True,,False,Ngā Tikanga Tātaitanga Tangata,True,
2026-03-15 18:50:53,mk,Macedonian,Computational Humanities,,,,,,,,,,,,,,False,Компјутерски хуманистички науки,False,Компутативни хуманистички науки,,,True,
2026-03-15 18:50:53,ml,Malayalam,Computational Humanities,,,,,,,,,,,,,,False,കമ്പ്യൂട്ടേഷണൽ ഹ്യുമാനിറ്റീസ്,False,മാനവരാശി,,,True,
2026-03-15 18:50:53,mn,Mongolian,Computational Humanities,,,,,,,,,,,,,,False,Тооцооллын хүмүүнлэг,True,,False,Тооцооллын хүмүүнлэг,True,
2026-03-15 18:50:53,mr,Marathi (Marāṭhī),Computational Humanities,,,,,,,,,,,,,,False,संगणकीय मानव्यशास्त्र,False,नैसर्गिक विपत्ती,,,True,
2026-03-15 18:50:53,ms,Malay,Computational Humanities,,,,,,,,,,,,,,False,Kemanusiaan Komputasi,True,,False,Kemanusiaan Komputasi,True,
2026-03-15 18:50:53,mt,Maltese,Computational Humanities,,,,,,,,,,,,,,False,Umanistika Komputazzjonali,False,L-Umanistika tal-Komputazzjoni,,,True,
2026-03-15 18:50:53,my,Burmese,Computational Humanities,,,,,,,,,,,,,,False,တွက်ချက်မှုဆိုင်ရာ လူသားပညာ,True,,False,တွက်ချက်မှုဆိုင်ရာ လူသားပညာ,True,
2026-03-15 18:50:53,na,Nauru,Computational Humanities,,,,,,,,,,,,,,True,,True,,True,,True,
2026-03-15 18:50:53,nb,Norwegian Bokmål,Computational Humanities,,,,,,,,,,,,,,False,Beregningsmessige humaniora,True,,False,Beregningsmessige humaniora,True,
2026-03-15 18:50:53,nd,North Ndebele,Computational Humanities,,,,,,,,,,,,,,True,,True,,True,,True,
2026-03-15 18:50:53,ne,Nepali,Computational Humanities,,,,,,,,,,,,,,False,कम्प्युटेसनल मानविकी,True,,False,कम्प्युटेसनल मानविकी,True,
2026-03-15 18:50:53,ng,Ndonga,Computational Humanities,,,,,,,,,,,,,,True,,False,Aantu oyendji oya li ye na uuntsa,,,True,
2026-03-15 18:50:53,nl,Dutch,Computational Humanities,,,,,,,,,,,,,,False,Computationele geesteswetenschappen,False,Computational Humanities,,,True,
2026-03-15 18:50:53,nn,Norwegian Nynorsk,Computational Humanities,,,,,,,,,,,,,,True,,True,,True,,True,
2026-03-15 18:50:53,no,Norwegian,Computational Humanities,,,,,,,,,,,,,,False,Beregningsmessige humaniora,True,,False,Beregningsmessige humaniora,True,
2026-03-15 18:50:53,nr,South Ndebele,Computational Humanities,,,,,,,,,,,,,,False,I-Computational Humanities,True,,False,I-Computational Humanities,True,
2026-03-15 18:50:53,nv,"Navajo, Navaho",Computational Humanities,,,,,,,,,,,,,,True,,True,,True,,True,
2026-03-15 18:50:53,ny,Chichewa; Chewa; Nyanja,Computational Humanities,,,,,,,,,,,,,,False,Zaumunthu Zamakono,False,Zinthu Zimene Anthu Amakumana Nazo,,,True,
2026-03-15 18:50:53,oc,Occitan,Computational Humanities,,,,,,,,,,,,,,False,Umanitats Computacionalas,True,,False,Umanitats Computacionalas,True,
2026-03-15 18:50:53,oj,"Ojibwe, Ojibwa",Computational Humanities,,,,,,,,,,,,,,True,,True,,True,,True,
2026-03-15 18:50:53,om,Oromo,Computational Humanities,,,,,,,,,,,,,,False,Saayinsii Namoomaa Shallaggii,False,Rakkina Ilmaan Namootaa Ilaalchisee Wanta Gara Fuulduraatti Dhufu,,,True,
2026-03-15 18:50:53,or,Oriya,Computational Humanities,,,,,,,,,,,,,,False,କମ୍ପ୍ୟୁଟେସନାଲ୍ ହ୍ୟୁମାନିଟିଜ୍,True,,False,କମ୍ପ୍ୟୁଟେସନାଲ୍ ହ୍ୟୁମାନିଟିଜ୍,True,
2026-03-15 18:50:53,os,"Ossetian, Ossetic",Computational Humanities,,,,,,,,,,,,,,False,Хыгъдон гуманитарон наукæтæ,True,,False,Хыгъдон гуманитарон наукæтæ,True,
2026-03-15 18:50:53,pa,"Panjabi, Punjabi",Computational Humanities,,,,,,,,,,,,,,False,ਕੰਪਿਊਟੇਸ਼ਨਲ ਹਿਊਮੈਨਿਟੀਜ਼,True,,False,ਕੰਪਿਊਟੇਸ਼ਨਲ ਹਿਊਮੈਨਿਟੀਜ਼,True,
2026-03-15 18:50:53,pi,Pāli,Computational Humanities,,,,,,,,,,,,,,True,,True,,True,,True,
2026-03-15 18:50:53,pl,Polish,Computational Humanities,,,,,,,,,,,,,,False,Humanistyka obliczeniowa,True,,False,Humanistyka obliczeniowa,True,
2026-03-15 18:50:53,ps,"Pashto, Pushto",Computational Humanities,,,,,,,,,,,,,,False,کمپیوټري بشري علوم,True,,False,کمپیوټري بشري علوم,True,
2026-03-15 18:50:53,pt,Portuguese,Computational Humanities,,,,,,,,,,,,,,False,Humanidades Computacionais,True,,False,Humanidades Computacionais,True,
2026-03-15 18:50:53,qu,Quechua,Computational Humanities,,,,,,,,,,,,,,False,Humanidades Computacionales nisqamanta,True,,False,Humanidades Computacionales nisqamanta,True,
2026-03-15 18:50:53,rm,Romansh,Computational Humanities,,,,,,,,,,,,,,True,,True,,True,,True,
2026-03-15 18:50:53,rn,Kirundi,Computational Humanities,,,,,,,,,,,,,,False,Ubuhinga bwo gukoresha mudasobwa,False,Abantu babumbwa n’ivyo bafise,,,True,
2026-03-15 18:50:53,ro,"Romanian, Moldavan",Computational Humanities,,,,,,,,,,,,,,False,Științe Umaniste Computaționale,False,Umanităţi computerizate,,,True,
2026-03-15 18:50:53,ru,Russian,Computational Humanities,,,,,,,,,,,,,,False,Вычислительные гуманитарные науки,False,Расчетные гуманитарные науки,,,True,
2026-03-15 18:50:53,rw,Kinyarwanda,Computational Humanities,,,,,,,,,,,,,,False,Ubuhanga mu by&#39;Ikoranabuhanga mu by&#39;Ikoranabuhanga,False,Tujye dushimira ku bw'inyungu z'abantu,,,True,
2026-03-15 18:50:53,sa,Sanskrit (Saṁskṛta),Computational Humanities,,,,,,,,,,,,,,False,कम्प्यूटेशनल मानविकी,True,,False,कम्प्यूटेशनल मानविकी,True,
2026-03-15 18:50:53,sc,Sardinian,Computational Humanities,,,,,,,,,,,,,,True,,True,,True,,True,
2026-03-15 18:50:53,sd,Sindhi,Computational Humanities,,,,,,,,,,,,,,False,ڪمپيوٽيشنل هيومنٽيز,True,,False,ڪمپيوٽيشنل هيومنٽيز,True,
2026-03-15 18:50:53,se,Northern Sami,Computational Humanities,,,,,,,,,,,,,,False,Rehkenastinhumanisttalaš fágat,True,,False,Rehkenastinhumanisttalaš fágat,True,
2026-03-15 18:50:53,sg,Sango,Computational Humanities,,,,,,,,,,,,,,False,Humanité ti ordinateur,False,"Na ngoi so lo de kete, lo zi ambeni ye na yâ fini ti lo",,,True,
2026-03-15 18:50:53,sh,Serbo-Crotian,Computational Humanities,,,,,,,,,,,,,,False,Рачунарске хуманистичке науке,True,,False,Рачунарске хуманистичке науке,True,
2026-03-15 18:50:53,si,"Sinhala, Sinhalese",Computational Humanities,,,,,,,,,,,,,,False,පරිගණක මානව ශාස්ත්‍ර,True,,False,පරිගණක මානව ශාස්ත්‍ර,True,
2026-03-15 18:50:53,sk,Slovak,Computational Humanities,,,,,,,,,,,,,,False,Počítačové humanitné vedy,False,Počítačové humanitné vedy,,,True,
2026-03-15 18:50:53,sl,Slovene,Computational Humanities,,,,,,,,,,,,,,False,Računalniške humanistike,True,,False,Računalniške humanistike,True,
2026-03-15 18:50:53,sm,Samoan,Computational Humanities,,,,,,,,,,,,,,False,A&#39;oa&#39;oga Fa&#39;akomepiuta Fa&#39;aletagata,False,Āuga Leaga o Tagata,,,True,
2026-03-15 18:50:53,sn,Shona,Computational Humanities,,,,,,,,,,,,,,False,Hunhu hweMakomputa,False,Zvitayera Zvohunhu,,,True,
2026-03-15 18:50:53,so,Somali,Computational Humanities,,,,,,,,,,,,,,False,Bani&#39;aadamnimada Xisaabinta,True,,False,Bani&#39;aadamnimada Xisaabinta,True,
2026-03-15 18:50:53,sq,Albanian,Computational Humanities,,,,,,,,,,,,,,False,Shkencat Humane Kompjuterike,False,Humanitete kompakte,,,True,
2026-03-15 18:50:53,sr,Serbian,Computational Humanities,,,,,,,,,,,,,,False,Рачунарске хуманистичке науке,True,,False,Рачунарске хуманистичке науке,True,
2026-03-15 18:50:53,ss,Swati,Computational Humanities,,,,,,,,,,,,,,False,Tifundvo Tebantfu Tekubala,False,Indlela Yekwenta Imisebenti Yekwenta Bantfu Labaphila Ngayo,,,True,
2026-03-15 18:50:53,st,Southern Sotho,Computational Humanities,,,,,,,,,,,,,,False,Botho ba Lik&#39;homphieutha,False,Batho ba Nang le Maikutlo a sa Tšoaneng,,,True,
2026-03-15 18:50:53,su,Sundanese,Computational Humanities,,,,,,,,,,,,,,False,Humaniora Komputasi,True,,False,Humaniora Komputasi,True,
2026-03-15 18:50:53,sv,Swedish,Computational Humanities,,,,,,,,,,,,,,False,Beräkningsmässiga humaniora,False,Beräkning av humanistiska egenskaper,,,True,
2026-03-15 18:50:53,sw,Swahili,Computational Humanities,,,,,,,,,,,,,,False,Binadamu ya Kompyuta,False,Jamii Mbalimbali za Wanadamu,,,True,
