language,language_name,term_source,term,translated_term
io,Ido,Humanities,,
is,Icelandic,Humanities,,Hugvísindi
it,Italian,Humanities,,Studi umanistici
iu,Inuktitut,Humanities,,
ja,Japanese,Humanities,,人文科学
jv,Javanese,Humanities,,Kamanungsan
kl,Kalaallisut,Humanities,,
kn,Kannada,Humanities,,ಮಾನವಿಕಗಳು
kr,Kanuri,Humanities,,
ks,Kashmiri,Humanities,,
kk,Kazakh,Humanities,,Гуманитарлық ғылымдар
km,Khmer,Humanities,,មនុស្សធម៌
ki,"Kikuyu, Gikuyu",Humanities,,
rw,Kinyarwanda,Humanities,,Ubumuntu
ky,"Kirghiz, Kyrgyz",Humanities,,Гуманитардык илимдер
kv,Komi,Humanities,,
kg,Kongo,Humanities,,
ko,Korean,Humanities,,인문학
ku,Kurdish,Humanities,,Humanities
kj,"Kwanyama, Kuanyama",Humanities,,
la,Latin,Humanities,,Humanitates
lb,Luxembourgish,Humanities,,Geeschteswëssenschaften
lg,Luganda,Humanities,,Eby’obuntubulamu
li,Limburgish,Humanities,,
ln,Lingala,Humanities,,Boyekoli ya bato
lo,Lao,Humanities,,ມະນຸດສາດ
lt,Lithuanian,Humanities,,Humanitariniai mokslai
lu,Luba-Katanga,Humanities,,
lv,Latvian,Humanities,,Humanitārās zinātnes
gv,Manx,Humanities,,
mk,Macedonian,Humanities,,Хуманитарните науки
mg,Malagasy,Humanities,,Humanities
ms,Malay,Humanities,,Kemanusiaan
ml,Malayalam,Humanities,,ഹ്യുമാനിറ്റീസ്
mt,Maltese,Humanities,,Umanistika
mi,Māori,Humanities,,Tikanga tangata
mr,Marathi (Marāṭhī),Humanities,,मानवता
mh,Marshallese,Humanities,,
mn,Mongolian,Humanities,,Хүмүүнлэгийн ухаан
na,Nauru,Humanities,,
nv,"Navajo, Navaho",Humanities,,
nb,Norwegian Bokmål,Humanities,,Humaniora
nd,North Ndebele,Humanities,,
ne,Nepali,Humanities,,मानविकी
ng,Ndonga,Humanities,,
nn,Norwegian Nynorsk,Humanities,,
no,Norwegian,Humanities,,Humaniora
ii,Nuosu,Humanities,,
nr,South Ndebele,Humanities,,
oc,Occitan,Humanities,,
oj,"Ojibwe, Ojibwa",Humanities,,
cu,Old Church Slavonic,Humanities,,
om,Oromo,Humanities,,Saayinsii Namoomaa
or,Oriya,Humanities,,ମାନବିକତା
os,"Ossetian, Ossetic",Humanities,,
pa,"Panjabi, Punjabi",Humanities,,ਮਨੁੱਖਤਾ
pi,Pāli,Humanities,,
fa,Persian,Humanities,,علوم انسانی
pl,Polish,Humanities,,Humanistyka
ps,"Pashto, Pushto",Humanities,,انسانیتونه
pt,Portuguese,Humanities,,humanidades
qu,Quechua,Humanities,,Runa yachaykuna
rm,Romansh,Humanities,,
rn,Kirundi,Humanities,,
ro,"Romanian, Moldavan",Humanities,,Științe umaniste
ru,Russian,Humanities,,Гуманитарные науки
sa,Sanskrit (Saṁskṛta),Humanities,,मानविकी
sh,Serbo-Crotian,Humanities,,Хуманистичке науке
sc,Sardinian,Humanities,,
sd,Sindhi,Humanities,,انسانيت
se,Northern Sami,Humanities,,
sm,Samoan,Humanities,,Humanities
sg,Sango,Humanities,,
sr,Serbian,Humanities,,Хуманистичке науке
gd,Scottish Gaelic,Humanities,,Daonnachdan
sn,Shona,Humanities,,Humanities
si,"Sinhala, Sinhalese",Humanities,,මානව ශාස්ත්ර
sk,Slovak,Humanities,,Humanitné vedy
sl,Slovene,Humanities,,Humanistika
so,Somali,Humanities,,Dadnimada
st,Southern Sotho,Humanities,,Botho
es,Spanish; Castilian,Humanities,,Humanidades
su,Sundanese,Humanities,,Kamanusaan
sw,Swahili,Humanities,,Wanadamu
ss,Swati,Humanities,,
sv,Swedish,Humanities,,Humaniora
ta,Tamil,Humanities,,மனிதநேயம்
te,Telugu,Humanities,,మానవీయ శాస్త్రాలు
tg,Tajik,Humanities,,Илмҳои гуманитарӣ
th,Thai,Humanities,,มนุษยศาสตร์
ti,Tigrinya,Humanities,,ሰብኣዊ ስነፍልጠት
bo,Tibetan,Humanities,,
tk,Turkmen,Humanities,,Ynsanperwerlik
tl,Tagalog,Humanities,,Humanities
tn,Tswana,Humanities,,
to,Tonga,Humanities,,
tr,Turkish,Humanities,,Beşeri bilimler
ts,Tsonga,Humanities,,Vutivi bya vanhu
tt,Tatar,Humanities,,Гуманитар фәннәр
tw,Twi,Humanities,,Nnipa ho adesua
ty,Tahitian,Humanities,,
ug,"Uighur, Uyghur",Humanities,,ئىنسانىيەت
uk,Ukrainian,Humanities,,Гуманітарні науки
ur,Urdu,Humanities,,ہیومینٹیز
uz,Uzbek,Humanities,,Gumanitar fanlar
ve,Venda,Humanities,,
vi,Vietnamese,Humanities,,nhân văn
vo,Volapük,Humanities,,
wa,Walloon,Humanities,,
cy,Welsh,Humanities,,Dyniaethau
wo,Wolof,Humanities,,
fy,Western Frisian,Humanities,,Humanities
xh,Xhosa,Humanities,,Abantu
yi,Yiddish,Humanities,,הומאַניטיעס
yo,Yoruba,Humanities,,Eda eniyan
za,"Zhuang, Chuang",Humanities,,
zu,Zulu,Humanities,,Ezabantu
ab,Abkhaz,Public History,,
aa,Afar,Public History,,
af,Afrikaans,Public History,,Openbare Geskiedenis
ak,Akan,Public History,,Ɔmanfo Abakɔsɛm
sq,Albanian,Public History,,Histori Publike
am,Amharic,Public History,,የህዝብ ታሪክ
ar,Arabic,Public History,,التاريخ العام
an,Aragonese,Public History,,
hy,Armenian,Public History,,Հանրային պատմություն
as,Assamese,Public History,,ৰাজহুৱা ইতিহাস
av,Avaric,Public History,,
ae,Avestan,Public History,,
ay,Aymara,Public History,,Historia Pública uka tuqita
az,Azerbaijani,Public History,,İctimai Tarix
bm,Bambara,Public History,,Foroba tariku
ba,Bashkir,Public History,,
eu,Basque,Public History,,Historia Publikoa
be,Belarusian,Public History,,Публічная гісторыя
bn,Bengali,Public History,,পাবলিক হিস্ট্রি
bh,Bihari,Public History,,सार्वजनिक इतिहास के बारे में बतावल गइल बा
bi,Bislama,Public History,,
bs,Bosnian,Public History,,Public History
br,Breton,Public History,,
bg,Bulgarian,Public History,,Публична история
my,Burmese,Public History,,လူထုသမိုင်း
ca,Catalan; Valencian,Public History,,Història Pública
ch,Chamorro,Public History,,
ce,Chechen,Public History,,
ny,Chichewa; Chewa; Nyanja,Public History,,Mbiri Yambiri
zh,Chinese,Public History,,公共历史
cv,Chuvash,Public History,,
kw,Cornish,Public History,,
co,Corsican,Public History,,Storia publica
cr,Cree,Public History,,
hr,Croatian,Public History,,Javna povijest
cs,Czech,Public History,,Veřejné dějiny
da,Danish,Public History,,Offentlig historie
dv,Divehi; Maldivian;,Public History,,ޕަބްލިކް ހީސްޓްރީ
nl,Dutch,Public History,,Openbare geschiedenis
dz,Dzongkha,Public History,,
en,English,Public History,,Public History
eo,Esperanto,Public History,,Publika Historio
et,Estonian,Public History,,Avalik ajalugu
ee,Ewe,Public History,,Dutoƒo Ŋutinya
fo,Faroese,Public History,,
fj,Fijian,Public History,,
fi,Finnish,Public History,,Julkinen historia
fr,French,Public History,,Histoire publique
ff,Fula,Public History,,
gl,Galician,Public History,,Historia Pública
ka,Georgian,Public History,,საჯარო ისტორია
de,German,Public History,,Öffentliche Geschichte
el,"Greek, Modern",Public History,,Δημόσια Ιστορία
gn,Guaraní,Public History,,Tembiasakue Público rehegua
gu,Gujarati,Public History,,જાહેર ઇતિહાસ
ht,Haitian,Public History,,Istwa Piblik
ha,Hausa,Public History,,Tarihin Jama&#39;a
he,Hebrew (modern),Public History,,היסטוריה ציבורית
hz,Herero,Public History,,
hi,Hindi,Public History,,सार्वजनिक इतिहास
ho,Hiri Motu,Public History,,
hu,Hungarian,Public History,,Köztörténet
ia,Interlingua,Public History,,
id,Indonesian,Public History,,Sejarah Publik
ie,Interlingue,Public History,,
ga,Irish,Public History,,Stair Phoiblí
ig,Igbo,Public History,,Akụkọ Ọha
ik,Inupiaq,Public History,,
io,Ido,Public History,,
is,Icelandic,Public History,,Opinber saga
it,Italian,Public History,,Storia pubblica
iu,Inuktitut,Public History,,
ja,Japanese,Public History,,公の歴史
jv,Javanese,Public History,,Riwayat Umum
kl,Kalaallisut,Public History,,
kn,Kannada,Public History,,ಸಾರ್ವಜನಿಕ ಇತಿಹಾಸ
kr,Kanuri,Public History,,
ks,Kashmiri,Public History,,
kk,Kazakh,Public History,,Қоғамдық тарих
km,Khmer,Public History,,ប្រវត្តិសាស្រ្តសាធារណៈ
ki,"Kikuyu, Gikuyu",Public History,,
rw,Kinyarwanda,Public History,,Amateka rusange
ky,"Kirghiz, Kyrgyz",Public History,,Коомдук тарых
kv,Komi,Public History,,
kg,Kongo,Public History,,
ko,Korean,Public History,,공공 역사
ku,Kurdish,Public History,,Dîroka Giştî
kj,"Kwanyama, Kuanyama",Public History,,
la,Latin,Public History,,Publica Historia
lb,Luxembourgish,Public History,,Ëffentlech Geschicht
lg,Luganda,Public History,,Ebyafaayo by’olukale
li,Limburgish,Public History,,
ln,Lingala,Public History,,Lisolo ya bato nyonso
lo,Lao,Public History,,ປະຫວັດສາດສາທາລະນະ
lt,Lithuanian,Public History,,Viešoji istorija
lu,Luba-Katanga,Public History,,
lv,Latvian,Public History,,Publiskā vēsture
gv,Manx,Public History,,
mk,Macedonian,Public History,,Јавна историја
mg,Malagasy,Public History,,Tantaram-bahoaka
ms,Malay,Public History,,Sejarah Awam
ml,Malayalam,Public History,,പൊതു ചരിത്രം
mt,Maltese,Public History,,Storja Pubblika
mi,Māori,Public History,,Hītori Tūmatanui
mr,Marathi (Marāṭhī),Public History,,सार्वजनिक इतिहास
mh,Marshallese,Public History,,
mn,Mongolian,Public History,,Нийтийн түүх
na,Nauru,Public History,,
nv,"Navajo, Navaho",Public History,,
nb,Norwegian Bokmål,Public History,,Offentlig historie
nd,North Ndebele,Public History,,
ne,Nepali,Public History,,सार्वजनिक इतिहास
ng,Ndonga,Public History,,
nn,Norwegian Nynorsk,Public History,,
no,Norwegian,Public History,,Offentlig historie
ii,Nuosu,Public History,,
nr,South Ndebele,Public History,,
oc,Occitan,Public History,,
oj,"Ojibwe, Ojibwa",Public History,,
cu,Old Church Slavonic,Public History,,
om,Oromo,Public History,,Seenaa Ummataa
or,Oriya,Public History,,ଜନସାଧାରଣ ଇତିହାସ
os,"Ossetian, Ossetic",Public History,,
pa,"Panjabi, Punjabi",Public History,,ਜਨਤਕ ਇਤਿਹਾਸ
pi,Pāli,Public History,,
fa,Persian,Public History,,تاریخ عمومی
pl,Polish,Public History,,Historia publiczna
ps,"Pashto, Pushto",Public History,,عامه تاریخ
pt,Portuguese,Public History,,história pública
qu,Quechua,Public History,,Historia Pública nisqamanta
rm,Romansh,Public History,,
rn,Kirundi,Public History,,
ro,"Romanian, Moldavan",Public History,,Istorie publică
ru,Russian,Public History,,Публичная история
sa,Sanskrit (Saṁskṛta),Public History,,सार्वजनिक इतिहास
sh,Serbo-Crotian,Public History,,Публиц Хистори
sc,Sardinian,Public History,,
sd,Sindhi,Public History,,عوامي تاريخ
se,Northern Sami,Public History,,
sm,Samoan,Public History,,Talafa&#39;asolopito Lautele
sg,Sango,Public History,,
sr,Serbian,Public History,,Публиц Хистори
gd,Scottish Gaelic,Public History,,Eachdraidh Phoblach
sn,Shona,Public History,,Public History
si,"Sinhala, Sinhalese",Public History,,මහජන ඉතිහාසය
sk,Slovak,Public History,,Verejná história
sl,Slovene,Public History,,Javna zgodovina
so,Somali,Public History,,Taariikhda Dadweynaha
st,Southern Sotho,Public History,,Histori ea Sechaba
es,Spanish; Castilian,Public History,,Historia Pública
su,Sundanese,Public History,,Sajarah umum
sw,Swahili,Public History,,Historia ya Umma
ss,Swati,Public History,,
sv,Swedish,Public History,,Offentlig historia
ta,Tamil,Public History,,பொது வரலாறு
te,Telugu,Public History,,ప్రజా చరిత్ర
tg,Tajik,Public History,,Таърихи ҷамъиятӣ
th,Thai,Public History,,ประวัติศาสตร์สาธารณะ
ti,Tigrinya,Public History,,ህዝባዊ ታሪኽ
bo,Tibetan,Public History,,
tk,Turkmen,Public History,,Jemgyýetçilik taryhy
tl,Tagalog,Public History,,Pampublikong Kasaysayan
tn,Tswana,Public History,,
to,Tonga,Public History,,
tr,Turkish,Public History,,Kamu Tarihi
ts,Tsonga,Public History,,Matimu ya Mani na Mani
tt,Tatar,Public History,,Халык тарихы
tw,Twi,Public History,,Ɔmanfo Abakɔsɛm
ty,Tahitian,Public History,,
ug,"Uighur, Uyghur",Public History,,ئاممىۋى تارىخ
uk,Ukrainian,Public History,,Публічна історія
ur,Urdu,Public History,,عوامی تاریخ
uz,Uzbek,Public History,,Jamoatchilik tarixi
ve,Venda,Public History,,
vi,Vietnamese,Public History,,Lịch sử công cộng
vo,Volapük,Public History,,
wa,Walloon,Public History,,
cy,Welsh,Public History,,Hanes Cyhoeddus
wo,Wolof,Public History,,
fy,Western Frisian,Public History,,Publike Skiednis
xh,Xhosa,Public History,,Imbali yoLuntu
yi,Yiddish,Public History,,פובליק געשיכטע
yo,Yoruba,Public History,,Itan Ilu
za,"Zhuang, Chuang",Public History,,
zu,Zulu,Public History,,Umlando Womphakathi
ab,Abkhaz,Digital History,,
aa,Afar,Digital History,,
af,Afrikaans,Digital History,,Digitale geskiedenis
ak,Akan,Digital History,,Digitals Abakɔsɛm
sq,Albanian,Digital History,,Historia Dixhitale
am,Amharic,Digital History,,ዲጂታል ታሪክ
ar,Arabic,Digital History,,التاريخ الرقمي
an,Aragonese,Digital History,,
hy,Armenian,Digital History,,Թվային պատմություն
as,Assamese,Digital History,,ডিজিটেল ইতিহাস
av,Avaric,Digital History,,
ae,Avestan,Digital History,,
ay,Aymara,Digital History,,Historia Digital ukax mä jach’a uñt’ayawiwa
az,Azerbaijani,Digital History,,Rəqəmsal tarix
bm,Bambara,Digital History,,Tariku numɛriki
ba,Bashkir,Digital History,,
eu,Basque,Digital History,,Historia digitala
be,Belarusian,Digital History,,Лічбавая гісторыя
bn,Bengali,Digital History,,ডিজিটাল ইতিহাস
bh,Bihari,Digital History,,डिजिटल इतिहास के बारे में बतावल गइल बा
bi,Bislama,Digital History,,
bs,Bosnian,Digital History,,Digital History
br,Breton,Digital History,,
bg,Bulgarian,Digital History,,Дигитална история
my,Burmese,Digital History,,ဒစ်ဂျစ်တယ်သမိုင်း
ca,Catalan; Valencian,Digital History,,Història digital
ch,Chamorro,Digital History,,
ce,Chechen,Digital History,,
ny,Chichewa; Chewa; Nyanja,Digital History,,Mbiri Yakale
zh,Chinese,Digital History,,数字历史
cv,Chuvash,Digital History,,
kw,Cornish,Digital History,,
co,Corsican,Digital History,,Storia digitale
cr,Cree,Digital History,,
hr,Croatian,Digital History,,Digitalna povijest
cs,Czech,Digital History,,Digitální historie
da,Danish,Digital History,,Digital historie
dv,Divehi; Maldivian;,Digital History,,ޑިޖިޓަލް ތާރީޚެވެ
nl,Dutch,Digital History,,Digitale geschiedenis
dz,Dzongkha,Digital History,,
en,English,Digital History,,Digital History
eo,Esperanto,Digital History,,Cifereca Historio
et,Estonian,Digital History,,Digitaalne ajalugu
ee,Ewe,Digital History,,Digitál Ŋutinya
fo,Faroese,Digital History,,
fj,Fijian,Digital History,,
fi,Finnish,Digital History,,Digitaalinen historia
fr,French,Digital History,,Histoire numérique
ff,Fula,Digital History,,
gl,Galician,Digital History,,Historia dixital
ka,Georgian,Digital History,,ციფრული ისტორია
de,German,Digital History,,Digitale Geschichte
el,"Greek, Modern",Digital History,,Ψηφιακή Ιστορία
gn,Guaraní,Digital History,,Tembiasakue Digital rehegua
gu,Gujarati,Digital History,,ડિજિટલ ઇતિહાસ
ht,Haitian,Digital History,,Istwa dijital
ha,Hausa,Digital History,,Tarihin Dijital
he,Hebrew (modern),Digital History,,היסטוריה דיגיטלית
hz,Herero,Digital History,,
hi,Hindi,Digital History,,डिजिटल इतिहास
ho,Hiri Motu,Digital History,,
hu,Hungarian,Digital History,,Digitális történelem
ia,Interlingua,Digital History,,
id,Indonesian,Digital History,,Sejarah Digital
ie,Interlingue,Digital History,,
ga,Irish,Digital History,,Stair Dhigiteach
ig,Igbo,Digital History,,Akụkọ dijitalụ
ik,Inupiaq,Digital History,,
io,Ido,Digital History,,
is,Icelandic,Digital History,,Stafræn saga
it,Italian,Digital History,,
iu,Inuktitut,Digital History,,
ja,Japanese,Digital History,,デジタルヒストリー
jv,Javanese,Digital History,,Riwayat Digital
kl,Kalaallisut,Digital History,,
kn,Kannada,Digital History,,ಡಿಜಿಟಲ್ ಇತಿಹಾಸ
kr,Kanuri,Digital History,,
ks,Kashmiri,Digital History,,
kk,Kazakh,Digital History,,Сандық тарих
km,Khmer,Digital History,,ប្រវត្តិឌីជីថល
ki,"Kikuyu, Gikuyu",Digital History,,
rw,Kinyarwanda,Digital History,,Amateka ya Digitale
ky,"Kirghiz, Kyrgyz",Digital History,,Digital History
kv,Komi,Digital History,,
kg,Kongo,Digital History,,
ko,Korean,Digital History,,디지털 역사
ku,Kurdish,Digital History,,Dîroka dîjîtal
kj,"Kwanyama, Kuanyama",Digital History,,
la,Latin,Digital History,,Digital History
lb,Luxembourgish,Digital History,,Digital Geschicht
lg,Luganda,Digital History,,Ebyafaayo bya Digital
li,Limburgish,Digital History,,
ln,Lingala,Digital History,,Histoire numérique
lo,Lao,Digital History,,ປະຫວັດສາດດິຈິຕອນ
lt,Lithuanian,Digital History,,Skaitmeninė istorija
lu,Luba-Katanga,Digital History,,
lv,Latvian,Digital History,,Digitālā vēsture
gv,Manx,Digital History,,
mk,Macedonian,Digital History,,Дигитална историја
mg,Malagasy,Digital History,,Tantara nomerika
ms,Malay,Digital History,,Sejarah Digital
ml,Malayalam,Digital History,,ഡിജിറ്റൽ ചരിത്രം
mt,Maltese,Digital History,,Storja Diġitali
mi,Māori,Digital History,,Hītori Mamati
mr,Marathi (Marāṭhī),Digital History,,डिजिटल इतिहास
mh,Marshallese,Digital History,,
mn,Mongolian,Digital History,,Дижитал түүх
na,Nauru,Digital History,,
nv,"Navajo, Navaho",Digital History,,
nb,Norwegian Bokmål,Digital History,,Digital historie
nd,North Ndebele,Digital History,,
ne,Nepali,Digital History,,डिजिटल इतिहास
ng,Ndonga,Digital History,,
nn,Norwegian Nynorsk,Digital History,,
no,Norwegian,Digital History,,Digital historie
ii,Nuosu,Digital History,,
nr,South Ndebele,Digital History,,
oc,Occitan,Digital History,,
oj,"Ojibwe, Ojibwa",Digital History,,
cu,Old Church Slavonic,Digital History,,
om,Oromo,Digital History,,Seenaa Dijitaalaa
or,Oriya,Digital History,,ଡିଜିଟାଲ୍ ଇତିହାସ |
os,"Ossetian, Ossetic",Digital History,,
pa,"Panjabi, Punjabi",Digital History,,ਡਿਜੀਟਲ ਇਤਿਹਾਸ
pi,Pāli,Digital History,,
fa,Persian,Digital History,,تاریخ دیجیتال
pl,Polish,Digital History,,Historia cyfrowa
ps,"Pashto, Pushto",Digital History,,ډیجیټل تاریخ
pt,Portuguese,Digital History,,História digital
qu,Quechua,Digital History,,Historia Digital nisqa
rm,Romansh,Digital History,,
rn,Kirundi,Digital History,,
ro,"Romanian, Moldavan",Digital History,,Istoria digitală
ru,Russian,Digital History,,Цифровая история
sa,Sanskrit (Saṁskṛta),Digital History,,डिजिटल इतिहास
sh,Serbo-Crotian,Digital History,,Дигитал Хистори
sc,Sardinian,Digital History,,
sd,Sindhi,Digital History,,ڊجيٽل تاريخ
se,Northern Sami,Digital History,,
sm,Samoan,Digital History,,Talafa&#39;asolopito faakomepiuta
sg,Sango,Digital History,,
sr,Serbian,Digital History,,Дигитал Хистори
gd,Scottish Gaelic,Digital History,,Eachdraidh Dhidseatach
sn,Shona,Digital History,,Digital History
si,"Sinhala, Sinhalese",Digital History,,ඩිජිටල් ඉතිහාසය
sk,Slovak,Digital History,,Digitálna história
sl,Slovene,Digital History,,Digitalna zgodovina
so,Somali,Digital History,,Taariikhda Dijital ah
st,Southern Sotho,Digital History,,Nalane ea Dijithale
es,Spanish; Castilian,Digital History,,Historia Digital
su,Sundanese,Digital History,,Sajarah Digital
sw,Swahili,Digital History,,Historia ya Dijiti
ss,Swati,Digital History,,
sv,Swedish,Digital History,,Digital historia
ta,Tamil,Digital History,,டிஜிட்டல் வரலாறு
te,Telugu,Digital History,,డిజిటల్ చరిత్ర
tg,Tajik,Digital History,,Таърихи рақамӣ
th,Thai,Digital History,,ประวัติศาสตร์ดิจิทัล
ti,Tigrinya,Digital History,,ዲጂታል ታሪኽ
bo,Tibetan,Digital History,,
tk,Turkmen,Digital History,,Sanly taryh
tl,Tagalog,Digital History,,Digital na Kasaysayan
tn,Tswana,Digital History,,
to,Tonga,Digital History,,
tr,Turkish,Digital History,,Dijital Tarih
ts,Tsonga,Digital History,,Matimu ya Xidijitali
tt,Tatar,Digital History,,Санлы тарих
tw,Twi,Digital History,,Digitals Abakɔsɛm
ty,Tahitian,Digital History,,
ug,"Uighur, Uyghur",Digital History,,رەقەملىك تارىخ
uk,Ukrainian,Digital History,,Цифрова історія
ur,Urdu,Digital History,,ڈیجیٹل ہسٹری
uz,Uzbek,Digital History,,Raqamli tarix
ve,Venda,Digital History,,
vi,Vietnamese,Digital History,,Lịch sử kỹ thuật số
vo,Volapük,Digital History,,
wa,Walloon,Digital History,,
cy,Welsh,Digital History,,Hanes Digidol
wo,Wolof,Digital History,,
fy,Western Frisian,Digital History,,Digital History
xh,Xhosa,Digital History,,Imbali yeDijithali
yi,Yiddish,Digital History,,דיגיטאַל געשיכטע
yo,Yoruba,Digital History,,Digital History
za,"Zhuang, Chuang",Digital History,,
zu,Zulu,Digital History,,Umlando Wedijithali
ab,Abkhaz,Digital Cultural Heritage,,
aa,Afar,Digital Cultural Heritage,,
af,Afrikaans,Digital Cultural Heritage,,Digitale kulturele erfenis
ak,Akan,Digital Cultural Heritage,,Digitals Amammerɛ Agyapade
sq,Albanian,Digital Cultural Heritage,,Trashëgimia Kulturore Dixhitale
am,Amharic,Digital Cultural Heritage,,ዲጂታል የባህል ቅርስ
ar,Arabic,Digital Cultural Heritage,,التراث الثقافي الرقمي
an,Aragonese,Digital Cultural Heritage,,
hy,Armenian,Digital Cultural Heritage,,Թվային մշակութային ժառանգություն
as,Assamese,Digital Cultural Heritage,,ডিজিটেল সাংস্কৃতিক ঐতিহ্য
av,Avaric,Digital Cultural Heritage,,
ae,Avestan,Digital Cultural Heritage,,
ay,Aymara,Digital Cultural Heritage,,Patrimonio Cultural Digital ukax mä jach’a uñt’ayawiwa
az,Azerbaijani,Digital Cultural Heritage,,Rəqəmsal Mədəni İrs
bm,Bambara,Digital Cultural Heritage,,Cɛsiri Cɛsiri Nizɛri
ba,Bashkir,Digital Cultural Heritage,,
eu,Basque,Digital Cultural Heritage,,Kultura Ondare Digitala
be,Belarusian,Digital Cultural Heritage,,Лічбавая культурная спадчына
bn,Bengali,Digital Cultural Heritage,,ডিজিটাল সাংস্কৃতিক ঐতিহ্য
bh,Bihari,Digital Cultural Heritage,,डिजिटल सांस्कृतिक विरासत के बा
bi,Bislama,Digital Cultural Heritage,,
bs,Bosnian,Digital Cultural Heritage,,Digitalno kulturno naslijeđe
br,Breton,Digital Cultural Heritage,,
bg,Bulgarian,Digital Cultural Heritage,,Цифрово културно наследство
my,Burmese,Digital Cultural Heritage,,ဒစ်ဂျစ်တယ်ယဉ်ကျေးမှုအမွေအနှစ်
ca,Catalan; Valencian,Digital Cultural Heritage,,Patrimoni Cultural Digital
ch,Chamorro,Digital Cultural Heritage,,
ce,Chechen,Digital Cultural Heritage,,
ny,Chichewa; Chewa; Nyanja,Digital Cultural Heritage,,Digital Cultural Heritage
zh,Chinese,Digital Cultural Heritage,,数字文化遗产
cv,Chuvash,Digital Cultural Heritage,,
kw,Cornish,Digital Cultural Heritage,,
co,Corsican,Digital Cultural Heritage,,Patrimoniu culturale digitale
cr,Cree,Digital Cultural Heritage,,
hr,Croatian,Digital Cultural Heritage,,Digitalna kulturna baština
cs,Czech,Digital Cultural Heritage,,Digitální kulturní dědictví
da,Danish,Digital Cultural Heritage,,Digital kulturarv
dv,Divehi; Maldivian;,Digital Cultural Heritage,,ދިރާގު ސަގާފީ ތަރިކަ
nl,Dutch,Digital Cultural Heritage,,Digitaal Cultureel Erfgoed
dz,Dzongkha,Digital Cultural Heritage,,
en,English,Digital Cultural Heritage,,Digital Cultural Heritage
eo,Esperanto,Digital Cultural Heritage,,Cifereca Kultura Heredaĵo
et,Estonian,Digital Cultural Heritage,,Digitaalne kultuuripärand
ee,Ewe,Digital Cultural Heritage,,Digitál Dekɔnu Domenyinu
fo,Faroese,Digital Cultural Heritage,,
fj,Fijian,Digital Cultural Heritage,,
fi,Finnish,Digital Cultural Heritage,,Digitaalinen kulttuuriperintö
fr,French,Digital Cultural Heritage,,Patrimoine culturel numérique
