search_term,natural_language,counts,directionality,search_term_source,category,keep_term
数位人文,"bvb, fan, ken, khb, mfv, sbp, smp, snf, xcr, xld, xmn, xnr, yav",13,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
ڈیجیٹل انسانیات,"bal, bft, bgn, brh, gju, hnd, hno, khw, ks, lah, skr, trw, ur",13,rtl,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
ڈیجیٹل ہیومینٹیز,"brh, btv, gjk, gju, hnd, hno, khw, ks, lah, skr, trw, ur",12,rtl,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
цифровой гуманитарий,"ce, chm, dar, dng, evn, inh, kum, lez, mrj, nog, tkr, ttt",12,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
数字人文,"dng, gan, hsn, ii, mdr, nxq, smp, wuu, yao, za",10,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
umanità digitale,"co, fur, it, lij, lmo, nap, pms, sc, scn, vec",10,ltr,Digital Humanities,"MEASUREMENT_ARTEFACT, PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
digitale geisteswissenschaften,"bar, de, gsw, nds, pdt, pfl, prg, swg, ter, vmf",10,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
デジタル人文科学,"abr, blo, bra, bum, kxp, ryu, sei, sus, syi, wbr",10,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
digital humaniora,"da, id, lb, map-bms, nb, nn, no, sas, sv",9,ltr,Digital Humanities,"MEASUREMENT_ARTEFACT, PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE",true
digitalne humanistike,"bs, cnr, crn, dsb, hsb, rmo, rmu, sh, sl",9,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
الإنسانية الدقيقة,"apc, ar, ars, arz, mey, rmt, shi, shu, wbr",9,rtl,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
डिजिटल ह्यूमनाइटीज़,"bhb, doi, gbm, hne, kvx, mtr, thl, tkt",8,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
humanitè digitale,"frp, gcr, mos, rcf, snk, swb, wni, zdj",8,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
digitalna humanistika,"bs, cnr, dsb, hr, hsb, sh, sl, sr",8,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
ubinadamu wa kidijitali,"bez, jmc, kde, ksb, rof, sw, wni, zdj",8,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
digitale geesteswetenschappen,"dum, gos, li, nds-nl, nl, vls, zea",7,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, TRANSMOGRIFICATION",true
ডিজিটাল মানববিদ্যা,"as, bn, bpy, ccp, mro, rjs, syl",7,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
दिजिटल ह्यूमनाइटीज़,"awa, bfy, gvr, mag, ss, thq, thr",7,ltr,Digital Humanities,TRANSMOGRIFICATION,true
数字人文学,"cdo, gan, hsn, mdr, nxq, yao, za",7,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
डिजिटल मानव विज्ञान,"awa, bgc, hi, kfr, mwr, raj",6,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, TRANSMOGRIFICATION",true
dijital insan bilimleri,"bgx, dzg, fvr, gag, kbl, tr",6,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
humanidades digital,"fil, ilo, kea, pap, tet, tl",6,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
علوم انسانی دیجیتال,"bqi, fa, gbz, jpr, lrc, prd",6,rtl,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
數位人文學,"hak, lzh, nan, trv, zh-min-nan, zh-tw",6,ltr,Digital Humanities,"MEASUREMENT_ARTEFACT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
dijital insaniyat,"bgn, diq, fia, gag, mde, rmt",6,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
ডিজিটাল হিউম্যানিটিজ,"bn, bpy, mni, mro, rkt, syl",6,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
humanités digitales,"frm, fro, frp, nrm, oc, wa",6,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
ڊجيٽل انسانيات,"hnd, hno, kfr, kvx, sd, skr",6,rtl,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
العلوم الرقمية للحضارة,"aeb, apc, ar, ars, ary, arz",6,rtl,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, TRANSMOGRIFICATION",true
الإنسانيات الرقمية,"apc, apd, ar, arq, ars, arz",6,rtl,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, TRANSMOGRIFICATION",true
humanitats digitals,"an, ast, ca, eka, oc, sc",6,ltr,Digital Humanities,"COMPLETE_CONSENSUS, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
kamanusiaan digital,"bbc, bjn, bug, mak, min, sxn",6,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
डिजिटल मानवशास्त्र,"gbm, gom, kok, mr, new, tkt",6,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
digitalne humanističke nauke,"bs, cnr, crn, sh, sr",5,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
digitalna umjetnost,"bs, cnr, crn, hr, sh",5,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
デジタルヒューマニティーズ,"kfy, lah, mai, rjs, unr",5,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
digitale humanistika,"dsb, fiu-vro, hz, kaj, vro",5,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
sayansi ya kidijitali ya binadamu,"dav, nym, suk, vun, wni",5,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
ufundi wa dijitali,"afh, kde, swb, tum, vmw",5,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
цифровой гуманитарный,"dar, kca, koi, mns, udm",5,ltr,Digital Humanities,TRANSMOGRIFICATION,true
數位人文,"hak, lzh, nan, zh-min-nan, zh-tw",5,ltr,Digital Humanities,"MEASUREMENT_ARTEFACT, TRANSMOGRIFICATION",true
digitale menschheitswissenschaften,"als, bar, nds, pfl, swg",5,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
dijital insani bilimler,"bgx, kiu, ota, tk, tr",5,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
humanitas digital,"ace, bjn, gay, kvr, ms",5,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
umanità digitali,"co, egl, scn, vec",4,ltr,Digital Humanities,"MEASUREMENT_ARTEFACT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
дигиталне хуманистике,"cnr, crn, sr, srb",4,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
sayansi za kidijitali za ubinadamu,"dav, kde, ksb, vun",4,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
數字人文學,"buc, hsn, wuu, zh-tw",4,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
ดิจิทัลมนุษยศาสตร์,"lcp, nod, sou, tts",4,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
humanități digitale,"mo, ro, roa-rup, rup",4,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
دیجیٹل انسانیات,"hnd, hno, ks, ur",4,rtl,Digital Humanities,TRANSMOGRIFICATION,true
الإنسانيات الدقيقة,"aeb, apd, ary, zen",4,rtl,Digital Humanities,TRANSMOGRIFICATION,true
ilmu kemanusiaan digital,"ace, bew, kvr, rej",4,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
makala ya kielektroniki,"laj, mer, nym, suk",4,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
digitale humanistiek,"frr, gos, nds-nl, stq",4,ltr,Digital Humanities,TRANSMOGRIFICATION,true
มนุษยศาสตร์ดิจิทัล,"kxm, nod, sou, tts",4,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ಡಿಜಿಟಲ್ ಮಾನವಿಕತೆ,"bfq, kn, tcy, wbq",4,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
budaya digital,"dtp, ljp, mfa, rej",4,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
humanis digital,"bew, bjn, map-bms, su",4,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
диджитал хумантизм,"bft, bua, krc, ses",4,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
pamantasang digital,"bcl, bik, bto, ilo",4,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
數字人文,"cdo, gan, lzh, zh-min-nan",4,ltr,Digital Humanities,TRANSMOGRIFICATION,true
digiálbmot,"se, smj, smn, sms",4,ltr,Digital Humanities,TRANSMOGRIFICATION,true
umanità digitala,"egl, lij, lld, rgn",4,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
digital na humanidades,"bcl, bik, bku, bto",4,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ດິຈິຕອນມະນຸດສາດ,"blt, kjg, kxm, lo",4,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
डिजिटल मानवीकी,"bgc, bhb, kvx, swv",4,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
humanities digital,"gor, id, mwv, nia",4,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE",true
دیجیتال انسانیاتی,"bgn, lki, lrc, luz",4,rtl,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
डिजीटल मानविकी,"awa, bft, kvx, rkt",4,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
digital nga humanidades,"cps, hil, krj, war",4,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
dijital humanitis,"bi, kri, pis, tpi",4,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
digitaal humanitaat,"aoz, cgg, diq",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
gidakiiminaan gizhawenimin,"oj, ojc, ojw",3,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ubumuntu bwa digital,"bem, lun, rw",3,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ዲጂታል ሰብአዊነት,"am, gez, tig",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
digitalong humanidades,"bcl, bik, bto",3,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
sayansi za kibinadamu za kidijitali,"swb, wni, zdj",3,rtl,Digital Humanities,TRANSMOGRIFICATION,true
digital humanitats,"lfn, rm, rmu",3,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
digitale menskunde,"li, pdt, zea",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
ციფრული ჰუმანიტარია,"ka, lzz, xmf",3,ltr,Digital Humanities,TRANSMOGRIFICATION,true
цифровая гуманитаристика,"kv, tab, yrk",3,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ubumuntu bwa digitali,"bez, buc, rw",3,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
humanitiz digital,"bci, ksf, nmg",3,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
digitale menswetenschappen,"nds-nl, vls, zea",3,ltr,Digital Humanities,TRANSMOGRIFICATION,true
數碼人文學,"cdo, kkj, wuu",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
sastra digital,"ban, kaw, ljp",3,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ডিজিটাল মানবসাহিত্য,"bn, rkt, syl",3,ltr,Digital Humanities,TRANSMOGRIFICATION,true
دیجیتال علوم انسانی,"bqi, mzn, prd",3,rtl,Digital Humanities,TRANSMOGRIFICATION,true
digitali humanitäte,"als, gsw, wae",3,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ડિજીટલ માનવતા,"bhi, gju, noe",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
دیجیتال ئینسانی,"bqi, lrc, luz",3,rtl,Digital Humanities,TRANSMOGRIFICATION,true
dijitalne umetnosti,"bs, cnr, crn",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
digitalne humanističke znanosti,"bs, hr, sh",3,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
डिজিटल मानविकी,"mns, nwc, taj",3,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ডিজিটাল মানৱিক বিজ্ঞান,"as, bpy, rkt",3,ltr,Digital Humanities,TRANSMOGRIFICATION,true
digitale humanistikk,"nb, nn, no",3,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
الإنسانية الرقمية,"arq, bej, snf",3,rtl,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
tlamatiliztli ipan tlapohualhuaztli,"nch, nhe, nhw",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
tlilli tlahtolli tlamachiyotl,"nch, nhe, nhw",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
mbumu ya digitale,"mgy, nmg, rng",3,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
digitale menschlichkeit,"ksh, pdc, vmf",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
ܡܕܥܢܘܬܐ ܪ̈ܩܡܝܬܐ,"arc, syc, tru",3,rtl,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
ܝܘܠܦܢ̈ܐ ܐܢܫܝ̈ܐ ܕܝܓܝܛܠܝ̈ܐ,"arc, syc, syr",3,rtl,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
دیجیتال بشریت,"bal, bgn, ps",3,rtl,Digital Humanities,TRANSMOGRIFICATION,true
kamanusaan digital,"ban, mad, su",3,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
umunthu wa digito,"ny, tog, tum",3,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ڊجيٽل انسانيت,"kvx, kxp, sd",3,rtl,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
digitaalinen humanismi,"fi, fit, vot",3,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, TRANSMOGRIFICATION",true
dijigitalne umetnosti,"sh, sr, srb",3,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE",true
digitaal minskwittenskip,"frr, frs, fy",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
الآداب الرقمية,"aeb, ar, shu",3,rtl,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, TRANSMOGRIFICATION",true
დიჯიტალური ხელოვნება,"dar, ka, tkr",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
digitali humanities,"aln, naq, sq",3,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
デジタル人文学,"ain, dtm, ryu",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
humanitates digital,"ia, ie, lfn",3,ltr,Digital Humanities,"MEASUREMENT_ARTEFACT, STRUCTURAL_ABSENCE",true
ડિજિટલ હ્યુમેનિટીઝ,"gu, kfr, kxp",3,ltr,Digital Humanities,TRANSMOGRIFICATION,true
digitála humaniora,"se, sma, smj",3,ltr,Digital Humanities,TRANSMOGRIFICATION,true
humanitats digitalas,"fur, mwl, pms",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
umanità digital,"lmo, pms, rgn",3,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE",true
digitaalne humanitaaria,"et, fiu-vro, vro",3,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, TRANSMOGRIFICATION",true
digitala humanistiko,"eo, io, xsa",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
humaniti digital,"dtp, iba, ms",3,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
علوم انسانی دیجیتالی,"haz, lrc, luz",3,rtl,Digital Humanities,TRANSMOGRIFICATION,true
digitali geisteswüsseschafte,"als, gsw, wae",3,ltr,Digital Humanities,TRANSMOGRIFICATION,true
humanitii digitaal,"ff, ffm, tem",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
دیجیتال علوم بشر,"gbz, luz, mzn",3,rtl,Digital Humanities,TRANSMOGRIFICATION,true
digitals nnipa ho adesua,"ak, fat, tw",3,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
デジタルヒューマニティズ,"dty, kfr, srb",3,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
digitale humanitätswissenschaften,"gsw, prg",2,ltr,Digital Humanities,TRANSMOGRIFICATION,true
цифровой гуманитарный наука,"evn, yrk",2,ltr,Digital Humanities,TRANSMOGRIFICATION,true
डिजिटल मानविकी के बारे में बतावल गइल बा,"bh, bho",2,ltr,Digital Humanities,TRANSMOGRIFICATION,true
digital hiumanitis,"bi, pis",2,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
diyiteng humanidades,"bik, bto",2,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
டிஜிட்டல் மானுடவியல்,"saz, ta",2,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, TRANSMOGRIFICATION",true
humpito niiɓe dijitaal,"ffm, fuq",2,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
kɔmputa hümaniti,"kpe, vai",2,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
dijital insaniyət,"krc, ttt",2,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ganndal yimɓe dijital,"ff, ffm",2,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
ᖃᕆᑕᐅᔭᒃᑯᑦ ᐃᓄᓕᕆᓂᕐᒧᑦ,"ike, iu",2,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
zvidzidzo zvevanhu netekinoroji,"mxc, ndc",2,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
digitála humanisttalašvuohta,"se, smj",2,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ḍijiṭal manovshastra,"knn, kok",2,ltr,Digital Humanities,TRANSMOGRIFICATION,true
digitaalikulttuuritieteet,"fi, fit",2,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, TRANSMOGRIFICATION",true
ಡಿಜಿಟಲ್ ಹ್ಯುಮಾನಿಟೀಸ್,"kn, wbq",2,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
mukanda wa digital,"kmb, umb",2,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
humanistyka cyfrowa,"pl, szl",2,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, TRANSMOGRIFICATION",true
ডিজিটাল মানবিকী,"bn, bpy",2,ltr,Digital Humanities,TRANSMOGRIFICATION,true
གྲངས་འཛིན་མི་ཆོས་རིག་པ།,"bo, dz",2,ltr,Digital Humanities,TRANSMOGRIFICATION,true
មនុស្សសាស្ត្រឌីជីថល,"km, kxm",2,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
ডিজিটাল মানবিক বিদ্যা,"bpy, syl",2,ltr,Digital Humanities,TRANSMOGRIFICATION,true
digitaalhumanitaaria,"et, vro",2,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, TRANSMOGRIFICATION",true
數位人文学,"hak, zh-min-nan",2,ltr,Digital Humanities,TRANSMOGRIFICATION,true
дигитальные гуманитарные науки,"kk, sah",2,ltr,Digital Humanities,TRANSMOGRIFICATION,true
цифрлық гуманитарлық ғылымдар,"kk, otk",2,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ಡಿಜಿಟಲ್ ಮಾನವಶಾಸ್ತ್ರ,"kn, tcy",2,ltr,Digital Humanities,TRANSMOGRIFICATION,true
sayansi ya kidijitali,"ksb, pko",2,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
دیجیټل هنرمندانه,"bgn, luz",2,rtl,Digital Humanities,TRANSMOGRIFICATION,true
diyital na humanidades,"fil, tl",2,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
elimu ya kidijitali ya ubinadamu,"bez, jmc",2,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
ডিজিটাল মানবিকতা,"rhg, rkt",2,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ingoma ya dizidi,"bem, ny",2,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ডিজিটাল মানুষের বিদ্যা,"rhg, syl",2,ltr,Digital Humanities,TRANSMOGRIFICATION,true
санлы гуманитар илимлер,"kum, nog",2,ltr,Digital Humanities,TRANSMOGRIFICATION,true
العلوم الرقمية الإنسانية,"bej, fia",2,rtl,Digital Humanities,TRANSMOGRIFICATION,true
humanitățile digitale,"roa-rup, rup",2,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
цыфравыя гуманітарныя навукі,"be, be-x-old",2,ltr,Digital Humanities,TRANSMOGRIFICATION,true
дзэйтэрыйн гуманістыка,"be, be-x-old",2,ltr,Digital Humanities,TRANSMOGRIFICATION,true
цифрӧвӧй гуманитарнӧй наукаяс,"kv, udm",2,ltr,Digital Humanities,TRANSMOGRIFICATION,true
umanitati digitale,"roa-rup, rup",2,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
лічбавыя гуманітарныя навукі,"be, be-x-old",2,ltr,Digital Humanities,TRANSMOGRIFICATION,true
daonnachtaí digiteacha,"ga, mga",2,ltr,Digital Humanities,TRANSMOGRIFICATION,true
دیجیتال انسانیات,"gbz, xmn",2,rtl,Digital Humanities,TRANSMOGRIFICATION,true
數碼人文,"gan, zh-yue",2,ltr,Digital Humanities,"MEASUREMENT_ARTEFACT, TRANSMOGRIFICATION",true
digitalno manušikano,"rmy, rom",2,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
ڊجيٽل هيومينيٽيز,"kvx, sd",2,rtl,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",true
