language_code,term_source,gt_translated_term,language_name,coding_dh_date,wikipedia_translated_term,exclude_google_cloud_translate
rm,Public History,,Romansh,,,
rn,Public History,Amateka ya bose,Kirundi,,,
ro,Public History,Istorie publică,"Romanian, Moldavan",,,
ru,Public History,Публичная история,Russian,,,
rw,Public History,Amateka rusange,Kinyarwanda,,,
sa,Public History,सार्वजनिक इतिहास,Sanskrit (Saṁskṛta),,,
sc,Public History,,Sardinian,,,
sd,Public History,عوامي تاريخ,Sindhi,,,
se,Public History,Almmolaš historjá,Northern Sami,,,
sg,Public History,Mbaï ti azo kue,Sango,,,
sh,Public History,Јавна историја,Serbo-Crotian,,,
si,Public History,මහජන ඉතිහාසය,"Sinhala, Sinhalese",,,
sk,Public History,Verejná história,Slovak,,,
sl,Public History,Javna zgodovina,Slovene,,,
sm,Public History,Talafa&#39;asolopito Lautele,Samoan,,,
sn,Public History,Public History,Shona,,,
so,Public History,Taariikhda Dadweynaha,Somali,,,
sq,Public History,Histori Publike,Albanian,,,
sr,Public History,Јавна историја,Serbian,,,
ss,Public History,Umlandvo Wesive,Swati,,,
st,Public History,Histori ea Sechaba,Southern Sotho,,,
su,Public History,Sajarah umum,Sundanese,,,
sv,Public History,Offentlig historia,Swedish,,,
sw,Public History,Historia ya Umma,Swahili,,,
ta,Public History,பொது வரலாறு,Tamil,,,
te,Public History,ప్రజా చరిత్ర,Telugu,,,
tg,Public History,Таърихи ҷамъиятӣ,Tajik,,,
th,Public History,ประวัติศาสตร์สาธารณะ,Thai,,,
ti,Public History,ህዝባዊ ታሪኽ,Tigrinya,,,
tk,Public History,Jemgyýetçilik taryhy,Turkmen,,,
tl,Public History,Pampublikong Kasaysayan,Tagalog,,,
tn,Public History,Hisetori ya Setšhaba,Tswana,,,
to,Public History,Hisitōlia Fakapuleʻanga,Tonga,,,
tr,Public History,Kamu Tarihi,Turkish,,,
ts,Public History,Matimu ya Mani na Mani,Tsonga,,,
tt,Public History,Халык тарихы,Tatar,,,
tw,Public History,Ɔmanfo Abakɔsɛm,Twi,,,
ty,Public History,Aamu huiraatira,Tahitian,,,
ug,Public History,ئاممىۋى تارىخ,"Uighur, Uyghur",,,
uk,Public History,Публічна історія,Ukrainian,,,
ur,Public History,عوامی تاریخ,Urdu,,,
uz,Public History,Jamoatchilik tarixi,Uzbek,,,
ve,Public History,Ḓivhazwakale ya Tshitshavha,Venda,,,
vi,Public History,Lịch sử công cộng,Vietnamese,,,
vo,Public History,,Volapük,,,
wa,Public History,,Walloon,,,
wo,Public History,Taarixu mbooloo,Wolof,,,
xh,Public History,Imbali yoLuntu,Xhosa,,,
yi,Public History,עפנטלעכע געשיכטע,Yiddish,,,
yo,Public History,Itan Ilu,Yoruba,,,
za,Public History,,"Zhuang, Chuang",,,
zh,Public History,公共历史,Chinese,,,
zu,Public History,Umlando Womphakathi,Zulu,,,
