language_code,term,language_name,term_source,wikipedia_translated_term,coding_dh_date,exclude_google_cloud_translate,gt_translated_term,exclude_easynmt,enmt_translated_term,exclude_lingvanex,lingvanex_translated_term,exclude_ollama,ollama_content,ollama_model,ollama_created_at,ollama_total_duration,ollama_load_duration,ollama_prompt_eval_count,ollama_prompt_eval_duration,ollama_eval_count,ollama_eval_duration,ollama_done_reason,ollama_translated_term,ollama_translation_rationale,ollama_extracted_dictionaries,ollama_translation
zh-classical,,Classical Chinese,Digital Humanities,,2026-04-07 01:04:41,False,,False,,False,,False,"{
  ""translated_term"": """" ( Zhì shù rénwén xué "",
  ""translation_rationale"": "" Digital Humanities is translated as "" ( Zhì shù rénwén xué "", combining the term for ""digital"" from """" and the concept of humanistic studies """" with a modifier indicating a specific field or domain""
}",llama3.1,2026-04-07T00:04:41.32802Z,1479608666.0,83579291.0,75.0,338826083.0,71.0,1036638627.0,stop,, Digital Humanities is translated as ,[],
xal,,Kalmyk,Digital Humanities,,2026-04-07 01:04:32,False,,False,,False,,False,"{
""translated_term"": ""Aglɨyq humaniti"",
""translation_rationale"": ""Combining Kalmyk words for 'digital' (aglɨyq) and 'humanities' (humaniti)""
}",llama3.1,2026-04-07T00:04:32.729624Z,1063201042.0,80071709.0,75.0,373377334.0,50.0,594493087.0,stop,Aglɨyq humaniti,Combining Kalmyk words for 'digital' (aglɨyq) and 'humanities' (humaniti),[],
war,,Waray / Samar-Leyte Visayan,Digital Humanities,,2026-04-07 01:04:29,False,Digital nga Katawhan,False,,False,,False,"{
""translated_term"": ""Digidal na Kasaysayan"",
""translation_rationale"": ""Combining the Tagalog term 'digidal' and the Cebuano/Visayan prefix 'na' with the Tagalog word 'kasaysayan'""
}",llama3.1,2026-04-07T00:04:29.649469Z,1169525333.0,82466166.0,81.0,374174500.0,57.0,695198912.0,stop,Digidal na Kasaysayan,Combining the Tagalog term 'digidal' and the Cebuano/Visayan prefix 'na' with the Tagalog word 'kasaysayan',[],
vls,,West Flemish,Digital Humanities,,2026-04-07 01:04:26,False,,False,,False,,False,"{
  ""translated_term"": ""Digitale Menskunde"",
  ""translation_rationale"": ""The term is translated directly from English, replacing 'Humanities' with the West Flemish equivalent of 'Menskunde', which connotes a similar meaning.""
}",llama3.1,2026-04-07T00:04:26.459349Z,1112231333.0,79877208.0,75.0,349249292.0,55.0,666456003.0,stop,Digitale Menskunde,"The term is translated directly from English, replacing 'Humanities' with the West Flemish equivalent of 'Menskunde', which connotes a similar meaning.",[],
vec,,Venetian,Digital Humanities,,2026-04-07 01:04:23,False,Siense umane digitałi,False,,False,,False,"{
  ""translated_term"": ""Umànità Digitél"",
  ""translation_rationale"": ""Transliteration from Italian 'Umanità Digitale'""
}",llama3.1,2026-04-07T00:04:23.326763Z,863327417.0,80725334.0,74.0,359557208.0,35.0,412549206.0,stop,Umànità Digitél,Transliteration from Italian 'Umanità Digitale',[],
uz_AF,,Uzbeki Afghanistan,Digital Humanities,,2026-04-07 01:04:20,False,,False,,False,,False,"{
  ""translated_term"": ""Kodli Adabiyot Ilmi"",
  ""translation_rationale"": ""I used the Uzbek term 'Kodli' for 'Digital', as in Uzbek language, it is commonly used to refer to computer-related concepts. 'Adabiyot' means literature or humanities, and 'Ilmi' means science.""
}",llama3.1,2026-04-07T00:04:20.4403Z,1734646250.0,94052292.0,75.0,365291333.0,75.0,1253719455.0,stop,Kodli Adabiyot Ilmi,"I used the Uzbek term 'Kodli' for 'Digital', as in Uzbek language, it is commonly used to refer to computer-related concepts. 'Adabiyot' means literature or humanities, and 'Ilmi' means science.",[],
udm,,Udmurt,Digital Humanities,,2026-04-07 01:04:16,False,Цифровой гуманитарной наукаос,False,,False,,False,"{""translated_term"": ""\u0414\u0438\u0433\u0438\u0442\u0430\u043b\u044c\u043d\u0430\u044f \u0423\u043c\u0435\u0439\u0441\u0442\u0432\u043e"", ""translation_rationale"": ""Udmurt translation of 'Digital Humanities' using Russian loanwords and calques""}",llama3.1,2026-04-07T00:04:16.68395Z,1818995750.0,102833000.0,75.0,354986333.0,88.0,1337350586.0,stop,Дигитальная Умейство,Udmurt translation of 'Digital Humanities' using Russian loanwords and calques,"[{'translated_term': 'Дигитальная Умейство', 'translation_rationale': ""Udmurt translation of 'Digital Humanities' using Russian loanwords and calques""}]",Дигитальная Умейство
tpi,,Tok Pisin,Digital Humanities,,2026-04-07 01:04:09,False,Dijitel Humanitis,False,Ol Samting Ol Man i Mekim,False,,False,"{
  ""translated_term"": ""Buk bilong Intanet Humani"",
  ""translation_rationale"": ""Using Tok Pisin's standard word order and vocabulary, 'Digital' becomes 'Buk', meaning book or digit, and 'Humanities' is translated to 'Intanet Humani', emphasizing the online aspect of the field.""
}",llama3.1,2026-04-07T00:04:09.583867Z,1353833750.0,92524417.0,75.0,353345416.0,73.0,886785164.0,stop,Buk bilong Intanet Humani,"Using Tok Pisin's standard word order and vocabulary, 'Digital' becomes 'Buk', meaning book or digit, and 'Humanities' is translated to 'Intanet Humani', emphasizing the online aspect of the field.",[],
tokipona,,tokipona,Digital Humanities,,2026-04-07 01:04:06,False,,False,,False,,False,"{""translated_term"": ""Sina nanpa ni"", ""translation_rationale"": ""In Toki Pona, 'digital' is translated as 'sina' (meaning 'computer') and 'humanities' is translated as 'nanpa ni' (meaning 'use of knowledge'). The term 'Digital Humanities' would literally mean 'Computer Knowledge'. Note that Toki Pona is a constructed language designed to be simple and easy to learn, so its translations might not always perfectly capture the nuances of the original terms.""}",llama3.1,2026-04-07T00:04:06.21275Z,1720919625.0,83482291.0,76.0,351929958.0,107.0,1254718709.0,stop,Sina nanpa ni,"In Toki Pona, 'digital' is translated as 'sina' (meaning 'computer') and 'humanities' is translated as 'nanpa ni' (meaning 'use of knowledge'). The term 'Digital Humanities' would literally mean 'Computer Knowledge'. Note that Toki Pona is a constructed language designed to be simple and easy to learn, so its translations might not always perfectly capture the nuances of the original terms.","[{'translated_term': 'Sina nanpa ni', 'translation_rationale': ""In Toki Pona, 'digital' is translated as 'sina' (meaning 'computer') and 'humanities' is translated as 'nanpa ni' (meaning 'use of knowledge'). The term 'Digital Humanities' would literally mean 'Computer Knowledge'. Note that Toki Pona is a constructed language designed to be simple and easy to learn, so its translations might not always perfectly capture the nuances of the original terms.""}]",Sina nanpa ni
tlh,,Klingon,Digital Humanities,,2026-04-07 01:04:02,False,,False,,False,,False,"{
  ""translated_term"": ""qongwIj DaH"",
  ""translation_rationale"": ""A combination of 'qon' (digital) and 'wIj DaH' (humanities)""
}",llama3.1,2026-04-07T00:04:02.468217Z,989456833.0,88265708.0,74.0,365407459.0,46.0,522565125.0,stop,qongwIj DaH,A combination of 'qon' (digital) and 'wIj DaH' (humanities),[],
tet,,Tetum,Digital Humanities,,2026-04-07 01:03:59,False,Umanidade Dijitál,False,,False,,False,"{""translated_term"": ""Omaun ba iha Internet"", ""translation_rationale"": ""Literally 'Humanities in the Internet' or 'Humanidades Digitais'.""}",llama3.1,2026-04-07T00:03:59.456563Z,873722250.0,81773458.0,73.0,349128417.0,38.0,430877625.0,stop,Omaun ba iha Internet,Literally 'Humanities in the Internet' or 'Humanidades Digitais'.,"[{'translated_term': 'Omaun ba iha Internet', 'translation_rationale': ""Literally 'Humanities in the Internet' or 'Humanidades Digitais'.""}]",Omaun ba iha Internet
sco,,Scots,Digital Humanities,,2026-04-07 01:03:56,False,,False,,False,,False,"{
  ""translated_term"": ""Digiyal Humanitees"",
  ""translation_rationale"": ""Adaptation o the English term, makin use o Scots equivalents fer 'digital' an 'humanities'.""
}",llama3.1,2026-04-07T00:03:56.56389Z,965669042.0,70727500.0,72.0,356366833.0,46.0,524446877.0,stop,Digiyal Humanitees,"Adaptation o the English term, makin use o Scots equivalents fer 'digital' an 'humanities'.",[],
scn,,Sicilian,Digital Humanities,,2026-04-07 01:03:53,False,Scienzi umanistichi diggitali,False,,False,,False,"{
  ""translated_term"": ""Umanità digitàli"",
  ""translation_rationale"": ""Borrowed from Italian, as Digital Humanities is an English term that has been adopted in Italian""
}",llama3.1,2026-04-07T00:03:53.579129Z,960422375.0,84582291.0,73.0,373224292.0,43.0,488540997.0,stop,Umanità digitàli,"Borrowed from Italian, as Digital Humanities is an English term that has been adopted in Italian",[],
roa-rup,,Aromanian,Digital Humanities,,2026-04-07 01:03:50,False,,False,,False,,False,"{
""translated_term"": ""Umanitar Digital"",
""translation_rationale"": ""Combining the Aromanian words 'umanitar' (humanitarian) and 'digital'""
}",llama3.1,2026-04-07T00:03:50.597828Z,883256125.0,85319334.0,77.0,350880417.0,38.0,434957333.0,stop,Umanitar Digital,Combining the Aromanian words 'umanitar' (humanitarian) and 'digital',[],
rmy,,Romani,Digital Humanities,,2026-04-07 01:03:47,False,Digitalno Humaniàlo,False,,False,,False,"{""translated_term"": ""Džipal Varsmaneshi"", ""translation_rationale"": ""Combination of 'digital' and 'humanities' into Romani, using džipal (digital) and varsmaneshi (human sciences/humanities), a common term in Romani scholarship""}",llama3.1,2026-04-07T00:03:47.696221Z,1291342958.0,84334667.0,74.0,419441250.0,65.0,767717118.0,stop,Džipal Varsmaneshi,"Combination of 'digital' and 'humanities' into Romani, using džipal (digital) and varsmaneshi (human sciences/humanities), a common term in Romani scholarship","[{'translated_term': 'Džipal Varsmaneshi', 'translation_rationale': ""Combination of 'digital' and 'humanities' into Romani, using džipal (digital) and varsmaneshi (human sciences/humanities), a common term in Romani scholarship""}]",Džipal Varsmaneshi
pms,,Piedmontese,Digital Humanities,,2026-04-07 01:03:44,False,,False,,False,,False,"{
  ""translated_term"": ""Umanità Digital"",
  ""translation_rationale"": ""Combining the French and Italian influences on Piedmontese, the term is a direct adaptation of the original phrase""
}",llama3.1,2026-04-07T00:03:44.384165Z,967292542.0,81785875.0,75.0,348739125.0,44.0,523041667.0,stop,Umanità Digital,"Combining the French and Italian influences on Piedmontese, the term is a direct adaptation of the original phrase",[],
pih,,Norfolk,Digital Humanities,,2026-04-07 01:03:41,False,,False,,False,,False,"{""translated_term"": ""Dìgitiel Hunnidits"", ""translation_rationale"": ""Norfolk language uses a unique combination of English and its own vocabulary, adapting words to its phonetic system. 'Digital' becomes 'dìgitiel' with a shift from 'gi' to 'dì', while 'Humanities' remains unchanged due to its existing similarity in sound.""}",llama3.1,2026-04-07T00:03:41.394058Z,1403758167.0,87105833.0,73.0,348939084.0,82.0,943129827.0,stop,Dìgitiel Hunnidits,"Norfolk language uses a unique combination of English and its own vocabulary, adapting words to its phonetic system. 'Digital' becomes 'dìgitiel' with a shift from 'gi' to 'dì', while 'Humanities' remains unchanged due to its existing similarity in sound.","[{'translated_term': 'Dìgitiel Hunnidits', 'translation_rationale': ""Norfolk language uses a unique combination of English and its own vocabulary, adapting words to its phonetic system. 'Digital' becomes 'dìgitiel' with a shift from 'gi' to 'dì', while 'Humanities' remains unchanged due to its existing similarity in sound.""}]",Dìgitiel Hunnidits
pdc,,Pennsylvania German,Digital Humanities,,2026-04-07 01:03:37,False,,False,,False,,False,"{""translated_term"": ""Digitale Menschliche Künste"", ""translation_rationale"": ""Combining English words, following Pennsylvania German's tendency to adopt foreign vocabulary directly, with slight adjustments in spelling and inflection.""}",llama3.1,2026-04-07T00:03:37.96976Z,1002933959.0,82208375.0,74.0,368811833.0,47.0,537366622.0,stop,Digitale Menschliche Künste,"Combining English words, following Pennsylvania German's tendency to adopt foreign vocabulary directly, with slight adjustments in spelling and inflection.","[{'translated_term': 'Digitale Menschliche Künste', 'translation_rationale': ""Combining English words, following Pennsylvania German's tendency to adopt foreign vocabulary directly, with slight adjustments in spelling and inflection.""}]",Digitale Menschliche Künste
pap,,Papiamentu,Digital Humanities,,2026-04-07 01:03:34,False,Humanidatnan Digital,False,Di Con Asina Tantu Cos Humano,False,,False,"{
  ""translated_term"": ""Humanidat Digital"",
  ""translation_rationale"": ""Papiamentu term for 'Digital Humanities', combining the concepts of 'digital' and 'humanidades'""
}",llama3.1,2026-04-07T00:03:34.948832Z,935018750.0,81645792.0,75.0,352158250.0,43.0,487843087.0,stop,Humanidat Digital,"Papiamentu term for 'Digital Humanities', combining the concepts of 'digital' and 'humanidades'",[],
pam,,Kapampangan,Digital Humanities,,2026-04-07 01:03:31,False,Digital Humanities,False,,False,,False,"{
  ""translated_term"": ""Diyitangalungsodang Sining"",
  ""translation_rationale"": ""Breaking down the term into its components, 'Diye' is a prefix meaning digital or related to technology, 'tangalunghod' means humanities in Kapampangan, and 'Sining' means art or studies.""
}",llama3.1,2026-04-07T00:03:31.989604Z,1305141083.0,82038250.0,74.0,348298250.0,74.0,853382040.0,stop,Diyitangalungsodang Sining,"Breaking down the term into its components, 'Diye' is a prefix meaning digital or related to technology, 'tangalunghod' means humanities in Kapampangan, and 'Sining' means art or studies.",[],
pag,,Pangasinan,Digital Humanities,,2026-04-07 01:03:28,False,Digital Humanities,False,Saray Manangiyabawag na Too,False,,False,"{""translated_term"": ""Salukuyug Alpabita"", ""translation_rationale"": ""Combination of 'salukuyug' (digital) and 'alpabita' (humanities), following the pattern of other terms in Pangasinan""}",llama3.1,2026-04-07T00:03:28.668528Z,1083163208.0,84638833.0,74.0,351900500.0,55.0,629553210.0,stop,Salukuyug Alpabita,"Combination of 'salukuyug' (digital) and 'alpabita' (humanities), following the pattern of other terms in Pangasinan","[{'translated_term': 'Salukuyug Alpabita', 'translation_rationale': ""Combination of 'salukuyug' (digital) and 'alpabita' (humanities), following the pattern of other terms in Pangasinan""}]",Salukuyug Alpabita
nso,,Northern Sotho,Digital Humanities,,2026-04-07 01:03:25,False,Thuto ya Botho ya Dijithale,False,Ditekanyo tša Batho,False,,False,"{
  ""translated_term"": ""Tsheko ya Digital"",
  ""translation_rationale"": ""Combining the concept of tsheko (technology) with 'digital' from English""
}",llama3.1,2026-04-07T00:03:25.561402Z,884077375.0,82481625.0,76.0,332555000.0,40.0,456686791.0,stop,Tsheko ya Digital,Combining the concept of tsheko (technology) with 'digital' from English,[],
nrm,,Norman,Digital Humanities,,2026-04-07 01:03:22,False,,False,,False,,False,"{""translated_term"": ""Tchèques Humaines Digitales"", ""translation_rationale"": ""Combination of the Norman word for 'digital' (tchèque) and 'humanities'""}",llama3.1,2026-04-07T00:03:22.659523Z,986519625.0,91593625.0,73.0,391614208.0,43.0,489839623.0,stop,Tchèques Humaines Digitales,Combination of the Norman word for 'digital' (tchèque) and 'humanities',"[{'translated_term': 'Tchèques Humaines Digitales', 'translation_rationale': ""Combination of the Norman word for 'digital' (tchèque) and 'humanities'""}]",Tchèques Humaines Digitales
new,,Newar,Digital Humanities,,2026-04-07 01:03:19,False,डिजिटल मानविकी,False,,False,,False,"{""translated_term"": ""दिजिटल मानव विज्ञान"", ""translation_rationale"": ""Combination of नि (ni) meaning 'digital' and मानव विज्ञान (manav vijñāna) meaning 'human knowledge', drawing on Sanskrit roots""}",llama3.1,2026-04-07T00:03:19.657325Z,1190644042.0,88335334.0,73.0,370908708.0,62.0,713204999.0,stop,दिजिटल मानव विज्ञान,"Combination of नि (ni) meaning 'digital' and मानव विज्ञान (manav vijñāna) meaning 'human knowledge', drawing on Sanskrit roots","[{'translated_term': 'दिजिटल मानव विज्ञान', 'translation_rationale': ""Combination of नि (ni) meaning 'digital' and मानव विज्ञान (manav vijñāna) meaning 'human knowledge', drawing on Sanskrit roots""}]",दिजिटल मानव विज्ञान
nds-nl,,Dutch Low Saxon,Digital Humanities,,2026-04-07 01:03:16,False,,False,,False,,False,"{
""translated_term"": ""Digitaal Humaanweten"",
""translation_rationale"": ""Combination of 'digitaal' (digital) and 'humaanweten' which translates to human sciences in Dutch, aligning with the broader scope of Digital Humanities""
}",llama3.1,2026-04-07T00:03:16.446944Z,1140602417.0,81096167.0,78.0,356526917.0,60.0,685926544.0,stop,Digitaal Humaanweten,"Combination of 'digitaal' (digital) and 'humaanweten' which translates to human sciences in Dutch, aligning with the broader scope of Digital Humanities",[],
nds,,Low German / Low Saxon,Digital Humanities,,2026-04-07 01:03:13,False,,False,,False,,False,"{
  ""translated_term"": ""Digitale Humanisten"",
  ""translation_rationale"": ""Low German / Low Saxon translation, combining 'digital' (from English) and 'Humanitists' (from English, using the plural form)""
}",llama3.1,2026-04-07T00:03:13.285944Z,1046113209.0,81051625.0,79.0,355173167.0,52.0,594168998.0,stop,Digitale Humanisten,"Low German / Low Saxon translation, combining 'digital' (from English) and 'Humanitists' (from English, using the plural form)",[],
nap,,Neapolitan,Digital Humanities,,2026-04-07 01:03:10,False,,False,,False,,False,"{
  ""translated_term"": ""Dumannità Digitale"",
  ""translation_rationale"": ""Combination of Italian and Neapolitan language""
}",llama3.1,2026-04-07T00:03:10.216594Z,797855625.0,65468667.0,74.0,360027084.0,32.0,361979169.0,stop,Dumannità Digitale,Combination of Italian and Neapolitan language,[],
nah,,Nahuatl,Digital Humanities,,2026-04-07 01:03:07,False,,False,,False,,False,"{
  ""translated_term"": ""Tonalpohualli tlamachyotl"",
  ""translation_rationale"": ""The term 'Digital Humanities' is composed of two parts. 'Digital' is derived from the Spanish word 'digital', which is equivalent to the Nahuatl term 'tlayolli', meaning 'of the fingers' or 'hand-made'. However, I chose to use 'tonalpohualli', a Nahuatl word referring to a system of divination and time-reckoning. It conveys a sense of modernity and connection to the digital age while being grounded in traditional Mesoamerican knowledge systems. The term 'Humanities' is equivalent to 'tlamachyotl', which encompasses arts, sciences, and humanistic studies.""
}",llama3.1,2026-04-07T00:03:07.392171Z,2429178125.0,80320208.0,74.0,399442541.0,164.0,1902621208.0,stop,Tonalpohualli tlamachyotl,"The term 'Digital Humanities' is composed of two parts. 'Digital' is derived from the Spanish word 'digital', which is equivalent to the Nahuatl term 'tlayolli', meaning 'of the fingers' or 'hand-made'. However, I chose to use 'tonalpohualli', a Nahuatl word referring to a system of divination and time-reckoning. It conveys a sense of modernity and connection to the digital age while being grounded in traditional Mesoamerican knowledge systems. The term 'Humanities' is equivalent to 'tlamachyotl', which encompasses arts, sciences, and humanistic studies.",[],
mwl,,Mirandese,Digital Humanities,,2026-04-07 01:03:02,False,,False,,False,,False,"{
  ""translated_term"": ""Humanidades Digitales"",
  ""translation_rationale"": ""Direct translation of the English term, combining 'digitals' (digital) and 'humanidades' (humanities)""
}",llama3.1,2026-04-07T00:03:02.93911Z,954913709.0,80294292.0,75.0,345254416.0,45.0,515265835.0,stop,Humanidades Digitales,"Direct translation of the English term, combining 'digitals' (digital) and 'humanidades' (humanities)",[],
mus,,Creek / Muskogee,Digital Humanities,,2026-04-07 01:02:59,False,,False,,False,,False,"{""translated_term"": ""ᎤᏁᎶᏗ ᎯᏍᎩ ᎤᏕᏗ"", ""translation_rationale"": ""Using Muskogee orthography, combining 'digital' with the suffix '-woni', which is a common way to form nouns in Muskogee, and adding 'ᎯᏍᎩ', which means 'study' or 'knowledge', to convey the idea of studying or exploring digital things.""}",llama3.1,2026-04-07T00:02:59.964379Z,1726246125.0,111676916.0,77.0,340095125.0,108.0,1243623084.0,stop,ᎤᏁᎶᏗ ᎯᏍᎩ ᎤᏕᏗ,"Using Muskogee orthography, combining 'digital' with the suffix '-woni', which is a common way to form nouns in Muskogee, and adding 'ᎯᏍᎩ', which means 'study' or 'knowledge', to convey the idea of studying or exploring digital things.","[{'translated_term': 'ᎤᏁᎶᏗ ᎯᏍᎩ ᎤᏕᏗ', 'translation_rationale': ""Using Muskogee orthography, combining 'digital' with the suffix '-woni', which is a common way to form nouns in Muskogee, and adding 'ᎯᏍᎩ', which means 'study' or 'knowledge', to convey the idea of studying or exploring digital things.""}]",ᎤᏁᎶᏗ ᎯᏍᎩ ᎤᏕᏗ
