language_code,term,language_name,term_source,wikipedia_translated_term,coding_dh_date,exclude_google_cloud_translate,gt_translated_term,exclude_easynmt,enmt_translated_term,exclude_lingvanex,lingvanex_translated_term,exclude_ollama,ollama_content,ollama_model,ollama_created_at,ollama_total_duration,ollama_load_duration,ollama_prompt_eval_count,ollama_prompt_eval_duration,ollama_eval_count,ollama_eval_duration,ollama_done_reason,ollama_translated_term,ollama_translation_rationale,ollama_extracted_dictionaries,ollama_translation,exclude_openai,openai_translated_term,openai_completion_tokens,openai_created,openai_finish_reason,openai_model,openai_prompt_tokens,openai_total_tokens,openai_translation_rationale,openai_translation,exclude_claude,claude_translated_term,claude_translation_rationale,claude_model,claude_stop_reason,claude_created,claude_total_tokens,claude_input_tokens,claude_output_tokens
udm,,Udmurt,Digital Humanities,,2026-04-07 01:14:11,False,Цифровой гуманитарной наукаос,False,,False,,False,"{""translated_term"": ""\u0414\u0438\u0433\u0438\u0442\u0430\u043b\u044c\u043d\u0430\u044f \u0423\u043c\u0435\u0439\u0441\u0442\u0432\u043e"", ""translation_rationale"": ""Udmurt translation of 'Digital Humanities' using Russian loanwords and calques""}",llama3.1,2026-04-07T00:04:16.68395Z,1818995750.0,102833000.0,75.0,354986333.0,88.0,1337350586.0,stop,Дигитальная Умейство,Udmurt translation of 'Digital Humanities' using Russian loanwords and calques,"[{'translated_term': 'Дигитальная Умейство', 'translation_rationale': ""Udmurt translation of 'Digital Humanities' using Russian loanwords and calques""}]",Дигитальная Умейство,False,Цифровыд гуманитарий,67.0,1775520493.0,stop,gpt-4o-2024-08-06,71.0,138.0,"The term 'Цифровыд' is used for 'Digital' and 'гуманитарий' for 'Humanities' in Udmurt, directly translating the components of 'Digital Humanities'.",,False,Цифра гуманитар тодосъёс,"Direct translation using 'Цифра' (digital/numerical), 'гуманитар' (humanitarian/humanities borrowed term), and 'тодосъёс' (sciences/knowledge in plural). This follows Udmurt compound noun formation patterns for academic terminology.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:14:11.813720,170.0,76.0,94.0
tum,,Tumbuka,Digital Humanities,,2026-04-07 01:14:07,False,Ŵanthu ŵa pa intaneti,False,,False,,False,"{""translated_term"": """", ""translation_rationale"": ""Unfortunately, I do not have a Tumbuka dictionary, so I was unable to find an accurate translation for 'Digital Humanities'. If you'd like, I can try to help with other languages or provide information on how to access the necessary resources for this translation.""",llama3.1,2026-04-07T00:04:12.843145Z,1242550875.0,91201625.0,74.0,347646416.0,65.0,783518912.0,stop,,"Unfortunately, I do not have a Tumbuka dictionary, so I was unable to find an accurate translation for 'Digital Humanities'. If you'd like, I can try to help with other languages or provide information on how to access the necessary resources for this translation.",[],,False,Sayansi ya Anthu ya Pa Intaneti,73.0,1775520490.0,stop,gpt-4o-2024-08-06,70.0,143.0,"Tumbuka often uses descriptive phrases for modern concepts. 'Sayansi ya Anthu' refers to the study or science of people, and 'ya Pa Intaneti' indicates that it involves the internet or digital realm.",,False,Uremwi wa Digito,"Combines 'uremwi' (knowledge/learning/scholarship) with 'wa digito' (digital/of computers), following Tumbuka grammatical structure for compound terms in academic contexts",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:14:07.008781,146.0,76.0,70.0
tpi,,Tok Pisin,Digital Humanities,,2026-04-07 01:14:01,False,Dijitel Humanitis,False,Ol Samting Ol Man i Mekim,False,,False,"{
  ""translated_term"": ""Buk bilong Intanet Humani"",
  ""translation_rationale"": ""Using Tok Pisin's standard word order and vocabulary, 'Digital' becomes 'Buk', meaning book or digit, and 'Humanities' is translated to 'Intanet Humani', emphasizing the online aspect of the field.""
}",llama3.1,2026-04-07T00:04:09.583867Z,1353833750.0,92524417.0,75.0,353345416.0,73.0,886785164.0,stop,Buk bilong Intanet Humani,"Using Tok Pisin's standard word order and vocabulary, 'Digital' becomes 'Buk', meaning book or digit, and 'Humanities' is translated to 'Intanet Humani', emphasizing the online aspect of the field.",[],,False,Save long Nupela Save,70.0,1775520487.0,stop,gpt-4o-2024-08-06,71.0,141.0,"Tok Pisin often combines words to create new terms. 'Save' refers to knowledge or understanding, and 'Nupela Save' means new understanding. Together, it conveys the concept of Digital Humanities as a modern field of knowledge.",,False,Wok bilong Komputa long Buk na Pasin bilong Man,"Literal translation meaning 'Work of Computer on Books and Ways of Humans' - combines 'wok bilong komputa' (computer/digital work) with 'buk na pasin bilong man' (humanities, encompassing books/knowledge and human culture/customs)",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:14:01.992586,174.0,77.0,97.0
tokipona,,tokipona,Digital Humanities,,2026-04-07 01:13:57,False,,False,,False,,False,"{""translated_term"": ""Sina nanpa ni"", ""translation_rationale"": ""In Toki Pona, 'digital' is translated as 'sina' (meaning 'computer') and 'humanities' is translated as 'nanpa ni' (meaning 'use of knowledge'). The term 'Digital Humanities' would literally mean 'Computer Knowledge'. Note that Toki Pona is a constructed language designed to be simple and easy to learn, so its translations might not always perfectly capture the nuances of the original terms.""}",llama3.1,2026-04-07T00:04:06.21275Z,1720919625.0,83482291.0,76.0,351929958.0,107.0,1254718709.0,stop,Sina nanpa ni,"In Toki Pona, 'digital' is translated as 'sina' (meaning 'computer') and 'humanities' is translated as 'nanpa ni' (meaning 'use of knowledge'). The term 'Digital Humanities' would literally mean 'Computer Knowledge'. Note that Toki Pona is a constructed language designed to be simple and easy to learn, so its translations might not always perfectly capture the nuances of the original terms.","[{'translated_term': 'Sina nanpa ni', 'translation_rationale': ""In Toki Pona, 'digital' is translated as 'sina' (meaning 'computer') and 'humanities' is translated as 'nanpa ni' (meaning 'use of knowledge'). The term 'Digital Humanities' would literally mean 'Computer Knowledge'. Note that Toki Pona is a constructed language designed to be simple and easy to learn, so its translations might not always perfectly capture the nuances of the original terms.""}]",Sina nanpa ni,False,tomo pi jan poki,89.0,1775520484.0,stop,gpt-4o-2024-08-06,72.0,161.0,"In Toki Pona, 'tomo' can mean a space or a concept, 'pi' acts as a separator for the compound, 'jan' refers to people, and 'poki' relates to data or storage. This reflects 'Digital Humanities' as a domain where people interact with digital data.",,False,sona pi ilo nanpa,"In Toki Pona, 'sona' means knowledge/learning, 'ilo' means tool/device, and 'nanpa' means number/digital. Combined with 'pi' (of/relating to), this creates 'knowledge of digital tools,' which captures the essence of Digital Humanities.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:13:57.050655,170.0,76.0,94.0
tlh,,Klingon,Digital Humanities,,2026-04-07 01:13:52,False,,False,,False,,False,"{
  ""translated_term"": ""qongwIj DaH"",
  ""translation_rationale"": ""A combination of 'qon' (digital) and 'wIj DaH' (humanities)""
}",llama3.1,2026-04-07T00:04:02.468217Z,989456833.0,88265708.0,74.0,365407459.0,46.0,522565125.0,stop,qongwIj DaH,A combination of 'qon' (digital) and 'wIj DaH' (humanities),[],,False,potlh QeHghach,91.0,1775520481.0,stop,gpt-4o-2024-08-06,69.0,160.0,"The translation of 'Digital Humanities' into Klingon involves considering the cultural and linguistic context of the language. 'Potlh' translates to 'important' or 'significant,' capturing the significance of humanities. 'QeHghach' links to 'technology' or digital advancements as inferred through existing Klingon lexicon and culture.",,False,De' QaQ Sov,"Combines 'De'' (data/information), 'QaQ' (good/quality), and 'Sov' (knowledge/science) to convey the computational study of humanities, as Klingon lacks a direct equivalent for 'digital humanities'",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:13:52.563708,160.0,76.0,84.0
tet,,Tetum,Digital Humanities,,2026-04-07 01:13:48,False,Umanidade Dijitál,False,,False,,False,"{""translated_term"": ""Omaun ba iha Internet"", ""translation_rationale"": ""Literally 'Humanities in the Internet' or 'Humanidades Digitais'.""}",llama3.1,2026-04-07T00:03:59.456563Z,873722250.0,81773458.0,73.0,349128417.0,38.0,430877625.0,stop,Omaun ba iha Internet,Literally 'Humanities in the Internet' or 'Humanidades Digitais'.,"[{'translated_term': 'Omaun ba iha Internet', 'translation_rationale': ""Literally 'Humanities in the Internet' or 'Humanidades Digitais'.""}]",Omaun ba iha Internet,False,Humanidades Digital,78.0,1775520478.0,stop,gpt-4o-2024-08-06,69.0,147.0,"Tetum often borrows from both Portuguese and English, especially for academic and technical terms. 'Humanidades' is derived from Portuguese for 'Humanities', and 'Digital' is used directly from English, making 'Humanidades Digital' an intuitive translation in the context of modern academic discourse.",,False,Umanidade Dijitál,"Tetum borrows from Portuguese and uses 'Umanidade' (from Portuguese 'Humanidades') for humanities and 'Dijitál' (adapted from Portuguese 'Digital') for digital, following Tetum's common practice of adapting Portuguese loanwords for technical and academic terms.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:13:48.894165,167.0,75.0,92.0
sco,,Scots,Digital Humanities,,2026-04-07 01:13:43,False,,False,,False,,False,"{
  ""translated_term"": ""Digiyal Humanitees"",
  ""translation_rationale"": ""Adaptation o the English term, makin use o Scots equivalents fer 'digital' an 'humanities'.""
}",llama3.1,2026-04-07T00:03:56.56389Z,965669042.0,70727500.0,72.0,356366833.0,46.0,524446877.0,stop,Digiyal Humanitees,"Adaptation o the English term, makin use o Scots equivalents fer 'digital' an 'humanities'.",[],,False,Digital Humanities,49.0,1775520475.0,stop,gpt-4o-2024-08-06,68.0,117.0,"In Scots, terms related to modern disciplines and technology like 'Digital Humanities' are often borrowed directly from English without significant alteration, retaining their original form.",,False,Digital Humanities,"Scots typically borrows modern technical and academic terms directly from English, particularly recent compounds like 'Digital Humanities' which has no established Scots equivalent.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:13:43.284626,127.0,74.0,53.0
scn,,Sicilian,Digital Humanities,,2026-04-07 01:13:39,False,Scienzi umanistichi diggitali,False,,False,,False,"{
  ""translated_term"": ""Umanità digitàli"",
  ""translation_rationale"": ""Borrowed from Italian, as Digital Humanities is an English term that has been adopted in Italian""
}",llama3.1,2026-04-07T00:03:53.579129Z,960422375.0,84582291.0,73.0,373224292.0,43.0,488540997.0,stop,Umanità digitàli,"Borrowed from Italian, as Digital Humanities is an English term that has been adopted in Italian",[],,False,Umanitati Digitali,82.0,1775520471.0,stop,gpt-4o-2024-08-06,70.0,152.0,"The term 'Digital Humanities' is translated into Sicilian as 'Umanitati Digitali,' where 'Umanitati' corresponds to 'Humanities' and 'Digitali' corresponds to 'Digital.' Both terms are adapted to the Sicilian language, following a similar structure to the Italian translation.",,False,Umanistichi Digitali,"Direct translation maintaining the established academic terminology, with 'Umanistichi' (Humanities) and 'Digitali' (Digital) adapted to Sicilian phonology and morphology from Italian 'Umanistiche Digitali'",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:13:39.609686,155.0,75.0,80.0
roa-rup,,Aromanian,Digital Humanities,,2026-04-07 01:13:35,False,,False,,False,,False,"{
""translated_term"": ""Umanitar Digital"",
""translation_rationale"": ""Combining the Aromanian words 'umanitar' (humanitarian) and 'digital'""
}",llama3.1,2026-04-07T00:03:50.597828Z,883256125.0,85319334.0,77.0,350880417.0,38.0,434957333.0,stop,Umanitar Digital,Combining the Aromanian words 'umanitar' (humanitarian) and 'digital',[],,False,Humanități Digitale,60.0,1775520469.0,stop,gpt-4o-2024-08-06,72.0,132.0,"Aromanian often uses similar roots as Romanian for academic terms, and 'Digital Humanities' would directly translate as 'Humanități Digitale' to maintain comprehension amongst speakers familiar with Romanian.",,False,Umanitãtsã Digitali,"Direct translation following Aromanian grammar rules where 'Umanitãtsã' means 'Humanities' (from Latin humanitas) and 'Digitali' means 'Digital', using the typical Aromanian adjective-noun construction with feminine singular agreement.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:13:35.779478,165.0,78.0,87.0
rmy,,Romani,Digital Humanities,,2026-04-07 01:13:31,False,Digitalno Humaniàlo,False,,False,,False,"{""translated_term"": ""Džipal Varsmaneshi"", ""translation_rationale"": ""Combination of 'digital' and 'humanities' into Romani, using džipal (digital) and varsmaneshi (human sciences/humanities), a common term in Romani scholarship""}",llama3.1,2026-04-07T00:03:47.696221Z,1291342958.0,84334667.0,74.0,419441250.0,65.0,767717118.0,stop,Džipal Varsmaneshi,"Combination of 'digital' and 'humanities' into Romani, using džipal (digital) and varsmaneshi (human sciences/humanities), a common term in Romani scholarship","[{'translated_term': 'Džipal Varsmaneshi', 'translation_rationale': ""Combination of 'digital' and 'humanities' into Romani, using džipal (digital) and varsmaneshi (human sciences/humanities), a common term in Romani scholarship""}]",Džipal Varsmaneshi,False,Digitālo Vudzinos,86.0,1775520466.0,stop,gpt-4o-2024-08-06,70.0,156.0,"The term 'Digital Humanities' lacks a direct equivalent in Romani, resulting in the adaptation of 'Digitālo' for 'Digital' and 'Vudzinos' for 'Humanities', both of which are adaptations tailored to represent the field's focus on digital scholarly practices in the humanities disciplines.",,False,Digitalno Manušikane Đanibe,"Combines 'digitalno' (digital, borrowed term commonly used) with 'manušikane' (human/humanities, from 'manušo' meaning person/human) and 'đanibe' (knowledge/science). This follows Romani morphology and represents the academic field studying human culture through digital tools.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:13:31.583832,174.0,74.0,100.0
pms,,Piedmontese,Digital Humanities,,2026-04-07 01:13:26,False,,False,,False,,False,"{
  ""translated_term"": ""Umanità Digital"",
  ""translation_rationale"": ""Combining the French and Italian influences on Piedmontese, the term is a direct adaptation of the original phrase""
}",llama3.1,2026-04-07T00:03:44.384165Z,967292542.0,81785875.0,75.0,348739125.0,44.0,523041667.0,stop,Umanità Digital,"Combining the French and Italian influences on Piedmontese, the term is a direct adaptation of the original phrase",[],,False,Umanìstiche Digitaj,64.0,1775520464.0,stop,gpt-4o-2024-08-06,71.0,135.0,"In Piedmontese, 'Umanìstiche' corresponds to 'Humanities', and 'Digitaj' means 'Digital'. This translation maintains the meaning while adapting it to the regional language.",,False,Ümanism Digital,"Piedmontese adaptation using 'Ümanism' (humanities) and 'Digital' (digital, commonly borrowed in Piedmontese for technology terms)",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:13:26.547712,137.0,77.0,60.0
pih,,Norfolk,Digital Humanities,,2026-04-07 01:13:23,False,,False,,False,,False,"{""translated_term"": ""Dìgitiel Hunnidits"", ""translation_rationale"": ""Norfolk language uses a unique combination of English and its own vocabulary, adapting words to its phonetic system. 'Digital' becomes 'dìgitiel' with a shift from 'gi' to 'dì', while 'Humanities' remains unchanged due to its existing similarity in sound.""}",llama3.1,2026-04-07T00:03:41.394058Z,1403758167.0,87105833.0,73.0,348939084.0,82.0,943129827.0,stop,Dìgitiel Hunnidits,"Norfolk language uses a unique combination of English and its own vocabulary, adapting words to its phonetic system. 'Digital' becomes 'dìgitiel' with a shift from 'gi' to 'dì', while 'Humanities' remains unchanged due to its existing similarity in sound.","[{'translated_term': 'Dìgitiel Hunnidits', 'translation_rationale': ""Norfolk language uses a unique combination of English and its own vocabulary, adapting words to its phonetic system. 'Digital' becomes 'dìgitiel' with a shift from 'gi' to 'dì', while 'Humanities' remains unchanged due to its existing similarity in sound.""}]",Dìgitiel Hunnidits,False,Digital Humanities,64.0,1775520461.0,stop,gpt-4o-2024-08-06,69.0,133.0,"Norfolk is a creole language that primarily incorporates vocabulary from English and Tahitian. Since 'Digital Humanities' is a specialized term with no direct equivalent in Norfolk, it remains unchanged to maintain its intended meaning.",,False,Digital Humanities,"Norfolk/Norfuk language borrows English technical and academic terms directly, as it lacks indigenous vocabulary for modern academic disciplines. The term would remain unchanged in Norfolk.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:13:23.192373,128.0,73.0,55.0
