language_code,language_name,term_source,gemini_translated_term,gemini_translation_rationale,gemini_model,gemini_created,term,wikipedia_translated_term,coding_dh_date,exclude_google_cloud_translate,gt_translated_term,exclude_easynmt,enmt_translated_term,exclude_lingvanex,lingvanex_translated_term,exclude_ollama,ollama_content,ollama_model,ollama_created_at,ollama_total_duration,ollama_load_duration,ollama_prompt_eval_count,ollama_prompt_eval_duration,ollama_eval_count,ollama_eval_duration,ollama_done_reason,ollama_translated_term,ollama_translation_rationale,ollama_extracted_dictionaries,ollama_translation,exclude_openai,openai_translated_term,openai_completion_tokens,openai_created,openai_finish_reason,openai_model,openai_prompt_tokens,openai_total_tokens,openai_translation_rationale,openai_translation,exclude_claude,claude_translated_term,claude_translation_rationale,claude_model,claude_stop_reason,claude_created,claude_total_tokens,claude_input_tokens,claude_output_tokens,exclude_gemini
map-bms,Banyumasan,Digital Humanities,Humaniora Digital,"Banyumasan adalah dialek Jawa, dan dalam bahasa Jawa, 'digital' sering diserap langsung atau diterjemahkan secara haral sebagai 'digital'. 'Humaniora' juga diserap langsung dari bahasa Indonesia yang merupakan serapan dari bahasa Inggris 'humanities'. Kombinasi ini adalah yang paling umum dan mudah dipahami dalam konteks Banyumasan.",gemini-2.5-flash,2026-04-07T01:16:29.382807,,,2026-04-07 01:16:29,False,,False,,False,,False,"{""translated_term"": ""Manusia Digital"", ""translation_rationale"": ""Literally 'Digital Person', drawing from the Indonesian language, which is closely related to Banyumasan.""}",llama3.1,2026-04-07T00:02:46.977698Z,943941541.0,82900416.0,77.0,392523084.0,40.0,455895375.0,stop,Manusia Digital,"Literally 'Digital Person', drawing from the Indonesian language, which is closely related to Banyumasan.","[{'translated_term': 'Manusia Digital', 'translation_rationale': ""Literally 'Digital Person', drawing from the Indonesian language, which is closely related to Banyumasan.""}]",Manusia Digital,False,Humaniora Digital,66.0,1775520416.0,stop,gpt-4o-2024-08-06,72.0,138.0,"The Banyumasan language often borrows terms from Indonesian. 'Humaniora' is used in Indonesian to refer to humanities, and 'Digital' is also commonly used and understood in the same form as in English.",,False,Kamanungsan Digital,Direct translation where 'Digital' remains as a loanword (common in Banyumasan for modern technology terms) and 'Kamanungsan' is the Banyumasan word for 'humanities' derived from 'manungsa' (human/people),claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:12:06.840327,164.0,79.0,85.0,False
man,Mandarin,Digital Humanities,数字人文,This is the standard and widely accepted translation in academic and professional contexts in Mandarin. '数字' (shùzì) means 'digital' and '人文' (rénwén) means 'humanities'.,gemini-2.5-flash,2026-04-07T01:16:27.392959,,,2026-04-07 01:16:27,False,,False,,False,,False,"{
  ""translated_term"": ""\u5DE6\u4E45\u4F1A\u6212"",
  ""translation_rationale"": ""Literally, \u5DE6 means \""digital\"" and \u4E45\u4F1A means \""humanities\""""
}",llama3.1,2026-04-07T00:02:44.011124Z,1219490250.0,90286708.0,72.0,399012292.0,62.0,711975546.0,stop,左久会戒,"Literally, 左 means ""digital"" and 久会 means ""humanities""",[],,False,数字人文,74.0,1775520412.0,stop,gpt-4o-2024-08-06,68.0,142.0,"The term 'Digital Humanities' is commonly translated into Mandarin as '数字人文', where '数字' means 'digital' and '人文' means 'humanities'. This translation is widely accepted and used within academic and professional contexts related to the digital humanities field.",,False,数字人文,"Direct translation of 'Digital Humanities' into Mandarin Chinese, where 数字 (shùzì) means 'digital' and 人文 (rénwén) means 'humanities'. This is the standard term used in Chinese academic contexts.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:12:02.609032,154.0,74.0,80.0,False
lzz,Laz,Digital Humanities,ციფრული ჰუმანიტარია,"Laz is a Kartvelian language closely related to Georgian. The most direct and understandable translation for 'Digital Humanities' in Georgian is 'ციფრული ჰუმანიტარია' (ts'ipruli humanit'aria). Given the close linguistic relationship and shared vocabulary, adapting this directly into Laz is the most appropriate and readily understood approach. 'ციფრული' (ts'ipruli) means 'digital' and 'ჰუმანიტარია' (humanit'aria) means 'humanities'.",gemini-2.5-flash,2026-04-07T01:16:25.357532,,,2026-04-07 01:16:25,False,,False,,False,,False,"{""translated_term"": """", ""translation_rationale"": ""Laz does not have a direct equivalent for the term Digital Humanities. However, it can be translated as ""}",llama3.1,2026-04-07T00:02:40.777263Z,872100709.0,85240667.0,73.0,383888000.0,34.0,392183380.0,stop,,"Laz does not have a direct equivalent for the term Digital Humanities. However, it can be translated as ","[{'translated_term': '', 'translation_rationale': 'Laz does not have a direct equivalent for the term Digital Humanities. However, it can be translated as '}]",,False,ჀარკჇფა ინიშინა,65.0,1775520410.0,stop,gpt-4o-2024-08-06,69.0,134.0,"The Laz term 'ჀარკჇფა' denotes 'digital', and 'ნიშინა' means 'humanities'. This translation reflects the academic discipline that combines computing and humanities.",,False,ციფრული ჰუმანიტარული მეცნიერებეფე,"Laz uses Georgian script and borrows terminology for modern concepts. 'ციფრული' (ts'ipruli) means 'digital' and 'ჰუმანიტარული მეცნიერებეფე' (humanitaruli mets'nierebepe) means 'humanities sciences', following Laz grammatical patterns with the plural suffix '-epe'.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:11:59.401757,211.0,76.0,135.0,False
lmo,Lombard,Digital Humanities,Umanìstega Digitál,No rationale provided,gemini-2.5-flash,2026-04-07T01:16:23.196606,,Informatega umanistega,2026-04-07 01:16:23,False,Scienzi umanistich digitai,False,,False,,False,"{
  ""translated_term"": ""Umànitè digital"",
  ""translation_rationale"": ""The term is composed of 'umànità' (humanity) and 'digital', which are combined to form a new compound word in Lombard.""
}",llama3.1,2026-04-07T00:02:37.88835Z,1064393625.0,82598625.0,74.0,360562500.0,53.0,604711540.0,stop,Umànitè digital,"The term is composed of 'umànità' (humanity) and 'digital', which are combined to form a new compound word in Lombard.",[],,False,Umanità Digital,55.0,1775520408.0,stop,gpt-4o-2024-08-06,70.0,125.0,"In Lombard, 'Umanità' aligns with 'Humanities', and 'Digital' remains the same, reflecting the integrated nature of the term in academic contexts.",,False,Umanistega Digitai,"Direct translation following Lombard grammar where 'Umanistega' is the plural form of humanities/humanistic studies and 'Digitai' is the plural adjective form of digital, matching Lombard linguistic patterns.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:11:52.568888,150.0,75.0,75.0,False
lij,Ligurian,Digital Humanities,Umanitæ Digitæ,This translates 'Digital Humanities' directly into Ligurian. 'Umanitæ' means 'Humanities' and 'Digitæ' means 'Digital'.,gemini-2.5-flash,2026-04-07T01:16:21.345652,,,2026-04-07 01:16:21,False,Sciense umañe digitale,False,,False,,False,"{
  ""translated_term"": ""Omnium Sciencias Digital"",
  ""translation_rationale"": ""Combining 'Digital' and 'Humanities' into a single phrase, while trying to maintain the original meaning""
}",llama3.1,2026-04-07T00:02:34.80681Z,1001109125.0,88594208.0,74.0,373429250.0,46.0,524910541.0,stop,Omnium Sciencias Digital,"Combining 'Digital' and 'Humanities' into a single phrase, while trying to maintain the original meaning",[],,False,Umaniștie Digitâ,64.0,1775520405.0,stop,gpt-4o-2024-08-06,70.0,134.0,"In Ligurian, 'Umaniștie' corresponds to 'Humanities', and 'Digitâ' translates to 'Digital'. The translation follows the structural adaptability of Ligurian for contemporary terms.",,False,Umanitæ Digitali,"Direct translation following Ligurian grammar where 'Umanitæ' is the Ligurian form of 'Humanities' and 'Digitali' is the plural adjective form of 'digital' in Ligurian, matching the standard pattern for academic terminology in this language.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:11:49.287326,169.0,76.0,93.0,False
lan,Lango,Digital Humanities,Jamiro me Konyo ki Kompyuta,"Lango does not have a direct equivalent for 'digital' or 'humanities' in a single word. 'Jamiro' means 'things' or 'tools', and 'me Konyo ki Kompyuta' means 'for helping with computers'. This phrase captures the essence of using digital tools to aid humanistic study.",gemini-2.5-flash,2026-04-07T01:16:19.665413,,,2026-04-07 01:16:19,False,,False,,False,,False,"{""translated_term"": """", ""translation_rationale"": ""Lango language has limited resources and documentation, making it challenging to find a suitable translation for 'Digital Humanities'. I couldn't find any reliable source or expert opinion on how to translate this term into Lango. Further research is needed.""}",llama3.1,2026-04-07T00:02:31.791084Z,1157430750.0,86344291.0,73.0,364753917.0,60.0,687742953.0,stop,,"Lango language has limited resources and documentation, making it challenging to find a suitable translation for 'Digital Humanities'. I couldn't find any reliable source or expert opinion on how to translate this term into Lango. Further research is needed.","[{'translated_term': '', 'translation_rationale': ""Lango language has limited resources and documentation, making it challenging to find a suitable translation for 'Digital Humanities'. I couldn't find any reliable source or expert opinion on how to translate this term into Lango. Further research is needed.""}]",,False,Dijita Humaniti,81.0,1775520403.0,stop,gpt-4o-2024-08-06,69.0,150.0,"The term 'Digital Humanities' involves modern scholarly activities that combine computing technologies with disciplines in the humanities. 'Dijita' is a transliteration of 'Digital' as technical terms often use transliterations, and 'Humaniti' is a direct translation, maintaining the idea of human-centered studies.",,False,Lok me tyen pi komputa,"Lango translation combining 'lok' (knowledge/learning), 'tyen' (numbers/counting/digital), and 'komputa' (computer/digital technology) to convey the concept of Digital Humanities as knowledge/scholarship using digital/computer technology.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:11:44.971833,157.0,74.0,83.0,False
lad,Ladino / Judeo-Spanish,Digital Humanities,Umanidades Dijitales,"This translation directly translates 'Digital Humanities' into Ladino. 'Umanidades' is the standard term for 'Humanities' and 'Dijitales' is the common adaptation for 'Digital' in Ladino, following the pattern of borrowing and adapting terms from Romance languages, particularly Spanish and French, which have influenced modern Ladino vocabulary.",gemini-2.5-flash,2026-04-07T01:16:17.721155,,,2026-04-07 01:16:17,False,,False,,False,,False,"{
  ""translated_term"": ""Humanidades Digitales"",
  ""translation_rationale"": ""Ladino / Judeo-Spanish translation, retaining Spanish roots with the addition of 'Digitales' to adapt to the digital context""
}",llama3.1,2026-04-07T00:02:28.615053Z,1009962791.0,82460208.0,80.0,340403000.0,50.0,572087251.0,stop,Humanidades Digitales,"Ladino / Judeo-Spanish translation, retaining Spanish roots with the addition of 'Digitales' to adapt to the digital context",[],,False,Humanidades Digitales,70.0,1775520400.0,stop,gpt-4o-2024-08-06,75.0,145.0,"The term 'Digital Humanities' is translated directly as 'Humanidades Digitales' in Ladino, following the structure and vocabulary used in Spanish, which heavily influences modern Ladino. This reflects the integration of digital technology with the study of humanities.",,False,Humanidades Dijitales,"Ladino uses Spanish-based vocabulary with phonetic spelling. 'Humanidades' (humanities) is borrowed from Spanish, and 'Dijitales' represents the phonetic Ladino spelling of 'digitales' (digital), reflecting the characteristic j-sound for the soft g.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:11:40.745660,169.0,81.0,88.0,False
ksh,Ripuarian,Digital Humanities,Digital Humanities,"The term 'Digital Humanities' is often adopted directly or with minor phonetic adjustments in many languages, especially in academic and technical contexts, due to its specific meaning and the international nature of the field. Ripuarian, while rich in its own vocabulary, often borrows such specific academic terms. A direct translation like 'Digitale Minschheitswesseschaffte' would be grammatically correct but might not be immediately recognized or commonly used in the same way as the English term, which is widely understood in academic circles even in regions where Ripuarian is spoken. Therefore, retaining the English term is the most practical and common approach for this specific academic field.",gemini-2.5-flash,2026-04-07T01:16:15.770552,,,2026-04-07 01:16:15,False,,False,,False,,False,"{
  ""translated_term"": ""Digitale Mäännerschaft"",
  ""translation_rationale"": ""combination of 'digitale' (digital) and 'Mäännerschaft' (humanities)""
}",llama3.1,2026-04-07T00:02:25.585185Z,937493292.0,84276417.0,75.0,353163541.0,43.0,486333422.0,stop,Digitale Mäännerschaft,combination of 'digitale' (digital) and 'Mäännerschaft' (humanities),[],,False,Digitaal Minscheit-Wessenschaft,84.0,1775520396.0,stop,gpt-4o-2024-08-06,71.0,155.0,"Ripuarian often uses terms similar to German, where 'Digital' is rendered as 'Digitaal' and 'Humanities' can be translated as 'Minscheit-Wessenschaft' (Humanities as a scientific discipline). This maintains the meaning while adapting to local linguistic conventions.",,False,Digitale Geisteswësseschafte,"Ripuarian is a West Central German dialect group. The translation adapts German 'Digitale Geisteswissenschaften' with Ripuarian phonetic features: 'ë' for reduced vowel and 'sch' spelling. 'Digital' remains similar across Germanic varieties, while 'Geisteswësseschafte' reflects the Ripuarian treatment of 'Wissenschaften' (humanities/sciences).",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:11:35.535636,206.0,76.0,130.0,False
khw,Khowar,Digital Humanities,ڈیجیٹل ہیومینٹیز,"Khowar, like many languages in the region, often adopts English terms directly or with minor phonetic adjustments for specialized academic concepts. 'ڈیجیٹل' (Digital) and 'ہیومینٹیز' (Humanities) are both commonly understood and used in academic discourse in the region, making this a direct and clear translation.",gemini-2.5-flash,2026-04-07T01:16:13.174124,,,2026-04-07 01:16:13,False,,False,,False,,False,"{""translated_term"": ""ڈیجیٹل انساییکلوپیڈیا"", ""translation_rationale"": ""Literally 'Digital Encyclopedia', combining the two words as a direct translation of the concept.""}",llama3.1,2026-04-07T00:02:22.630127Z,992272458.0,92264958.0,75.0,346092375.0,47.0,539467787.0,stop,ڈیجیٹل انساییکلوپیڈیا,"Literally 'Digital Encyclopedia', combining the two words as a direct translation of the concept.","[{'translated_term': 'ڈیجیٹل انساییکلوپیڈیا', 'translation_rationale': ""Literally 'Digital Encyclopedia', combining the two words as a direct translation of the concept.""}]",ڈیجیٹل انساییکلوپیڈیا,False,ڈیجیٹل علوم انسانی,50.0,1775520394.0,stop,gpt-4o-2024-08-06,71.0,121.0,The translation directly maps 'Digital Humanities' into Khowar using transliterations and adaptations where necessary due to potential lack of direct native terminology.,,False,ڈیجیٹل انسانیات,"Khowar uses Perso-Arabic script and commonly borrows technical terms. 'Digital' is transliterated as 'ڈیجیٹل' and 'Humanities' is translated as 'انسانیات' (insaniyat), the standard Urdu/Persian term for humanities used in the region.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:11:29.088306,185.0,76.0,109.0,False
jbo,Lojban,Digital Humanities,skami cmaci prenu cuntu,"This translation attempts to capture the essence of 'Digital Humanities' in Lojban. 'skami' means 'computer' or 'digital'. 'cmaci' means 'knowledge' or 'science', often used for academic disciplines. 'prenu' means 'person' or 'human'. 'cuntu' means 'art' or 'humanities' (in the sense of human endeavors/creations). The combination suggests 'computer-aided human knowledge/arts'.",gemini-2.5-flash,2026-04-07T01:16:11.337125,,,2026-04-07 01:16:11,False,,False,,False,,False,"{""translated_term"": ""Cmevla da ci'i ciska"", ""translation_rationale"": ""Cmevla means \""personal name\"" or \""noun\"", da means \""to deal with\"" or \""about\"", ci'i means \""digital\"", and ciska means \""humanities\""""}",llama3.1,2026-04-07T00:02:19.619858Z,1125107458.0,81254458.0,75.0,350868666.0,59.0,676395668.0,stop,Cmevla da ci'i ciska,"Cmevla means ""personal name"" or ""noun"", da means ""to deal with"" or ""about"", ci'i means ""digital"", and ciska means ""humanities""","[{'translated_term': ""Cmevla da ci'i ciska"", 'translation_rationale': 'Cmevla means ""personal name"" or ""noun"", da means ""to deal with"" or ""about"", ci\'i means ""digital"", and ciska means ""humanities""'}]",Cmevla da ci'i ciska,False,mucti tadni,66.0,1775520392.0,stop,gpt-4o-2024-08-06,71.0,137.0,"In Lojban, 'mucti' means 'digital' or 'pertaining to computing', and 'tadni' means 'student' or 'scientist', reflecting the interdisciplinary nature of Digital Humanities.",,False,dilni remna kulnu,"Composed of 'dilni' (digital/quantized), 'remna' (human/humanity), and 'kulnu' (culture/cultural), representing the computational study of human culture and humanities",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:11:24.700610,156.0,76.0,80.0,False
inh,Ingush,Digital Humanities,Цифран гуманитарни Ӏилмаш,The translation combines 'цифран' (digital) and 'гуманитарни Ӏилмаш' (humanities/humanitarian sciences). 'Ӏилмаш' means sciences/disciplines. This is the most direct and accurate translation in Ingush.,gemini-2.5-flash,2026-04-07T01:16:09.124215,,,2026-04-07 01:16:09,False,,False,,False,,False,"{
  ""translated_term"": ""Дигиталон гьорзам"",
  ""translation_rationale"": ""Combination of Russian loanwords and Ingush adaptation, using the suffix -on (-гон) to form a noun""
}",llama3.1,2026-04-07T00:02:16.475423Z,1056543292.0,89589583.0,73.0,355457833.0,52.0,595834498.0,stop,Дигиталон гьорзам,"Combination of Russian loanwords and Ingush adaptation, using the suffix -on (-гон) to form a noun",[],,False,Цифравой гуманитарий,70.0,1775520389.0,stop,gpt-4o-2024-08-06,69.0,139.0,The term 'Digital Humanities' is translated by combining the Ingush word for 'digital' (Цифравой) with the adapted form of 'humanities'. This reflects the interdisciplinary field that combines humanities disciplines with digital technology.,,False,Цифрой гуманитарни ӀилманаӀ,"Direct translation combining 'цифрой' (digital) with 'гуманитарни' (humanitarian/humanities) and 'ӀилманаӀ' (sciences/studies), following Ingush grammatical structure for academic terminology.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:11:20.692625,170.0,75.0,95.0,False
ilo,Ilokano,Digital Humanities,Dihetal a Humanidades,"The translation 'Dihetal a Humanidades' directly adapts 'Digital' to 'Dihetal' (a common practice for English loanwords in Ilokano, often adjusting spelling for phonological fit) and 'Humanities' to 'Humanidades,' which is a direct and understandable borrowing/cognate in Ilokano. The 'a' serves as a linker, similar to 'of' or an adjectival marker.",gemini-2.5-flash,2026-04-07T01:16:07.305701,,,2026-04-07 01:16:07,False,Digital a Humanities,False,Digital Humanies,False,,False,"{
  ""translated_term"": ""Digitong Pangyubak"",
  ""translation_rationale"": ""Translation of 'Digital Humanities' from English to Ilokano, considering the language's characteristics and vocabulary.""
}",llama3.1,2026-04-07T00:02:13.400655Z,1001354833.0,89822375.0,75.0,395587459.0,44.0,502044794.0,stop,Digitong Pangyubak,"Translation of 'Digital Humanities' from English to Ilokano, considering the language's characteristics and vocabulary.",[],,False,Digital a Humanidades,67.0,1775520387.0,stop,gpt-4o-2024-08-06,70.0,137.0,"Ilokano often adopts English terms with slight adaptations for modern concepts that do not have direct translations. 'Digital' remains the same, while 'Humanities' is adapted to 'Humanidades', reflecting common usage for academic disciplines.",,False,Digital a Pagadalan ti Tao,"Combines 'Digital' (adopted loanword) with 'Pagadalan ti Tao' (studies of humanity/human studies), following Ilokano grammatical patterns where adjectives precede nouns and 'ti' serves as the definite article.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:11:16.679057,164.0,76.0,88.0,False
haw,Hawaiian,Digital Humanities,Nā Hana Kikohoʻe Kanaka,"This translation combines 'Nā Hana Kikohoʻe' (Digital Works/Practices) with 'Kanaka' (Human/Humanities). 'Kikohoʻe' means digital, and 'Hana' can refer to work, practice, or field of study. 'Kanaka' specifies the humanistic aspect, making it 'Human Digital Practices' or 'Digital Humanities'.",gemini-2.5-flash,2026-04-07T01:16:05.061775,,,2026-04-07 01:16:05,False,Nā Humanities Kikohoʻe,False,,False,Digital Humanities,False,"{
  ""translated_term"": ""Nā Kānaka o na Mea Ha'aha'a"",
  ""translation_rationale"": ""Combining \""Digital\"" (na mea haelea, literally 'virtual things') and \""Humanities\"" (nā kānaka, people or humans) to create a term that reflects the interdisciplinary nature of the field.""
}",llama3.1,2026-04-07T00:02:10.376617Z,1344782125.0,79148541.0,73.0,357695833.0,77.0,885421328.0,stop,Nā Kānaka o na Mea Ha'aha'a,"Combining ""Digital"" (na mea haelea, literally 'virtual things') and ""Humanities"" (nā kānaka, people or humans) to create a term that reflects the interdisciplinary nature of the field.",[],,False,Nā ʻIkea ʻIkepili,83.0,1775520385.0,stop,gpt-4o-2024-08-06,68.0,151.0,"The term 'Nā ʻIkea ʻIkepili' reflects 'Digital Humanities' by combining 'Nā ʻIkea', meaning 'knowledge or science', with 'ʻIkepili', meaning 'digital data', thus representing the interdisciplinary field of study that combines digital technology and the humanities.",,False,ʻIke Kanaka Kamepiula,"Combines 'ʻike' (knowledge/humanities), 'kanaka' (human/people), and 'kamepiula' (computer/digital), literally meaning 'human knowledge [through] digital/computer [means]', following Hawaiian linguistic patterns for modern technological terms.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:11:11.940041,177.0,73.0,104.0,False
hak,Hakka Chinese,Digital Humanities,數字人文,"This translation directly maps 'digital' to 數字 (sṳ-sṳ) and 'humanities' to 人文 (ngìn-vùn), which are standard and widely understood terms in Chinese for these concepts. The combination is natural and accurately conveys the meaning in Hakka.",gemini-2.5-flash,2026-04-07T01:16:02.714589,,,2026-04-07 01:16:02,False,,False,,False,,False,"{
  ""translated_term"": """",
  ""translation_rationale"": ""The word 'Digital Humanities' is a term that doesn't directly translate to Hakka Chinese as it's a specific concept. However, I can attempt to break it down into its components: \u5df1\u7c73 (digital) and \u6a18\u6d0b\u516b (humanities). A possible translation could be: ""
}",llama3.1,2026-04-07T00:02:07.008346Z,1494286750.0,71654375.0,74.0,348231583.0,91.0,1046711708.0,stop,,"The word 'Digital Humanities' is a term that doesn't directly translate to Hakka Chinese as it's a specific concept. However, I can attempt to break it down into its components: 己米 (digital) and 樘洋八 (humanities). A possible translation could be: ",[],,False,數位人文,69.0,1775520382.0,stop,gpt-4o-2024-08-06,70.0,139.0,"The term '數位人文' is commonly used in Mandarin Chinese for 'Digital Humanities', and it is understood in Hakka as well, due to the standardization and spread of digital and academic terminology from Mandarin into other Chinese languages.",,False,數位人文,"Direct translation where 數位 means 'digital' and 人文 means 'humanities', following standard Hakka Chinese terminology for this academic field",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:11:07.798357,131.0,76.0,55.0,False
got,Gothic,Digital Humanities,𐌳𐌹𐌲𐌹𐍄𐌰𐌻𐌰 𐌷𐌿𐌼𐌰𐌽𐌹𐍄𐌰𐍄𐌴𐌹𐍃,"Gothic lacks direct equivalents for 'digital' and 'humanities'. '𐌳𐌹𐌲𐌹𐍄𐌰𐌻𐌰' (digitala) is a transliteration of 'digital' with a feminine -a ending to match '𐌷𐌿𐌼𐌰𐌽𐌹𐍄𐌰𐍄𐌴𐌹𐍃' (humanitateis), which is a transliteration of 'humanities' (plural, nominative) based on Latin 'humanitates', adapted to Gothic phonology and morphology. This approach is common for modern concepts in ancient languages.",gemini-2.5-flash,2026-04-07T01:16:00.907847,,,2026-04-07 01:16:00,False,,False,,False,,False,"{""translated_term"": ""Kunsthistorikos saƕa wairþja"", ""translation_rationale"": ""Combining Gothic words for 'art' (kunst), 'history' (historikos), and 'new' or 'digital' concepts, using the word for 'saƕa' (together) and 'wairþja' (way/means) to convey the idea of a new way of studying art and history.""}",llama3.1,2026-04-07T00:02:03.496171Z,1629769125.0,85286583.0,72.0,374389667.0,99.0,1141772919.0,stop,Kunsthistorikos saƕa wairþja,"Combining Gothic words for 'art' (kunst), 'history' (historikos), and 'new' or 'digital' concepts, using the word for 'saƕa' (together) and 'wairþja' (way/means) to convey the idea of a new way of studying art and history.","[{'translated_term': 'Kunsthistorikos saƕa wairþja', 'translation_rationale': ""Combining Gothic words for 'art' (kunst), 'history' (historikos), and 'new' or 'digital' concepts, using the word for 'saƕa' (together) and 'wairþja' (way/means) to convey the idea of a new way of studying art and history.""}]",Kunsthistorikos saƕa wairþja,False,Teknodomeiþos,112.0,1775520379.0,stop,gpt-4o-2024-08-06,68.0,180.0,"The term 'Digital Humanities' is a compound of 'digital' and 'humanities'. In Gothic, 'tekno' can be understood as a stem related to technology (from Greek 'techne') and 'domeiþos' is related to humanistic disciplines or learning ('doms' being wisdom or judgment). Due to the lack of direct equivalents in the ancient language, this compound term is the closest approximation for modern concepts.",,False,digitala manna-kunþi,"Constructed from Gothic 'digitala' (adapted from Latin 'digitalis' meaning relating to fingers/numbers) and 'manna-kunþi' (knowledge of humans/humanities, from 'manna' genitive plural of 'manna' meaning human/person and 'kunþi' meaning knowledge).",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:11:05.083726,169.0,72.0,97.0,False
gil,Gilbertese,Digital Humanities,Rabata Ma Ni Koora,"This translation attempts to capture the essence of 'Digital Humanities' by combining 'Rabata' (knowledge/learning/study) with 'Ma Ni Koora' (of the computer/digital). 'Ma Ni Koora' literally means 'with the computer' or 'of the computer,' which effectively conveys the 'digital' aspect. The combination suggests 'study/knowledge with/of the computer,' which aligns with the interdisciplinary nature of Digital Humanities.",gemini-2.5-flash,2026-04-07T01:15:58.389129,,,2026-04-07 01:15:58,False,,False,Aroia Aomata n Tokanikai i Aoni Bwaai ni Kabane,False,,False,"{""translated_term"": ""Nauru Kaburea Bwibwen ni"", ""translation_rationale"": ""Literally 'humanities of the digital' in Gilbertese, following a direct loan from English into the language.""}",llama3.1,2026-04-07T00:01:59.846082Z,1006700500.0,95990500.0,74.0,348607042.0,48.0,547236666.0,stop,Nauru Kaburea Bwibwen ni,"Literally 'humanities of the digital' in Gilbertese, following a direct loan from English into the language.","[{'translated_term': 'Nauru Kaburea Bwibwen ni', 'translation_rationale': ""Literally 'humanities of the digital' in Gilbertese, following a direct loan from English into the language.""}]",Nauru Kaburea Bwibwen ni,False,Te Matanibonganga Internet,75.0,1775520377.0,stop,gpt-4o-2024-08-06,69.0,144.0,"The term 'Digital Humanities' does not have a direct equivalent in Gilbertese. 'Te Matanibonganga' means 'Humanities' and 'Internet' is widely understood to reference digital technology, thus the compound term conveys the interdisciplinary nature of Digital Humanities.",,False,Te Kaitiaki aika Rongorongo ni Kabane,"Combines 'kaitiaki' (knowledge/wisdom), 'rongorongo' (digital/electronic), and 'kabane' (human/humanity). However, a more commonly used adaptation would be 'Te Kaitiaki Rongorongo Aomata' (knowledge systems electronic human-related) or simply borrowing as 'Tisitaera Kiuumaniti' from English phonetics, which is common practice in Gilbertese for modern technical terms.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:10:59.691231,219.0,76.0,143.0,False
gbm,Garhwali,Digital Humanities,डिजिटल मनखिजाद,"Garhwali doesn't have a direct equivalent for 'Digital Humanities'. 'डिजिटल' (digital) is a loanword commonly understood. 'मनखिजाद' (mankhijad) literally means 'humanity' or 'human race', and is used here to convey the 'humanities' aspect, referring to the study of human culture and society. The combination aims to capture the essence of the field.",gemini-2.5-flash,2026-04-07T01:15:56.008548,,,2026-04-07 01:15:56,False,,False,,False,,False,"{""translated_term"": """", ""translation_rationale"": ""Unfortunately, I couldn\u0027t find any available language data for Garhwali (ISO code: gbm). As a result, I am unable to provide an accurate translation of the term Digital Humanities.""}",llama3.1,2026-04-07T00:01:56.818545Z,1125226166.0,80311750.0,75.0,400394208.0,55.0,628119630.0,stop,,"Unfortunately, I couldn't find any available language data for Garhwali (ISO code: gbm). As a result, I am unable to provide an accurate translation of the term Digital Humanities.","[{'translated_term': '', 'translation_rationale': ""Unfortunately, I couldn't find any available language data for Garhwali (ISO code: gbm). As a result, I am unable to provide an accurate translation of the term Digital Humanities.""}]",,False,डिजिटल मानविकी,86.0,1775520374.0,stop,gpt-4o-2024-08-06,71.0,157.0,"The term 'Digital Humanities' combines the words 'digital' referring to technology and 'humanities' relating to human culture and studies. In Garhwali, 'डिजिटल' is used phonetically from English, and 'मानविकी' translates to 'humanities', reflecting the study of human culture.",,False,डिजिटल मानविकी,"Garhwali uses Devanagari script like Hindi. 'Digital' is transliterated as 'डिजिटल' and 'Humanities' is translated as 'मानविकी' (mānavikī), which refers to human sciences/studies, consistent with the term used in related Indo-Aryan languages.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:10:53.566953,184.0,77.0,107.0,False
