language_code,language_name,term_source,openai_translated_term,openai_completion_tokens,openai_created,openai_finish_reason,openai_model,openai_prompt_tokens,openai_total_tokens,openai_translation_rationale,openai_translation,exclude_openai,term,coding_dh_date,wikipedia_translated_term,exclude_google_cloud_translate,gt_translated_term,exclude_easynmt,enmt_translated_term,exclude_lingvanex,lingvanex_translated_term,exclude_ollama,ollama_content,ollama_model,ollama_created_at,ollama_total_duration,ollama_load_duration,ollama_prompt_eval_count,ollama_prompt_eval_duration,ollama_eval_count,ollama_eval_duration,ollama_done_reason,ollama_translated_term,ollama_translation_rationale,ollama_extracted_dictionaries,ollama_translation
udm,Udmurt,Digital Humanities,Цифровыд гуманитарий,67.0,1775520493.0,stop,gpt-4o-2024-08-06,71.0,138.0,"The term 'Цифровыд' is used for 'Digital' and 'гуманитарий' for 'Humanities' in Udmurt, directly translating the components of 'Digital Humanities'.",,False,,2026-04-07 01:08:15,,False,Цифровой гуманитарной наукаос,False,,False,,False,"{""translated_term"": ""\u0414\u0438\u0433\u0438\u0442\u0430\u043b\u044c\u043d\u0430\u044f \u0423\u043c\u0435\u0439\u0441\u0442\u0432\u043e"", ""translation_rationale"": ""Udmurt translation of 'Digital Humanities' using Russian loanwords and calques""}",llama3.1,2026-04-07T00:04:16.68395Z,1818995750.0,102833000.0,75.0,354986333.0,88.0,1337350586.0,stop,Дигитальная Умейство,Udmurt translation of 'Digital Humanities' using Russian loanwords and calques,"[{'translated_term': 'Дигитальная Умейство', 'translation_rationale': ""Udmurt translation of 'Digital Humanities' using Russian loanwords and calques""}]",Дигитальная Умейство
tum,Tumbuka,Digital Humanities,Sayansi ya Anthu ya Pa Intaneti,73.0,1775520490.0,stop,gpt-4o-2024-08-06,70.0,143.0,"Tumbuka often uses descriptive phrases for modern concepts. 'Sayansi ya Anthu' refers to the study or science of people, and 'ya Pa Intaneti' indicates that it involves the internet or digital realm.",,False,,2026-04-07 01:08:11,,False,Ŵanthu ŵa pa intaneti,False,,False,,False,"{""translated_term"": """", ""translation_rationale"": ""Unfortunately, I do not have a Tumbuka dictionary, so I was unable to find an accurate translation for 'Digital Humanities'. If you'd like, I can try to help with other languages or provide information on how to access the necessary resources for this translation.""",llama3.1,2026-04-07T00:04:12.843145Z,1242550875.0,91201625.0,74.0,347646416.0,65.0,783518912.0,stop,,"Unfortunately, I do not have a Tumbuka dictionary, so I was unable to find an accurate translation for 'Digital Humanities'. If you'd like, I can try to help with other languages or provide information on how to access the necessary resources for this translation.",[],
tpi,Tok Pisin,Digital Humanities,Save long Nupela Save,70.0,1775520487.0,stop,gpt-4o-2024-08-06,71.0,141.0,"Tok Pisin often combines words to create new terms. 'Save' refers to knowledge or understanding, and 'Nupela Save' means new understanding. Together, it conveys the concept of Digital Humanities as a modern field of knowledge.",,False,,2026-04-07 01:08:08,,False,Dijitel Humanitis,False,Ol Samting Ol Man i Mekim,False,,False,"{
  ""translated_term"": ""Buk bilong Intanet Humani"",
  ""translation_rationale"": ""Using Tok Pisin's standard word order and vocabulary, 'Digital' becomes 'Buk', meaning book or digit, and 'Humanities' is translated to 'Intanet Humani', emphasizing the online aspect of the field.""
}",llama3.1,2026-04-07T00:04:09.583867Z,1353833750.0,92524417.0,75.0,353345416.0,73.0,886785164.0,stop,Buk bilong Intanet Humani,"Using Tok Pisin's standard word order and vocabulary, 'Digital' becomes 'Buk', meaning book or digit, and 'Humanities' is translated to 'Intanet Humani', emphasizing the online aspect of the field.",[],
tokipona,tokipona,Digital Humanities,tomo pi jan poki,89.0,1775520484.0,stop,gpt-4o-2024-08-06,72.0,161.0,"In Toki Pona, 'tomo' can mean a space or a concept, 'pi' acts as a separator for the compound, 'jan' refers to people, and 'poki' relates to data or storage. This reflects 'Digital Humanities' as a domain where people interact with digital data.",,False,,2026-04-07 01:08:06,,False,,False,,False,,False,"{""translated_term"": ""Sina nanpa ni"", ""translation_rationale"": ""In Toki Pona, 'digital' is translated as 'sina' (meaning 'computer') and 'humanities' is translated as 'nanpa ni' (meaning 'use of knowledge'). The term 'Digital Humanities' would literally mean 'Computer Knowledge'. Note that Toki Pona is a constructed language designed to be simple and easy to learn, so its translations might not always perfectly capture the nuances of the original terms.""}",llama3.1,2026-04-07T00:04:06.21275Z,1720919625.0,83482291.0,76.0,351929958.0,107.0,1254718709.0,stop,Sina nanpa ni,"In Toki Pona, 'digital' is translated as 'sina' (meaning 'computer') and 'humanities' is translated as 'nanpa ni' (meaning 'use of knowledge'). The term 'Digital Humanities' would literally mean 'Computer Knowledge'. Note that Toki Pona is a constructed language designed to be simple and easy to learn, so its translations might not always perfectly capture the nuances of the original terms.","[{'translated_term': 'Sina nanpa ni', 'translation_rationale': ""In Toki Pona, 'digital' is translated as 'sina' (meaning 'computer') and 'humanities' is translated as 'nanpa ni' (meaning 'use of knowledge'). The term 'Digital Humanities' would literally mean 'Computer Knowledge'. Note that Toki Pona is a constructed language designed to be simple and easy to learn, so its translations might not always perfectly capture the nuances of the original terms.""}]",Sina nanpa ni
tlh,Klingon,Digital Humanities,potlh QeHghach,91.0,1775520481.0,stop,gpt-4o-2024-08-06,69.0,160.0,"The translation of 'Digital Humanities' into Klingon involves considering the cultural and linguistic context of the language. 'Potlh' translates to 'important' or 'significant,' capturing the significance of humanities. 'QeHghach' links to 'technology' or digital advancements as inferred through existing Klingon lexicon and culture.",,False,,2026-04-07 01:08:03,,False,,False,,False,,False,"{
  ""translated_term"": ""qongwIj DaH"",
  ""translation_rationale"": ""A combination of 'qon' (digital) and 'wIj DaH' (humanities)""
}",llama3.1,2026-04-07T00:04:02.468217Z,989456833.0,88265708.0,74.0,365407459.0,46.0,522565125.0,stop,qongwIj DaH,A combination of 'qon' (digital) and 'wIj DaH' (humanities),[],
tet,Tetum,Digital Humanities,Humanidades Digital,78.0,1775520478.0,stop,gpt-4o-2024-08-06,69.0,147.0,"Tetum often borrows from both Portuguese and English, especially for academic and technical terms. 'Humanidades' is derived from Portuguese for 'Humanities', and 'Digital' is used directly from English, making 'Humanidades Digital' an intuitive translation in the context of modern academic discourse.",,False,,2026-04-07 01:08:00,,False,Umanidade Dijitál,False,,False,,False,"{""translated_term"": ""Omaun ba iha Internet"", ""translation_rationale"": ""Literally 'Humanities in the Internet' or 'Humanidades Digitais'.""}",llama3.1,2026-04-07T00:03:59.456563Z,873722250.0,81773458.0,73.0,349128417.0,38.0,430877625.0,stop,Omaun ba iha Internet,Literally 'Humanities in the Internet' or 'Humanidades Digitais'.,"[{'translated_term': 'Omaun ba iha Internet', 'translation_rationale': ""Literally 'Humanities in the Internet' or 'Humanidades Digitais'.""}]",Omaun ba iha Internet
sco,Scots,Digital Humanities,Digital Humanities,49.0,1775520475.0,stop,gpt-4o-2024-08-06,68.0,117.0,"In Scots, terms related to modern disciplines and technology like 'Digital Humanities' are often borrowed directly from English without significant alteration, retaining their original form.",,False,,2026-04-07 01:07:57,,False,,False,,False,,False,"{
  ""translated_term"": ""Digiyal Humanitees"",
  ""translation_rationale"": ""Adaptation o the English term, makin use o Scots equivalents fer 'digital' an 'humanities'.""
}",llama3.1,2026-04-07T00:03:56.56389Z,965669042.0,70727500.0,72.0,356366833.0,46.0,524446877.0,stop,Digiyal Humanitees,"Adaptation o the English term, makin use o Scots equivalents fer 'digital' an 'humanities'.",[],
scn,Sicilian,Digital Humanities,Umanitati Digitali,82.0,1775520471.0,stop,gpt-4o-2024-08-06,70.0,152.0,"The term 'Digital Humanities' is translated into Sicilian as 'Umanitati Digitali,' where 'Umanitati' corresponds to 'Humanities' and 'Digitali' corresponds to 'Digital.' Both terms are adapted to the Sicilian language, following a similar structure to the Italian translation.",,False,,2026-04-07 01:07:54,,False,Scienzi umanistichi diggitali,False,,False,,False,"{
  ""translated_term"": ""Umanità digitàli"",
  ""translation_rationale"": ""Borrowed from Italian, as Digital Humanities is an English term that has been adopted in Italian""
}",llama3.1,2026-04-07T00:03:53.579129Z,960422375.0,84582291.0,73.0,373224292.0,43.0,488540997.0,stop,Umanità digitàli,"Borrowed from Italian, as Digital Humanities is an English term that has been adopted in Italian",[],
roa-rup,Aromanian,Digital Humanities,Humanități Digitale,60.0,1775520469.0,stop,gpt-4o-2024-08-06,72.0,132.0,"Aromanian often uses similar roots as Romanian for academic terms, and 'Digital Humanities' would directly translate as 'Humanități Digitale' to maintain comprehension amongst speakers familiar with Romanian.",,False,,2026-04-07 01:07:50,,False,,False,,False,,False,"{
""translated_term"": ""Umanitar Digital"",
""translation_rationale"": ""Combining the Aromanian words 'umanitar' (humanitarian) and 'digital'""
}",llama3.1,2026-04-07T00:03:50.597828Z,883256125.0,85319334.0,77.0,350880417.0,38.0,434957333.0,stop,Umanitar Digital,Combining the Aromanian words 'umanitar' (humanitarian) and 'digital',[],
rmy,Romani,Digital Humanities,Digitālo Vudzinos,86.0,1775520466.0,stop,gpt-4o-2024-08-06,70.0,156.0,"The term 'Digital Humanities' lacks a direct equivalent in Romani, resulting in the adaptation of 'Digitālo' for 'Digital' and 'Vudzinos' for 'Humanities', both of which are adaptations tailored to represent the field's focus on digital scholarly practices in the humanities disciplines.",,False,,2026-04-07 01:07:47,,False,Digitalno Humaniàlo,False,,False,,False,"{""translated_term"": ""Džipal Varsmaneshi"", ""translation_rationale"": ""Combination of 'digital' and 'humanities' into Romani, using džipal (digital) and varsmaneshi (human sciences/humanities), a common term in Romani scholarship""}",llama3.1,2026-04-07T00:03:47.696221Z,1291342958.0,84334667.0,74.0,419441250.0,65.0,767717118.0,stop,Džipal Varsmaneshi,"Combination of 'digital' and 'humanities' into Romani, using džipal (digital) and varsmaneshi (human sciences/humanities), a common term in Romani scholarship","[{'translated_term': 'Džipal Varsmaneshi', 'translation_rationale': ""Combination of 'digital' and 'humanities' into Romani, using džipal (digital) and varsmaneshi (human sciences/humanities), a common term in Romani scholarship""}]",Džipal Varsmaneshi
pms,Piedmontese,Digital Humanities,Umanìstiche Digitaj,64.0,1775520464.0,stop,gpt-4o-2024-08-06,71.0,135.0,"In Piedmontese, 'Umanìstiche' corresponds to 'Humanities', and 'Digitaj' means 'Digital'. This translation maintains the meaning while adapting it to the regional language.",,False,,2026-04-07 01:07:45,,False,,False,,False,,False,"{
  ""translated_term"": ""Umanità Digital"",
  ""translation_rationale"": ""Combining the French and Italian influences on Piedmontese, the term is a direct adaptation of the original phrase""
}",llama3.1,2026-04-07T00:03:44.384165Z,967292542.0,81785875.0,75.0,348739125.0,44.0,523041667.0,stop,Umanità Digital,"Combining the French and Italian influences on Piedmontese, the term is a direct adaptation of the original phrase",[],
pih,Norfolk,Digital Humanities,Digital Humanities,64.0,1775520461.0,stop,gpt-4o-2024-08-06,69.0,133.0,"Norfolk is a creole language that primarily incorporates vocabulary from English and Tahitian. Since 'Digital Humanities' is a specialized term with no direct equivalent in Norfolk, it remains unchanged to maintain its intended meaning.",,False,,2026-04-07 01:07:43,,False,,False,,False,,False,"{""translated_term"": ""Dìgitiel Hunnidits"", ""translation_rationale"": ""Norfolk language uses a unique combination of English and its own vocabulary, adapting words to its phonetic system. 'Digital' becomes 'dìgitiel' with a shift from 'gi' to 'dì', while 'Humanities' remains unchanged due to its existing similarity in sound.""}",llama3.1,2026-04-07T00:03:41.394058Z,1403758167.0,87105833.0,73.0,348939084.0,82.0,943129827.0,stop,Dìgitiel Hunnidits,"Norfolk language uses a unique combination of English and its own vocabulary, adapting words to its phonetic system. 'Digital' becomes 'dìgitiel' with a shift from 'gi' to 'dì', while 'Humanities' remains unchanged due to its existing similarity in sound.","[{'translated_term': 'Dìgitiel Hunnidits', 'translation_rationale': ""Norfolk language uses a unique combination of English and its own vocabulary, adapting words to its phonetic system. 'Digital' becomes 'dìgitiel' with a shift from 'gi' to 'dì', while 'Humanities' remains unchanged due to its existing similarity in sound.""}]",Dìgitiel Hunnidits
pdc,Pennsylvania German,Digital Humanities,Digitaal Gelehrsamkeit,67.0,1775520458.0,stop,gpt-4o-2024-08-06,70.0,137.0,"The term 'Digital Humanities' combines digital technology with the study of human culture. 'Digitaal' refers to the digital aspect, and 'Gelehrsamkeit' relates to scholarship or humanities in Pennsylvania German.",,False,,2026-04-07 01:07:40,,False,,False,,False,,False,"{""translated_term"": ""Digitale Menschliche Künste"", ""translation_rationale"": ""Combining English words, following Pennsylvania German's tendency to adopt foreign vocabulary directly, with slight adjustments in spelling and inflection.""}",llama3.1,2026-04-07T00:03:37.96976Z,1002933959.0,82208375.0,74.0,368811833.0,47.0,537366622.0,stop,Digitale Menschliche Künste,"Combining English words, following Pennsylvania German's tendency to adopt foreign vocabulary directly, with slight adjustments in spelling and inflection.","[{'translated_term': 'Digitale Menschliche Künste', 'translation_rationale': ""Combining English words, following Pennsylvania German's tendency to adopt foreign vocabulary directly, with slight adjustments in spelling and inflection.""}]",Digitale Menschliche Künste
pap,Papiamentu,Digital Humanities,Humanidades Digital,73.0,1775520455.0,stop,gpt-4o-2024-08-06,70.0,143.0,"In Papiamentu, technical terms from fields like 'Digital Humanities' are often borrowed from more widely spoken languages such as Spanish or Portuguese. 'Humanidades' correlates to 'Humanities', and 'Digital' remains the same given the comfort with English terms.",,False,,2026-04-07 01:07:37,,False,Humanidatnan Digital,False,Di Con Asina Tantu Cos Humano,False,,False,"{
  ""translated_term"": ""Humanidat Digital"",
  ""translation_rationale"": ""Papiamentu term for 'Digital Humanities', combining the concepts of 'digital' and 'humanidades'""
}",llama3.1,2026-04-07T00:03:34.948832Z,935018750.0,81645792.0,75.0,352158250.0,43.0,487843087.0,stop,Humanidat Digital,"Papiamentu term for 'Digital Humanities', combining the concepts of 'digital' and 'humanidades'",[],
pam,Kapampangan,Digital Humanities,Humanidades Digital,48.0,1775520453.0,stop,gpt-4o-2024-08-06,70.0,118.0,"In Kapampangan, 'Humanidades' refers to 'Humanities', and 'Digital' is often borrowed directly as 'Digital'.",,False,,2026-04-07 01:07:34,,False,Digital Humanities,False,,False,,False,"{
  ""translated_term"": ""Diyitangalungsodang Sining"",
  ""translation_rationale"": ""Breaking down the term into its components, 'Diye' is a prefix meaning digital or related to technology, 'tangalunghod' means humanities in Kapampangan, and 'Sining' means art or studies.""
}",llama3.1,2026-04-07T00:03:31.989604Z,1305141083.0,82038250.0,74.0,348298250.0,74.0,853382040.0,stop,Diyitangalungsodang Sining,"Breaking down the term into its components, 'Diye' is a prefix meaning digital or related to technology, 'tangalunghod' means humanities in Kapampangan, and 'Sining' means art or studies.",[],
pag,Pangasinan,Digital Humanities,Humanidades na Digital,75.0,1775520451.0,stop,gpt-4o-2024-08-06,70.0,145.0,"In Pangasinan, 'humanidades' refers to 'humanities' and 'digital' is adopted from English, indicating the integration of digital technology with humanities disciplines. The term captures the essence of merging technology with the study of human culture and activities.",,False,,2026-04-07 01:07:32,,False,Digital Humanities,False,Saray Manangiyabawag na Too,False,,False,"{""translated_term"": ""Salukuyug Alpabita"", ""translation_rationale"": ""Combination of 'salukuyug' (digital) and 'alpabita' (humanities), following the pattern of other terms in Pangasinan""}",llama3.1,2026-04-07T00:03:28.668528Z,1083163208.0,84638833.0,74.0,351900500.0,55.0,629553210.0,stop,Salukuyug Alpabita,"Combination of 'salukuyug' (digital) and 'alpabita' (humanities), following the pattern of other terms in Pangasinan","[{'translated_term': 'Salukuyug Alpabita', 'translation_rationale': ""Combination of 'salukuyug' (digital) and 'alpabita' (humanities), following the pattern of other terms in Pangasinan""}]",Salukuyug Alpabita
nso,Northern Sotho,Digital Humanities,Dijithale tša Bongaka,65.0,1775520448.0,stop,gpt-4o-2024-08-06,70.0,135.0,"The term is translated directly by combining 'Dijithale' meaning 'Digital' and 'Bongaka' meaning 'Humanities', reflecting the interdisciplinarity of digital technology and humanistic study.",,False,,2026-04-07 01:07:30,,False,Thuto ya Botho ya Dijithale,False,Ditekanyo tša Batho,False,,False,"{
  ""translated_term"": ""Tsheko ya Digital"",
  ""translation_rationale"": ""Combining the concept of tsheko (technology) with 'digital' from English""
}",llama3.1,2026-04-07T00:03:25.561402Z,884077375.0,82481625.0,76.0,332555000.0,40.0,456686791.0,stop,Tsheko ya Digital,Combining the concept of tsheko (technology) with 'digital' from English,[],
nrm,Norman,Digital Humanities,Humanités Numériques,50.0,1775520446.0,stop,gpt-4o-2024-08-06,69.0,119.0,"Norman closely resembles French due to historical connections, and 'Humanités Numériques' follows the pattern of translation similar to French.",,False,,2026-04-07 01:07:27,,False,,False,,False,,False,"{""translated_term"": ""Tchèques Humaines Digitales"", ""translation_rationale"": ""Combination of the Norman word for 'digital' (tchèque) and 'humanities'""}",llama3.1,2026-04-07T00:03:22.659523Z,986519625.0,91593625.0,73.0,391614208.0,43.0,489839623.0,stop,Tchèques Humaines Digitales,Combination of the Norman word for 'digital' (tchèque) and 'humanities',"[{'translated_term': 'Tchèques Humaines Digitales', 'translation_rationale': ""Combination of the Norman word for 'digital' (tchèque) and 'humanities'""}]",Tchèques Humaines Digitales
new,Newar,Digital Humanities,डिजिटल मानविकी,101.0,1775520444.0,stop,gpt-4o-2024-08-06,69.0,170.0,"The term 'Digital Humanities' combines 'Digital', referring to technology or digital tools, with 'Humanities', the study of human culture. In Newar language, 'डिजिटल' is a phonetic transcription for 'digital', and 'मानविकी' is used for 'humanities', aligning with terms used in other languages to represent the academic study of culture with a technological aspect.",,False,,2026-04-07 01:07:25,,False,डिजिटल मानविकी,False,,False,,False,"{""translated_term"": ""दिजिटल मानव विज्ञान"", ""translation_rationale"": ""Combination of नि (ni) meaning 'digital' and मानव विज्ञान (manav vijñāna) meaning 'human knowledge', drawing on Sanskrit roots""}",llama3.1,2026-04-07T00:03:19.657325Z,1190644042.0,88335334.0,73.0,370908708.0,62.0,713204999.0,stop,दिजिटल मानव विज्ञान,"Combination of नि (ni) meaning 'digital' and मानव विज्ञान (manav vijñāna) meaning 'human knowledge', drawing on Sanskrit roots","[{'translated_term': 'दिजिटल मानव विज्ञान', 'translation_rationale': ""Combination of नि (ni) meaning 'digital' and मानव विज्ञान (manav vijñāna) meaning 'human knowledge', drawing on Sanskrit roots""}]",दिजिटल मानव विज्ञान
nds-nl,Dutch Low Saxon,Digital Humanities,Digitale Humaniora,73.0,1775520441.0,stop,gpt-4o-2024-08-06,74.0,147.0,"The term 'Digital Humanities' translates to 'Digitale Humaniora' in Dutch, and Dutch Low Saxon often borrows directly from Dutch for modern and academic concepts to maintain mutual intelligibility and due to the influence of the Dutch standard language.",,False,,2026-04-07 01:07:22,,False,,False,,False,,False,"{
""translated_term"": ""Digitaal Humaanweten"",
""translation_rationale"": ""Combination of 'digitaal' (digital) and 'humaanweten' which translates to human sciences in Dutch, aligning with the broader scope of Digital Humanities""
}",llama3.1,2026-04-07T00:03:16.446944Z,1140602417.0,81096167.0,78.0,356526917.0,60.0,685926544.0,stop,Digitaal Humaanweten,"Combination of 'digitaal' (digital) and 'humaanweten' which translates to human sciences in Dutch, aligning with the broader scope of Digital Humanities",[],
