coding_dh_date,language_code,language_name,term_source,gt_translated_term,exclude_google_cloud_translate
2026-03-15 18:43:00,eu,Basque,Computational Humanities,Giza Zientzia Konputazionalak,
2026-03-15 18:43:00,fa,Persian,Computational Humanities,علوم انسانی محاسباتی,
2026-03-15 18:43:00,ff,Fula,Computational Humanities,Neɗɗankaagal hiisawal,
2026-03-15 18:43:00,fi,Finnish,Computational Humanities,Laskennalliset humanistiset tieteet,
2026-03-15 18:43:00,fj,Fijian,Computational Humanities,Na veika vakatamata ni kompiuta,
2026-03-15 18:43:00,fo,Faroese,Computational Humanities,Telduhugvísindi,
2026-03-15 18:43:00,fr,French,Computational Humanities,Humanités computationnelles,
2026-03-15 18:43:00,fy,Western Frisian,Computational Humanities,Kompjûtasjonele Humaniora,
2026-03-15 18:43:00,ga,Irish,Computational Humanities,Daonnachtaí Ríomhaireachtúla,
2026-03-15 18:43:00,gd,Scottish Gaelic,Computational Humanities,Daonnachdan Àireamhachaidh,
2026-03-15 18:43:00,gl,Galician,Computational Humanities,Humanidades Computacionais,
2026-03-15 18:43:00,gn,Guaraní,Computational Humanities,Humanidades Computacionales rehegua,
2026-03-15 18:43:00,gu,Gujarati,Computational Humanities,ગણતરીત્મક માનવતા,
2026-03-15 18:43:00,gv,Manx,Computational Humanities,Cooishyn Dooiney,
2026-03-15 18:43:00,ha,Hausa,Computational Humanities,Ilimin Halayyar Dan Adam na Kwamfuta,
2026-03-15 18:43:00,he,Hebrew (modern),Computational Humanities,מדעי הרוח החישוביים,
2026-03-15 18:43:00,hi,Hindi,Computational Humanities,कम्प्यूटेशनल मानविकी,
2026-03-15 18:43:00,hr,Croatian,Computational Humanities,Računalne humanističke znanosti,
2026-03-15 18:43:00,ht,Haitian,Computational Humanities,Syans Imanitè Enfòmatik,
2026-03-15 18:43:00,hu,Hungarian,Computational Humanities,Számítógépes humán tudományok,
2026-03-15 18:43:00,hy,Armenian,Computational Humanities,Հաշվողական հումանիտար գիտություններ,
2026-03-15 18:43:00,id,Indonesian,Computational Humanities,Humaniora Komputasional,
2026-03-15 18:43:00,ig,Igbo,Computational Humanities,Mmekọrịta Mmadụ na Kọmputa,
2026-03-15 18:43:00,is,Icelandic,Computational Humanities,Tölvufræðileg hugvísindi,
2026-03-15 18:43:00,it,Italian,Computational Humanities,Discipline umanistiche computazionali,
2026-03-15 18:43:00,iu,Inuktitut,Computational Humanities,ᖃᕆᑕᐅᔭᓕᕆᓂᕐᒧᑦ ᐃᓄᓕᕆᓂᕐᒧᑦ,
2026-03-15 18:43:00,ja,Japanese,Computational Humanities,計算人文学,
2026-03-15 18:43:00,jv,Javanese,Computational Humanities,Humaniora Komputasi,
2026-03-15 18:43:00,ka,Georgian,Computational Humanities,გამოთვლითი ჰუმანიტარული მეცნიერებები,
2026-03-15 18:43:00,kg,Kongo,Computational Humanities,Mambu ya kimuntu ya ordinatere,
2026-03-15 18:43:00,kk,Kazakh,Computational Humanities,Есептеу гуманитарлық ғылымдары,
2026-03-15 18:43:00,kl,Kalaallisut,Computational Humanities,Komputatorimi Humaniora,
2026-03-15 18:43:00,km,Khmer,Computational Humanities,មនុស្សសាស្ត្រ​គណនា,
2026-03-15 18:43:00,kn,Kannada,Computational Humanities,ಕಂಪ್ಯೂಟೇಶನಲ್ ಹ್ಯುಮಾನಿಟೀಸ್,
2026-03-15 18:43:00,ko,Korean,Computational Humanities,계산 인문학,
2026-03-15 18:43:00,kr,Kanuri,Computational Humanities,Ilmu adamganabe komfutabe,
2026-03-15 18:43:00,ku,Kurdish,Computational Humanities,Mirovahiyên Hesabkerî,
2026-03-15 18:43:00,kv,Komi,Computational Humanities,Вычислительнӧй гуманитарнӧй наукаяс .,
2026-03-15 18:43:00,ky,"Kirghiz, Kyrgyz",Computational Humanities,Эсептөөчү гуманитардык илимдер,
2026-03-15 18:43:00,la,Latin,Computational Humanities,Humanitates Computationales,
2026-03-15 18:43:00,lb,Luxembourgish,Computational Humanities,Berechnungsgeisteswëssenschaften,
2026-03-15 18:43:00,lg,Luganda,Computational Humanities,Eby’obuntubulamu eby’okubalirira,
2026-03-15 18:43:00,li,Limburgish,Computational Humanities,Rekenkundige geisteswetensjappe,
2026-03-15 18:43:00,ln,Lingala,Computational Humanities,Humanités ya ba calculs,
2026-03-15 18:43:00,lo,Lao,Computational Humanities,ມະນຸດສາດຄອມພິວເຕີ,
2026-03-15 18:43:00,lt,Lithuanian,Computational Humanities,Skaičiavimo humanitariniai mokslai,
2026-03-15 18:43:00,lv,Latvian,Computational Humanities,Skaitļošanas humanitārās zinātnes,
2026-03-15 18:43:00,mg,Malagasy,Computational Humanities,Siansa momba ny kajy,
2026-03-15 18:43:00,mh,Marshallese,Computational Humanities,Computational Humanities,
2026-03-15 18:43:00,mi,Māori,Computational Humanities,Ngā Tikanga Tātaitanga Tangata,
2026-03-15 18:43:00,mk,Macedonian,Computational Humanities,Компјутерски хуманистички науки,
2026-03-15 18:43:00,ml,Malayalam,Computational Humanities,കമ്പ്യൂട്ടേഷണൽ ഹ്യുമാനിറ്റീസ്,
2026-03-15 18:43:00,mn,Mongolian,Computational Humanities,Тооцооллын хүмүүнлэг,
2026-03-15 18:43:00,mr,Marathi (Marāṭhī),Computational Humanities,संगणकीय मानव्यशास्त्र,
2026-03-15 18:43:00,ms,Malay,Computational Humanities,Kemanusiaan Komputasi,
2026-03-15 18:43:00,mt,Maltese,Computational Humanities,Umanistika Komputazzjonali,
2026-03-15 18:43:00,my,Burmese,Computational Humanities,တွက်ချက်မှုဆိုင်ရာ လူသားပညာ,
2026-03-15 18:43:00,nb,Norwegian Bokmål,Computational Humanities,Beregningsmessige humaniora,
2026-03-15 18:43:00,ne,Nepali,Computational Humanities,कम्प्युटेसनल मानविकी,
2026-03-15 18:43:00,nl,Dutch,Computational Humanities,Computationele geesteswetenschappen,
2026-03-15 18:43:00,no,Norwegian,Computational Humanities,Beregningsmessige humaniora,
2026-03-15 18:43:00,nr,South Ndebele,Computational Humanities,I-Computational Humanities,
2026-03-15 18:43:00,ny,Chichewa; Chewa; Nyanja,Computational Humanities,Zaumunthu Zamakono,
2026-03-15 18:43:00,oc,Occitan,Computational Humanities,Umanitats Computacionalas,
2026-03-15 18:43:00,om,Oromo,Computational Humanities,Saayinsii Namoomaa Shallaggii,
2026-03-15 18:43:00,or,Oriya,Computational Humanities,କମ୍ପ୍ୟୁଟେସନାଲ୍ ହ୍ୟୁମାନିଟିଜ୍,
2026-03-15 18:43:00,os,"Ossetian, Ossetic",Computational Humanities,Хыгъдон гуманитарон наукæтæ,
2026-03-15 18:43:00,pa,"Panjabi, Punjabi",Computational Humanities,ਕੰਪਿਊਟੇਸ਼ਨਲ ਹਿਊਮੈਨਿਟੀਜ਼,
2026-03-15 18:43:00,pl,Polish,Computational Humanities,Humanistyka obliczeniowa,
2026-03-15 18:43:00,ps,"Pashto, Pushto",Computational Humanities,کمپیوټري بشري علوم,
2026-03-15 18:43:00,pt,Portuguese,Computational Humanities,Humanidades Computacionais,
2026-03-15 18:43:00,qu,Quechua,Computational Humanities,Humanidades Computacionales nisqamanta,
2026-03-15 18:43:00,rn,Kirundi,Computational Humanities,Ubuhinga bwo gukoresha mudasobwa,
2026-03-15 18:43:00,ro,"Romanian, Moldavan",Computational Humanities,Științe Umaniste Computaționale,
2026-03-15 18:43:00,ru,Russian,Computational Humanities,Вычислительные гуманитарные науки,
2026-03-15 18:43:00,rw,Kinyarwanda,Computational Humanities,Ubuhanga mu by&#39;Ikoranabuhanga mu by&#39;Ikoranabuhanga,
2026-03-15 18:43:00,sa,Sanskrit (Saṁskṛta),Computational Humanities,कम्प्यूटेशनल मानविकी,
2026-03-15 18:43:00,sd,Sindhi,Computational Humanities,ڪمپيوٽيشنل هيومنٽيز,
2026-03-15 18:43:00,se,Northern Sami,Computational Humanities,Rehkenastinhumanisttalaš fágat,
2026-03-15 18:43:00,sg,Sango,Computational Humanities,Humanité ti ordinateur,
2026-03-15 18:43:00,sh,Serbo-Crotian,Computational Humanities,Рачунарске хуманистичке науке,
2026-03-15 18:43:00,si,"Sinhala, Sinhalese",Computational Humanities,පරිගණක මානව ශාස්ත්‍ර,
2026-03-15 18:43:00,sk,Slovak,Computational Humanities,Počítačové humanitné vedy,
2026-03-15 18:43:00,sl,Slovene,Computational Humanities,Računalniške humanistike,
2026-03-15 18:43:00,sm,Samoan,Computational Humanities,A&#39;oa&#39;oga Fa&#39;akomepiuta Fa&#39;aletagata,
2026-03-15 18:43:00,sn,Shona,Computational Humanities,Hunhu hweMakomputa,
2026-03-15 18:43:00,so,Somali,Computational Humanities,Bani&#39;aadamnimada Xisaabinta,
2026-03-15 18:43:00,sq,Albanian,Computational Humanities,Shkencat Humane Kompjuterike,
2026-03-15 18:43:00,sr,Serbian,Computational Humanities,Рачунарске хуманистичке науке,
2026-03-15 18:43:00,ss,Swati,Computational Humanities,Tifundvo Tebantfu Tekubala,
2026-03-15 18:43:00,st,Southern Sotho,Computational Humanities,Botho ba Lik&#39;homphieutha,
2026-03-15 18:43:00,su,Sundanese,Computational Humanities,Humaniora Komputasi,
2026-03-15 18:43:00,sv,Swedish,Computational Humanities,Beräkningsmässiga humaniora,
2026-03-15 18:43:00,sw,Swahili,Computational Humanities,Binadamu ya Kompyuta,
2026-03-15 18:43:00,ta,Tamil,Computational Humanities,கணக்கீட்டு மனிதநேயம்,
2026-03-15 18:43:00,te,Telugu,Computational Humanities,కంప్యుటేషనల్ హ్యుమానిటీస్,
2026-03-15 18:43:00,tg,Tajik,Computational Humanities,Илмҳои ҳисоббарорӣ,
2026-03-15 18:43:00,th,Thai,Computational Humanities,มนุษยศาสตร์เชิงคำนวณ,
2026-03-15 18:43:00,ti,Tigrinya,Computational Humanities,ኮምፑተሽናል ሰብኣዊ ስነፍልጠት,
2026-03-15 18:43:00,tk,Turkmen,Computational Humanities,Hasaplaýyş ynsanperwerlikleri,
2026-03-15 18:43:00,tl,Tagalog,Computational Humanities,Mga Humanidades sa Komputasyon,
2026-03-15 18:43:00,tn,Tswana,Computational Humanities,Dithuto tsa Botho tsa Dikhomphiutha,
2026-03-15 18:43:00,to,Tonga,Computational Humanities,Fakakomipiuta Fakaetangata,
2026-03-15 18:43:00,tr,Turkish,Computational Humanities,Hesaplamalı Beşeri Bilimler,
2026-03-15 18:43:00,ts,Tsonga,Computational Humanities,Vutivi bya Vanhu bya Xibalo,
2026-03-15 18:43:00,tt,Tatar,Computational Humanities,Исәпләү гуманитар фәннәре,
2026-03-15 18:43:00,tw,Twi,Computational Humanities,Mfiridwuma mu Nnipa Ho Adesua,
2026-03-15 18:43:00,ty,Tahitian,Computational Humanities,Te mau ohipa taata,
2026-03-15 18:43:00,ug,"Uighur, Uyghur",Computational Humanities,ھېسابلاش ئىنسانىيەت پەنلىرى,
2026-03-15 18:43:00,uk,Ukrainian,Computational Humanities,Обчислювальні гуманітарні науки,
2026-03-15 18:43:00,ur,Urdu,Computational Humanities,کمپیوٹیشنل ہیومینٹیز,
2026-03-15 18:43:00,uz,Uzbek,Computational Humanities,Hisoblash gumanitar fanlari,
2026-03-15 18:43:00,ve,Venda,Computational Humanities,Vhuthu ha Khomphyutha,
2026-03-15 18:43:00,vi,Vietnamese,Computational Humanities,Nhân văn tính toán,
2026-03-15 18:43:00,wo,Wolof,Computational Humanities,Humanité ci ordinatër,
2026-03-15 18:43:00,xh,Xhosa,Computational Humanities,Uluntu lwezeKhompyutha,
2026-03-15 18:43:00,yi,Yiddish,Computational Humanities,קאָמפּיוטיישאַנאַל הומאַניטיעס,
2026-03-15 18:43:00,yo,Yoruba,Computational Humanities,Ìmọ̀-ẹ̀dá Ènìyàn Oníṣirò,
2026-03-15 18:43:00,zh,Chinese,Computational Humanities,计算人文,
2026-03-15 18:43:00,zu,Zulu,Computational Humanities,I-Computational Humanities,
2026-03-15 18:43:00,an,Aragonese,Computational Humanities,,True
2026-03-15 18:43:00,ae,Avestan,Computational Humanities,,True
2026-03-15 18:43:00,bi,Bislama,Computational Humanities,,True
2026-03-15 18:43:00,kw,Cornish,Computational Humanities,,True
2026-03-15 18:43:00,cr,Cree,Computational Humanities,,True
2026-03-15 18:43:00,hz,Herero,Computational Humanities,,True
2026-03-15 18:43:00,ho,Hiri Motu,Computational Humanities,,True
2026-03-15 18:43:00,ia,Interlingua,Computational Humanities,,True
2026-03-15 18:43:00,ie,Interlingue,Computational Humanities,,True
2026-03-15 18:43:00,ik,Inupiaq,Computational Humanities,,True
2026-03-15 18:43:00,io,Ido,Computational Humanities,,True
2026-03-15 18:43:00,ks,Kashmiri,Computational Humanities,,True
2026-03-15 18:43:00,ki,"Kikuyu, Gikuyu",Computational Humanities,,True
2026-03-15 18:43:00,kj,"Kwanyama, Kuanyama",Computational Humanities,,True
2026-03-15 18:43:00,lu,Luba-Katanga,Computational Humanities,,True
2026-03-15 18:43:00,na,Nauru,Computational Humanities,,True
2026-03-15 18:43:00,nv,"Navajo, Navaho",Computational Humanities,,True
2026-03-15 18:43:00,nd,North Ndebele,Computational Humanities,,True
2026-03-15 18:43:00,ng,Ndonga,Computational Humanities,,True
2026-03-15 18:43:00,nn,Norwegian Nynorsk,Computational Humanities,,True
2026-03-15 18:43:00,ii,Nuosu,Computational Humanities,,True
2026-03-15 18:43:00,oj,"Ojibwe, Ojibwa",Computational Humanities,,True
2026-03-15 18:43:00,cu,Old Church Slavonic,Computational Humanities,,True
2026-03-15 18:43:00,pi,Pāli,Computational Humanities,,True
2026-03-15 18:43:00,rm,Romansh,Computational Humanities,,True
2026-03-15 18:43:00,sc,Sardinian,Computational Humanities,,True
2026-03-15 18:43:00,vo,Volapük,Computational Humanities,,True
2026-03-15 18:43:00,wa,Walloon,Computational Humanities,,True
2026-03-15 18:43:00,za,"Zhuang, Chuang",Computational Humanities,,True
