language_code,language_name,language_family,term_source,has_wikipedia,n_services_with_data,mean_rationale_similarity,category,evidence,loan_words_found,absence_signals,construction_signals,debate_signals,n_unique_raw,n_unique_normalized,max_edit_distance,has_script_disagreement,scripts_found,script_per_service,script_signals,claude_rationale_snippet,openai_rationale_snippet,gemini_rationale_snippet,first_ollama_rationale_snippet,service_translations
csb,Kashubian,Slavic,Digital Humanities,False,4,0.5141,TRANSMOGRIFICATION,No Wikipedia; 4 distinct outputs; absence signals: 1; construction signals: 3,False,Gemini:borrowed,Gemini:compound; First Ollama:combining; Second Ollama:combining,,4,4,25,False,['Latin'],"[('Claude', 'Latin'), ('Gemini', 'Latin'), ('First Ollama', 'Latin'), ('Second Ollama', 'Latin')]",Claude:Latin; Gemini:Latin; First Ollama:Latin; Second Ollama:Latin,"In Kashubian, adjectives typically follow the declension pattern and agree with the noun in gender, number, and case. 'Humanistika' (humanities) is feminine singular, so the adjective 'cyfrowy' (digital) should take the feminine form 'cyfrową' in the accusative/instrumental case, though 'Cyfrową Hum",,"The term 'Cyfrowô Humanistika' is the most accurate and grammatically correct translation for 'Digital Humanities' in Kashubian. Let's break down the existing suggestions and the chosen one:

*   **Claude's 'Cyfrową Humanistika'**: This is very close. 'Cyfrową' is the accusative singular feminine fo","Kashubian uses Latin alphabet, so the term is translated by combining the Kashubian words for 'digital' (digitál) and 'humanities' (humanistyka), following the typical word order in Kashubian.","{'Claude': 'Cyfrową Humanistikã', 'Gemini': 'Cyfrowô Humanistika', 'First Ollama': 'Humanistika Digitalne', 'Second Ollama': 'Humanistyczne Domeny Cyfrowe'}"
cu,Old Church Slavonic,Slavic,Digital Humanities,False,5,0.3548,TRANSMOGRIFICATION,No Wikipedia; 5 distinct outputs; absence signals: 2; construction signals: 3; script disagreement: Cyrillic+Latin,False,Claude:borrowing; Gemini:transliterat,Claude:formation; Claude:morpholog; Gemini:morpholog,,5,5,31,True,"['Cyrillic', 'Latin']","[('OpenAI', 'Cyrillic'), ('Claude', 'Cyrillic'), ('Gemini', 'Cyrillic'), ('First Ollama', 'Latin'), ('Second Ollama', 'Cyrillic')]",OpenAI:Cyrillic; Claude:Cyrillic; Gemini:Cyrillic; First Ollama:Latin; Second Ollama:Cyrillic,"This translation uses authentic Old Church Slavonic morphology and vocabulary. 'Чисмьнꙑѩ' (numerical/computational, from чисмо - number) captures the 'digital' aspect through the medieval concept of numerical reckoning. 'Чловѣколюбьнꙑѩ' (human-related, from чловѣкъ - human) expresses 'humanities' as","The term ""Digital Humanities"" refers to the intersection of digital technology with the study of the human condition. In Old Church Slavonic, ""Цѣлоудѣливъ"" conveys the idea of ""completeness"" or ""wholeness,"" aligning with ""humanities."" ""Цѣифрованои"" is adapted to represent ""digital,"" referring to num","My translation, 'Цифрьна чловѣколюбивьна хѫдожьства' (Tsifrĭna člověkoljubivĭna hǫdožĭstva), aims for a balance of accuracy, conciseness, and adherence to Old Church Slavonic morphology and lexis. Let's break down the components and compare with the provided suggestions:

1.  **'Digital'**: I've cho","The term Ćelovitostь (humanity or humanism) is derived from the word Ćelovek (man), and.digitalьnoi nauke is a direct translation of 'digital humanities' using Cyrillic script. This reflects the linguistic and cultural heritage of the Balkans, where Old Church Slavonic was widely used.","{'OpenAI': 'Цифроумьна человѣчьство', 'Claude': 'Чисмьнаꙗ Чловѣчьскꙑꙗ Хитрости', 'Gemini': 'цифрьнаа хѹманїстика', 'First Ollama': 'Ćelovitostь v digitalьnoi nauke', 'Second Ollama': 'Богословска цифровая культура'}"
cv,Chuvash,Turkic,Digital Humanities,False,6,0.4359,TRANSMOGRIFICATION,No Wikipedia; 6 distinct outputs; absence signals: 3; construction signals: 3,False,Gemini:borrowing; First Ollama:borrowed; Second Ollama:borrowed,Gemini:suffix; First Ollama:suffix; Second Ollama:suffix,,6,6,23,False,['Cyrillic'],"[('Google Translate', 'Cyrillic'), ('OpenAI', 'Cyrillic'), ('Claude', 'Cyrillic'), ('Gemini', 'Cyrillic'), ('First Ollama', 'Cyrillic'), ('Second Ollama', 'Cyrillic')]",Google Translate:Cyrillic; OpenAI:Cyrillic; Claude:Cyrillic; Gemini:Cyrillic; First Ollama:Cyrillic; Second Ollama:Cyrillic,"In Chuvash, 'Digital' is best rendered as 'Цифра' (from Russian 'цифровой'), which is well-established in modern Chuvash for digital/computational concepts. 'Humanities' should be expressed as 'гуманитари ăслăлăхĕсем' (humanities sciences/disciplines) rather than just 'гуманитари' alone. The word 'ă","The term ""Цифра гуманитарисем"" uses ""цифра"" to denote ""digital"" and ""гуманитарисем"" as the plural form of ""гуманитари"" to represent ""humanities."" This adds grammatical correctness and accurately conveys the concept in Chuvash.","My translation 'Цифра гуманитари ăслăлăхĕсем' (Tsifra gumanitari ăslălăkhĕsem) is a refinement of Claude's suggestion, which I find to be the most accurate starting point. Let's break down the components:

*   **Цифра (Tsifra):** This is a direct borrowing from Russian 'цифра' (tsifra), meaning 'dig","I've translated 'Digital Humanities' into Chuvash by breaking it down. 'Çĕр' comes from the Russian word 'цифра', which means 'digit' or 'number'. It's a borrowed term in Chuvash, commonly used in technical and scientific contexts. 'Гуманитарисем' is translated as 'гуманитарисем', which consists of ","{'Google Translate': 'Цифра гуманитари', 'OpenAI': 'Цифрав иккили', 'Claude': 'Цифра гуманитари ăслăлăхĕсем', 'Gemini': 'Цифрăллă гуманитари', 'First Ollama': 'Çĕр гуманитарисем', 'Second Ollama': 'Çĕнтерӳ вулавăшăмлакилĕ'}"
cy,Welsh,Celtic,Digital Humanities,True,9,0.3389,PRODUCTIVE_DISAGREEMENT,Wikipedia translation present; 4 distinct outputs; debate signals: 0,False,,Gemini:compound,,4,4,58,False,['Latin'],"[('Wikipedia', 'Latin'), ('Google Translate', 'Latin'), ('EasyNMT', 'Latin'), ('Lingvanex', 'Latin'), ('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('First Ollama', 'Latin'), ('Second Ollama', 'Latin')]",Wikipedia:Latin; Google Translate:Latin; EasyNMT:Latin; Lingvanex:Latin; OpenAI:Latin; Claude:Latin; Gemini:Latin; First Ollama:Latin; Second Ollama:Latin,"This is the established and widely accepted translation in Welsh. 'Dyniaethau' is the standard Welsh term for 'Humanities' (from 'dynoliaeth' meaning humanity/humankind), and 'Digidol' is the direct equivalent of 'Digital'. The term follows Welsh grammatical conventions where the adjective typically","The term ""Dyniaethau Digidol"" is widely accepted and used in Welsh to translate ""Digital Humanities"". Both ""dyniaethau"" and ""digidol"" are appropriate translations of ""humanities"" and ""digital"", respectively, capturing the essence of the field as applied to digital contexts.","The term 'Dyniaethau Digidol' is the most accurate and widely accepted translation for 'Digital Humanities' in Welsh. 'Dyniaethau' directly translates to 'Humanities' (plural), and 'Digidol' means 'Digital'. This compound term clearly conveys the meaning of the field. The consistency across multiple","Literally ""Digital Humanities""; follows existing suggestions from Google Translate, Lingvanex, and Wikipedia with slight modification to the order of words for clarity","{'Wikipedia': 'Dyniaethau digidol', 'Google Translate': 'Dyniaethau Digidol', 'EasyNMT': 'Person UnigolCity name (optional, probably does not need a translation)', 'Lingvanex': 'Dyniaethau Digidol', 'OpenAI': 'Dyniaethau Digidol', 'Claude': 'Dyniaethau Digidol', 'Gemini': 'Y Dyniaethau Digidol', 'First Ollama': 'Dyniaethau Digidol', 'Second Ollama': 'Ddigiteithrwydd Dynatigrwydd'}"
da,Danish,Germanic,Digital Humanities,False,8,0.4553,MEASUREMENT_ARTEFACT,Normalized to 2 unique value(s); max edit distance 1 ≤ threshold 2,True,Claude:borrowed,Claude:compound; Gemini:compound; Gemini:classical; First Ollama:suffix; First Ollama:prefix; Second Ollama:suffix; Second Ollama:prefix,,2,2,1,False,['Latin'],"[('Google Translate', 'Latin'), ('EasyNMT', 'Latin'), ('Lingvanex', 'Latin'), ('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('First Ollama', 'Latin'), ('Second Ollama', 'Latin')]",Google Translate:Latin; EasyNMT:Latin; Lingvanex:Latin; OpenAI:Latin; Claude:Latin; Gemini:Latin; First Ollama:Latin; Second Ollama:Latin,"In Danish, 'Digital humaniora' is the established and widely accepted translation. While 'digitale' is the adjectival form that would agree grammatically with a plural noun, 'humaniora' in Danish academic contexts is treated as a collective singular noun borrowed from Latin. The singular form 'digit","The term ""Digitale humaniora"" is a widely accepted translation in Danish academic contexts. It directly translates ""Digital Humanities"" into Danish, maintaining the use of ""humaniora"" to represent the humanities as a field of study. The use of ""Digitale"" (the plural form) agrees with ""humaniora"" in ","The most accurate and commonly accepted translation in Danish is 'Digital humaniora'. The term 'humaniora' is already plural in Danish, referring to the humanities as a field of study. Therefore, adding an 'e' to 'digitale' (making it plural) is grammatically incorrect when 'humaniora' is the noun i","I agree with Google Translate's suggestion, as it maintains the digital prefix and humaniora suffix that is commonly used in Danish to refer to humanities. The term Digital Humaniora accurately conveys the intersection of technology and humanities.","{'Google Translate': 'Digitale humaniora', 'EasyNMT': 'Digitale humaniora', 'Lingvanex': 'Digital humaniora', 'OpenAI': 'Digitale humaniora', 'Claude': 'Digital humaniora', 'Gemini': 'Digital Humaniora', 'First Ollama': 'Digital Humaniora', 'Second Ollama': 'Digitale humaniora'}"
de,German,Germanic,Digital Humanities,True,9,0.5019,PRODUCTIVE_DISAGREEMENT,Wikipedia translation present; 2 distinct outputs; debate signals: 0,True,Claude:untranslated; Gemini:loanword,First Ollama:prefix; Second Ollama:prefix,,2,2,19,False,['Latin'],"[('Wikipedia', 'Latin'), ('Google Translate', 'Latin'), ('EasyNMT', 'Latin'), ('Lingvanex', 'Latin'), ('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('First Ollama', 'Latin'), ('Second Ollama', 'Latin')]",Wikipedia:Latin; Google Translate:Latin; EasyNMT:Latin; Lingvanex:Latin; OpenAI:Latin; Claude:Latin; Gemini:Latin; First Ollama:Latin; Second Ollama:Latin,"In German academic discourse, 'Digital Humanities' is predominantly used as an untranslated English term, functioning as an established disciplinary designation. While 'Digitale Geisteswissenschaften' is a valid and semantically accurate translation, the English term has become the standard in Germa","The translation ""Digitale Geisteswissenschaften"" accurately captures the essence of the term ""Digital Humanities"" as used in the scholarly community in German-speaking countries. This term combines ""Digital,"" reflecting the use of digital technology and methods, with ""Geisteswissenschaften,"" which i","The term 'Digitale Geisteswissenschaften' is the most accurate and widely accepted translation in German academic discourse. It directly translates 'Digital' as 'Digitale' (feminine plural, agreeing with 'Geisteswissenschaften') and 'Humanities' as 'Geisteswissenschaften'. While 'Digital Humanities'","I agree with Google Translate, Lingvanex and EasyNMT's suggestion of 'Digitale Geisteswissenschaften'. The term 'Geisteswissenschaften' is a common translation for 'Humanities' in German, as it refers to the study of the human experience, culture, and society. The prefix 'digitale' clearly indicates","{'Wikipedia': 'Digital Humanities', 'Google Translate': 'Digitale Geisteswissenschaften', 'EasyNMT': 'Digitale Geisteswissenschaften', 'Lingvanex': 'Digitale Geisteswissenschaften', 'OpenAI': 'Digitale Geisteswissenschaften', 'Claude': 'Digital Humanities', 'Gemini': 'Digital Humanities', 'First Ollama': 'Digitale Geisteswissenschaften', 'Second Ollama': 'Digitale Geisteswissenschaften'}"
diq,Dimli,Indo-Iranian,Digital Humanities,False,5,0.3541,TRANSMOGRIFICATION,No Wikipedia; 5 distinct outputs; absence signals: 1; construction signals: 5,False,Gemini:borrowing,Claude:construct; Gemini:compound; Gemini:construct; First Ollama:prefix; Second Ollama:prefix,,5,5,20,False,['Latin'],"[('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('First Ollama', 'Latin'), ('Second Ollama', 'Latin')]",OpenAI:Latin; Claude:Latin; Gemini:Latin; First Ollama:Latin; Second Ollama:Latin,"In Dimli (Zazaki), 'Humanities' is best translated as 'Însanîte' or 'Însanîtey' (from 'însan' meaning human, parallel to Latin 'humanitas'), and 'Digital' as 'Dîjîtal'. The construct 'Însanîteyê Dîjîtal' follows Dimli's ezafe construction (possessive/attributive linking) where the adjective follows ","The term 'Digital Humanities' in English refers to the interdisciplinary field that combines traditional humanities with digital tools and methodologies. In Dimli, 'Bûyer' refers to knowledge or studies, and 'Dijîtal' is the direct adaptation of the word 'digital', which is commonly used across many","My translation 'Zanistê Merdimî yê Dijîtalî' directly translates to 'Digital Human Sciences' or 'Digital Human Studies'.

Let's break down the components and compare with the suggestions:

*   **Dijîtalî**: This is a direct borrowing of 'Digital' and is widely understood in many languages, including","I used the prefix Bûşengarî (Humanities) and added Nuja to indicate the digital aspect, similar to how it's done in English. The term 'Nûjên' means new or modern.","{'OpenAI': 'Dijital İnsanî Bilimler', 'Claude': 'Ensaniyetê Dijital', 'Gemini': 'Zanistê Merduman ê Dijitalî', 'First Ollama': 'Bûşengarîya Nûjenî', 'Second Ollama': 'Îlmanînîyî Êzayî'}"
dsb,Lower Sorbian,Slavic,Digital Humanities,False,5,0.4715,TRANSMOGRIFICATION,No Wikipedia; 5 distinct outputs; absence signals: 0; construction signals: 6,False,,Claude:compound; Claude:construct; First Ollama:combining; First Ollama:create.*term; Second Ollama:combining; Second Ollama:create.*term,,5,5,24,False,['Latin'],"[('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('First Ollama', 'Latin'), ('Second Ollama', 'Latin')]",OpenAI:Latin; Claude:Latin; Gemini:Latin; First Ollama:Latin; Second Ollama:Latin,"In Lower Sorbian, 'digitalne' (digital) is the correct adjective form. The term 'humanitiske wědy' (humanities/humanistic sciences) is more precise and commonly used in Sorbian academic contexts than 'humanistiki' or 'humanišćina'. The construction 'digitalne humanitiske wědy' follows standard Lower","The term ""Digitalne humanistiki"" directly translates to ""digital humanities"" in Lower Sorbian. ""Digitalne"" refers to ""digital,"" and ""humanistiki"" is adapted from ""humanities,"" reflecting the interdisciplinary academic field that combines traditional humanities disciplines with digital tools and tech","The term 'Digital Humanities' combines 'digital' and 'humanities'.

1.  **Digitalne**: This is the standard and correct Lower Sorbian adjective for 'digital', agreeing in gender and number with the following noun.

2.  **Humanistiske**: This is the adjectival form of 'humanistika' (humanities) in Lo",Combining the existing Lower Sorbian translations of 'Humanistika' (humanities) and 'Digitalni družynje' (digital community) to create a term that accurately represents the concept of Digital Humanities in the language.,"{'OpenAI': 'digitalske humanistike', 'Claude': 'Digitalne humanistiske wědy', 'Gemini': 'Digitalne Humanistiske Wědomnosći', 'First Ollama': 'Humanišćina wobsłuženja', 'Second Ollama': 'Digiwumnaņske wuměnty'}"
dv,Divehi; Maldivian;,Indo-Iranian,Digital Humanities,False,6,0.427,TRANSMOGRIFICATION,No Wikipedia; 6 distinct outputs; absence signals: 5; construction signals: 0; script disagreement: Latin+Thaana,False,Claude:transliterat; OpenAI:borrowed; OpenAI:transliterat; Gemini:borrowed; Gemini:transliterat,,,6,6,17,True,"['Latin', 'Thaana']","[('Google Translate', 'Thaana'), ('OpenAI', 'Thaana'), ('Claude', 'Thaana'), ('Gemini', 'Thaana'), ('First Ollama', 'Thaana'), ('Second Ollama', 'Latin')]",Google Translate:Thaana; OpenAI:Thaana; Claude:Thaana; Gemini:Thaana; First Ollama:Thaana; Second Ollama:Latin,This translation uses 'ޑިޖިޓަލް' (digital) as a direct transliteration that is already commonly used in Divehi for digital technology terms. 'މާނަވީ' means 'humanistic/human' and 'ދިރާސާތައް' means 'studies/disciplines'. This approach maintains clarity while using proper Divehi grammatical structure,"The term ""Digital Humanities"" is translated to maintain the integrity and meaning of both concepts: ""digital"" and ""humanities"". ""ޑިޗިޓަލް"" is a transliteration representing ""digital,"" directly borrowed to signify the modern, technology-based aspect. ""ހިއްމަނިޓީސް"" stands for ""humanities,"" encompassi","The term 'Digital Humanities' is a relatively new concept in Dhivehi, and direct, universally accepted translations are still evolving. My approach prioritizes clarity, directness, and a balance between transliteration and semantic meaning, while also considering how similar academic terms are handl","I modified Google Translate's suggestion by changing 'ހިއުމަނިޓީސް' to 'މަސްވޫލަނިޓީސް', which is a more idiomatic and accurate translation of 'Digital Humanities'. In Divehi, 'ހިއުމަނިޓީސް' typically implies a focus on digital technologies for their own sake, whereas 'މަސްވޫލަނިޓީސް' emphasizes the","{'Google Translate': 'ދިރާގު ހިއުމަނިޓީސް އެވެ', 'OpenAI': 'ޑިޖިޓަލް ހިއުލާންޑާ', 'Claude': 'ޑިޖިޓަލް އިންސާނީ ދިރާސާތައް', 'Gemini': 'ޑިޖިޓަލް ހިއުމެނިޓީސް', 'First Ollama': 'ދިރާގު މަސްވޫލަނިޓީސް', 'Second Ollama': 'Dijitaila Nātikas'}"
dz,Dzongkha,Sino-Tibetan,Digital Humanities,False,6,0.3742,TRANSMOGRIFICATION,No Wikipedia; 6 distinct outputs; absence signals: 0; construction signals: 5; script disagreement: Latin+Tibetan,False,,Claude:compound; Claude:combining; Gemini:compound; Gemini:create.*term; Gemini:formation,,6,6,26,True,"['Latin', 'Tibetan']","[('Google Translate', 'Tibetan'), ('OpenAI', 'Tibetan'), ('Claude', 'Tibetan'), ('Gemini', 'Tibetan'), ('First Ollama', 'Tibetan'), ('Second Ollama', 'Latin')]",Google Translate:Tibetan; OpenAI:Tibetan; Claude:Tibetan; Gemini:Tibetan; First Ollama:Tibetan; Second Ollama:Latin,"The term 'Digital Humanities' combines 'digital' (relating to electronic/computer technology) and 'humanities' (human culture and knowledge). In Dzongkha: གློག་བརྙན། (lok-nyen) means 'digital/electronic', མི་རིགས། (mi-rigs) means 'human/humanity', and རིག་གནས། (rig-ne) means 'knowledge/science/disci","The term 'དྲ་རིགས་མི་ཤེས།' combines 'དྲ' (digital), 'རིགས' (system, implying organization or domain, akin to 'humanities'), and 'མི་ཤེས' (knowledge, implying the study aspect). This translation aims to capture the interdisciplinary essence of Digital Humanities, emphasizing digital technology's role","Let's break down the proposed translation 'གྲངས་འཛིན་མི་རིག་རིག་གནས།' (grangs 'dzin mi rig rig gnas) and the rationale behind it, considering the existing suggestions and the nuances of Dzongkha.

**Critique of Existing Suggestions:**

*   **Google Translate: 'དྲ་རྒྱའི་མི་རིགས།' (dra rgyai mi rigs)*","I modified the existing suggestion by replacing 'དྲ་རྒྱའི་' with 'དྲ་སྐར་', which is a more literal translation of 'digital'. 'མི་ཤེས་ཚག།' is derived from the Tibetan word for 'humanities' and was adapted to Dzongkha. The word 'ཤེས་ཚག།' refers to knowledge, learning, or humanities in a broad sense.","{'Google Translate': 'དྲ་རྒྱའི་མི་རིགས།', 'OpenAI': 'ཨང་རྩོལ་ནང་དེབ་རྩོམ་པ།', 'Claude': 'ཌི་ཇི་ཊལ་མི་རིགས་རིག་གནས།', 'Gemini': 'ཨང་ཀི་ཅན་གྱི་མི་ཆོས་རིག་པ།', 'First Ollama': 'དྲ་སྐར་མི་ཤེས་ཚག།', 'Second Ollama': ""Tshod phug pa'i gzheng lugs""}"
ee,Ewe,African (Niger-Congo),Digital Humanities,False,6,0.3949,STRUCTURAL_ABSENCE,Loan word detected: True; absence signals: 2; services with data: 6,True,First Ollama:keep.*english; Second Ollama:keep.*english,,,6,6,37,False,['Latin'],"[('Google Translate', 'Latin'), ('EasyNMT', 'Latin'), ('OpenAI', 'Latin'), ('Claude', 'Latin'), ('First Ollama', 'Latin'), ('Second Ollama', 'Latin')]",Google Translate:Latin; EasyNMT:Latin; OpenAI:Latin; Claude:Latin; First Ollama:Latin; Second Ollama:Latin,"This translation combines 'Dijitɔl' (a natural Ewe adaptation of 'digital' commonly used in modern Ewe) with 'Amegbetɔŋutinunyawo' (humanities/human sciences). The word 'Amegbetɔŋutinunya' breaks down as: 'amegbetɔ' (human/person) + 'ŋuti' (concerning/about) + 'nunyawo' (knowledge/sciences, plural f","The term 'Digital Humanities' can be translated to Ewe as 'Amegbetɔ Yensenuto Nunyamã'. 'Amegbetɔ' refers to 'human', 'Yensenuto' means 'the science or study of technology', and 'Nunyamã' implies 'knowledge'. This translation captures the essence of studying human culture and societies through the l",,"I modified Google Translate's suggestion to keep the original phrase in English, 'Digital Humanities', and added it after the Ewe equivalent for 'digital' or 'new media'. In Ewe, 'me' means new or modern, and 'betɔŋu' refers to something that is written or digital. So, Amegbetɔŋutinunya roughly tran","{'Google Translate': 'Digitál Amegbetɔŋutinunya', 'EasyNMT': 'Internet Dzi Nu Siwo Gbɔ Míaƒe Ŋutete Ŋu Tsoe', 'OpenAI': 'Digital Humanities', 'Claude': 'Dijitɔl Ameŋutinunya', 'First Ollama': 'Amegbetɔŋutinunya Digital', 'Second Ollama': 'Gbeŋɔ la Gbegese'}"
el,"Greek, Modern",Indo-European (Other),Digital Humanities,True,9,0.4558,PRODUCTIVE_DISAGREEMENT,Wikipedia translation present; 2 distinct outputs; debate signals: 0,False,,,,2,2,29,False,['Greek'],"[('Wikipedia', 'Greek'), ('Google Translate', 'Greek'), ('EasyNMT', 'Greek'), ('Lingvanex', 'Greek'), ('OpenAI', 'Greek'), ('Claude', 'Greek'), ('Gemini', 'Greek'), ('First Ollama', 'Greek'), ('Second Ollama', 'Greek')]",Wikipedia:Greek; Google Translate:Greek; EasyNMT:Greek; Lingvanex:Greek; OpenAI:Greek; Claude:Greek; Gemini:Greek; First Ollama:Greek; Second Ollama:Greek,"This is the established and widely accepted translation in Greek academic discourse. 'Ψηφιακές' (psifiakés) means 'digital', 'Ανθρωπιστικές' (anthropistikés) means 'humanistic/humanities', and 'Επιστήμες' (epistémes) means 'sciences/disciplines'. The term accurately captures the interdisciplinary na","The term ""Digital Humanities"" is commonly translated as ""Ψηφιακές Ανθρωπιστικές Επιστήμες"" in Greek. This translation directly conveys the concept of integrating digital technology with the humanities. ""Ψηφιακές"" translates to ""Digital,"" while ""Ανθρωπιστικές Επιστήμες"" translates to ""Humanities."" Th","The existing suggestions, 'Ψηφιακές Ανθρωπιστικές Επιστήμες', are accurate and widely accepted. 'Ψηφιακές' (digital) is the correct adjective, and 'Ανθρωπιστικές Επιστήμες' (Humanities) is the standard term for the academic field. This translation directly and clearly conveys the meaning of 'Digital","The existing suggestions are all correct, as they directly translate the English term into Greek using a word-for-word approach. However, I would suggest a slightly more nuanced translation to better capture the essence of the Digital Humanities: 'Ψηφιακές Ανθρωπιστικές Επιστήμες' conveys the inters","{'Wikipedia': 'Ψηφιακές Ανθρωπιστικές Επιστήμες', 'Google Translate': 'Ψηφιακές Ανθρωπιστικές Επιστήμες', 'EasyNMT': 'Ψηφιακές Ανθρωπιστικές Επιστήμες', 'Lingvanex': 'Ψηφιακές Ανθρωπιστικές Επιστήμες', 'OpenAI': 'Ψηφιακές Ανθρωπιστικές Επιστήμες', 'Claude': 'Ψηφιακές Ανθρωπιστικές Επιστήμες', 'Gemini': 'Ψηφιακές Ανθρωπιστικές Επιστήμες', 'First Ollama': 'Ψηφιακές Ανθρωπιστικές Επιστήμες', 'Second Ollama': 'Διγλωσκοί Εικαστική Ανθρωπολογία'}"
en,English,Germanic,Digital Humanities,True,8,0.3514,PRODUCTIVE_DISAGREEMENT,Wikipedia translation present; 2 distinct outputs; debate signals: 0,True,Claude:no translation; First Ollama:no translation; Second Ollama:no translation,,,2,2,12,False,['Latin'],"[('Wikipedia', 'Latin'), ('Google Translate', 'Latin'), ('Lingvanex', 'Latin'), ('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('First Ollama', 'Latin'), ('Second Ollama', 'Latin')]",Wikipedia:Latin; Google Translate:Latin; Lingvanex:Latin; OpenAI:Latin; Claude:Latin; Gemini:Latin; First Ollama:Latin; Second Ollama:Latin,"The term is already in English and is the standard, established designation for this interdisciplinary field that combines computational methods with humanities research. It is typically capitalized as a proper noun when referring to the field as a whole, though lowercase 'digital humanities' is als","The term ""Digital Humanities"" is already commonly used in English to describe the field that integrates digital technologies with humanities disciplines. This established usage avoids confusion and maintains consistency across academic and professional contexts.","The term 'Digital Humanities' is already an English term and is widely accepted and understood within academic and public discourse. It functions as a proper noun when referring to the field of study, hence the capitalization. The existing suggestions all reflect this established usage, and there is","No translation necessary, as the term is already in English and has been widely adopted by the academic community.","{'Wikipedia': 'digital humanities', 'Google Translate': 'Digital Humanities', 'Lingvanex': 'Digital Humanities', 'OpenAI': 'Digital Humanities', 'Claude': 'Digital Humanities', 'Gemini': 'Digital Humanities', 'First Ollama': 'Digital Humanities', 'Second Ollama': 'Humanités numériques'}"
eo,Esperanto,Constructed,Digital Humanities,False,8,0.3083,TRANSMOGRIFICATION,No Wikipedia; 7 distinct outputs; absence signals: 1; construction signals: 3,False,Gemini:borrowing,Gemini:compound; First Ollama:suffix; Second Ollama:suffix,,7,7,17,False,['Latin'],"[('Google Translate', 'Latin'), ('EasyNMT', 'Latin'), ('Lingvanex', 'Latin'), ('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('First Ollama', 'Latin'), ('Second Ollama', 'Latin')]",Google Translate:Latin; EasyNMT:Latin; Lingvanex:Latin; OpenAI:Latin; Claude:Latin; Gemini:Latin; First Ollama:Latin; Second Ollama:Latin,"In Esperanto, 'cifereca' (digital) is the correct adjectival form. For 'Humanities', the term 'homscienco' (singular form of human sciences) is most appropriate because 'Digital Humanities' functions as a unified field name in academic discourse. While 'Humanistiko' captures the humanistic tradition","The term ""Ciferecaj Homsciencoj"" is chosen to reflect the interdisciplinary academic field that combines digital technologies with humanities. ""Ciferecaj"" means ""digital,"" while ""Homsciencoj"" encompasses the study of human-related disciplines, aligning more closely with the English connotation of Hu","Let's break down the components: 'Digital' is straightforwardly 'Cifereca'. For 'Humanities', we need a term that accurately reflects the academic field. 'Homstudoj' (human studies) is a decent literal translation, but 'Homscienco' (human science/humanities) is a more established and precise term in","Following the analogy between Latin-based languages, I've replaced '-studoj' (study) with '-ismo/-a' suffixes, as in 'humanismo', and also changed '-araj' to '-a' to make it consistent with Esperanto grammar rules.","{'Google Translate': 'Ciferecaj Homstudoj', 'EasyNMT': 'Ciferecaj homoj', 'Lingvanex': 'Ciferecaj Homaroj', 'OpenAI': 'Ciferecaj Homsciencoj', 'Claude': 'Ciferecaj Homscienkoj', 'Gemini': 'Ciferecaj Homsciencoj', 'First Ollama': 'Ciferecaj Humanistiko', 'Second Ollama': 'Digiĉumanitarismo'}"
