agreement_score,best_candidate,variant_distribution,unique_translations,total_variants,variants_with_data,above_threshold,term_source,language_code,language_name,variants_loaded,minimal_term,comparative_term,expert_persona_term,contextual_term,native_rationale_term
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,pms,Piedmontese,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,pih,Norfolk,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,pdc,Pennsylvania German,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,pap,Papiamentu,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,pam,Kapampangan,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,pag,Pangasinan,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,nso,Northern Sotho,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,nrm,Norman,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,new,Newar,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,nds-nl,Dutch Low Saxon,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,nds,Low German / Low Saxon,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,nap,Neapolitan,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,nah,Nahuatl,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,mwl,Mirandese,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,mus,Creek / Muskogee,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,mrh,Mara,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,mo,Moldovan,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,min,Minangkabau,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,map-bms,Banyumasan,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,man,Mandarin,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,lzz,Laz,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,lij,Ligurian,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,lan,Lango,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,lad,Ladino / Judeo-Spanish,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,ksh,Ripuarian,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,khw,Khowar,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,jbo,Lojban,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,inh,Ingush,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,ilo,Ilokano,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,haw,Hawaiian,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,hak,Hakka Chinese,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,got,Gothic,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,gil,Gilbertese,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,gbm,Garhwali,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,gan,Gan Chinese,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,fur,Friulian,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,frp,Arpitan / Franco-Provençal,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,fiu-vro,Võro,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,ext,Extremaduran,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,dsb,Lower Sorbian,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,diq,Dimli,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,csb,Kashubian,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,ckb,Kurdish (Sorani),"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,chy,Cheyenne,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,chr,Cherokee,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,cho,Choctaw,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,ceb,Cebuano,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,cdo,Min Dong Chinese,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,bxr,Buriat (Russia),"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,bug,Buginese,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,brx,Boro,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,bpy,Bishnupriya Manipuri,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,be-x-old,Belarusian (Taraškievica),"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,bcl,Bikol,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,bat-smg,Samogitian,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,bar,Bavarian,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,awa,Awadhi,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,ast,Asturian,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,arz,Egyptian Arabic,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,arc,Aramaic,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,ang,Anglo-Saxon / Old English,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,als,Alemannic,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,pt,Portuguese,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,ps,"Pashto, Pushto","minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,qu,Quechua,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,pl,Polish,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,pi,Pāli,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,nn,Norwegian Nynorsk,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,pa,"Panjabi, Punjabi","minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,os,"Ossetian, Ossetic","minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,my,Burmese,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,na,Nauru,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,nb,Norwegian Bokmål,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,nd,North Ndebele,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,ne,Nepali,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,ng,Ndonga,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,nl,Dutch,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,no,Norwegian,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,nr,South Ndebele,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,nv,"Navajo, Navaho","minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,ny,Chichewa; Chewa; Nyanja,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,oc,Occitan,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,oj,"Ojibwe, Ojibwa","minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,om,Oromo,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,or,Oriya,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,rm,Romansh,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,aa,Afar,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,rn,Kirundi,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,ur,Urdu,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,tl,Tagalog,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,tn,Tswana,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,to,Tonga,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,tr,Turkish,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,ts,Tsonga,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,tt,Tatar,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,tw,Twi,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,ty,Tahitian,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,ug,"Uighur, Uyghur","minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
1.0,nan,"{'nan': ['minimal', 'comparative', 'expert_persona', 'contextual', 'native_rationale']}",1,5,5,True,Digital Humanities,uk,Ukrainian,"minimal, comparative, expert_persona, contextual, native_rationale",nan,nan,nan,nan,nan
